,Concept_ID,fi,he
0,Auge::N,silmä,עין
1,Ohr::N,korva,אזן
2,Nase::N,nenä,אף
3,Nase::N,nenä,חטם
4,Mund::N,suu,פה
5,Zahn::N,hammas,שן
6,Zunge::N,kieli,לשון
7,Lippe::N,huuli,שפה
8,Wange::N,poski,לחי
9,Gesicht::N,naama,פנים
10,Gesicht::N,kasvot,פנים
11,Stirn::N,otsa,מצח
12,Haar::N,hius,שערה
13,Haar::N,tukka,שערה
14,Schnurrbart::N,viikset,שפם
15,Bart::N,parta,זקן
16,Kinn::N,leuka,סנטר
17,Kiefer[Anatomie]::N,leukaluu,לסת
18,Kehle::N,kurkku,גרון
19,Hals::N,kaula,צואר
20,Genick::N,niska,ערף
21,Kopf::N,pää,ראש
22,Rücken::N,selkä,גב
23,Bauch::N,maha,בטן
24,Bauch::N,vatsa,בטן
25,Nabel::N,napa,טבור
26,Busen::N,rinta,שד
27,Brust::N,rinta,חזה
28,Schulter::N,olka,כתף
29,Schulter::N,hartia,כתף
30,Schulter::N,olkapää,כתף
31,Arm::N,käsivarsi,זרוע
32,Ellenbogen::N,kyynärpää,מרפק
33,Hand::N,käsi,יד
34,Handfläche::N,kämmen,כף יד
35,Finger::N,sormi,אצבע
36,Fingernagel::N,kynsi,צפרן
37,Nagel[Anatomie]::N,kynsi,צפרן
38,Zeh::N,varvas,אצבע
39,Fuß::N,jalka,רגל
40,Ferse::N,kantapää,עקב
41,Knie::N,polvi,ברך
42,Oberschenkel::N,reisi,ירך
43,Bein::N,jalka,רגל
44,Körper::N,keho,גוף
45,Körper::N,ruumis,גוף
46,Haut::N,iho,עור
47,Blut::N,veri,דם
48,Ader::N,suoni,וריד
49,Sehne::N,jänne,גיד
50,Knochen::N,luu,עצם
51,Gehirn::N,aivot,מוח
52,Herz::N,sydän,לב
53,Magen::N,maha,קבה
54,Magen::N,vatsa,קבה
55,Leber::N,maksa,כבד
56,Atem::N,henki,נשימה
57,Atem::N,hengitys,נשימה
58,Hunger::N,nälkä,רעב
59,Träne::N,kyynel,דמעה
60,Geschmack::N,maku,טעם
61,Geruch::N,haju,ריח
62,Schlaf::N,uni,שנה
63,Traum::N,uni,חלום
64,Himmel::N,taivas,שמים
65,Sonne::N,aurinko,שמש
66,Mond::N,kuu,ירח
67,Stern::N,tähti,כוכב
68,Luft::N,ilma,אויר
69,Wind::N,tuuli,רוח
70,Welle::N,aalto,גל
71,Wasser::N,vesi,מים
72,Stein::N,kivi,אבן
73,Boden::N,maa,קרקע
74,Boden::N,maaperä,קרקע
75,Erde::N,maa,אדמה
76,Staub::N,pöly,אבק
77,Rauch::N,savu,עשן
78,Funke::N,kipinä,ניצוץ
79,Feuer::N,tuli,אש
80,Licht::N,valo,אור
81,Schatten::N,varjo,צל
82,Wetter::N,sää,מזג אויר
83,Nebel::N,sumu,ערפל
84,Wolke::N,pilvi,ענן
85,Regen::N,sade,גשם
86,Schnee::N,lumi,שלג
87,Eis::N,jää,קרח
88,Frost::N,halla,צנה
89,Frost::N,pakkanen,צנה
90,Kälte::N,vilu,קר
91,Kälte::N,kylmyys,קר
92,Hitze::N,helle,חם
93,Hitze::N,kuumuus,חם
94,Raureif::N,huurre,כפור
95,Regenbogen::N,sateenkaari,קשת
96,Donner::N,jyrinä,רעם
97,Strömung::N,virtaus,זרימה
98,Tropfen::N,tippa,טפה
99,Tropfen::N,pisara,טפה
100,Schaum::N,vaahto,קצף
101,Schmutz::N,loka,לכלוך
102,See::N,järvi,אגם
103,Sumpf::N,suo,בצה
104,Moor::N,räme,בצה
105,Wiese::N,niitty,מרעה
106,Wald::N,metsä,יער
107,Hügel::N,mäki,תל
108,Hügel::N,kumpu,תל
109,Hügel::N,kukkula,תל
110,Anhöhe::N,mäki,מעלה
111,Anhöhe::N,kumpare,מעלה
112,Berg::N,mäki,הר
113,Berg::N,vuori,הר
114,Gipfel::N,laki,פסגה
115,Gipfel::N,huippu,פסגה
116,Höhle::N,luola,מערה
117,Abhang::N,rinne,מדרון
118,Abhang::N,rinne,שפוע
119,Quelle::N,lähde,מעין
120,Bach::N,puro,נחל
121,Fluss::N,joki,נהר
122,Ufer::N,ranta,גדה
123,Küste::N,rannikko,חוף
124,Festland::N,manner,יבשה
125,Meer::N,meri,ים
126,Bucht::N,lahti,מפרץ
127,Insel::N,saari,אי
128,Blume::N,kukka,פרח
129,Gras::N,ruoho,דשא
130,Wurzel::N,juuri,שרש
131,Baum::N,puu,עץ
132,Stamm::N,runko,גזע
133,Rinde::N,kuori,קלפת עץ
134,Rinde::N,parkki,קלפת עץ
135,Ast::N,oksa,ענף
136,Zweig::N,haara,ענף
137,Blatt::N,lehti,עלה
138,Birke::N,koivu,שדר
139,Kiefer[Baum]::N,mänty,ארן
140,Kiefer[Baum]::N,petäjä,ארן
141,Weide[Baum]::N,paju,ערבה
142,Tanne::N,kuusi,אשוח
143,Horn::N,sarvi,קרן
144,Feder::N,sulka,נוצה
145,Feder::N,höyhen,נוצה
146,Fell::N,talja,פרוה
147,Flügel::N,siipi,כנף
148,Klaue::N,kynsi,טלף
149,Kralle::N,kynsi,טפר
150,Schwanz::N,häntä,זנב
151,Schwanz::N,pyrstö,זנב
152,Ei::N,muna,ביצה
153,Nest::N,pesä,קן
154,Bau::N,pesä,מחלה
155,Tier::N,eläin,חיה
156,Herde::N,lauma,עדר
157,Kuh::N,lehmä,פרה
158,Bulle::N,sonni,פר
159,Pferd::N,hevonen,סוס
160,Schaf::N,lammas,כבשה
161,Schwein::N,sika,חזיר
162,Hund::N,koira,כלב
163,Katze::N,kissa,חתול
164,Bär::N,karhu,דב
165,Eichhörnchen::N,orava,סנאי
166,Elch::N,hirvi,דישון
167,Fuchs::N,kettu,שועל
168,Hase::N,jänis,ארנב
169,Maus::N,hiiri,עכבר
170,Wolf::N,susi,זאב
171,Vogel::N,lintu,צפור
172,Schwarm::N,parvi,נחיל
173,Schwarm::N,parvi,להקה
174,Huhn::N,kana,תרנגלת
175,Hahn::N,kukko,תרנגול
176,Gans::N,hanhi,אוז
