,Concept_ID,ro,az
0,Auge::N,ochi,göz
1,Ohr::N,ureche,qulaq
2,Nase::N,nas,burun
3,Mund::N,gură,ağız
4,Zahn::N,dinte,diş
5,Zunge::N,limbă,dil
6,Lippe::N,buză,dodaq
7,Wange::N,bucă,yanaq
8,Wange::N,obraz,yanaq
9,Gesicht::N,față,üz
10,Gesicht::N,figură,üz
11,Stirn::N,frunte,alın
12,Haar::N,păr,saç
13,Schnurrbart::N,mustață,bığ
14,Bart::N,barbă,saqqal
15,Kinn::N,bărbie,çənə
16,Kiefer[Anatomie]::N,falcă,çənə
17,Kehle::N,beregată,boğaz
18,Hals::N,gât,boyun
19,Genick::N,ceafă,ənsə
20,Kopf::N,cap,baş
21,Rücken::N,dos,bel
22,Rücken::N,spate,bel
23,Rücken::N,spinare,bel
24,Bauch::N,burtă,qarın
25,Bauch::N,pântece,qarın
26,Nabel::N,buric,göbək
27,Busen::N,sân,məmə
28,Brust::N,piept,döş
29,Schulter::N,umăr,çiyin
30,Schulter::N,spate,çiyin
31,Arm::N,braț,qol
32,Ellenbogen::N,cot,dirsək
33,Hand::N,mână,əl
34,Handfläche::N,palmă,ovuc
35,Finger::N,deget,barmaq
36,Fingernagel::N,unghie,barmaq dırnağı
37,Nagel[Anatomie]::N,unghie,dırnak
38,Zeh::N,deget de la picior,ayaq barmağı
39,Fuß::N,picior,ayaq
40,Ferse::N,călcâi,daban
41,Knie::N,genunchi,diz
42,Oberschenkel::N,coapsă,bud
43,Bein::N,picior,qıç
44,Körper::N,corp,əndam
45,Haut::N,piele,dəri
46,Blut::N,sânge,qan
47,Ader::N,vână,damar
48,Ader::N,arteră,damar
49,Sehne::N,tendon,vətər
50,Knochen::N,os,sümük
51,Gehirn::N,creier,beyin
52,Herz::N,inimă,ürək
53,Magen::N,stomac,mədə
54,Leber::N,ficat,qara ciyər
55,Atem::N,răsuflare,nəfəs
56,Atem::N,respirație,nəfəs
57,Hunger::N,foame,aclıq
58,Träne::N,lacrimă,göz yaşı
59,Geschmack::N,gust,tam
60,Geschmack::N,gust,ləzzət
61,Geruch::N,miros,qoxu
62,Schlaf::N,somn,yuxu
63,Traum::N,vis,röya
64,Himmel::N,cer,göy
65,Himmel::N,cer,səma
66,Sonne::N,soare,günəş
67,Mond::N,lună,ay
68,Stern::N,stea,ulduz
69,Luft::N,aer,hava
70,Wind::N,vânt,yel
71,Wind::N,vânt,külək
72,Welle::N,val,dalğa
73,Welle::N,undă,dalğa
74,Wasser::N,apă,su
75,Stein::N,piatră,daş
76,Boden::N,sol,yer
77,Boden::N,sol,zəmin
78,Boden::N,pământ,yer
79,Boden::N,pământ,zəmin
80,Erde::N,pământ,yer torpaq
81,Staub::N,praf,toz
82,Rauch::N,fum,tüstü
83,Funke::N,scânteie,qığılcım
84,Feuer::N,foc,od
85,Licht::N,lumină,işıq
86,Schatten::N,umbră,kölgə
87,Wetter::N,timp,hava
88,Wetter::N,vreme,hava
89,Nebel::N,ceață,duman
90,Nebel::N,negură,duman
91,Wolke::N,nor,bulud
92,Regen::N,ploaie,yağış
93,Regen::N,ploaie,yağmur
94,Schnee::N,zăpadă,qar
95,Eis::N,gheață,buz
96,Frost::N,ger,ayaz
97,Kälte::N,frig,soyuq
98,Hitze::N,arșiță,coşğunluq
99,Hitze::N,căldură,coşğunluq
100,Raureif::N,chiciură,qırov
101,Regenbogen::N,curcubeu,göy qurşağı
102,Donner::N,tunet,göy gurultusu
103,Strömung::N,curent,axın
104,Tropfen::N,picătură,damcı
105,Schaum::N,spumă,köpük
106,Schmutz::N,murdărie,çamır
107,See::N,lac,göl
108,Sumpf::N,mlaștină,bataqlıq
109,Moor::N,bărăgan,bataqlıq
110,Wiese::N,fânaț,çəmən
111,Wiese::N,livadă,çəmən
112,Wald::N,codru,meşə
113,Wald::N,pădure,meşə
114,Hügel::N,deal,təpə
115,Hügel::N,movilă,təpə
116,Anhöhe::N,deal,təpə
117,Anhöhe::N,ridicătură,təpə
118,Berg::N,munte,dağ
119,Gipfel::N,pisc,zirvə
120,Höhle::N,peșteră,mağara
121,Abhang::N,pantă,yamac
122,Abhang::N,versant,yamac
123,Quelle::N,izvor,bulaq
124,Bach::N,gârlă,kiçik çay
125,Fluss::N,râu,çay
126,Fluss::N,fluviu,çay
127,Ufer::N,mal,kənar
128,Ufer::N,țărm,kənar
129,Küste::N,coastă,sahil
130,Festland::N,uscat,materik
131,Meer::N,mare,dəniz
132,Bucht::N,golf,körfəz
133,Insel::N,insulă,ada
134,Blume::N,floare,çiçək
135,Gras::N,iarbă,ot
136,Wurzel::N,rădăcină,kök
137,Baum::N,copac,ağac
138,Baum::N,arbore,ağac
139,Stamm::N,tulpină,gövdə
140,Rinde::N,scoarță,qabıq
141,Ast::N,cracă,şax
142,Ast::N,creangă,şax
143,Zweig::N,ramură,budaq
144,Zweig::N,creangă,budaq
145,Blatt::N,frunză,yarpaq
146,Birke::N,mesteacăn,tozağacı
147,Kiefer[Baum]::N,pin,şam
148,Weide[Baum]::N,salcie,söyüd
149,Weide[Baum]::N,răchită,söyüd
150,Tanne::N,brad,küknar
151,Horn::N,corn,buynuz
152,Feder::N,pană,tük
153,Feder::N,pană,lələk
154,Fell::N,piele,xəz
155,Flügel::N,aripă,qanad
156,Klaue::N,gheară,pəncə
157,Kralle::N,labă,dırnaq
158,Kralle::N,gheară,dırnaq
159,Schwanz::N,coadă,quyruq
160,Ei::N,ou,yumurta
161,Nest::N,cuib,yuva
162,Bau::N,bârlog,yuva
163,Bau::N,vizuină,yuva
164,Tier::N,animal,heyvan
165,Herde::N,turmă,sürü
166,Herde::N,cireadă,sürü
167,Kuh::N,vacă,inək
168,Bulle::N,taur,öküz
169,Pferd::N,cal,at
170,Schaf::N,oaie,qoyun
171,Schwein::N,porc,donuz
172,Hund::N,câine,it
173,Hund::N,câine,köpək
174,Katze::N,pisică,pişik
175,Bär::N,urs,ayı
176,Eichhörnchen::N,veveriță,dələ
177,Elch::N,elan,sığın
178,Fuchs::N,vulpe,tülkü
179,Hase::N,iepure,dovşan
180,Maus::N,șoarece,siçan
181,Wolf::N,lup,qurd
182,Vogel::N,pasăre,quş
183,Schwarm::N,cârd,sürü
184,Huhn::N,găină,toyuq
185,Hahn::N,cocoș,xoruz
186,Gans::N,gâscă,qaz
187,Adler::N,vultur,qartal
188,Adler::N,vultur,qaraquş
189,Ente::N,rață,ördək
190,Eule::N,bufniță,bayquş
191,Kranich::N,cocor,durna
192,Krähe::N,cioară,qarğa
193,Kuckuck::N,cuc,ququ
194,Schwan::N,lebădă,qu quşu
195,Fisch::N,pește,balıq
196,Barsch::N,biban,tar
197,Hecht::N,știucă,durnabalığı
198,Schlange[Tier]::N,șarpe,ilan
199,Wurm::N,vierme,qurd
200,Spinne::N,păianjen,hörümçək
201,Ameise::N,furnică,qarışqa
202,Laus::N,păduche,bit
203,Mücke::N,țânțar,ağcaqanad
204,Fliege::N,muscă,milçək
205,Schmetterling::N,fluture,kəpənək
206,Beere::N,boabă,gilə
207,Apfel::N,măr,alma
208,Pilz::N,burete,göbələk
209,Pilz::N,ciupercă,göbələk
210,Zwiebel::N,ceapă,soğan
211,Saat::N,semănătură,əkin
212,Korn::N,grâu,taxıl
213,Heu::N,fân,quru ot
214,Schale::N,coajă,qabıq
215,Grube::N,groapă,çuxur
216,Falle::N,cursă,tələ
217,Falle::N,cursă,duzaq
218,Falle::N,capcană,tələ
219,Falle::N,capcană,duzaq
220,Schlinge::N,laț,ilmək
221,Spur::N,dâră,iz
222,Asche::N,cenușă,kül
223,Dreck::N,noroi,kir
224,Dreck::N,murdărie,kir
225,Eisen::N,fier,dəmir
226,Gold::N,aur,altun
227,Silber::N,argint,gümüş
228,Kohle::N,cărbune,kömür
229,Glas::N,sticlă,şüşə
230,Lehm::N,lut,gil
231,Lehm::N,lut,palçıq
232,Lehm::N,humă,gil
233,Lehm::N,humă,palçıq
234,Sand::N,nisip,qum
235,Mensch::N,om,adam
236,Mensch::N,om,insan
237,Mensch::N,persoană,adam
238,Mensch::N,persoană,insan
239,Mann::N,om,kişi
240,Mann::N,bărbat,kişi
241,Frau::N,femeie,qadın
242,Kind::N,copil,uşaq
243,Junge::N,băiat,oğlan
244,Junge::N,flăcău,oğlan
245,Mädchen::N,fată,qız
246,Familie::N,familie,ailə
247,Großvater::N,bunic,baba
248,Großvater::N,tată mare,baba
249,Großmutter::N,bunică,nənə
250,Großmutter::N,mamă mare,nənə
251,Eltern::N,părinți,valideyn
252,Vater::N,tată,ata
253,Vater::N,părinte,ata
254,Mutter::N,mamă,ana
255,Sohn::N,fiu,oğul
256,Sohn::N,fecior,oğul
257,Tochter::N,fiică,qız
258,Bruder::N,frate,qardaş
259,Schwester::N,soră,bacı
260,Onkel::N,unchi,əmi
261,Onkel::N,unchi,dayı
262,Tante::N,mătușă,bibi
263,Ehemann::N,soț,ər
264,Ehemann::N,bărbat,ər
265,Ehefrau::N,soție,arvad
266,Freude::N,bucurie,nəşə
