,Concept_ID,ku,da
0,Auge::N,çav,øje
1,Ohr::N,guh,øre
2,Nase::N,bêvil,næse
3,Mund::N,dev,mund
4,Zahn::N,didan,tand
5,Zunge::N,ziman,tunge
6,Lippe::N,lêv,læbe
7,Wange::N,dêm,kind
8,Wange::N,hinarik,kind
9,Gesicht::N,rû,ansigt
10,Stirn::N,enî,pande
11,Haar::N,por,hår
12,Schnurrbart::N,simbêl,overskæg
13,Bart::N,rih,skæg
14,Kinn::N,zenî,hage
15,Kiefer[Anatomie]::N,arguşk,kæbe
16,Kehle::N,qirik,strube
17,Hals::N,stû,hals
18,Hals::N,qirik,hals
19,Genick::N,stû,nakke
20,Kopf::N,serî,hoved
21,Rücken::N,pişt,ryg
22,Bauch::N,ûr,mave
23,Bauch::N,zik,mave
24,Nabel::N,navik,navle
25,Busen::N,sîng,barm
26,Brust::N,sîng,bryst
27,Schulter::N,mil,skulder
28,Arm::N,çepil,arm
29,Ellenbogen::N,enîşk,albue
30,Hand::N,dest,hånd
31,Handfläche::N,kefadest,håndflade
32,Finger::N,tilî,finger
33,Fingernagel::N,neynuk,fingernegl
34,Nagel[Anatomie]::N,bizmar,negl
35,Zeh::N,tilî linga,tå
36,Fuß::N,ling,fod
37,Ferse::N,pahnî,hæl
38,Knie::N,kabok,knæ
39,Oberschenkel::N,rahn,lår
40,Bein::N,çip,ben
41,Körper::N,laş,krop
42,Körper::N,laş,legeme
43,Körper::N,gowde,krop
44,Körper::N,gowde,legeme
45,Haut::N,çerm,hud
46,Blut::N,xwîn,blod
47,Ader::N,reh,åre
48,Sehne::N,reh,sene
49,Knochen::N,hestî,ben
50,Gehirn::N,mêjî,hjerne
51,Herz::N,dil,hjerte
52,Magen::N,navêş,mave
53,Leber::N,kezeb,lever
54,Atem::N,hilm,ånde
55,Hunger::N,birçîtî,sult
56,Träne::N,hêstir,tåre
57,Geschmack::N,tam,smag
58,Geruch::N,bêhn,lugt
59,Schlaf::N,xew,søvn
60,Traum::N,xewn,drøm
61,Himmel::N,ezman,himmel
62,Sonne::N,roj,sol
63,Mond::N,heyv,måne
64,Stern::N,stêrk,stjerne
65,Luft::N,ba,luft
66,Wind::N,ba,vind
67,Welle::N,şewl,bølge
68,Wasser::N,av,vand
69,Stein::N,kevir,sten
70,Boden::N,herd,jord
71,Erde::N,ax,jord
72,Staub::N,toz,støv
73,Rauch::N,dû,røg
74,Funke::N,çirûşk,gnist
75,Feuer::N,agir,ild
76,Licht::N,ronahî,lys
77,Schatten::N,sî,skygge
78,Wetter::N,hewa,vejr
79,Nebel::N,mij,tåge
80,Wolke::N,ewr,sky
81,Regen::N,baran,regn
82,Schnee::N,berf,sne
83,Eis::N,qeşa,is
84,Frost::N,xûsik,frost
85,Kälte::N,serma,kulde
86,Hitze::N,germayî,hede
87,Raureif::N,şext,rimfrost
88,Regenbogen::N,heftreng,regnbue
89,Donner::N,gire-gir,torden
90,Strömung::N,şewl,strømning
91,Tropfen::N,dilop,dråbe
92,Schaum::N,kef,skum
93,Schmutz::N,gemar,snavs
94,See::N,gol,sø
95,Sumpf::N,hezek,sump
96,Moor::N,mafêl,mose
97,Wiese::N,sûrik,eng
98,Wald::N,çiya,skov
99,Wald::N,daristan,skov
100,Hügel::N,gir,høj
101,Hügel::N,gir,bakke
102,Anhöhe::N,sere gir,høj
103,Anhöhe::N,sere gir,bakke
104,Berg::N,kaş,bjerg
105,Gipfel::N,sere gir,top
106,Höhle::N,şikeft,hule
107,Abhang::N,kaş,skrænt
108,Abhang::N,kaş,skråning
109,Quelle::N,kanî,kilde
110,Bach::N,çem,bæk
111,Fluss::N,çem,flod
112,Fluss::N,rûbar,flod
113,Ufer::N,kevî,bred
114,Küste::N,berav,kyst
115,Festland::N,bejahî,fastland
116,Meer::N,behr,hav
117,Bucht::N,derav,bugt
118,Insel::N,girav,ø
119,Blume::N,kulînk,blomst
