,Concept_ID,uz,lbe
0,Auge::N,ko'z,я
1,Ohr::N,quloq,вичӏи
2,Nase::N,burun,май
3,Mund::N,og'iz,кьацӏ
4,Zahn::N,tish,ккарччи
5,Zunge::N,til,маз
6,Lippe::N,dudoq,мурччи
7,Wange::N,bet,чӏав
8,Gesicht::N,yuz,лажин
9,Stirn::N,manglay,ненттабакӏ
10,Haar::N,soch,чӏара
11,Schnurrbart::N,mo'ylov,ссирссилтту
12,Bart::N,soqol,чӏири
13,Kinn::N,ängak,лунттубакӏ
14,Kiefer[Anatomie]::N,iyak,ххинчулул
15,Kehle::N,bo'g'iz,кьакьари
16,Hals::N,bo'yin,ссурссу
17,Genick::N,gardan,махъабакӏ
18,Kopf::N,bosh,бакӏ
19,Rücken::N,orqa,ттиликӏ
20,Bauch::N,qorin,лякьа
21,Nabel::N,kindik,цӏумуккутӏ
22,Busen::N,ämchak,ккукку
23,Brust::N,ko'krak,хъазам
24,Schulter::N,elka,хъачӏ
25,Arm::N,bilak,ка
26,Ellenbogen::N,tirsak,ссюрхъ
27,Hand::N,qo'l,бартка
28,Handfläche::N,kaft,хъат
29,Handfläche::N,kaft,битӏянхъ
30,Finger::N,barmoq,кӏисса
31,Fingernagel::N,tirnoq,михь
32,Nagel[Anatomie]::N,tirnoq,михь
33,Zeh::N,oyoq barmog'i,кӏисса
34,Fuß::N,oyoq,чӏанччан
35,Ferse::N,tovon,никъа
36,Knie::N,tiz,ник
37,Oberschenkel::N,son,жира
38,Bein::N,oyoq,ччан
39,Körper::N,badna,чурх
40,Haut::N,teri,бурчу
41,Blut::N,qon,оь
42,Ader::N,qon tomir,тунну
43,Sehne::N,tomir,хьхьа
44,Knochen::N,suyak,ттаркӏ
45,Gehirn::N,miya,ня
46,Herz::N,qalb,дакӏ
47,Herz::N,qalb,къюкӏ
48,Magen::N,oshqozon,лякьа
49,Leber::N,bag'ir,
50,Atem::N,dam,ссихӏ ласаву
51,Atem::N,dam,ссихӏ бигьаву
52,Hunger::N,ochlik,ккаши
53,Träne::N,yosh,макь
54,Geschmack::N,tam,тӏин
55,Geschmack::N,tam,тӏааьн
56,Geruch::N,jid,кьанкь
57,Schlaf::N,uyqu,шану
58,Traum::N,tush,макӏру
59,Himmel::N,osmon,ссав
60,Sonne::N,quyosh,баргъ
61,Mond::N,oy,барз
62,Stern::N,yulduz,цӏуку
63,Luft::N,havo,гьава
64,Wind::N,el,марч
65,Welle::N,to'lqin,щатӏи
66,Wasser::N,suv,щин
67,Stein::N,tosh,чару
68,Boden::N,tuproq,аьрщи
