,Concept_ID,xal,myv
0,Auge::N,нүдн,сельме
1,Ohr::N,чикн,пиле
2,Nase::N,хамр,судо
3,Mund::N,амн,курго
4,Zahn::N,шүдн,пей
5,Zunge::N,келн,кель
6,Lippe::N,урл,турва
7,Wange::N,халх,чамабока
8,Wange::N,халх,чамаумарь
9,Gesicht::N,нүр,чама
10,Stirn::N,маңна,коня
11,Haar::N,үсн,черь
12,Schnurrbart::N,сахл,ус
13,Schnurrbart::N,сахл,муюк
14,Bart::N,сахл,сакал
15,Bart::N,өргнә сахл,сакал
16,Kinn::N,өргн,уло
17,Kiefer[Anatomie]::N,өргн,пейпакар
18,Kiefer[Anatomie]::N,өргн,пейловажа
19,Kehle::N,хол,кирьгапарь
20,Hals::N,күзүн,кирьга
21,Genick::N,гиҗг,човонь
22,Kopf::N,толһа,пря
23,Rücken::N,нурһн,копорь
24,Bauch::N,гесн,пеке
25,Nabel::N,киисн,почо
26,Busen::N,көкн,поте
27,Brust::N,чееҗ,меште
28,Schulter::N,ээм,лавтов
29,Arm::N,һар,кедь
30,Ellenbogen::N,тоха,кенерепакарь
31,Hand::N,баһлцг,кедь
32,Handfläche::N,альхн,кедькуншка
33,Handfläche::N,альхн,кедьлапушка
34,Finger::N,хурһн,сур
35,Finger::N,һарин хурһн,сур
36,Fingernagel::N,хумсн,кенже
37,Nagel[Anatomie]::N,хумсн,кенже
38,Zeh::N,хурһн,пильге сур
39,Zeh::N,көлин хурһн,пильге сур
40,Fuß::N,тавг,пильге
41,Ferse::N,өскә,кочкаря
42,Knie::N,өвдг,эле
43,Knie::N,өвдг,эзне
44,Knie::N,өвдг,кумажа
45,Oberschenkel::N,һуй,качо
46,Bein::N,көл,пильге
47,Körper::N,махмуд,рунго
48,Haut::N,арсн,киське
49,Blut::N,цусн,верь
50,Ader::N,судцн,сан
51,Sehne::N,шүрүсн,коське сан
52,Knochen::N,ясн,пакарь
53,Gehirn::N,экн,удем
54,Herz::N,зүркн,седей
55,Magen::N,гесн,пеке
56,Leber::N,элкн,максо
57,Atem::N,әмсхл,лексема
58,Atem::N,әмсхл,оймень таргсема
59,Hunger::N,харһнлһн,вачочи
60,Träne::N,нульмсн,селведь
61,Geschmack::N,амтн,тансть
62,Geruch::N,үнр,чине
63,Schlaf::N,нөр,удома
64,Traum::N,зүүдн,он
