,Concept_ID,eu,cv
0,Auge::N,begi,куҫ
1,Ohr::N,belarri,хӑлха
2,Nase::N,sudur,сӑмса
3,Mund::N,aho,ҫӑвар
4,Zahn::N,hortz,шӑл
5,Zunge::N,mihi,чӗлхе
6,Lippe::N,ezpain,тута
7,Wange::N,masail,пит ҫӑмарти
8,Gesicht::N,aurpegi,пит
9,Gesicht::N,aurpegi,пит-куҫ
10,Stirn::N,bekoki,ҫамка
11,Haar::N,ile,ҫӳҫ
12,Haar::N,bilo,ҫӳҫ
13,Schnurrbart::N,bibote,усси
14,Schnurrbart::N,sudurpeko,усси
15,Bart::N,bizar,сухал
16,Kinn::N,kokots,янах
17,Kiefer[Anatomie]::N,masailezur,янах
18,Kehle::N,eztarri,пыр
19,Kehle::N,eztarri,карланкӑ
20,Hals::N,sama,пыр
21,Genick::N,garondo,ӗнсе
22,Kopf::N,buru,пуҫ
23,Rücken::N,bizkar,ҫурӑм
24,Bauch::N,sabel,
25,Nabel::N,zilbor,кӑвапа
26,Busen::N,titi,кӑкӑр
27,Busen::N,ugatz,кӑкӑр
28,Brust::N,bular,умӗ
29,Schulter::N,besaburu,хул пуҫҫи
30,Arm::N,beso,алӑ
31,Ellenbogen::N,ukondo,чавса
32,Hand::N,esku,алӑ сыппи
33,Handfläche::N,ahur,ал лаппи
34,Finger::N,hatz,пӳрне
35,Fingernagel::N,azazkal,чӗрне
36,Nagel[Anatomie]::N,azazkal,чӗрне
37,Zeh::N,behatz,пӳрне
38,Fuß::N,oin,ура лаппи
39,Ferse::N,orpo,кӗле
40,Ferse::N,oinburu,кӗле
41,Knie::N,belaun,чӗркуҫҫи
42,Oberschenkel::N,izter,пӗҫӗ
43,Bein::N,zango,ура
44,Körper::N,soin,ӳт
45,Körper::N,soin,ӳт-пӳ
46,Haut::N,azal,тир
47,Blut::N,odol,юн
48,Ader::N,zain,вена
49,Sehne::N,gihar-zain,шӑнӑр
50,Knochen::N,hezur,шӑмӑ
51,Gehirn::N,garun,миме
52,Gehirn::N,burmuin,миме
53,Herz::N,bihotz,чӗре
54,Magen::N,urdail,хырӑмлӑх
55,Leber::N,gibel,пӗвер
56,Atem::N,hats,сывлав
57,Atem::N,arnasa,сывлав
58,Hunger::N,gose,выҫлӑх
59,Träne::N,malko,куҫҫуль
60,Geschmack::N,dasta,техӗм
61,Geruch::N,usain,шӑршӑ
62,Schlaf::N,lo,ыйхӑ
