,Concept_ID,xal,ps
0,Auge::N,нүдн,سترګه
1,Ohr::N,чикн,غوږ
2,Nase::N,хамр,پوزه
3,Mund::N,амн,خوله
4,Zahn::N,шүдн,غاښ
5,Zunge::N,келн,جبه
6,Lippe::N,урл,شونډه
7,Wange::N,халх,باړخو
8,Gesicht::N,нүр,مخ
9,Stirn::N,маңна,تندی
10,Stirn::N,маңна,وچولی
11,Haar::N,үсн,وېښته
12,Schnurrbart::N,сахл,برېت
13,Bart::N,сахл,ږیره
14,Bart::N,өргнә сахл,ږیره
15,Kinn::N,өргн,زنه
16,Kiefer[Anatomie]::N,өргн,جامه
17,Kehle::N,хол,غاړه
18,Hals::N,күзүн,غاړه
19,Genick::N,гиҗг,ورمېږ
20,Kopf::N,толһа,سر
21,Rücken::N,нурһн,شا
22,Bauch::N,гесн,نس
23,Bauch::N,гесн,ګېډه
24,Nabel::N,киисн,نوم
25,Busen::N,көкн,تی
26,Brust::N,чееҗ,سینه
27,Schulter::N,ээм,اوږه
28,Arm::N,һар,لاس
29,Ellenbogen::N,тоха,څنګل
30,Hand::N,баһлцг,لاس
31,Handfläche::N,альхн,ورغوی
32,Finger::N,хурһн,ګوته
33,Finger::N,һарин хурһн,ګوته
34,Fingernagel::N,хумсн,نوک
35,Nagel[Anatomie]::N,хумсн,نوک
36,Zeh::N,хурһн,ګوته
37,Zeh::N,көлин хурһн,ګوته
38,Fuß::N,тавг,پښه
39,Ferse::N,өскә,پونده
40,Knie::N,өвдг,زنګون
41,Oberschenkel::N,һуй,پتون
42,Bein::N,көл,پښه
43,Körper::N,махмуд,ځان
44,Haut::N,арсн,پوټکی
45,Blut::N,цусн,وینه
46,Ader::N,судцн,رګ
47,Sehne::N,шүрүсн,پله
48,Knochen::N,ясн,هډوکی
49,Gehirn::N,экн,ماغزه
50,Herz::N,зүркн,زړه
51,Magen::N,гесн,معده
52,Leber::N,элкн,ينه
53,Leber::N,элкн,ځیګر
54,Atem::N,әмсхл,نفس
55,Hunger::N,харһнлһн,ولږه
56,Träne::N,нульмсн,اوښکه
57,Geschmack::N,амтн,مزه
58,Geschmack::N,амтн,خوند
59,Geruch::N,үнр,بوی
60,Schlaf::N,нөр,خوب
61,Traum::N,зүүдн,خوب
62,Himmel::N,теңгр,اسمان
63,Sonne::N,нарн,لمر
64,Mond::N,сар,سپوږمۍ
65,Stern::N,одн,ستوری
66,Luft::N,аһар,هوا
67,Wind::N,салькн,ورښ
68,Welle::N,дольган,موج
69,Wasser::N,усн,اوبه
70,Stein::N,чолун,ډبره
71,Boden::N,Һазр,مځکه
72,Erde::N,Һазр,خاوره
73,Staub::N,тоосн,ګرد
74,Staub::N,тоосн,خاوره
75,Rauch::N,утан,دود
76,Rauch::N,утан,لوګی
77,Funke::N,очн,سپرغۍ
78,Feuer::N,һал,اور
79,Licht::N,герл,رڼا
