,Concept_ID,be,mrj
0,Auge::N,вока,сӹнзӓ
1,Ohr::N,вуха,пӹлӹш
2,Nase::N,нос,нер
3,Mund::N,рот,ышма
4,Zahn::N,зуб,пӱ
5,Zunge::N,язык,йӹлмӹ
6,Lippe::N,губа,тӹрвӹ
7,Wange::N,шчака,шӹргӹ
8,Gesicht::N,твар,лицӓ
9,Stirn::N,лоб,лепкӓ
10,Haar::N,волас,ӱп
11,Haar::N,валасы,ӱп
12,Schnurrbart::N,вус,öрш
13,Schnurrbart::N,вусы,öрш
14,Bart::N,барада,пандаш
15,Kinn::N,падбародак,онгылаш
16,Kiefer[Anatomie]::N,сківіца,пӱ арата
17,Kehle::N,горла,логер
18,Hals::N,шыя,шӱ
19,Genick::N,патыліца,ланга
20,Kopf::N,галава,вуй
21,Rücken::N,спіна,туп
22,Bauch::N,жывот,мӹшкӹр
23,Nabel::N,пупок,кӹлӹмдӹ
24,Busen::N,грудзі,цӹзӹ
25,Brust::N,грудзі,мел
26,Schulter::N,плячо,ӹнгӹжӓ
27,Arm::N,рука,кид
28,Ellenbogen::N,локаць,кӹнервуй
29,Hand::N,кісць,лапа
30,Handfläche::N,далонь,кид лапа
31,Finger::N,палец,парня
32,Fingernagel::N,ногаць,кӹч
33,Nagel[Anatomie]::N,ногаць,кӹч
34,Zeh::N,палец,парня
35,Fuß::N,нага,ял лапа
36,Ferse::N,пята,ялгавал
37,Ferse::N,пята,ял кавал
38,Ferse::N,пятка,ялгавал
39,Ferse::N,пятка,ял кавал
40,Knie::N,калена,пылвуй
41,Oberschenkel::N,бядро,ӓрдӹ
42,Oberschenkel::N,сцягно,ӓрдӹ
43,Bein::N,нага,ял
44,Körper::N,цела,монгыр
45,Haut::N,скура,кавашты
46,Blut::N,кроў,вӹр
47,Ader::N,вена,вӹршӓр
48,Ader::N,сасуд,вӹршӓр
49,Sehne::N,жыла,кукшышӱн
50,Sehne::N,цеціва,кукшышӱн
51,Sehne::N,сухажылле,кукшышӱн
52,Knochen::N,косць,лу
53,Gehirn::N,мозг,вим
54,Herz::N,сэрца,шӱм
55,Magen::N,страўнік,шӱм
56,Leber::N,печань,мокш
57,Atem::N,дыханне,шӱлӹш
58,Hunger::N,голад,шужымаш
59,Träne::N,сляза,сӹнзӓвӹд
60,Geschmack::N,смак,тот
61,Geruch::N,пах,пыш
62,Schlaf::N,сон,ом
63,Traum::N,сон,ом
64,Himmel::N,неба,пӹлгом
65,Sonne::N,сонца,кечӹ
66,Mond::N,месяц,тӹлзӹ
67,Stern::N,зорка,шӹдӹр
68,Luft::N,паветра,юж
69,Luft::N,паветра,воздух
70,Wind::N,вецер,мардеж
71,Welle::N,хваля,ко
72,Welle::N,хваля,коэ
73,Wasser::N,вада,вӹд
74,Stein::N,камень,кӱ
75,Boden::N,глеба,рок
76,Erde::N,зямля,свет
77,Staub::N,пыл,пырак
78,Rauch::N,дым,шӹкш
79,Funke::N,іскра,ип
80,Funke::N,іскра,тылип
81,Feuer::N,агонь,тыл
82,Licht::N,святло,соты
83,Licht::N,святло,валгыды
84,Schatten::N,цень,ӹмӹл
85,Wetter::N,пагода,игечӹ
86,Wetter::N,надворʼе,игечӹ
87,Nebel::N,туман,тӹтӹрӓ
88,Wolke::N,воблака,пӹл
89,Regen::N,дождж,юр
90,Schnee::N,снег,лым
91,Eis::N,лёд,и
92,Frost::N,мароз,ӱштӹ
93,Kälte::N,холад,ӱштӹ
94,Hitze::N,спёка,шокшы
95,Raureif::N,іней,пöрш
96,Regenbogen::N,вясёлка,шанавӹл
97,Donner::N,гром,хӹдӹртӹш
98,Strömung::N,цячэнне,йогы
99,Tropfen::N,кропля,капльы
100,Tropfen::N,кропля,капльык
101,Schaum::N,пена,шонг
102,Schmutz::N,гразь,лявӹрӓ
103,See::N,возера,йӓр
104,Sumpf::N,багна,лӱкӹ
105,Moor::N,балота,куп
106,Wiese::N,луг,алык
107,Wald::N,лес,шӹргӹ
108,Hügel::N,узгорак,пӱгӹрикӓ
109,Anhöhe::N,узвышша,кӱкшикӓ
110,Berg::N,гара,кырык
111,Gipfel::N,вяршыня,неркӓ
112,Höhle::N,пячора,ы́раж
113,Abhang::N,схіл,полом
114,Quelle::N,крыніца,вӹдсӹнзӓ
115,Bach::N,ручай,ӓнгӹр
116,Fluss::N,рака,вӹд
117,Ufer::N,бераг,сир
118,Küste::N,узбярэжжа,сир
119,Festland::N,суша,мӱлӓндӹ
120,Meer::N,мора,тангыж
121,Bucht::N,бухта,вӹдъял
122,Insel::N,востраў,острок
123,Blume::N,кветка,пеледӹш
124,Gras::N,трава,шуды
125,Wurzel::N,корань,важ
126,Baum::N,дрэва,пушӓнгӹ
127,Stamm::N,ствол,пушӓнгӹ тӹнг
128,Rinde::N,кара,каргыж
129,Ast::N,сук,укш
130,Zweig::N,галіна,укш
131,Blatt::N,ліст,листӹ
132,Birke::N,бяроза,куги
133,Kiefer[Baum]::N,хвоя,йӓктӹ
134,Kiefer[Baum]::N,сасна,йӓктӹ
135,Weide[Baum]::N,вярба,уа
136,Tanne::N,яліна,кож
137,Horn::N,рог,шур
138,Feder::N,пяро,пын
139,Fell::N,шкура,кавашты
140,Flügel::N,крыло,шылдыр
141,Klaue::N,кіпцюр,кӹч
142,Kralle::N,лапа,лапа
143,Schwanz::N,хвост,пач
144,Ei::N,яйка,мыны
145,Nest::N,гняздо,пӹжӓш
146,Bau::N,нара,ыраж
147,Tier::N,жывёла,во́льык
148,Herde::N,статак,кӹтö
149,Kuh::N,карова,ышкал
150,Bulle::N,бык,ӱшкӱж
151,Pferd::N,конь,имни
152,Schaf::N,авечка,шарык
153,Schwein::N,свіння,сасна
154,Hund::N,сабака,пи
155,Katze::N,кошка,коти
156,Bär::N,мядзведзь,мöскӓ
157,Eichhörnchen::N,вавёрка,ур
158,Elch::N,лось,шарды
159,Fuchs::N,ліса,рӹвӹж
160,Hase::N,заяц,морен
161,Maus::N,мыш,каля
162,Wolf::N,воўк,пирӹ
163,Vogel::N,птах,кек
164,Vogel::N,птушка,кек
165,Schwarm::N,чарада,цуца
166,Huhn::N,курыца,цӹвӹ
167,Hahn::N,певень,ӓптӓн
168,Gans::N,гусь,комбы
169,Adler::N,арол,кучкыж
170,Ente::N,качка,лыды
171,Eule::N,сава,тымана
172,Kranich::N,жораў,тырня
173,Kranich::N,жораў,тыртня
174,Kranich::N,журавель,тырня
175,Kranich::N,журавель,тыртня
176,Krähe::N,варона,лудыгарак
177,Kuckuck::N,зязюля,куку
178,Schwan::N,лебедзь,йӱксӹ
179,Fisch::N,рыба,кол
180,Barsch::N,акунь,алангы
181,Hecht::N,шчупак,нуж
