,Concept_ID,zh,fr
0,Auge::N,眼睛,œil
1,Ohr::N,耳朵,oreille
2,Nase::N,鼻子,nez
3,Mund::N,嘴,bouche
4,Zahn::N,牙齿,dent
5,Zunge::N,舌头,langue
6,Lippe::N,嘴唇,lèvre
7,Wange::N,面颊,joue
8,Gesicht::N,脸,face
9,Gesicht::N,脸,visage
10,Stirn::N,额,front
11,Haar::N,头发,cheveu
12,Schnurrbart::N,髭须,moustache
13,Bart::N,胡子,barbe
14,Kinn::N,下巴,menton
15,Kiefer[Anatomie]::N,颌,mâchoire
16,Kehle::N,嗓子,gorge
17,Hals::N,颈,cou
18,Genick::N,后颈,nuque
19,Kopf::N,头,tête
20,Rücken::N,背,dos
21,Bauch::N,肚子,ventre
22,Nabel::N,肚脐,nombril
23,Busen::N,胸脯,sein
24,Brust::N,胸,poitrine
25,Schulter::N,肩膀,épaule
26,Arm::N,臂膀,bras
27,Ellenbogen::N,肘,coude
28,Hand::N,手,main
29,Handfläche::N,手掌,paume
30,Finger::N,手指,doigt
31,Fingernagel::N,指甲,ongle
32,Nagel[Anatomie]::N,指甲,ongle
33,Zeh::N,脚趾,orteil
34,Zeh::N,脚趾,doigt de pied
35,Fuß::N,脚,pied
36,Ferse::N,后跟,talon
37,Knie::N,膝,genou
38,Oberschenkel::N,大腿,cuisse
39,Bein::N,腿,jambe
40,Körper::N,身体,corps
41,Haut::N,皮肤,peau
42,Blut::N,血,sang
43,Ader::N,血管,veine
44,Sehne::N,腱,tendon
45,Knochen::N,骨,os
46,Gehirn::N,脑,cerveau
47,Herz::N,心,cœur
48,Magen::N,胃,estomac
49,Leber::N,肝,foie
50,Atem::N,呼吸,haleine
51,Hunger::N,饿,faim
52,Träne::N,眼泪,larme
53,Geschmack::N,味道,goût
54,Geschmack::N,味道,saveur
55,Geruch::N,气味,odeur
56,Schlaf::N,睡眠,sommeil
57,Traum::N,梦,songe
58,Himmel::N,天空,ciel
59,Sonne::N,太阳,soleil
60,Mond::N,月亮,lune
61,Stern::N,星,étoile
62,Luft::N,空气,air
63,Wind::N,风,vent
64,Welle::N,波,vague
65,Wasser::N,水,eau
66,Stein::N,石头,pierre
67,Boden::N,地面,sol
68,Boden::N,地面,terrain
69,Erde::N,地,terre
70,Staub::N,灰尘,poussière
71,Rauch::N,烟,fumée
72,Funke::N,火花,étincelle
73,Feuer::N,火,feu
74,Licht::N,光,lumière
75,Schatten::N,影子,ombre
76,Wetter::N,天气,temps
77,Nebel::N,雾,brume
78,Nebel::N,雾,brouillard
79,Wolke::N,云,nuage
80,Regen::N,雨,pluie
81,Schnee::N,雪,neige
82,Eis::N,冰,glace
83,Frost::N,霜冻,gel
84,Frost::N,霜冻,gelée
85,Kälte::N,寒冷,froid
86,Hitze::N,炎热,chaleur
87,Raureif::N,霜,givre
88,Regenbogen::N,虹,arc-en-ciel
89,Donner::N,雷,tonnerre
90,Strömung::N,水流,courant
91,Tropfen::N,滴,goutte
92,Schaum::N,泡沫,écume
93,Schaum::N,泡沫,mousse
94,Schmutz::N,赃物,boue
95,Schmutz::N,赃物,saleté
96,See::N,湖,lac
97,Sumpf::N,沼泽,marais
98,Sumpf::N,沼泽,marécage
99,Moor::N,沼泽,tourbière
100,Wiese::N,草地,pré
101,Wald::N,森林,bois
102,Wald::N,森林,forêt
103,Hügel::N,丘陵,coteau
104,Hügel::N,丘陵,colline
105,Anhöhe::N,山丘,éminence
106,Anhöhe::N,山丘,élévation
107,Berg::N,山,mont
108,Berg::N,山,montagne
109,Gipfel::N,峰,cime
110,Gipfel::N,峰,sommet
111,Höhle::N,洞穴,caverne
112,Abhang::N,斜坡,pente
113,Abhang::N,斜坡,versant
114,Quelle::N,泉,source
115,Quelle::N,泉,fontaine
116,Bach::N,溪,ruisseau
117,Fluss::N,河流,fleuve
118,Fluss::N,河流,rivière
119,Ufer::N,岸,bord
120,Ufer::N,岸,rivage
121,Küste::N,海岸,côte
122,Festland::N,大陆,terre ferme
123,Meer::N,海,mer
124,Bucht::N,海湾,baie
125,Insel::N,岛,île
126,Blume::N,花,fleur
127,Gras::N,草,herbe
128,Wurzel::N,根,racine
129,Baum::N,树,arbre
130,Stamm::N,树干,tronc
131,Rinde::N,树皮,écorce
132,Ast::N,树枝,branche
133,Zweig::N,树枝,rameau
134,Blatt::N,叶子,feuille
135,Birke::N,桦木,bouleau
136,Kiefer[Baum]::N,松树,pin
137,Weide[Baum]::N,柳树,saule
138,Tanne::N,冷杉,sapin
139,Horn::N,角,corne
140,Feder::N,羽毛,plume
141,Fell::N,皮毛,peau
142,Flügel::N,翅膀,aile
143,Klaue::N,爪子,serre
144,Kralle::N,爪子,ongle
145,Kralle::N,爪子,griffe
146,Schwanz::N,尾巴,queue
147,Ei::N,蛋,œuf
148,Nest::N,巢,nid
149,Bau::N,穴,terrier
150,Tier::N,动物,animal
151,Herde::N,群,troupeau
152,Kuh::N,母牛,vache
153,Bulle::N,公牛,taureau
154,Pferd::N,马,cheval
155,Schaf::N,羊,mouton
156,Schwein::N,猪,porc
157,Schwein::N,猪,cochon
158,Hund::N,狗,chien
159,Katze::N,猫,chat
160,Bär::N,熊,ours
161,Eichhörnchen::N,松鼠,écureuil
162,Elch::N,麋鹿,élan
163,Fuchs::N,狐狸,renard
164,Hase::N,兔子,lièvre
165,Maus::N,老鼠,souris
166,Wolf::N,狼,loup
167,Vogel::N,鸟,oiseau
168,Schwarm::N,群,nuée
169,Schwarm::N,群,volée
170,Huhn::N,鸡,poule
171,Hahn::N,公鸡,coq
172,Gans::N,鹅,oie
173,Adler::N,鹰,aigle
174,Ente::N,鸭,canard
175,Eule::N,猫头鹰,hibou
176,Kranich::N,鹤,grue
177,Krähe::N,乌鸦,corneille
178,Kuckuck::N,布谷鸟,coucou
179,Schwan::N,天鹅,cygne
180,Fisch::N,鱼,poisson
181,Barsch::N,鲈鱼,perche
182,Hecht::N,狗鱼,brochet
183,Schlange[Tier]::N,蛇,serpent
184,Wurm::N,蠕虫,ver
185,Spinne::N,蜘蛛,araignée
186,Ameise::N,蚂蚁,fourmi
187,Laus::N,虱子,pou
188,Mücke::N,蚊子,moucheron
189,Fliege::N,苍蝇,mouche
190,Schmetterling::N,蝴蝶,papillon
191,Beere::N,将果,baie
192,Apfel::N,苹果,pomme
193,Pilz::N,蘑菇,champignon
194,Zwiebel::N,洋葱,oignon
195,Saat::N,种子,semence
196,Korn::N,谷粒,grain
197,Heu::N,干草,foin
198,Schale::N,壳,pelure
199,Grube::N,坑,fosse
200,Falle::N,圈套,piège
201,Schlinge::N,活扣,lacs
202,Spur::N,踪迹,trace
203,Asche::N,灰烬,cendre
204,Dreck::N,污垢,crotte
205,Eisen::N,铁,fer
206,Gold::N,金子,or
207,Silber::N,银,argent
208,Kohle::N,煤,charbon
209,Glas::N,玻璃,verre
210,Lehm::N,粘土,glaise
211,Sand::N,沙,sable
212,Mensch::N,人,homme
213,Mann::N,男子,homme
214,Frau::N,妇女,femme
215,Kind::N,小孩,enfant
216,Junge::N,男孩,garçon
217,Mädchen::N,女孩,fille
218,Mädchen::N,女孩,jeune fille
219,Familie::N,家庭,famille
220,Großvater::N,祖父,grand-père
221,Großmutter::N,祖母,grand-mère
222,Eltern::N,父母,parents
223,Vater::N,父亲,père
224,Mutter::N,母亲,mère
225,Sohn::N,儿子,fils
226,Tochter::N,女儿,fille
227,Bruder::N,兄弟,frère
228,Schwester::N,姐妹,sœur
229,Onkel::N,伯父,oncle
230,Tante::N,阿姨,tante
231,Ehemann::N,丈夫,mari
232,Ehemann::N,丈夫,époux
233,Ehefrau::N,妻子,femme
234,Ehefrau::N,妻子,épouse
235,Freude::N,愉快,joie
236,Freude::N,愉快,plaisir
237,Gelächter::N,大笑,rires
238,Glück::N,运气,bonheur
239,Kummer::N,苦恼,peine
240,Kummer::N,苦恼,chagrin
241,Wunsch::N,愿望,désir
242,Lust::N,乐趣,envie
243,Geist::N,精神,esprit
244,Gedanke::N,思想,idée
245,Gedanke::N,思想,pensée
246,Gedächtnis::N,记性,mémoire
247,Verstand::N,理智,raison
248,Sinn::N,感觉,sens
249,Grund::N,理由,cause
250,Grund::N,理由,raison
251,Wahrheit::N,真理,vérité
252,Gespräch::N,谈话,conversation
253,Märchen::N,童话,conte
254,Märchen::N,童话,conte de fées
255,Erzählung::N,故事,conte
256,Erzählung::N,故事,narration
257,Nachricht::N,消息,message
258,Neuigkeit::N,新闻,nouvelle
259,Name::N,名字,nom
260,Rätsel::N,谜语,énigme
261,Rätsel::N,谜语,devinette
262,Rede::N,讲话,parole
263,Rede::N,讲话,discours
264,Sprache::N,语言,langue
265,Sprache::N,语言,langage
266,Stimme::N,声音,voix
267,Wort::N,词,mot
268,Zeichen::N,标记,signe
269,Ruf::N,呼喊,cri
270,Ruf::N,呼喊,appel
271,Lärm::N,噪音,bruit
272,Laut::N,响声,son
273,Ton::N,声音,ton
274,Lied::N,歌曲,chant
275,Lied::N,歌曲,chanson
276,Ruhe::N,安静,calme
277,Ruhe::N,安静,tranquillité
278,Leute::N,人们,gens
279,Volk::N,人民,peuple
280,Arbeit::N,劳动,travail
281,Gast::N,客人,hôte
282,Gast::N,客人,invité
283,Geschenk::N,礼物,cadeau
284,Geschenk::N,礼物,présent
285,Spiel::N,游戏,jeu
286,Gesellschaft::N,陪同,compagnie
287,Hilfe::N,帮助,aide
288,Hilfe::N,帮助,secours
289,Freund::N,朋友,ami
290,Kamerad::N,同志,copain
291,Kamerad::N,同志,camarade
292,Angelegenheit::N,事情,affaire
293,Anzahl::N,数目,nombre
294,Art::N,种类,sorte
295,Art::N,种类,espèce
296,Stück::N,块,morceau
297,Teil::N,部分,part
298,Teil::N,部分,partie
299,Hälfte::N,一半,moitié
300,Kreis::N,圆,cercle
301,Kreuz::N,十字架,croix
302,Linie::N,线条,ligne
303,Strich::N,划,trait
304,Abstand::N,距离,écart
305,Entfernung::N,距离,distance
306,Gegend::N,地区,région
307,Gegend::N,地区,contrée
308,Platz::N,场所,place
309,Ort::N,地点,lieu
310,Ort::N,地点,endroit
311,Seite::N,面,côté
312,Mitte::N,中间,milieu
313,Gegenstand::N,物品,objet
314,Sache::N,物,chose
315,Rand::N,边,bord
316,Kante::N,棱,arête
317,Ecke::N,角,coin
318,Ecke::N,角,tournant
319,Spitze::N,尖,cime
320,Spitze::N,尖,pointe
321,Ende::N,结尾,bout
322,Loch::N,洞,trou
323,Winkel::N,角度,coin
324,Winkel::N,角度,réduit
325,Muster::N,模型,dessin
326,Größe::N,大小,grandeur
327,Länge::N,长度,longueur
328,Höhe::N,高度,hauteur
329,Höhe::N,高度,altitude
330,Gewicht::N,重量,poids
331,Menge::N,数量,quantité
332,Haufen::N,堆,tas
333,Reihe::N,行,file
334,Reihe::N,行,rangée
335,Boot::N,小船,canot
336,Boot::N,小船,bateau
337,Ruder::N,奖,rame
338,Ruder::N,奖,aviron
339,Schlitten::N,雪橇,traîneau
340,Ski::N,雪板,ski
341,Lagerfeuer::N,营火,feu de camp
342,Last::N,负担,charge
343,Last::N,负担,fardeau
344,Gang::N,行走,tour
345,Gang::N,行走,marche
346,Schritt::N,步伐,pas
347,Norden::N,北,nord
348,Süden::N,南,sud
349,Westen::N,西,ouest
350,Westen::N,西,occident
351,Osten::N,东,est
352,Osten::N,东,orient
353,Holz::N,木材,bois
354,Brett::N,木板,planche
355,Platte::N,平板,plaque
356,Stütze::N,支架,appui
357,Stütze::N,支架,soutien
358,Stange::N,杆,barre
359,Stange::N,杆,perche
360,Stock::N,棒,canne
361,Stab::N,棍,bâton
362,Rohr::N,管子,tube
363,Rohr::N,管子,tuyau
364,Haus::N,房屋,maison
365,Heim::N,家,maison
366,Ofen::N,炉子,poêle
367,Fußboden::N,地板,plancher
368,Tisch::N,桌子,table
369,Stuhl::N,椅子,chaise
370,Wiege::N,摇蓝,berceau
371,Bett::N,床,lit
372,Regal::N,架子,étagère
373,Kiste::N,箱子,caisse
374,Fenster::N,窗户,fenêtre
375,Tür::N,门,porte
376,Tor::N,大门,porte
377,Tor::N,大门,portail
378,Zaun::N,篱笆,clôture
379,Dach::N,屋顶,toit
380,Leiter::N,梯子,échelle
381,Besen::N,扫帚,balai
382,Spaten::N,铁锹,bêche
383,Schaufel::N,铁锹,pelle
384,Gabel::N,叉,fourchette
385,Löffel::N,食匙,cuiller
386,Messer::N,刀,couteau
387,Nagel::N,钉子,clou
388,Netz::N,网,filet
389,Haken::N,钩子,croc
390,Haken::N,钩子,crochet
391,Griff::N,把柄,prise
392,Griff::N,把柄,manche
393,Schloss::N,锁,serrure
394,Bild::N,图画,image
395,Bild::N,图画,tableau
396,Figur::N,人像,figure
397,Puppe::N,娃娃,poupée
398,Beutel::N,袋子,sac
399,Beutel::N,袋子,petit sac
400,Bündel::N,捆,paquet
401,Bündel::N,捆,faisceau
402,Tasche::N,手提包,sac
403,Eimer::N,桶,seau
404,Deckel::N,盖子,couvercle
405,Geschirr::N,餐具,vaisselle
406,Sack::N,袋子,sac
407,Tasse::N,杯子,tasse
408,Topf::N,锅,pot
409,Topf::N,锅,marmite
410,Kessel::N,水壶,chaudron
411,Essen::N,进餐,repas
412,Essen::N,进餐,manger
413,Nahrung::N,食物,nourriture
414,Speise::N,菜肴,plat
415,Fleisch::N,肉,viande
416,Getreide::N,谷物,blé
417,Getreide::N,谷物,céréales
418,Brei::N,粥,purée
419,Brei::N,粥,bouillie
420,Brot::N,面包,pain
421,Scheibe::N,片,tranche
422,Fett::N,脂肪,graisse
423,Butter::N,黄油,beurre
424,Öl::N,油,huile
425,Salz::N,盐,sel
426,Suppe::N,汤,soupe
427,Suppe::N,汤,potage
428,Honig::N,蜂蜜,miel
429,Milch::N,奶,lait
430,Tee::N,茶,thé
431,Leder::N,皮革,cuir
432,Wolle::N,毛线,laine
433,Stoff::N,织物,tissu
434,Stoff::N,织物,étoffe
435,Nadel::N,针,aiguille
436,Faden::N,线,fil
437,Knopf::N,纽扣,bouton
438,Knoten::N,结,nœud
439,Farbe::N,颜色,peinture
440,Kleidung::N,衣服,vêtements
441,Kleidung::N,衣服,habillement
442,Hemd::N,衬衫,chemise
443,Kragen::N,领子,col
444,Ärmel::N,袖子,manche
445,Hose::N,裤子,pantalon
446,Gürtel::N,腰带,ceinture
447,Mütze::N,帽子,bonnet
448,Mütze::N,帽子,casquette
449,Schuh::N,鞋,soulier
450,Schuh::N,鞋,chaussure
451,Stiefel::N,靴子,botte
452,Ring::N,戒指,bague
453,Band::N,带子,ruban
454,Kamm::N,梳子,peigne
455,Spiegel::N,镜子,glace
456,Spiegel::N,镜子,miroir
457,Riemen::N,皮带,lanière
458,Riemen::N,皮带,courroie
459,Schnur::N,绳子,corde
460,Schnur::N,绳子,ficelle
461,Leine::N,皮带,laisse
462,Decke::N,被子,couverture
463,Kissen::N,软垫,oreiller
464,Tuch::N,巾,drap
465,Tuch::N,巾,fichu
466,Handtuch::N,手巾,serviette
467,Handtuch::N,手巾,essuie-mains
468,Kraft::N,力,force
469,Stärke::N,力量,vigueur
470,Gesundheit::N,健康,santé
471,Krankheit::N,病,maladie
472,Schmerz::N,痛,douleur
473,Wunde::N,伤口,plaie
474,Wunde::N,伤口,blessure
475,Fieber::N,发烧,fièvre
476,Arznei::N,药,remède
477,Arznei::N,药,médecine
478,Brücke::N,桥,pont
479,Brunnen::N,井,puits
480,Weide::N,牧场,pâturage
481,Pfad::N,小路,sentier
482,Weg::N,路,voie
483,Weg::N,路,chemin
484,Straße::N,街,route
485,Dorf::N,村庄,village
486,Stadt::N,城市,cité
487,Stadt::N,城市,ville
488,Brief::N,信,lettre
489,Buch::N,书,livre
490,Buchstabe::N,字母,lettre
491,Buchstabe::N,字母,caractère
492,Zeitung::N,报纸,journal
493,Leben::N,生命,vie
494,Tod::N,死亡,mort
495,Grab::N,坟墓,tombe
496,Kirche::N,教堂,église
497,Sünde::N,罪,péché
498,Gott::N,上帝,dieu
499,Arbeiter::N,工人,ouvrier
500,Arbeiter::N,工人,travailleur
501,Chef::N,上司,chef
502,Chef::N,上司,patron
503,Meister::N,师傅,maître
