,Concept_ID,be,mhr
0,Auge::N,вока,шинча́
1,Ohr::N,вуха,пы́лыш
2,Nase::N,нос,нер
3,Mund::N,рот,умша́
4,Zahn::N,зуб,пӱй
5,Zunge::N,язык,йы́лме
6,Lippe::N,губа,тӱ́рвӧ
7,Wange::N,шчака,шӱ́ргӧ
8,Gesicht::N,твар,чури́й
9,Stirn::N,лоб,саҥга́
10,Haar::N,волас,ӱп
11,Haar::N,валасы,ӱп
12,Schnurrbart::N,вус,ӧ́рыш
13,Schnurrbart::N,вусы,ӧ́рыш
14,Bart::N,барада,понда́ш
15,Kinn::N,падбародак,оҥыла́ш
16,Kiefer[Anatomie]::N,сківіца,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,сківіца,пӱйората́
18,Kehle::N,горла,лога́р
19,Hals::N,шыя,шӱй
20,Genick::N,патыліца,шӱйло́дыш
21,Kopf::N,галава,вуй
22,Rücken::N,спіна,туп
23,Bauch::N,жывот,мӱ́шкыр
24,Nabel::N,пупок,кы́лымде
25,Busen::N,грудзі,чы́зе
26,Brust::N,грудзі,оҥ
27,Schulter::N,плячо,ва́че
28,Arm::N,рука,кид
29,Ellenbogen::N,локаць,кынерву́й
30,Hand::N,кісць,кид
31,Hand::N,кісць,копа́
32,Handfläche::N,далонь,со́во
33,Finger::N,палец,парня́
34,Fingernagel::N,ногаць,кидкӱ́ч
35,Fingernagel::N,ногаць,парнягӱ́ч
36,Nagel[Anatomie]::N,ногаць,кӱч
37,Zeh::N,палец,йолварня́
38,Fuß::N,нага,йол
39,Fuß::N,нага,йолкопа́
40,Ferse::N,пята,тага́н
41,Ferse::N,пятка,тага́н
42,Knie::N,калена,пулву́й
43,Oberschenkel::N,бядро,э́рде
44,Oberschenkel::N,сцягно,э́рде
45,Bein::N,нага,йол
46,Körper::N,цела,кап
47,Haut::N,скура,кова́ште
48,Blut::N,кроў,вӱр
49,Ader::N,вена,шӧн
50,Ader::N,сасуд,шӧн
51,Sehne::N,жыла,шӧн
52,Sehne::N,жыла,кӱсе́н
53,Sehne::N,цеціва,шӧн
54,Sehne::N,цеціва,кӱсе́н
55,Sehne::N,сухажылле,шӧн
56,Sehne::N,сухажылле,кӱсе́н
57,Knochen::N,косць,лу
58,Gehirn::N,мозг,вем
59,Gehirn::N,мозг,вуйве́м
60,Herz::N,сэрца,шӱм
61,Magen::N,страўнік,пага́р
62,Leber::N,печань,мокш
63,Atem::N,дыханне,шӱ́лыш
64,Hunger::N,голад,шужыма́ш
65,Träne::N,сляза,шинчавӱ́д
66,Geschmack::N,смак,там
67,Geruch::N,пах,пуш
68,Schlaf::N,сон,о́мо
69,Traum::N,сон,йӱдо́мо
70,Himmel::N,неба,кава́
71,Sonne::N,сонца,ке́че
72,Mond::N,месяц,ты́лзе
73,Stern::N,зорка,шӱ́дыр
74,Luft::N,паветра,юж
75,Wind::N,вецер,марде́ж
76,Welle::N,хваля,то́лкын
77,Wasser::N,вада,вӱд
78,Stein::N,камень,кӱ
79,Boden::N,глеба,рок
80,Erde::N,зямля,мла́нде
81,Staub::N,пыл,пура́к
82,Rauch::N,дым,шикш
83,Funke::N,іскра,сеске́м
84,Funke::N,іскра,тулйы́п
85,Feuer::N,агонь,тул
86,Licht::N,святло,со́то
87,Schatten::N,цень,ӱ́мыл
88,Wetter::N,пагода,иге́че
89,Wetter::N,надворʼе,иге́че
90,Nebel::N,туман,тӱтыра́
91,Wolke::N,воблака,пыл
92,Regen::N,дождж,йӱр
93,Schnee::N,снег,лум
94,Eis::N,лёд,ий
95,Frost::N,мароз,чатлама́
96,Kälte::N,холад,йӱ́штӧ
97,Hitze::N,спёка,шо́кшо
98,Raureif::N,іней,пӧрш
99,Raureif::N,іней,по́кшым
100,Regenbogen::N,вясёлка,шонанпы́л
101,Donner::N,гром,кӱ́дырчӧ
102,Strömung::N,цячэнне,йо́гын
103,Tropfen::N,кропля,чӱча́лтыш
104,Schaum::N,пена,шоҥ
105,Schmutz::N,гразь,лавыра́
106,See::N,возера,ер
107,Sumpf::N,багна,лӱ́кӧ
108,Moor::N,балота,куп
109,Wiese::N,луг,о́лык
110,Wald::N,лес,чодыра́
111,Hügel::N,узгорак,арка́
112,Anhöhe::N,узвышша,тӧва́
113,Anhöhe::N,узвышша,кӱкшака́
114,Berg::N,гара,ку́рык
115,Gipfel::N,вяршыня,чаҥга́
116,Gipfel::N,вяршыня,курыкву́й
117,Höhle::N,пячора,пеще́р
118,Höhle::N,пячора,курыкпо́мыш
119,Abhang::N,схіл,та́йыл
120,Quelle::N,крыніца,важ
121,Quelle::N,крыніца,вӱдшинча́
122,Bach::N,ручай,изэҥе́р
123,Fluss::N,рака,эҥе́р
124,Ufer::N,бераг,сер
125,Küste::N,узбярэжжа,вӱдтӱ́р
126,Festland::N,суша,мла́нде
127,Meer::N,мора,те́ҥыз
128,Bucht::N,бухта,икса́
129,Insel::N,востраў,отро́
130,Blume::N,кветка,пеле́дыш
131,Gras::N,трава,шу́до
132,Wurzel::N,корань,вож
133,Baum::N,дрэва,пуше́ҥге
134,Stamm::N,ствол,йы́тыр
135,Rinde::N,кара,шӱм
136,Ast::N,сук,укш
137,Zweig::N,галіна,торма́к
138,Blatt::N,ліст,лышта́ш
139,Birke::N,бяроза,куэ́
140,Kiefer[Baum]::N,хвоя,пӱ́нчӧ
141,Kiefer[Baum]::N,сасна,пӱ́нчӧ
142,Weide[Baum]::N,вярба,уа́
143,Tanne::N,яліна,кож
144,Horn::N,рог,шур
145,Feder::N,пяро,пы́стыл
146,Fell::N,шкура,кова́ште
147,Flügel::N,крыло,шу́лдыр
148,Klaue::N,кіпцюр,кӱч
149,Kralle::N,лапа,ла́па
150,Kralle::N,лапа,копа́
151,Schwanz::N,хвост,поч
152,Ei::N,яйка,му́но
153,Nest::N,гняздо,пыжа́ш
154,Bau::N,нара,пыжа́ш
155,Tier::N,жывёла,я́нлык
156,Tier::N,жывёла,живо́тный
157,Herde::N,статак,кӱ́тӱ
158,Herde::N,статак,тӱшка́
159,Kuh::N,карова,ушка́л
160,Bulle::N,бык,ӱ́шкыж
161,Pferd::N,конь,и́мне
162,Schaf::N,авечка,шо́рык
163,Schwein::N,свіння,сӧсна́
164,Hund::N,сабака,пий
165,Katze::N,кошка,пы́рыс
166,Bär::N,мядзведзь,маска́
167,Eichhörnchen::N,вавёрка,ур
168,Elch::N,лось,шо́рдо
169,Fuchs::N,ліса,ры́выж
170,Hase::N,заяц,мера́ҥ
171,Maus::N,мыш,коля́
172,Wolf::N,воўк,пи́ре
173,Vogel::N,птах,ка́йык
174,Vogel::N,птушка,ка́йык
175,Schwarm::N,чарада,каша́к
176,Huhn::N,курыца,чы́ве
177,Hahn::N,певень,агыта́н
178,Gans::N,гусь,ко́мбо
179,Adler::N,арол,карагу́ш
180,Ente::N,качка,лу́до
181,Eule::N,сава,тумна́
182,Kranich::N,жораў,турня́
183,Kranich::N,журавель,турня́
184,Krähe::N,варона,кора́к
