,Concept_ID,tr,lt
0,Auge::N,göz,akis
1,Ohr::N,kulak,ausis
2,Nase::N,burun,nosis
3,Mund::N,ağız,burna
4,Zahn::N,diş,dantis
5,Zunge::N,dil,liežuvis
6,Lippe::N,dudak,lūpa
7,Wange::N,yanak,žandas
8,Wange::N,yanak,skruostas
9,Gesicht::N,yüz,veidas
10,Stirn::N,alın,kakta
11,Haar::N,saç,plaukai
12,Schnurrbart::N,bıyık,ūsai
13,Bart::N,sakal,barzda
14,Kinn::N,çene,smakras
15,Kiefer[Anatomie]::N,çene,žandikaulis
16,Kehle::N,boğaz,gerklė
17,Hals::N,boyun,kaklas
18,Hals::N,gerdan,kaklas
19,Genick::N,ense,sprandas
20,Kopf::N,baş,galva
21,Kopf::N,kafa,galva
22,Rücken::N,arka,nugara
23,Bauch::N,karın,pilvas
24,Nabel::N,göbek,bamba
25,Busen::N,koyun,krūtinė
26,Brust::N,göğüs,krūtis
27,Schulter::N,omuz,petys
28,Arm::N,kol,ranka
29,Ellenbogen::N,dirsek,alkūnė
30,Hand::N,el,ranka
31,Hand::N,el,plaštaka
32,Handfläche::N,avuç,delnas
33,Handfläche::N,avuç,plaštaka
34,Handfläche::N,el ayası,delnas
35,Handfläche::N,el ayası,plaštaka
36,Finger::N,parmak,pirštas
37,Fingernagel::N,el tırnağı,nagas
38,Nagel[Anatomie]::N,tırnak,nagas
39,Zeh::N,ayak parmağı,pirštas
40,Fuß::N,ayak,pėda
41,Ferse::N,topuk,kulnas
42,Knie::N,diz,kelis
43,Oberschenkel::N,uyluk,kulšis
44,Oberschenkel::N,uyluk,šlaunis
45,Bein::N,bacak,koja
46,Körper::N,vücut,kūnas
47,Haut::N,cilt,oda
48,Blut::N,kan,kraujas
49,Ader::N,damar,kraujagyslė
50,Sehne::N,kiriş,sausgyslė
51,Knochen::N,kemik,kaulas
52,Gehirn::N,beyin,smegenys
53,Herz::N,kalp,širdis
54,Herz::N,yürek,širdis
55,Magen::N,mide,skrandis
56,Leber::N,karaciğer,kepenys
57,Atem::N,nefes,kvapas
58,Hunger::N,açlık,badas
59,Hunger::N,açlık,alkis
60,Träne::N,gözyaşı,ašara
61,Geschmack::N,tat,skonis
62,Geschmack::N,lezzet,skonis
63,Geruch::N,koku,kvapas
64,Schlaf::N,uyku,miegas
65,Traum::N,düş,sapnas
66,Traum::N,rüya,sapnas
67,Himmel::N,gök,dangus
68,Sonne::N,güneş,saulė
69,Mond::N,ay,mėnulis
70,Stern::N,yıldız,žvaigždė
71,Luft::N,hava,oras
72,Wind::N,yel,vėjas
73,Wind::N,rüzgâr,vėjas
74,Welle::N,dalga,banga
75,Welle::N,dalga,vilnis
76,Wasser::N,su,vanduo
77,Stein::N,taş,akmuo
78,Boden::N,yer,žemė
79,Boden::N,yer,dugnas
80,Boden::N,zemin,žemė
81,Boden::N,zemin,dugnas
82,Erde::N,toprak,žemė
83,Staub::N,toz,dulkės
84,Rauch::N,duman,dūmai
85,Funke::N,kıvılcım,kibirkštis
86,Feuer::N,ateş,ugnis
87,Licht::N,ışık,šviesa
88,Schatten::N,gölge,paūksmė
89,Wetter::N,hava,oras
90,Nebel::N,pus,migla
91,Nebel::N,pus,rūkas
92,Wolke::N,bulut,debesis
93,Regen::N,yağmur,lietus
94,Schnee::N,kar,sniegas
95,Eis::N,buz,ledas
96,Frost::N,don,šalna
97,Kälte::N,soğukluk,šaltis
98,Hitze::N,sıcaklık,karštis
99,Raureif::N,kırç,šerkšnas
100,Regenbogen::N,gökkuşağı,vaivorykštė
101,Donner::N,gök gürlemesi,perkūnas
102,Donner::N,gök gürlemesi,griaustinis
103,Strömung::N,akıntı,tėkmė
104,Strömung::N,cereyan,tėkmė
105,Tropfen::N,damla,lašas
106,Schaum::N,köpük,putos
107,Schmutz::N,çamur,purvas
108,Schmutz::N,pislik,purvas
109,See::N,göl,ežeras
110,Sumpf::N,batak,klampynė
111,Sumpf::N,batak,liūnas
112,Moor::N,cılgıt,pelkė
113,Wiese::N,çimen,pieva
114,Wald::N,koru,miškas
115,Wald::N,orman,miškas
116,Hügel::N,tepe,kalva
117,Anhöhe::N,tümsek,kauburys
118,Anhöhe::N,yükseklik,kauburys
119,Berg::N,dağ,kalnas
120,Gipfel::N,zirve,viršūnė
121,Höhle::N,in,ola
122,Höhle::N,mağara,ola
123,Abhang::N,bayır,šlaitas
124,Abhang::N,bayır,nuokalnė
125,Quelle::N,pınar,versmė
126,Quelle::N,pınar,šaltinis
127,Quelle::N,kaynak,versmė
128,Quelle::N,kaynak,šaltinis
129,Bach::N,çay,upelis
130,Bach::N,dere,upelis
131,Fluss::N,nehir,upė
132,Ufer::N,kıyı,krantas
133,Ufer::N,sahil,krantas
134,Küste::N,kıyı,pajūris
135,Küste::N,sahil,pajūris
136,Festland::N,kara,sausuma
137,Meer::N,deniz,jūra
138,Bucht::N,koy,įlanka
139,Bucht::N,koy,užutekis
140,Bucht::N,körfez,įlanka
141,Bucht::N,körfez,užutekis
142,Insel::N,ada,sala
143,Blume::N,çiçek,gėlė
144,Gras::N,ot,žolė
145,Gras::N,çim,žolė
146,Wurzel::N,kök,šaknis
147,Baum::N,ağaç,medis
148,Stamm::N,gövde,kamienas
149,Rinde::N,kabuk,žievė
150,Ast::N,dal,šaka
151,Ast::N,budak,šaka
152,Zweig::N,dal,šakelė
153,Blatt::N,yaprak,lapas
154,Birke::N,huş,beržas
155,Kiefer[Baum]::N,çam,pušis
156,Weide[Baum]::N,söğüt,karklas
157,Tanne::N,çam,eglė
158,Tanne::N,çam,kėnis
159,Tanne::N,köknar,eglė
160,Tanne::N,köknar,kėnis
161,Horn::N,boynuz,ragas
162,Feder::N,tüy,plunksna
163,Fell::N,post,kailis
164,Flügel::N,kanat,sparnas
165,Klaue::N,pençe,kanopa
166,Kralle::N,tırnak,nagas
167,Schwanz::N,kuyruk,uodega
168,Ei::N,yumurta,kiaušinis
169,Nest::N,yuva,gūžta
170,Nest::N,yuva,lizdas
171,Bau::N,in,ola
172,Tier::N,hayvan,gyvūnas
173,Herde::N,sürü,banda
174,Herde::N,sürü,kaimenė
175,Kuh::N,inek,karvė
176,Bulle::N,boğa,bulius
177,Pferd::N,at,arklys
178,Pferd::N,beygir,arklys
179,Schaf::N,koyun,avis
180,Schwein::N,domuz,kiaulė
181,Hund::N,it,šuo
182,Hund::N,köpek,šuo
183,Katze::N,kedi,katė
184,Bär::N,ayı,lokys
185,Eichhörnchen::N,sincap,voveraitė
186,Elch::N,büyük kuzey geyiği,briedis
187,Fuchs::N,tilki,lapė
188,Hase::N,tavşan,kiškas
189,Maus::N,fare,pelė
190,Maus::N,sıçan,pelė
191,Wolf::N,kurt,vilkas
192,Vogel::N,kuş,paukštis
193,Schwarm::N,sürü,spiečius
194,Huhn::N,tavuk,višta
195,Hahn::N,horoz,gaidys
196,Gans::N,kaz,žąsis
197,Adler::N,kartal,erelis
198,Adler::N,karakuş,erelis
199,Ente::N,ördek,antis
200,Eule::N,baykuş,pelėda
201,Kranich::N,turna,gervė
202,Krähe::N,karga,varna
203,Kuckuck::N,guguk,gegužė
204,Schwan::N,kuğu,gulbė
205,Fisch::N,balık,žuvis
206,Barsch::N,hani,ešerys
207,Barsch::N,levrek,ešerys
208,Hecht::N,turnabalığı,lydeka
209,Schlange[Tier]::N,yılan,gyvatė
210,Wurm::N,kurt,kirmėlė
211,Wurm::N,solucan,kirmėlė
212,Spinne::N,örümcek,voras
213,Ameise::N,karınca,skruzdė
214,Laus::N,bit,utėlė
215,Mücke::N,sivrisinek,uodas
216,Fliege::N,sinek,musė
217,Schmetterling::N,kelebek,drugys
218,Schmetterling::N,kelebek,peteliškė
219,Beere::N,tane,uoga
220,Apfel::N,elma,obuolys
221,Pilz::N,mantar,grybas
222,Zwiebel::N,soğan,svogūnas
223,Saat::N,ekin,sėkla
224,Korn::N,tane,grūdai
225,Heu::N,kuru ot,šienas
