,Concept_ID,sk,myv
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,судо
3,Mund::N,ústa,курго
4,Zahn::N,zub,пей
5,Zunge::N,jazyk,кель
6,Lippe::N,pera,турва
7,Wange::N,líce,чамабока
8,Wange::N,líce,чамаумарь
9,Gesicht::N,tvár,чама
10,Gesicht::N,obličaj,чама
11,Stirn::N,čelo,коня
12,Haar::N,vlas,черь
13,Schnurrbart::N,fúzy,ус
14,Schnurrbart::N,fúzy,муюк
15,Bart::N,brada,сакал
16,Kinn::N,brada,уло
17,Kiefer[Anatomie]::N,čeľusť,пейпакар
18,Kiefer[Anatomie]::N,čeľusť,пейловажа
19,Kehle::N,hrdlo,кирьгапарь
20,Hals::N,krk,кирьга
21,Genick::N,väzy,човонь
22,Kopf::N,hlava,пря
23,Rücken::N,chrbát,копорь
24,Bauch::N,brucho,пеке
25,Nabel::N,pupok,почо
26,Busen::N,prsia,поте
27,Brust::N,hruď,меште
28,Schulter::N,plece,лавтов
29,Arm::N,rameno,кедь
30,Ellenbogen::N,lakeť,кенерепакарь
31,Hand::N,ruka,кедь
32,Handfläche::N,dlaň,кедькуншка
33,Handfläche::N,dlaň,кедьлапушка
34,Finger::N,prst,сур
35,Fingernagel::N,necht,кенже
36,Nagel[Anatomie]::N,necht,кенже
37,Zeh::N,prst na nohe,пильге сур
38,Fuß::N,noha,пильге
39,Ferse::N,päta,кочкаря
40,Knie::N,koleno,эле
41,Knie::N,koleno,эзне
42,Knie::N,koleno,кумажа
43,Oberschenkel::N,stehno,качо
44,Bein::N,noha,пильге
45,Körper::N,telo,рунго
46,Haut::N,koža,киське
47,Blut::N,krv,верь
48,Ader::N,žila,сан
49,Sehne::N,šľacha,коське сан
50,Knochen::N,kosť,пакарь
51,Gehirn::N,mozog,удем
52,Herz::N,srdce,седей
53,Magen::N,žalúdok,пеке
54,Leber::N,pečeň,максо
55,Atem::N,dych,лексема
56,Atem::N,dych,оймень таргсема
57,Hunger::N,hlad,вачочи
58,Träne::N,slza,селведь
59,Geschmack::N,chuť,тансть
60,Geruch::N,pach,чине
61,Schlaf::N,spánok,удома
62,Traum::N,sen,он
63,Himmel::N,nebo,менель
64,Sonne::N,slnko,чи
65,Mond::N,mesiac,ков
66,Stern::N,hviezda,теште
67,Luft::N,vzduch,кошт
68,Wind::N,vietor,варма
69,Welle::N,vlna,толкун
70,Wasser::N,voda,ведь
71,Stein::N,kameň,кев
72,Boden::N,zem,мода
73,Boden::N,pôda,мода
74,Erde::N,zem,мастор
75,Staub::N,prach,пуль
76,Rauch::N,dym,качамо
77,Funke::N,iskra,сятко
78,Feuer::N,oheň,тол
79,Licht::N,svetlo,валдо
80,Schatten::N,tieň,сулей
81,Schatten::N,tieň,сулейкс
82,Wetter::N,počasie,ушо
83,Nebel::N,hmla,сув
84,Wolke::N,oblak,пель
85,Wolke::N,mračno,пель
86,Regen::N,dážď,пиземс
87,Schnee::N,sneh,лов
88,Eis::N,ľad,эй
89,Frost::N,mráz,кельме
90,Kälte::N,zima,якшамо
91,Kälte::N,chlad,якшамо
92,Hitze::N,horúčava,пси
93,Raureif::N,srieň,лекш
94,Raureif::N,inovať,лекш
95,Regenbogen::N,dúha,пурьгинечирьке
96,Regenbogen::N,dúha,пурьгинеёнкс
97,Donner::N,hrom,пурьгине
98,Strömung::N,prúdenie,чудема
99,Strömung::N,prúdenie,чудевкс
100,Tropfen::N,kvapka,петнявкс
101,Schaum::N,pena,чов
102,Schmutz::N,špina,рудаз
103,Schmutz::N,nečistota,рудаз
104,See::N,jazero,эрьке
105,Sumpf::N,bahno,чей
106,Moor::N,močiar,чей
107,Wiese::N,lúka,луга
108,Wald::N,les,вирь
109,Wald::N,hora,вирь
110,Hügel::N,vŕšok,губорь
111,Hügel::N,vŕšok,пандыне
112,Anhöhe::N,výšina,губорь
113,Anhöhe::N,výšina,пандыне
114,Anhöhe::N,vyvýšenina,губорь
115,Anhöhe::N,vyvýšenina,пандыне
116,Berg::N,hora,пандо
117,Gipfel::N,vrchol,пря
118,Höhle::N,jaskyňa,пещера
119,Abhang::N,úbočie,пандочама
120,Quelle::N,prameň,ушодкс
121,Bach::N,potok,чудикерькс
122,Fluss::N,rieka,лей
123,Ufer::N,breh,чире
124,Küste::N,pobrežie,лейчире
125,Festland::N,pevnina,мода
126,Meer::N,more,моря
127,Bucht::N,záliv,усия
128,Bucht::N,zátoka,усия
129,Insel::N,ostrov,усия
130,Blume::N,kvet,цеця
131,Blume::N,kvetina,цеця
132,Gras::N,tráva,тикше
133,Wurzel::N,koreň,юр
134,Wurzel::N,koreň,ундокс
135,Baum::N,strom,чувто
136,Stamm::N,kmeň,рунго
137,Rinde::N,kôra,суд
138,Rinde::N,kôra,керь
139,Ast::N,konár,морго
140,Zweig::N,vetva,тарад
141,Blatt::N,list,лопа
142,Birke::N,breza,килей
143,Kiefer[Baum]::N,sosna,пиче
144,Kiefer[Baum]::N,borovica,пиче
145,Weide[Baum]::N,vŕba,каль
146,Tanne::N,jedľa,куз
147,Horn::N,roh,сюро
148,Feder::N,pero,толга
149,Fell::N,koža,пона
150,Fell::N,kožušina,пона
151,Flügel::N,krídlo,сёлмо
152,Klaue::N,paznecht,кенже
153,Kralle::N,pazúr,кенже
154,Schwanz::N,chvost,пуло
155,Ei::N,vajce,ал
156,Ei::N,vajíčko,ал
157,Nest::N,hniezdo,пизэ
158,Bau::N,nora,варя
159,Bau::N,nora,пизе
160,Tier::N,zviera,ракша
161,Herde::N,stádo,стада
162,Kuh::N,krava,скал
163,Bulle::N,býk,бука
164,Pferd::N,kôň,лишме
165,Schaf::N,ovca,реве
166,Schwein::N,sviňa,туво
167,Hund::N,pes,пине
168,Hund::N,pes,киска
169,Katze::N,mačka,псака
170,Bär::N,medveď,овто
171,Eichhörnchen::N,veverička,ур
172,Elch::N,los,сярдо
173,Fuchs::N,líška,ривезь
174,Hase::N,zajac,нумоло
175,Maus::N,myš,чеерь
176,Wolf::N,vlk,верьгиз
177,Vogel::N,vták,нармунь
178,Schwarm::N,roj,полк
179,Schwarm::N,roj,стада
180,Huhn::N,kurča,сараз
181,Huhn::N,sliepka,сараз
182,Hahn::N,kohút,атякш
183,Gans::N,hus,гала
184,Gans::N,hus,мацей
185,Adler::N,orol,куцькан
186,Adler::N,orol,тумоатякш
187,Ente::N,kačka,яксярго
188,Ente::N,kačica,яксярго
189,Eule::N,sova,корж
190,Kranich::N,žeriav,карго
191,Krähe::N,vrana,варака
192,Kuckuck::N,kukučka,куко
193,Schwan::N,labuť,локсей
194,Fisch::N,ryba,кал
195,Barsch::N,ostriež,окунь
196,Hecht::N,šťuka,щука
