,Concept_ID,hr,sl
0,Auge::N,oko,okó
1,Ohr::N,uho,uhó
2,Nase::N,nos,nós
3,Mund::N,usta,ústa
4,Zahn::N,zub,zób
5,Zunge::N,jezik,jêzik
6,Lippe::N,usna,ústnica
7,Wange::N,obraz,líce
8,Gesicht::N,lice,oblíčje
9,Stirn::N,čelo,čêlo
10,Haar::N,kosa,lás
11,Schnurrbart::N,brkovi,bŕki
12,Bart::N,brada,bráda
13,Kinn::N,brada,bráda
14,Kinn::N,podbradak,bráda
15,Kiefer[Anatomie]::N,čeljust,čeljúst
16,Kehle::N,grlo,gŕlo
17,Hals::N,vrat,vrát
18,Genick::N,zatiljak,zatílnik
19,Kopf::N,glava,gláva
20,Rücken::N,leđa,hrbèt
21,Rücken::N,hrbat,hrbèt
22,Bauch::N,trbuh,trébuh
23,Nabel::N,pupak,pópek
24,Busen::N,sisa,nédrja
25,Busen::N,njedra,nédrja
26,Brust::N,prsa,pŕsi
27,Schulter::N,rame,ráma
28,Schulter::N,rame,plêče
29,Schulter::N,pleći,ráma
30,Schulter::N,pleći,plêče
31,Arm::N,ruka,rôka
32,Ellenbogen::N,lakat,komólec
33,Hand::N,ruka,rôka
34,Handfläche::N,dlan,dlán
35,Finger::N,prst,pŕst
36,Fingernagel::N,nokat,nóht na rôki
37,Nagel[Anatomie]::N,nokat,nóht
38,Zeh::N,nozni prst,pŕst na nôgi
39,Fuß::N,noga,nôga
40,Fuß::N,stopalo,nôga
41,Ferse::N,peta,pêta
42,Knie::N,koljeno,koléno
43,Oberschenkel::N,bedro,stêgno
44,Bein::N,noga,nôga
45,Körper::N,tijelo,teló
46,Haut::N,put,kóža
47,Haut::N,koža,kóža
48,Blut::N,krv,krí
49,Ader::N,žila,žíla
50,Sehne::N,tetiva,kíta
51,Knochen::N,kost,kóst
52,Herz::N,srce,srcé
53,Magen::N,stomak,želódec
54,Magen::N,želudac,želódec
55,Leber::N,jetra,jétra
56,Atem::N,dah,díh
57,Hunger::N,glad,glád
58,Träne::N,suza,sólza
59,Geschmack::N,ukus,okús
60,Geruch::N,njuh,vónj
61,Geruch::N,miris,vónj
62,Schlaf::N,san,sèn
63,Schlaf::N,san,spánec
64,Traum::N,san,sánje
65,Himmel::N,nebo,nebó
