,Concept_ID,bg,ja
0,Auge::N,око,目
1,Ohr::N,ухо,耳
2,Nase::N,нос,鼻
3,Mund::N,уста,口
4,Zahn::N,зъб,歯
5,Zunge::N,език,舌
6,Lippe::N,устна,唇
7,Wange::N,буза,頬
8,Gesicht::N,лице,顔
9,Gesicht::N,образ,顔
10,Stirn::N,чело,額
11,Haar::N,коса,髪
12,Haar::N,косъм,髪
13,Schnurrbart::N,мустаци,口髭
14,Bart::N,брада,髭
15,Kinn::N,брада,顎
16,Kinn::N,брадичка,顎
17,Kiefer[Anatomie]::N,челюст,顎
18,Kehle::N,гърло,喉
19,Hals::N,врат,首
20,Genick::N,тил,首
21,Kopf::N,глава,頭
22,Rücken::N,гръб,背中
23,Bauch::N,корем,腹
24,Bauch::N,корем,お腹
25,Nabel::N,пъп,へそ
26,Busen::N,бозка,乳房
27,Brust::N,гръд,胸
28,Schulter::N,рамо,肩
29,Schulter::N,плещи,肩
30,Arm::N,ръка,腕
31,Ellenbogen::N,лакът,肘
32,Hand::N,ръка,手
33,Hand::N,китка,手
34,Handfläche::N,длан,手のひら
35,Finger::N,пръст,指
36,Fingernagel::N,нокът,爪
37,Nagel[Anatomie]::N,нокът,爪
38,Zeh::N,пръст на крак,足の指
39,Fuß::N,крак,足
40,Fuß::N,нога,足
41,Ferse::N,пета,かかと
42,Knie::N,коляно,膝
43,Oberschenkel::N,бедро,上腿
44,Bein::N,крак,足
45,Bein::N,нога,足
46,Körper::N,тяло,体
47,Haut::N,кожа,皮膚
48,Blut::N,кръв,血
49,Ader::N,вена,血管
50,Ader::N,артерия,血管
51,Sehne::N,жила,腱
52,Sehne::N,сухожилие,腱
53,Knochen::N,кост,骨
54,Gehirn::N,мозък,脳
55,Herz::N,сърце,心
56,Herz::N,сърце,心臓
57,Magen::N,стомах,胃
58,Leber::N,черен дроб,肝臓
59,Atem::N,дишане,息
60,Atem::N,дишане,呼吸
61,Hunger::N,глад,空腹
62,Träne::N,сълза,涙
63,Geschmack::N,вкус,味
64,Geruch::N,миризма,匂い
65,Schlaf::N,сън,睡眠
66,Traum::N,сън,夢
67,Himmel::N,небе,空
68,Sonne::N,слънце,太陽
69,Mond::N,луна,月
70,Mond::N,месец,月
71,Stern::N,звезда,星
72,Luft::N,въздух,空気
73,Wind::N,вятър,風
74,Welle::N,вълна,波
75,Wasser::N,вода,水
76,Stein::N,камък,石
77,Boden::N,земя,土地
78,Boden::N,почва,土地
