,Concept_ID,kv,kn
0,Auge::N,син,ಕಣ್ಣು
1,Ohr::N,пель,ಕಿವಿ
2,Nase::N,ныр,ಮೂಗು
3,Mund::N,ӧм,ಬಾಯಿ
4,Zahn::N,пинь,ಹಲ್ಲು
5,Zunge::N,кыв,ನಾಲಿಗೆ
6,Lippe::N,тырп,ತುಟಿ
7,Wange::N,рожабан,ಗಲ್ಲ
8,Gesicht::N,бан,ಮುಖ
9,Stirn::N,кымӧс,ಹಣೆ
10,Haar::N,юрси,ಕೂದಲು
11,Schnurrbart::N,уссэз,ಮೀಸೆ
12,Bart::N,тош,ಗಡ್ಡ
13,Kinn::N,тшӧка,ಗದ್ದ
14,Kiefer[Anatomie]::N,ан,ದವಡೆ
15,Kehle::N,юан,ಗಂಟಲು
16,Hals::N,юан,ಕೊರಳು
17,Genick::N,юр бӧр,ಹಿಂಗತ್ತು
18,Kopf::N,юр,ತಲೆ
19,Rücken::N,мышк,ಬೆನ್ನು
20,Bauch::N,кынӧм,ಹೊಟ್ಟೆ
21,Nabel::N,гӧг,ಹೊಕ್ಕುಳು
22,Busen::N,морос,ಸ್ತನ
23,Brust::N,морос,ಎದೆ
24,Schulter::N,пельпон,ಭುಜ
25,Arm::N,ки,ತೋಳು
26,Ellenbogen::N,гырдзза,ಮೊಣಕೈ
27,Hand::N,кикар,ಕೈ
28,Handfläche::N,ки пыдӧс,ಅಂಗೈ
29,Finger::N,чунь,ಕೈಬೆರಳು
30,Fingernagel::N,гыж,ಉಗುರು
31,Nagel[Anatomie]::N,гыж,ಉಗುರು
32,Zeh::N,чунь,ಕಾಲ್ಬೆರಳು
33,Fuß::N,кокпыдӧс,ಪಾದ
34,Ferse::N,кокдзир,ಹಿಮ್ಮಡಿ
35,Knie::N,пидзӧс,ಮಂಡಿ
36,Oberschenkel::N,лядьбей,ತೊಡೆ
37,Bein::N,кок,ಕಾಲು
38,Körper::N,вывтыр,ದೇಹ
39,Haut::N,кучик,ಚರ್ಮ
40,Blut::N,вир,ರಕ್ತ
41,Ader::N,сӧн,ನರ
42,Sehne::N,жила,ನರ
43,Knochen::N,коска,ಮೂಳೆ
44,Gehirn::N,вем,ಮಿದುಳು
45,Herz::N,сьӧлӧм,ಹೃದಯ
46,Magen::N,жӧвдӧк,ಉದರ
47,Leber::N,мус,ಯಕೃತ್ತು
48,Atem::N,лолалӧм,ಉಸಿರು
49,Hunger::N,тшыг,ಹಸಿವು
50,Träne::N,синва,ಕಣ್ಣೀರು
51,Geschmack::N,кӧр,ರುಚಿ
52,Geruch::N,дук,ವಾಸನೆ
53,Schlaf::N,он,ನಿದ್ರೆ
54,Traum::N,вӧт,ಕನಸು
55,Himmel::N,небо,ಬಾನು
56,Sonne::N,шондi,ಸೂರ್ಯ
57,Mond::N,тӧлiсь,ಚಂದ್ರ
58,Stern::N,кӧдзыв,ಚುಕ್ಕಿ
59,Luft::N,ру,ವಾಯು
60,Wind::N,тӧв,ಗಾಳಿ
61,Welle::N,гы,ಅಲೆ
62,Wasser::N,ва,ನೀರು
63,Stein::N,из,ಕಲ್ಲು
64,Boden::N,му,ನೆಲ
65,Erde::N,му,ಭೂಮಿ
66,Staub::N,бус,ದೂಳು
67,Rauch::N,тшын,ಹೊಗೆ
68,Funke::N,бичир,ಕಿಡಿ
69,Feuer::N,би,ಬೆಂಕಿ
70,Licht::N,би,ಬೆಳಕು
71,Schatten::N,вуджӧр,ನೆರಳು
72,Wetter::N,погоддя,ಹವ
73,Nebel::N,туман,ಮಂಜು
74,Wolke::N,кымӧр,ಮೋಡ
75,Regen::N,зэр,ಮಳೆ
76,Schnee::N,лым,ಹಿಮ
77,Eis::N,йы,ಮಂಜುಗಡ್ಡೆ
78,Frost::N,мороз,ಮಂಜು
79,Kälte::N,кӧдзыт,ಹಿಮ
80,Hitze::N,ӧд,ಉಷ್ಣ
81,Raureif::N,кижа,ಇಬ್ಬನಿ
82,Regenbogen::N,енӧшка,ಇಂದ್ರಚಾಪ
83,Donner::N,гым,ಗುಡುಗು
84,Strömung::N,визывтӧм,ಪ್ರವಾಹ
85,Tropfen::N,тёп,ತೊಟ್ಟು
86,Schaum::N,быг,ನೊರೆ
87,Schmutz::N,нять,ಕಸ
88,See::N,ты,ಸರೋವರ
89,Sumpf::N,арай,ಜೌಗುಸ್ಥಳ
90,Moor::N,нюр,ಬಂಜರು ಭೂಮಿ
91,Wiese::N,видз,ಹುಲ್ಲುಗಾವಲು
92,Wald::N,вӧр,ಕಾಡು
93,Hügel::N,мыльк,ಗುಡ್ಡೆ
94,Anhöhe::N,вывтас,ದಿಬ್ಬ
95,Anhöhe::N,вылынін,ದಿಬ್ಬ
96,Berg::N,керӧс,ಮಲೆ
97,Berg::N,керӧс,ಪರ್ವತ
98,Gipfel::N,йыв,ಶೃಂಗ
99,Höhle::N,нора,ಗುಹೆ
100,Abhang::N,покат,ಇಳಿಜಾರು
101,Quelle::N,больган,ಮೂಲ
102,Bach::N,шор,ತೊರೆ
103,Fluss::N,ю,ನದಿ
104,Ufer::N,берег,ತೀರ
105,Küste::N,берег,ದಂಡೆ
106,Festland::N,му,ಭೂಮಿ
107,Meer::N,море,ಕಡಲು
108,Bucht::N,курья,ಖಾರಿ
109,Blume::N,цветок,ಸುಮ
110,Gras::N,турун,ಹುಲ್ಲು
111,Wurzel::N,вуж,ಬೇರು
112,Baum::N,пу,ಮರ
113,Stamm::N,мыр,ಕಾಂಡ
114,Stamm::N,кер,ಕಾಂಡ
115,Rinde::N,кач,ತೂಗಟಿ
116,Ast::N,ув,ಶಾಖೆ
117,Zweig::N,ув,ರೆಂಬೆ
118,Blatt::N,лист,ಎಲೆ
119,Birke::N,кыдз,ಬರ್ಚ್ ಮರ
120,Kiefer[Baum]::N,пожум,ದೇವದಾರು ಮರ
121,Weide[Baum]::N,бадь,ವಿಲೋಮರ
122,Tanne::N,кӧз,ಭದ್ರದಾರು
123,Horn::N,сюр,ಕೊಂಬು
124,Feder::N,гӧн,ಪುಕ್ಕ
125,Fell::N,кучик,ರೋಮ
126,Flügel::N,борд,ರೆಕ್ಕೆ
127,Klaue::N,гыж,ಪಂಜ
128,Kralle::N,кабыр,ಉಗುರು
129,Schwanz::N,бӧж,ಬಾಲ
130,Ei::N,кольть,ಮೊಟ್ಟೆ
131,Nest::N,поз,ಗೂಡು
132,Bau::N,осьта,ಅಡಗುದಾಣ
133,Bau::N,нора,ಅಡಗುದಾಣ
134,Tier::N,зверь,ಪ್ರಾಣಿ
135,Herde::N,гурт,ಗುಂಪು
136,Kuh::N,мӧс,ಹಸು
137,Bulle::N,ӧшка,ಗೂಳಿ
138,Pferd::N,вӧв,ಕುದುರೆ
139,Schaf::N,баля,ಕುರಿ
140,Schwein::N,порсь,ಹಂದಿ
141,Hund::N,пон,ನಾಯಿ
142,Katze::N,кань,ಬೆಕ್ಕು
143,Bär::N,ош,ಕರಡಿ
144,Eichhörnchen::N,ур,ಉಡುತೆ
145,Elch::N,вӧр мӧс,ಕಡವೆ
146,Fuchs::N,руч,ನರಿ
147,Hase::N,кӧч,ಮೊಲ
148,Maus::N,шыр,ಇಲಿ
149,Wolf::N,кӧин,ತೋಳ
150,Vogel::N,кай,ಪಕ್ಷಿ
151,Schwarm::N,стая,ಗುಂಪು
152,Schwarm::N,чукӧр,ಗುಂಪು
153,Huhn::N,курӧг,ಚಿಕ್
154,Hahn::N,петух,ಹುಂಜ
155,Hahn::N,ай курӧг,ಹುಂಜ
156,Gans::N,дзодзог,ವರಟೆ
157,Adler::N,куч,ಗರುಡ
158,Adler::N,кутш,ಗರುಡ
159,Ente::N,утка,ಬಾತು
160,Eule::N,тупка,ಗೂಬೆ
161,Kranich::N,тури,ಕೊಕ್ಕರ
162,Krähe::N,рака,ಕಾಗೆ
163,Kuckuck::N,кӧк,ಕೋಗಿಲೆ
164,Schwan::N,юсь,ಹಂಸಪಕ್ಷಿ
165,Fisch::N,чери,ಮೀನು
166,Barsch::N,ёкыш,ಪರ್ಚ್ ಮೀನು
167,Hecht::N,сирпинь,ಪೈಕ್ ಮೀನು
168,Schlange[Tier]::N,змей,ಹಾವು
169,Wurm::N,номыр,ಹುಳು
170,Spinne::N,черань,ಊರ್ಣನಾಭ
171,Ameise::N,кӧдзывкар,ಇರುವೆ
172,Laus::N,ляпа той,ಹೇನು
173,Mücke::N,ном,ಸೊಳ್ಳೆ
174,Fliege::N,гут,ನೊಣ
175,Schmetterling::N,бабыв,ಪತಂಗ
176,Beere::N,ягӧд,ನಯವಣ್ಣು
177,Apfel::N,яблоко,ಸೇಬು
178,Pilz::N,тшак,ಅಣಬೆ
179,Zwiebel::N,грез,ನೀರುಳ್ಳಿ
180,Saat::N,кӧдзыс,ಬಿತ್ತ
181,Korn::N,сю,ಬೀಜ
182,Heu::N,турун,ಕರಡ
183,Schale::N,кыш,ಹೊಟ್ಟು
184,Schale::N,киль,ಹೊಟ್ಟು
185,Grube::N,яма,ಗುಂಡಿ
186,Falle::N,нальк,ಬೋನು
187,Falle::N,кляпча,ಬೋನು
188,Schlinge::N,лӧч,ಉರುಲು
189,Spur::N,туй,ಜಾಡು
190,Asche::N,пӧим,ಬೂದಿ
191,Dreck::N,нять,ಹೊಲಸು
192,Eisen::N,кӧрт,ಕಬ್ಬಿಣ
193,Gold::N,зарни,ಚಿನ್ನ
194,Silber::N,язісь,ಬೆಳ್ಳಿ
195,Kohle::N,шом,ಕಲ್ಲಿದ್ದಲು
196,Kohle::N,уголь,ಕಲ್ಲಿದ್ದಲು
197,Glas::N,стекло,ಗಾಜು
198,Lehm::N,сёй,ಜೇಡಿಮಣ್ಣು
199,Sand::N,лыа,ಮರಳು
200,Mensch::N,морт,ಪುರುಷ
