,Concept_ID,hy,is
0,Auge::N,աչք,auga
1,Ohr::N,ականջ,eyra
2,Nase::N,քիթ,nef
3,Mund::N,բերան,munnur
4,Zahn::N,ատամ,tönn
5,Zunge::N,լեզու,tunga
6,Lippe::N,շրթունք,vör
7,Wange::N,այտ,kinn
8,Wange::N,այտ,vangi
9,Wange::N,թուշ,kinn
10,Wange::N,թուշ,vangi
11,Gesicht::N,դեմք,andlit
12,Stirn::N,ճակատ,enni
13,Haar::N,մազ,hár
14,Schnurrbart::N,բեղ,yfirskegg
15,Bart::N,մորուք,skegg
16,Kinn::N,կզակ,haka
17,Kiefer[Anatomie]::N,ծնոտ,kjálki
18,Kiefer[Anatomie]::N,ծնոտ,skoltur
19,Kehle::N,կոկորդ,kverk
20,Hals::N,վիզ,háls
21,Hals::N,պարանոց,háls
22,Genick::N,ծոծրակ,hnakki
23,Kopf::N,գլուխ,höfuð
24,Rücken::N,մեջք,hryggur
25,Bauch::N,փոր,kviður
26,Bauch::N,որովայն,kviður
27,Nabel::N,պորտ,nafli
28,Busen::N,ծոց,barmur
29,Brust::N,կուրծք,brjóst
30,Schulter::N,ուս,öxl
31,Arm::N,թեւ,armur
32,Arm::N,բազուկ,armur
33,Ellenbogen::N,արմունկ,olnbogi
34,Hand::N,ձեռք,hönd
35,Handfläche::N,ափ,lófi
36,Finger::N,մատ,fingur
37,Fingernagel::N,եղունգ,fingurnögl
38,Nagel[Anatomie]::N,եղունգ,nögl
39,Zeh::N,ոտքի մատ,tá
40,Fuß::N,ոտք,fótur
41,Ferse::N,գարշապար,hæll
42,Knie::N,ծունկ,kné
43,Oberschenkel::N,ազդր,læri
44,Bein::N,ոտք,fótleggur
45,Körper::N,մարմին,búkur
46,Körper::N,մարմին,líkami
47,Haut::N,մաշկ,húð
48,Haut::N,մաշկ,skinn
49,Blut::N,արյուն,blóð
50,Ader::N,երակ,æð
51,Sehne::N,ջիղ,sin
52,Sehne::N,ձգտան,sin
53,Knochen::N,ոսկոր,bein
54,Gehirn::N,խելք,heili
55,Herz::N,սիրտ,hjarta
56,Magen::N,ստամոքս,magi
57,Leber::N,լյարդ,lifur
58,Atem::N,շունչ,andi
59,Atem::N,շունչ,andardráttur
60,Hunger::N,քաղց,hungur
61,Träne::N,արտասուք,tár
62,Geschmack::N,համ,smekkur
63,Geschmack::N,բուրմունք,smekkur
64,Geruch::N,հոտ,lykt
65,Geruch::N,բուրում,lykt
66,Schlaf::N,քուն,svefn
67,Traum::N,երազ,draumur
68,Himmel::N,երկինք,himinn
69,Sonne::N,արեւ,sól
70,Mond::N,լուսին,tungl
71,Stern::N,աստղ,stjarna
72,Luft::N,օդ,loft
73,Wind::N,քամի,vindur
74,Welle::N,ալիք,alda
75,Welle::N,ալիք,bylgja
76,Wasser::N,ջուր,vatn
77,Stein::N,քար,steinn
78,Boden::N,գետին,botn
79,Erde::N,հող,jörð
80,Staub::N,փոշի,ryk
81,Staub::N,փոշի,duft
82,Rauch::N,ծուխ,reykur
83,Funke::N,կայծ,neisti
84,Feuer::N,կրակ,eldur
85,Feuer::N,հրդեհ,eldur
86,Licht::N,լույս,ljós
87,Schatten::N,ստվեր,skuggi
88,Wetter::N,եղանակ,veður
89,Nebel::N,մեգ,þoka
90,Nebel::N,մառախուղ,þoka
91,Wolke::N,ամպ,ský
92,Regen::N,անձրև,regn
93,Schnee::N,ձյուն,snjór
94,Eis::N,սառույց,ís
95,Frost::N,սառնամանիք,frost
96,Kälte::N,դող,kuldi
97,Hitze::N,շոգ,hiti
98,Raureif::N,ցօղեղեամ,hrím
99,Regenbogen::N,ծիածան,regnbogi
100,Donner::N,որոտ,þruma
101,Strömung::N,հոսանք,straumur
102,Tropfen::N,կաթիլ,dropi
103,Schaum::N,փրփուր,froða
104,Schmutz::N,կեղտ,óhreinindi
105,See::N,լիճ,stöðuvatn
106,Sumpf::N,ճահիճ,fen
107,Moor::N,ճահիճ,mýri
108,Wiese::N,մարգագետին,engi
109,Wald::N,անտառ,skógur
110,Hügel::N,բլուր,hæð
111,Hügel::N,բլուր,hóll
112,Anhöhe::N,բարձունք,hæð
113,Anhöhe::N,բարձունք,hóll
114,Berg::N,լեռ,fell
115,Berg::N,լեռ,fjall
116,Gipfel::N,գագաթ,tindur
117,Gipfel::N,կատար,tindur
118,Höhle::N,քարայր,hellir
119,Abhang::N,լանջ,hlíð
120,Abhang::N,լանջ,brekka
121,Abhang::N,զառիվայր,hlíð
122,Abhang::N,զառիվայր,brekka
123,Quelle::N,աղբյուր,lind
124,Quelle::N,աղբյուր,uppspretta
125,Bach::N,վտակ,lækur
126,Fluss::N,գետ,á
127,Fluss::N,գետ,fljót
128,Ufer::N,ծովափ,árbakki
129,Ufer::N,ծովափ,sjávarbakki
130,Küste::N,ափ,strönd
131,Küste::N,ծովափ,strönd
132,Festland::N,ցամաք,meginland
133,Meer::N,ծով,haf
134,Meer::N,ծով,sjór
135,Bucht::N,հաչիւն,vík
136,Insel::N,վղզի,eyja
137,Blume::N,ծաղիկ,blóm
138,Gras::N,խոտ,gras
139,Wurzel::N,արմատ,rót
140,Baum::N,ծառ,tré
141,Stamm::N,իրան,stofn
142,Rinde::N,կեղեւ,börkur
143,Rinde::N,հաչոց,börkur
144,Ast::N,ճյուղ,grein
145,Zweig::N,ճյուղ,angi
146,Zweig::N,ճյուղ,kvistur
147,Blatt::N,տերեւ,blað
148,Birke::N,ցարասի,birki
149,Kiefer[Baum]::N,սոճի,fura
150,Weide[Baum]::N,ուռենի,víðir
151,Tanne::N,եղեւին,greni
152,Feder::N,փետուր,fjöður
153,Fell::N,մորթի,skinn
154,Flügel::N,թեւ,vængur
155,Klaue::N,չանչ,kló
156,Kralle::N,ճանկ,kló
157,Schwanz::N,պոչ,rófa
158,Schwanz::N,պոչ,skott
159,Ei::N,ձու,egg
160,Nest::N,բույն,hreiður
161,Bau::N,որջ,greni
162,Bau::N,որջ,bæli
163,Bau::N,բայոց,greni
164,Bau::N,բայոց,bæli
165,Tier::N,կենդանի,dýr
166,Herde::N,հոտ,hjörð
167,Kuh::N,կով,kýr
168,Bulle::N,ցուլ,boli
169,Pferd::N,ձի,hestur
170,Schaf::N,ոչխար,kind
171,Schwein::N,խոզ,svín
