,Concept_ID,ko,ady
0,Auge::N,눈,нэ
1,Ohr::N,귀,тхьакӏу́м
2,Nase::N,코,пэ
3,Mund::N,입,жэ
4,Zahn::N,이,цэ
5,Zunge::N,혀,бзэгу
6,Lippe::N,입술,ӏупшӏэ́
7,Wange::N,뺨,нэкӏу́шъу
8,Gesicht::N,얼굴,нэ́гу
9,Stirn::N,이마,натӏэ́
10,Haar::N,털,шъхьацы́
11,Schnurrbart::N,윗수몀,
12,Schnurrbart::N,코밑수염,
13,Bart::N,수엄,жакӏэ́
14,Kinn::N,아래턱,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,턱,жэпкъы́
16,Kehle::N,인후,чый
17,Hals::N,목,пшъэ
18,Genick::N,먹덜이,шъхьэпхэтыку
19,Kopf::N,머리,шъхьэ́
20,Rücken::N,든,кӏыбы́
21,Bauch::N,배,ныбэ́
22,Nabel::N,배꼽,
23,Busen::N,가슴속,бгъэ́
24,Brust::N,가슴,бгъэ́
25,Schulter::N,어깨,блыпкъ
26,Arm::N,팔,ӏэ
27,Ellenbogen::N,팔쿰치,ӏэнтэ́гъу
28,Hand::N,손,ӏэтхьэцу
29,Handfläche::N,손바닥,ӏэ́гу
30,Finger::N,속가락,ӏэхъуа́мб
31,Fingernagel::N,손톱,ӏэбжъа́н
32,Nagel[Anatomie]::N,손톱,ӏэбжъа́н
33,Zeh::N,발가락,ӏэхъуа́мб
34,Fuß::N,발,лъэгу
35,Ferse::N,발꿈치,лъэдакъэ
36,Knie::N,무릎,лъагуа́ндж
37,Oberschenkel::N,허벅다리,ко
38,Bein::N,다리,лъакъо́
39,Körper::N,구간,пкъышъол
40,Haut::N,살갗,кӏы́шъу
41,Blut::N,피,лъы
42,Ader::N,정맥,льытф
43,Sehne::N,현,фэ
44,Knochen::N,뼈,къупшъхьэ́
45,Gehirn::N,뇌,куцӏы
46,Gehirn::N,뇌수,куцӏы
47,Herz::N,염통,гу
48,Magen::N,위,мышкӏу
49,Leber::N,간,шӏу
50,Atem::N,기식,къэщэныр
51,Hunger::N,공복,гъаблэ́
52,Träne::N,눈물,нэпсы
53,Geschmack::N,기호,ӏэшӏугъа́кӏ
54,Geruch::N,냄새,мэ
55,Schlaf::N,수면,пчыхьы́пӏ
56,Traum::N,쿰,пчыхьы́пӏ
57,Himmel::N,하늘,уашъо́
58,Sonne::N,해,тыгъэ
59,Mond::N,달,мазэ
60,Stern::N,별,жъуагъо́
61,Luft::N,동준,жьы
62,Luft::N,가스채,жьы
63,Wind::N,바람,жьыбгъэ́
64,Welle::N,물결,ор
65,Welle::N,물결,оры
66,Wasser::N,물,псы
67,Stein::N,돌,мыжъо́
68,Boden::N,바닥,чӏ́ыгу
69,Erde::N,흙,чӏ́ыгу
70,Staub::N,먼지,сап
71,Rauch::N,연기,ӏугъо́
72,Funke::N,불티,мэшӏуа́ч
73,Feuer::N,불,машӏо́
74,Licht::N,불,нэфы
75,Licht::N,불,нэфын
76,Schatten::N,어스레함,жьау́
77,Schatten::N,어스레함,ныбжьыкъу
78,Wetter::N,기상,
79,Nebel::N,안개,пща́гъу
80,Wolke::N,구름,ошъуапщэ
81,Regen::N,비,ощхы
82,Schnee::N,눈,осы́
83,Eis::N,얼음,мылы
84,Frost::N,혹한,
85,Kälte::N,추위,чъыӏэ́
86,Kälte::N,차가움,чъыӏэ́
87,Hitze::N,고온,фэба́е
88,Hitze::N,더위,фэба́е
89,Regenbogen::N,무지개, лэгъупэкъо́пс
90,Donner::N,뇌명,шыблэ́
91,Strömung::N,유동,ток
92,Tropfen::N,물방울,ткӏопс
93,Tropfen::N,물방울,гъуаткӏу
94,Schaum::N,포말,тхъурбэ
95,Schmutz::N,때,псынжъы
96,See::N,호수,хыку́м
97,See::N,호수,псыхъура́й
98,Sumpf::N,습지,орыжъ
99,Moor::N,저습지,орыжъ
100,Wiese::N,목초지,хъупӏэ́
101,Wiese::N,목초지,мэкъупӏ
102,Wald::N,숲,мэзы́
103,Hügel::N,언덕,ӏуашъхь
104,Anhöhe::N,언덕,чӏыӏэтыгъ
105,Berg::N,산,къушъхьэ́
106,Gipfel::N,졀졍,шыгу
107,Höhle::N,공동,гъочӏэгъ
108,Abhang::N,몰매,чапэ
109,Quelle::N,근원,псынэчэ́чъ
110,Bach::N,내,псышкуашку
111,Fluss::N,강,псыхъо́
112,Ufer::N,강변,нэпкъы
113,Ufer::N,바닷가,нэпкъы
114,Küste::N,해변,ӏушъо
115,Küste::N,해변가,ӏушъо
116,Festland::N,본토,чӏл́ыгу
117,Meer::N,바다,хы
118,Bucht::N,협만,хыблыгу
119,Insel::N,섬,хыгъэхъу́н
120,Blume::N,꽃,къэгъа́гь
121,Gras::N,풀,уцы́
122,Wurzel::N,뿌리,лъапсэ́
123,Baum::N,나무,чъыгы́
124,Stamm::N,대,пкъы
125,Rinde::N,나무껍질,пхъашъо́
126,Ast::N,가지,куамэ
127,Zweig::N,가지,къутамэ́
128,Blatt::N,잎,тхьап
129,Birke::N,자작나무,пчэн
130,Kiefer[Baum]::N,소나무,сэснэй
131,Weide[Baum]::N,쉬양버들,пце́л
132,Tanne::N,전나무,ель
133,Horn::N,뿔,бжъэ
134,Feder::N,깃털,къамӏы́й
135,Fell::N,피혁모피,шъо
136,Flügel::N,날개,тамэ́
137,Klaue::N,갈고리 발톺,лъэбжъа́н
138,Kralle::N,발툭,лъакъо
139,Schwanz::N,꼬리,кӏэ
140,Ei::N,알,кӏэнкӏэ́
141,Nest::N,보금자리,набгъо́
142,Bau::N,굴,гъу
143,Bau::N,굴,бы
144,Tier::N,짐승,псэу́шъхь
145,Herde::N,가축의떼,ӏэхъогъу
146,Kuh::N,암소,чэмы́
147,Bulle::N,황소,цу
148,Pferd::N,말,шы
149,Schaf::N,양,мэлы́
150,Schwein::N,돼지,къо
151,Hund::N,개,бьэ
152,Katze::N,고양이,чэты́у
153,Bär::N,콤,мышъэ́
154,Eichhörnchen::N,다람쥐,цызэ́
155,Elch::N,고라니,лось
156,Fuchs::N,여우,баджэ́
157,Hase::N,토끼,тхьакӏумкӏы́хь
158,Maus::N,쥐,цыгъо́
159,Wolf::N,늑대,тыгъу́жъ
160,Vogel::N,새,бзы́у
161,Schwarm::N,뗴,отэр
162,Huhn::N,암탉,чэты́
163,Hahn::N,수탉,атакъэ́
164,Gans::N,거위,къа́з
165,Adler::N,수리,
166,Ente::N,오리,псычэ́т
167,Eule::N,부엉이,тыгъурыгъу
168,Kranich::N,두루미,къэрэ́у
169,Krähe::N,까마귀,къолэ́жъ
170,Kuckuck::N,뻐꾸기,куку́у
171,Schwan::N,배조,
