,Concept_ID,ce,ca
0,Auge::N,бӏаьрг,ull
1,Ohr::N,лерг,orella
2,Nase::N,мара,nas
3,Mund::N,бага,boca
4,Zahn::N,церг,dent
5,Zunge::N,мотт,llēngua
6,Lippe::N,балда,llavi
7,Wange::N,бесни,galta
8,Gesicht::N,юьхь,cara
9,Stirn::N,хьаж,front
10,Haar::N,мас,cabēll
11,Schnurrbart::N,мекх,bigoti
12,Bart::N,маж,barba
13,Kinn::N,чӏениг,mentó
14,Kinn::N,чӏениг,barbeta
15,Kiefer[Anatomie]::N,мочхал,queix
16,Kiefer[Anatomie]::N,мочхал,mandíbula
17,Kehle::N,къамкъарг,gola
18,Kehle::N,къамкъарг,gorja
19,Hals::N,ворта,coll
20,Genick::N,кӏесаркӏаг,nuca
21,Kopf::N,корта,cap
22,Rücken::N,букъ,esquena
23,Bauch::N,кийра,panxa
24,Nabel::N,цӏонга,llombrígol
25,Busen::N,зударийн накха,pit
26,Busen::N,зударийн накха,mama
27,Brust::N,накха,pit
28,Schulter::N,белш,espatlla
29,Arm::N,пхьарс,braç
30,Ellenbogen::N,пхьаьрсан гола,colze
31,Hand::N,куьг,mà
32,Handfläche::N,кераюкъ,palma
33,Finger::N,пӏелг,dit
34,Fingernagel::N,мӏара,ungla
35,Nagel[Anatomie]::N,мӏара,ungla
36,Zeh::N,кога пӏелг,dit del peu
37,Fuß::N,ког,peu
38,Ferse::N,кӏажа,taló
39,Knie::N,гола,genoll
40,Oberschenkel::N,варе,cuixa
41,Bein::N,ког,cama
42,Körper::N,хӏума,cos
43,Haut::N,чкъор,pell
44,Blut::N,цӏий,sang
45,Ader::N,пха,vena
46,Sehne::N,хьорзам,tendó
47,Knochen::N,даьӏахк,os
48,Gehirn::N,хье,cervell
49,Herz::N,дог,cor
50,Magen::N,зорх,estómac
51,Leber::N,доӏах,fetge
52,Atem::N,садеӏар,alè
53,Atem::N,садеӏар,hàlit
54,Hunger::N,мацалла,fam
55,Hunger::N,мацалла,gana
56,Träne::N,бӏаьрхи,llàgrima
57,Geschmack::N,чам,gust
58,Geschmack::N,чам,sabor
59,Geruch::N,хьожа,olor
60,Schlaf::N,наб,son
61,Traum::N,гӏан,somni
62,Himmel::N,стигал,celm
63,Sonne::N,малх,sol
64,Mond::N,бутт,lluna
65,Stern::N,седа,estel
66,Stern::N,седа,estrella
67,Luft::N,xӏаваъ,aire
68,Wind::N,мох,vent
69,Welle::N,тулгӏе,ona
70,Wasser::N,хи,āigua
71,Stein::N,тӏулг,pedra
72,Boden::N,цӏенкъа,sòl
73,Erde::N,латта,terra
74,Staub::N,чан,pols
75,Rauch::N,кӏур,fum
76,Funke::N,суй,guspira
77,Funke::N,суй,centella
78,Feuer::N,цӏе,foc
79,Licht::N,серло,llum
80,Schatten::N,ӏиндагӏ,ombra
81,Wetter::N,хенан хӏоттам,temps
82,Nebel::N,дохк,boira
83,Wolke::N,марха,núvol
84,Regen::N,догӏа,pluja
85,Schnee::N,ло,neu
86,Eis::N,ша,gel
87,Eis::N,ша,glaç
88,Frost::N,шело,glaçada
89,Kälte::N,шело,fred
90,Hitze::N,йовхо,calor
91,Raureif::N,йис,gebre
92,Regenbogen::N,стелаӏад,arc iris
93,Donner::N,ткъес,tro
94,Strömung::N,дӏаэхар,corrent
95,Strömung::N,дӏасалелар,corrent
96,Tropfen::N,тӏадам,gota
97,Schaum::N,чопа,escuma
98,Schmutz::N,хатт,brutícia
99,See::N,ӏам,llac
100,Sumpf::N,уьшал,pantà
101,Moor::N,уьшал,pantà
102,Wiese::N,бай,prat
103,Wiese::N,бай,prada
104,Wald::N,хьун,bosc
105,Hügel::N,гу,puig
106,Hügel::N,гу,pujol
107,Hügel::N,шу,puig
108,Hügel::N,шу,pujol
109,Hügel::N,барз,puig
110,Hügel::N,барз,pujol
111,Anhöhe::N,акъари,turó
112,Berg::N,лам,muntanya
113,Gipfel::N,бохь,cim
114,Höhle::N,хьех,cova
115,Abhang::N,басе,coster
116,Quelle::N,шовда,font
117,Bach::N,татол,riera
118,Fluss::N,хи,riu
119,Ufer::N,хийист,riba
120,Küste::N,йист,costa
121,Festland::N,латта,terra ferma
122,Meer::N,xӏорд,mar
123,Bucht::N,чож,cala
124,Bucht::N,чож,badia
125,Insel::N,гӏайре,illa
126,Blume::N,зезаг,flor
127,Gras::N,буц,herba
128,Wurzel::N,орам,rel
129,Wurzel::N,орам,arrel
130,Baum::N,дитт,arbre
131,Stamm::N,гӏад,tronc
132,Stamm::N,тайпа,tronc
133,Rinde::N,кевстиг,escorça
134,Ast::N,га,branca
135,Zweig::N,га,ram
136,Blatt::N,гӏа,fulla
137,Birke::N,дакх,bedoll
138,Kiefer[Baum]::N,бага,pi
139,Weide[Baum]::N,дак,salze
140,Tanne::N,база,avet
141,Horn::N,маӏа,corn
142,Horn::N,маӏа,banya
143,Feder::N,пелаг,ploma
144,Fell::N,цӏока,pell
145,Flügel::N,тӏам,ala
146,Klaue::N,мӏара,urpa
147,Kralle::N,тlод,grapa
148,Schwanz::N,цӏога,cua
149,Ei::N,xӏoa,ou
150,Nest::N,бен,niu
151,Bau::N,lуьрг,cau
152,Tier::N,дийнат,animāl
153,Herde::N,жа,ramat
154,Kuh::N,етт,vaca
155,Bulle::N,сту,toro
156,Pferd::N,говр,cavāll
157,Schaf::N,жий,be
158,Schaf::N,жий,ovella
159,Schaf::N,уьстагӏ,be
160,Schaf::N,уьстагӏ,ovella
161,Schwein::N,хьакха,bacó
162,Hund::N,жӏаьла,ca
163,Hund::N,жӏаьла,gos
164,Katze::N,цициг,gat
165,Bär::N,ча,ós
166,Eichhörnchen::N,тарсал,esquirol
167,Elch::N,сай,ant
168,Fuchs::N,цхьогал,guilla
169,Hase::N,пхьагал,llebre
170,Maus::N,дахка,ratolí
171,Wolf::N,борз,llop
172,Vogel::N,олхазар,au
173,Vogel::N,олхазар,ocēll
174,Huhn::N,котам,gallina
175,Hahn::N,нӏаьна,gall
176,Hahn::N,боргӏал,gall
177,Gans::N,гӏаз,oca
178,Adler::N,aьрзу,àguila
179,Ente::N,бад,ànec
180,Eule::N,бухӏа,òliba
181,Eule::N,бухӏа,mussol
182,Kranich::N,гӏаргӏули,grua
183,Krähe::N,къиг,cornella
184,Kuckuck::N,aттйокх,cucut
185,Schwan::N,гӏургӏаз,cigne
186,Fisch::N,чӏара,peix
187,Barsch::N,окунь,perca
188,Hecht::N,гӏазкхийн чӏара,lluç
189,Schlange[Tier]::N,лаьхьа,serp
190,Wurm::N,нӏаьна,cuc
191,Spinne::N,гезг,aranya
192,Ameise::N,зингат,formiga
193,Laus::N,меза,poll
194,Laus::N,гӏениг,poll
195,Mücke::N,чуьрк,mosquit
196,Fliege::N,моза,mosca
197,Schmetterling::N,полла,papallona
198,Beere::N,цӏазам,baia
199,Apfel::N,ӏаж,poma
200,Pilz::N,жӏаьлин нускал,bolet
201,Zwiebel::N,xох,ceba
202,Saat::N,чlу,sembra
203,Korn::N,буьртиг,gra
204,Heu::N,йол,fenc
205,Schale::N,пардо,closca
206,Grube::N,ор,sot
207,Grube::N,ор,clot
208,Falle::N,кӏело,trampa
209,Spur::N,лар,traça
210,Asche::N,чим,cendra
211,Dreck::N,мода,llot
212,Eisen::N,эчиг,ferro
213,Gold::N,деши,or
214,Silber::N,дети,plata
215,Kohle::N,кӏора,carbó
216,Glas::N,aнгали,vidre
217,Lehm::N,поппар,fang
218,Lehm::N,поппар,argila
219,Sand::N,гӏум,arena
220,Mensch::N,адам,humà
221,Mensch::N,адам,persona
222,Mann::N,майра,home
223,Frau::N,зуда,dona
224,Kind::N,бер,nen
225,Junge::N,жимха,noi
226,Mädchen::N,жима йоӏ,noia
227,Familie::N,доьзал,família
228,Großvater::N,ненада,avi
229,Großmutter::N,денана,àvia
230,Eltern::N,да-нана,pares
231,Vater::N,да,pare
232,Mutter::N,нана,mare
233,Sohn::N,кӏант,fill
234,Tochter::N,йоӏ,filla
235,Bruder::N,ваша,germà
236,Schwester::N,йиша,germana
237,Onkel::N,деваша,oncle
238,Tante::N,дейиша,tia
239,Ehemann::N,майра,espòs
240,Ehefrau::N,зуда,muller
241,Freude::N,самукъа,goig
242,Freude::N,самукъа,alegria
243,Freude::N,хазахетар,goig
244,Freude::N,хазахетар,alegria
245,Gelächter::N,белам,riallada
246,Glück::N,ирс,felicitat
247,Kummer::N,бала,pena
248,Wunsch::N,лаам,desig
249,Lust::N,лаам,ganes
250,Geist::N,са,ment
251,Geist::N,са,esperit
252,Gedanke::N,ойла,pensament
253,Gedächtnis::N,диццадалар,memòria
254,Verstand::N,хьекъал,raó
255,Verstand::N,хьекъал,seny
256,Sinn::N,маьӏна,solta
257,Sinn::N,маьӏна,sentit
258,Grund::N,бахьана,raó
259,Grund::N,бахьана,causa
260,Wahrheit::N,бакъдерг,veritāt
261,Gespräch::N,къамел,conversa
262,Märchen::N,туьйра,conte
263,Erzählung::N,дийцар,narració
264,Nachricht::N,хаам,missatge
265,Neuigkeit::N,керланиг,novetat
266,Name::N,цӏе,nom
267,Rätsel::N,хӏетал-метал,endevinalla
268,Rede::N,къамел,discurs
269,Sprache::N,мотт,llēngua
270,Stimme::N,aз,veu
271,Wort::N,дош,mot
272,Wort::N,дош,paraula
273,Zeichen::N,билгало,signe
274,Zeichen::N,билгало,senyal
275,Ruf::N,кхайкхар,crida
276,Lärm::N,гӏовгӏа,sorōll
277,Laut::N,аз,so
278,Ton::N,aз,to
279,Lied::N,илли,cançó
280,Ruhe::N,тийналла,calma
281,Ruhe::N,тийналла,silenci
282,Leute::N,нах,gent
283,Volk::N,халкъ,poble
284,Arbeit::N,болх,labor
285,Arbeit::N,болх,treball
286,Gast::N,хьаша,hoste
287,Geschenk::N,совгӏат,regal
288,Geschenk::N,совгӏат,obsequi
289,Spiel::N,ловзар,joc
290,Gesellschaft::N,юкъаралла,companyia
291,Hilfe::N,гӏо,ajut
292,Freund::N,доттагl,amīc
293,Kamerad::N,накъост,company
294,Kamerad::N,накъост,camarada
295,Angelegenheit::N,гӏуллакх,afer
296,Angelegenheit::N,гӏуллакх,assumpte
297,Anzahl::N,терахь,nombre
298,Anzahl::N,терахь,quantitat
299,Stück::N,юьхк,peça
300,Teil::N,дакъа,part
301,Hälfte::N,ах,meitat
302,Kreis::N,го,cercle
303,Kreuz::N,жӏара,creu
304,Linie::N,сиз,línia
305,Strich::N,сиз,traç
306,Strich::N,сиз,ratlla
307,Abstand::N,юкъ,distància
308,Gegend::N,мeттиг,regió
309,Gegend::N,мeттиг,contrada
310,Platz::N,майда,cabuda
311,Ort::N,меттиг,lloc
312,Seite::N,aгӏo,banda
313,Seite::N,aгӏo,costāt
314,Mitte::N,юкъ,mig
315,Mitte::N,юкъ,centre
316,Gegenstand::N,хӏума,objecte
317,Sache::N,хӏума,cosa
318,Rand::N,йист,vora
319,Rand::N,йист,marge
320,Kante::N,йист,caire
321,Kante::N,йист,cantell
322,Ecke::N,са,cantonada
323,Spitze::N,ралла,punta
324,Ende::N,юьхьиг,cap
325,Loch::N,ӏуьрг,forāt
326,Winkel::N,са,racó
327,Muster::N,дагар,dibuix
328,Muster::N,дагар,disseny
329,Muster::N,тӏамар,dibuix
330,Muster::N,тӏамар,disseny
331,Größe::N,барам,grandària
332,Länge::N,йохалла,longitud
333,Höhe::N,локхалла,altura
334,Höhe::N,локхалла,altitud
335,Gewicht::N,йозалла,pes
336,Menge::N,дукхалла,quantitat
337,Haufen::N,сал,pila
338,Haufen::N,оьла,pila
339,Reihe::N,рагӏ,fila
340,Reihe::N,могӏа,fila
341,Boot::N,кема,bot
342,Boot::N,кема,barca
343,Ruder::N,пийсиг,rem
344,Schlitten::N,салаз,trineu
345,Ski::N,когсалаз,esquí
346,Lagerfeuer::N,цӏе,foc de campament
347,Last::N,дукъ,càrrega
348,Gang::N,лелар,marxa
349,Schritt::N,гӏулч,pas
350,Norden::N,къилбаседе,nord
351,Süden::N,къилбе,sud
352,Westen::N,малхбузе,oest
