,Concept_ID,lbe,lez
0,Auge::N,я,вил
1,Ohr::N,вичӏи,яб
2,Nase::N,май,нер
3,Mund::N,кьацӏ,сив
4,Zahn::N,ккарччи,сас
5,Zahn::N,ккарччи,свах
6,Zunge::N,маз,мез
7,Lippe::N,мурччи,пӏуз
8,Wange::N,чӏав,хъвехъ
9,Gesicht::N,лажин,ччин
10,Stirn::N,ненттабакӏ,пел
11,Haar::N,чӏара,чӏар
12,Schnurrbart::N,ссирссилтту,спел
13,Schnurrbart::N,ссирссилтту,спелар
14,Bart::N,чӏири,ччуру
15,Kinn::N,лунттубакӏ,чене
16,Kiefer[Anatomie]::N,ххинчулул,чене
17,Kehle::N,кьакьари,туьд
18,Hals::N,ссурссу,гардан
19,Genick::N,махъабакӏ,кьам
20,Kopf::N,бакӏ,кьил
21,Rücken::N,ттиликӏ,далу
22,Bauch::N,лякьа,руфун
23,Nabel::N,цӏумуккутӏ,пицӏ
24,Busen::N,ккукку,мам
25,Brust::N,хъазам,хур
26,Schulter::N,хъачӏ,къуьн
27,Arm::N,ка,гъил
28,Ellenbogen::N,ссюрхъ,кьуьнт
29,Hand::N,бартка,капаш
30,Handfläche::N,хъат,капан юкь
31,Handfläche::N,битӏянхъ,капан юкь
32,Finger::N,кӏисса,тӏуб
33,Fingernagel::N,михь,кек
34,Nagel[Anatomie]::N,михь,кек
35,Zeh::N,кӏисса,кул
36,Fuß::N,чӏанччан,кӏвач
37,Ferse::N,никъа,дабан
38,Knie::N,ник,мет
39,Oberschenkel::N,жира,
40,Bein::N,ччан,кӏвач
41,Körper::N,чурх,беден
42,Haut::N,бурчу,хам
43,Blut::N,оь,иви
44,Ader::N,тунну,дамар
45,Sehne::N,хьхьа,кьуру дамар
46,Knochen::N,ттаркӏ,кӏараб
47,Gehirn::N,ня,мефт
48,Herz::N,дакӏ,рикӏ
49,Herz::N,къюкӏ,рикӏ
50,Magen::N,лякьа,хук
51,Atem::N,ссихӏ ласаву,ял
52,Atem::N,ссихӏ ласаву,нефес
53,Atem::N,ссихӏ бигьаву,ял
54,Atem::N,ссихӏ бигьаву,нефес
55,Hunger::N,ккаши,каш
56,Träne::N,макь,вилин нагъв
57,Geschmack::N,тӏин,дад
58,Geschmack::N,тӏин,тӏям
59,Geschmack::N,тӏааьн,дад
60,Geschmack::N,тӏааьн,тӏям
61,Geruch::N,кьанкь,ни
62,Schlaf::N,шану,ахвар
63,Traum::N,макӏру,ахвар
64,Himmel::N,ссав,цав
65,Sonne::N,баргъ,рагъ
