,Concept_ID,,he
0,Auge::N,,עין
1,Ohr::N,,אזן
2,Nase::N,,אף
3,Nase::N,,חטם
4,Mund::N,,פה
5,Zahn::N,,שן
6,Zunge::N,,לשון
7,Lippe::N,,שפה
8,Wange::N,,לחי
9,Gesicht::N,,פנים
10,Stirn::N,,מצח
11,Haar::N,,שערה
12,Schnurrbart::N,,שפם
13,Bart::N,,זקן
14,Kinn::N,,סנטר
15,Kiefer[Anatomie]::N,,לסת
16,Kehle::N,,גרון
17,Hals::N,,צואר
18,Genick::N,,ערף
19,Kopf::N,,ראש
20,Rücken::N,,גב
21,Bauch::N,,בטן
22,Nabel::N,,טבור
23,Busen::N,,שד
24,Brust::N,,חזה
25,Schulter::N,,כתף
26,Arm::N,,זרוע
27,Ellenbogen::N,,מרפק
28,Hand::N,,יד
29,Handfläche::N,,כף יד
30,Finger::N,,אצבע
31,Fingernagel::N,,צפרן
32,Nagel[Anatomie]::N,,צפרן
33,Zeh::N,,אצבע
34,Fuß::N,,רגל
35,Ferse::N,,עקב
36,Knie::N,,ברך
37,Oberschenkel::N,,ירך
38,Bein::N,,רגל
39,Körper::N,,גוף
40,Haut::N,,עור
41,Blut::N,,דם
42,Ader::N,,וריד
43,Sehne::N,,גיד
44,Knochen::N,,עצם
45,Gehirn::N,,מוח
46,Herz::N,,לב
47,Magen::N,,קבה
48,Leber::N,,כבד
49,Atem::N,,נשימה
50,Hunger::N,,רעב
51,Träne::N,,דמעה
52,Geschmack::N,,טעם
53,Geruch::N,,ריח
54,Schlaf::N,,שנה
55,Traum::N,,חלום
56,Himmel::N,,שמים
57,Sonne::N,,שמש
58,Mond::N,,ירח
59,Stern::N,,כוכב
60,Luft::N,,אויר
61,Wind::N,,רוח
62,Welle::N,,גל
63,Wasser::N,,מים
64,Stein::N,,אבן
65,Boden::N,,קרקע
66,Erde::N,,אדמה
67,Staub::N,,אבק
68,Rauch::N,,עשן
69,Funke::N,,ניצוץ
70,Feuer::N,,אש
71,Licht::N,,אור
72,Schatten::N,,צל
73,Wetter::N,,מזג אויר
74,Nebel::N,,ערפל
75,Wolke::N,,ענן
76,Regen::N,,גשם
77,Schnee::N,,שלג
78,Eis::N,,קרח
