,Concept_ID,av,ps
0,Ohr::N,гӏин,غوږ
1,Nase::N,мегӏер,پوزه
2,Mund::N,кӏал,خوله
3,Zahn::N,гӏус,غاښ
4,Zunge::N,мацӏ,جبه
5,Lippe::N,кӏветӏ,شونډه
6,Wange::N,гӏоно,باړخو
7,Gesicht::N,гьумер,مخ
8,Stirn::N,нодо,تندی
9,Stirn::N,нодо,وچولی
10,Haar::N,рас,وېښته
11,Schnurrbart::N,михъ,برېت
12,Bart::N,мегеж,ږیره
13,Kinn::N,нилъу,زنه
14,Kiefer[Anatomie]::N,чанагъ,جامه
15,Kehle::N,щекъер,غاړه
16,Hals::N,габур,غاړه
17,Genick::N,гъванща,ورمېږ
18,Kopf::N,бетӏер,سر
19,Rücken::N,мугъ,شا
20,Bauch::N,чехь,نس
21,Bauch::N,чехь,ګېډه
22,Nabel::N,цӏину,نوم
23,Busen::N,керен,تی
24,Brust::N,керен,سینه
25,Schulter::N,гъажазубетӏер,اوږه
26,Arm::N,гъеж,لاس
27,Ellenbogen::N,гӏункӏрукь,څنګل
28,Hand::N,квер,لاس
29,Handfläche::N,огъохъат,ورغوی
30,Handfläche::N,жанисахъат,ورغوی
31,Finger::N,килищ,ګوته
32,Fingernagel::N,малъ,نوک
33,Nagel[Anatomie]::N,малъ,نوک
34,Zeh::N,килищ,ګوته
35,Fuß::N,хӏетӏ,پښه
36,Fuß::N,хӏетӏе,پښه
37,Ferse::N,эгъе,پونده
38,Knie::N,наку,زنګون
39,Oberschenkel::N,мачӏ,پتون
40,Bein::N,бох,پښه
41,Körper::N,къаркъала,ځان
42,Haut::N,тӏом,پوټکی
43,Blut::N,би,وینه
44,Ader::N,бидурихь,رګ
45,Knochen::N,ракьа,هډوکی
46,Gehirn::N,гӏадалнах,ماغزه
47,Herz::N,ракӏ,زړه
48,Magen::N,кванирукъ,معده
49,Leber::N,тӏул,ينه
50,Leber::N,тӏул,ځیګر
51,Atem::N,хӏухь,نفس
52,Hunger::N,ракъи,ولږه
53,Träne::N,магӏу,اوښکه
54,Geschmack::N,тату,مزه
55,Geschmack::N,тату,خوند
56,Geruch::N,махӏ,بوی
57,Schlaf::N,макьу,خوب
58,Traum::N,макьу,خوب
59,Himmel::N,зоб,اسمان
60,Sonne::N,бакъ,لمر
61,Mond::N,моцӏ,سپوږمۍ
62,Stern::N,цӏва,ستوری
63,Luft::N,гьава,هوا
64,Wind::N,гьури,ورښ
65,Welle::N,карачел,موج
66,Wasser::N,лъим,اوبه
67,Stein::N,гьецӏо,ډبره
68,Boden::N,ракь,مځکه
69,Erde::N,ракь,خاوره
70,Erde::N,дуниял,خاوره
71,Staub::N,хӏур,ګرد
72,Staub::N,хӏур,خاوره
73,Rauch::N,кӏкӏуй,دود
74,Rauch::N,кӏкӏуй,لوګی
75,Feuer::N,цӏа,اور
76,Licht::N,канлъи,رڼا
77,Schatten::N,рагӏад,سیوری
78,Wetter::N,гьава-бакъ,هوا
79,Nebel::N,гӏодобнакӏкӏ,لړه
80,Wolke::N,накӏкӏ,ورېځ
81,Regen::N,цӏад,وریا
82,Regen::N,цӏад,باران
83,Schnee::N,гӏазу,واوره
84,Eis::N,цӏер,یخ
85,Eis::N,цӏер,کنګل
86,Frost::N,замгьари,یخ
87,Kälte::N,квач,ساړه
88,Hitze::N,багӏари,تودوخي
89,Raureif::N,мартӏ,سپینه پرخه
90,Regenbogen::N,нур,بوډۍ ټال
91,Regenbogen::N,нур,سره زرغونه
92,Regenbogen::N,чамбара,بوډۍ ټال
93,Regenbogen::N,чамбара,سره زرغونه
94,Donner::N,гъугъай,تالنده
95,Donner::N,гъугъади,تالنده
96,Strömung::N,чвахи,بهېدنه
97,Tropfen::N,резел,قطره
98,Tropfen::N,резел,څاڅکی
