,Concept_ID,kk,es
0,Auge::N,көз,ojo
1,Ohr::N,құлақ,oreja
2,Nase::N,мұрын,nariz
3,Mund::N,ауыз,boca
4,Zahn::N,тіс,diente
5,Zunge::N,тіл,lengua
6,Lippe::N,ерін,labio
7,Wange::N,ұрт,mejilla
8,Gesicht::N,бет-аузы,cara
9,Stirn::N,маңдай,frente
10,Haar::N,қыл,cabello
11,Schnurrbart::N,мұрт,bigote
12,Bart::N,сақал,barba
13,Kinn::N,иек,barbilla
14,Kiefer[Anatomie]::N,жақ,mandíbula
15,Kehle::N,алқым,garganta
16,Hals::N,мойын,cuello
17,Genick::N,желке,nuca
18,Genick::N,желке,cerviz
19,Kopf::N,кәллә,cabeza
20,Rücken::N,арқа,espalda
21,Bauch::N,қарын,vientre
22,Nabel::N,кіндік,ombligo
23,Busen::N,омырау,pecho
24,Brust::N,кеуде,pecho
25,Schulter::N,иық,hombro
26,Arm::N,қол,brazo
27,Ellenbogen::N,шынтақ,codo
28,Hand::N,қол,mano
29,Handfläche::N,алақан,palma
30,Finger::N,саусақ,dedo
31,Fingernagel::N,тырнақ,uña
32,Nagel[Anatomie]::N,тырнақ,uña
33,Zeh::N,тырнақ,dedo del pie
34,Zeh::N,тұяқ,dedo del pie
35,Fuß::N,аяқ-басы,pie
36,Ferse::N,өкше,talón
37,Ferse::N,өкшелік,talón
38,Knie::N,тізе,rodilla
39,Oberschenkel::N,жамбас,muslo
40,Bein::N,аяқ,pierna
41,Körper::N,дене,cuerpo
42,Haut::N,тері,piel
43,Blut::N,қан,sangre
44,Ader::N,көктамыр,vena
45,Ader::N,күретамыр,vena
46,Sehne::N,сіңір,tendón
47,Knochen::N,жілік,hueso
48,Gehirn::N,ми,cerebro
49,Gehirn::N,ми,encéfalo
50,Herz::N,жүрек,corazón
51,Magen::N,асқазан,estómago
52,Leber::N,бауыр,hígado
53,Atem::N,леп,aliento
54,Hunger::N,ашаршылық,hambre
55,Träne::N,жас,lágrima
56,Geschmack::N,дәм,gusto
57,Geschmack::N,татым,gusto
58,Geschmack::N,талғам,gusto
59,Geruch::N,иіс,olor
60,Schlaf::N,ұйқы,sueño
61,Schlaf::N,ұйықтау,sueño
62,Traum::N,түс,sueño
63,Traum::N,түс,ensueño
64,Himmel::N,аспан,cielo
65,Himmel::N,көқ,cielo
66,Himmel::N,таңдай,cielo
67,Sonne::N,күн,sol
68,Mond::N,ай,luna
69,Stern::N,жұлдыз,estrella
70,Luft::N,әуе,aire
71,Wind::N,жел,viento
72,Welle::N,толқын,ola
73,Welle::N,толқын,onda
74,Wasser::N,су,agua
75,Stein::N,тас,piedra
76,Boden::N,қыртыс,suelo
77,Erde::N,топырақ,tierra
78,Staub::N,шаң,polvo
79,Rauch::N,түтін,humo
80,Funke::N,ұшқын,chispa
81,Feuer::N,алау,fuego
82,Licht::N,шұғыла,luz
83,Schatten::N,көлеңке,sombra
84,Wetter::N,ауа райы,tiempo
85,Nebel::N,тұман,niebla
86,Wolke::N,бұлт,nube
87,Regen::N,жаңбыр,lluvia
88,Schnee::N,қар,nieve
89,Eis::N,мұз,hielo
90,Frost::N,суық,helada
91,Kälte::N,ызғар,frío
92,Kälte::N,суықтық,frío
93,Hitze::N,аптап,calor
94,Raureif::N,қырау,escarcha
95,Regenbogen::N,кемпірқосақ,arco iris
96,Donner::N,күн күркіреу,trueno
97,Strömung::N,ағын,corriente
98,Tropfen::N,тамшы,gota
99,Schaum::N,көбік,espuma
100,Schmutz::N,кір,suciedad
101,See::N,көл,lago
102,Sumpf::N,саз,pantano
103,Moor::N,саз,turbera
104,Wiese::N,шалғын,prado
105,Wiese::N,шалғын,pradera
106,Wald::N,орман,bosque
107,Hügel::N,төбе,colina
108,Hügel::N,белес,colina
109,Hügel::N,белес-белес,colina
110,Anhöhe::N,дөң,cerro
111,Anhöhe::N,адыр,cerro
112,Anhöhe::N,қырат,cerro
113,Berg::N,тау,monte
114,Berg::N,тау,montaña
115,Gipfel::N,төбе,cima
116,Gipfel::N,төбе,cumbre
117,Höhle::N,үңгір,cueva
118,Höhle::N,үңгір,caverna
119,Abhang::N,бауыр,cuesta
120,Abhang::N,бауыр,declive
121,Quelle::N,қайнар,fuente
122,Quelle::N,қайнар,manantial
123,Bach::N,жылға,arroyo
124,Fluss::N,өзен,río
125,Ufer::N,жиек,orilla
126,Küste::N,жиегі,costa
127,Küste::N,жағалау,costa
128,Festland::N,құрылық,tierra firme
129,Meer::N,теңіз,mar
130,Bucht::N,шығанақ,cala
131,Bucht::N,шығанақ,bahía
132,Insel::N,арал,isla
133,Blume::N,гүл,flor
134,Gras::N,от,hierba
135,Wurzel::N,түбір,raíz
136,Baum::N,ағаш,árbol
137,Baum::N,дарақ,árbol
138,Stamm::N,сояу,tronco
139,Stamm::N,оқпан,tronco
140,Rinde::N,қабық,corteza
141,Ast::N,бұтақ,rama
142,Zweig::N,шыбық,ramo
143,Blatt::N,жапырақ,hoja
144,Birke::N,қайың,abedul
145,Kiefer[Baum]::N,қарағай,pino
146,Weide[Baum]::N,тал,sauce
147,Tanne::N,шырша,abeto
148,Horn::N,мүйіз,asta
149,Horn::N,мүйіз,cuerno
150,Feder::N,қаламұш,pluma
151,Fell::N,тері,piel
152,Flügel::N,қанат,ala
153,Klaue::N,тырнақ,garra
154,Kralle::N,аяқ,uña
155,Kralle::N,аяқ,garra
156,Schwanz::N,құйрық,cola
157,Ei::N,жұмыртқа,huevo
158,Nest::N,ұя,nido
159,Bau::N,жатақ,madriguera
160,Tier::N,айуан,animal
161,Tier::N,жануар,animal
162,Herde::N,пада,rebaño
163,Kuh::N,сиыр,vaca
164,Bulle::N,өгіз,toro
165,Pferd::N,жылқы,caballo
166,Schaf::N,қой,oveja
167,Schwein::N,шошқа,cerdo
168,Hund::N,ит,perro
169,Katze::N,мысық,gato
170,Bär::N,аю,oso
171,Eichhörnchen::N,тиін,ardilla
172,Elch::N,бұғы,alce
173,Fuchs::N,түлкі,zorro
174,Hase::N,қоян,liebre
175,Maus::N,қаптесер,ratón
176,Wolf::N,бөрі,lobo
177,Wolf::N,қасқыр,lobo
178,Vogel::N,құс,ave
179,Vogel::N,құс,pájaro
180,Schwarm::N,топ,bandada
181,Schwarm::N,үйір,bandada
182,Huhn::N,тауық,gallina
183,Huhn::N,мекиен,gallina
184,Hahn::N,әтеш,gallo
185,Hahn::N,қораз,gallo
186,Gans::N,қаз,oca
187,Gans::N,қаз,ganso
188,Adler::N,бүркіт,águila
189,Ente::N,үйрек,pato
190,Eule::N,жапалақ,lechuza
191,Kranich::N,тырна,grulla
192,Krähe::N,қарға,corneja
193,Kuckuck::N,көкек,cuco
194,Schwan::N,аққу,cisne
195,Fisch::N,балық,pez
196,Barsch::N,алабұға,perca
197,Hecht::N,шортан,lucio
198,Schlange[Tier]::N,жылан,serpiente
199,Wurm::N,шұбалшаң,gusano
200,Spinne::N,өрмекші,araña
201,Ameise::N,қүмырска,hormiga
202,Laus::N,бит,piojo
203,Mücke::N,маса,mosquito
204,Fliege::N,шыбын,mosca
205,Schmetterling::N,көбелек,mariposa
206,Beere::N,жидек,baya
207,Apfel::N,алма,manzana
208,Pilz::N,қозықұйрық,seta
209,Pilz::N,қозықұйрық,hongo
210,Pilz::N,саңыраукулақ,seta
211,Pilz::N,саңыраукулақ,hongo
212,Zwiebel::N,жуа,cebolla
213,Saat::N,тұқым,siembra
214,Korn::N,дән,grano
215,Heu::N,шөп,heno
216,Schale::N,қабық,cáscara
217,Schale::N,қабығы,cáscara
218,Grube::N,ор,foso
219,Falle::N,дұзақ,trampa
220,Falle::N,қақпан,trampa
221,Schlinge::N,ілмек,lazo
222,Spur::N,із,huella
223,Asche::N,күл,ceniza
224,Dreck::N,былғаныш,suciedad
225,Eisen::N,темір,hierro
226,Gold::N,алтын,oro
227,Silber::N,күміс,plata
228,Kohle::N,көмір,carbón
229,Glas::N,шыны,vidrio
230,Glas::N,шыны,cristal
231,Lehm::N,балшық,barro
232,Sand::N,құм,arena
233,Mensch::N,адам,hombre
234,Mensch::N,адам,ser humano
235,Mann::N,еркек,hombre
236,Mann::N,ер адам,hombre
237,Frau::N,бике,mujer
238,Frau::N,қатын,mujer
239,Kind::N,бала,niño
240,Kind::N,перзент,niño
241,Junge::N,бала,chico
242,Junge::N,бала,muchacho
243,Junge::N,ер бала,chico
244,Junge::N,ер бала,muchacho
245,Mädchen::N,қыз,chica
246,Mädchen::N,қыз,muchacha
247,Familie::N,жанұя,familia
248,Großvater::N,ата,abuelo
249,Großmutter::N,әже,abuela
250,Großmutter::N,әжей,abuela
251,Eltern::N,ата-аналар,padres
252,Vater::N,әке,padre
253,Mutter::N,ана,madre
254,Sohn::N,ұл,hijo
255,Tochter::N,қызым,hija
256,Bruder::N,бауырым,hermano
257,Schwester::N,әпке,hermana
258,Onkel::N,көке,tío
259,Tante::N,тәте,tía
260,Ehemann::N,ер,esposo
261,Ehefrau::N,зайып,esposa
262,Freude::N,қуаныш,placer
263,Freude::N,қуаныш,alegría
264,Freude::N,сүйініш,placer
265,Freude::N,сүйініш,alegría
266,Freude::N,шат-думан,placer
267,Freude::N,шат-думан,alegría
268,Freude::N,қуаныштылық,placer
269,Freude::N,қуаныштылық,alegría
270,Gelächter::N,күлу,risa
271,Gelächter::N,күлу,carcajada
272,Glück::N,бақыт,felicidad
273,Glück::N,бақыттылық,felicidad
274,Kummer::N,аза,pena
275,Kummer::N,қайғы,pena
276,Kummer::N,қасырет,pena
277,Wunsch::N,мүдде,deseo
278,Lust::N,тәбет,ganas
279,Lust::N,ынтызар,ganas
280,Lust::N,құштарлық,ganas
281,Geist::N,рух,mente
282,Geist::N,рух,espíritu
283,Gedanke::N,ой,idea
284,Gedanke::N,ой,pensamiento
285,Gedächtnis::N,ес,memoria
286,Gedächtnis::N,жады,memoria
287,Gedächtnis::N,ақыл-ес,memoria
288,Verstand::N,ақыл,razón
289,Verstand::N,ақыл,entendimiento
290,Verstand::N,парасат,razón
291,Verstand::N,парасат,entendimiento
292,Sinn::N,мән,sentido
293,Sinn::N,мән,significado
294,Sinn::N,маныз,sentido
295,Sinn::N,маныз,significado
296,Sinn::N,мағына,sentido
297,Sinn::N,мағына,significado
298,Sinn::N,мән-мағына,sentido
299,Sinn::N,мән-мағына,significado
300,Grund::N,себеп,causa
301,Wahrheit::N,рас,verdad
302,Gespräch::N,әңгіме,conversación
303,Märchen::N,ертеп,cuento
304,Märchen::N,ертек,cuento
305,Erzählung::N,әңгіме,cuento
306,Erzählung::N,әңгіме,narración
307,Nachricht::N,хабар,mensaje
308,Neuigkeit::N,жаңалық,noticia
309,Name::N,ат,nombre
310,Name::N,атау,nombre
311,Rätsel::N,жұмбақ,acertijo
312,Rätsel::N,жұмбақ,adivinanza
313,Rede::N,сөз,discurso
314,Sprache::N,тіл,lengua
315,Stimme::N,үн,voz
316,Stimme::N,әуен,voz
317,Stimme::N,дауыс,voz
318,Wort::N,сөз,palabra
319,Zeichen::N,ишара,señal
320,Ruf::N,айғай,llamada
321,Lärm::N,айғай-шу,ruido
322,Lärm::N,айғай-шу,barullo
323,Lärm::N,айғай-ұйғай,ruido
324,Lärm::N,айғай-ұйғай,barullo
325,Laut::N,дыбыс,sonido
326,Laut::N,дауыс,sonido
327,Ton::N,әуен,tono
328,Lied::N,ән,canción
329,Lied::N,жыр,canción
330,Lied::N,ән-жыр,canción
331,Ruhe::N,тыныштық,calma
332,Ruhe::N,тыныштық,silencio
333,Leute::N,кісілер,gente
334,Volk::N,халық,pueblo
335,Arbeit::N,еңбек,trabajo
336,Gast::N,қонақ,huésped
337,Gast::N,қонақ,invitado
338,Gast::N,мейман,huésped
339,Gast::N,мейман,invitado
340,Geschenk::N,қадия,regalo
341,Spiel::N,ойын,juego
342,Gesellschaft::N,қауым,compañía
343,Gesellschaft::N,жұртшылық,compañía
344,Hilfe::N,жэрдем,ayuda
345,Hilfe::N,жэрдем,socorro
346,Freund::N,дос,amigo
347,Kamerad::N,дос-жар,camarada
348,Kamerad::N,дос-жар,compañero
349,Angelegenheit::N,жұмыс,asunto
350,Anzahl::N,сан,cantidad
351,Anzahl::N,саны,cantidad
352,Art::N,түр,tipo
353,Art::N,түр,clase
354,Stück::N,тілім,pieza
355,Teil::N,үлес,parte
356,Teil::N,бөлшек,parte
357,Hälfte::N,жарты,mitad
358,Kreis::N,шеңбер,círculo
359,Kreuz::N,крест,cruz
360,Linie::N,сызық,línea
361,Strich::N,сызық,raya
362,Strich::N,сызық,trazo
363,Abstand::N,ара,distancia
364,Abstand::N,аралық,distancia
365,Entfernung::N,аралық,distancia
366,Gegend::N,өңір,región
367,Gegend::N,өңір,comarca
368,Platz::N,орны,espacio
369,Ort::N,орын,sitio
370,Seite::N,жақ,lado
371,Seite::N,жақ,costado
372,Seite::N,бүйір,lado
373,Seite::N,бүйір,costado
374,Mitte::N,ортасы,medio
375,Mitte::N,ортасы,centro
376,Gegenstand::N,зат,objeto
377,Gegenstand::N,нәрсе,objeto
378,Sache::N,бұйым,cosa
379,Rand::N,шет,borde
380,Rand::N,шеті,borde
381,Kante::N,қыр,borde
382,Kante::N,қыры,borde
383,Ecke::N,қыры,esquina
384,Ecke::N,бұрыш,esquina
385,Spitze::N,ұшы,punta
386,Ende::N,аяқ,cabo
387,Ende::N,аяқ,extremo
388,Ende::N,соңы,cabo
389,Ende::N,соңы,extremo
390,Loch::N,тесік,agujero
391,Loch::N,тесік,abertura
392,Winkel::N,мүйіс,ángulo
393,Muster::N,мәнер,dibujo
394,Größe::N,ауқым,tamaño
395,Größe::N,көлемдік,tamaño
396,Länge::N,бой,longitud
397,Länge::N,ұзындық,longitud
398,Höhe::N,жоғарылық,altura
399,Höhe::N,жоғарылық,altitud
400,Höhe::N,биіктік,altura
401,Höhe::N,биіктік,altitud
402,Gewicht::N,салмақ,peso
403,Menge::N,мөлшер,cantidad
404,Haufen::N,үйме,montón
405,Haufen::N,үйінді,montón
406,Reihe::N,сап,fila
407,Boot::N,қайық,bote
408,Boot::N,қайық,barca
409,Ruder::N,ескек,remo
410,Schlitten::N,шана,trineo
411,Ski::N,шаңғы,esquí
412,Lagerfeuer::N,алау,hoguera
413,Last::N,ауырлық,carga
414,Last::N,ауыр зат,carga
415,Gang::N,жүріс,marcha
416,Schritt::N,адым,paso
417,Norden::N,солтүстік,norte
418,Norden::N,терістік,norte
419,Süden::N,оңтүстік,sur
420,Westen::N,батыс,oeste
421,Osten::N,күншығыс,este
422,Holz::N,ағаш,madera
423,Holz::N,сүрек,madera
424,Brett::N,тақта,tabla
425,Platte::N,тақта,placa
426,Platte::N,тақта,plancha
427,Stütze::N,тіреу,sostén
428,Stütze::N,тіреу,soporte
429,Stange::N,қада,vara
430,Stange::N,қада,percha
431,Stock::N,сойыл,palo
432,Stock::N,сойыл,bastón
433,Stab::N,сырық,vara
434,Stab::N,сырық,bastón
435,Rohr::N,құбыр,tubo
436,Haus::N,үй,casa
437,Heim::N,үйлі,hogar
438,Heim::N,шаңырақ,hogar
439,Ofen::N,ошақ,estufa
440,Ofen::N,пеш,estufa
441,Fußboden::N,еден,suelo
442,Tisch::N,үстел,mesa
443,Stuhl::N,орындық,silla
444,Wiege::N,бесік,cuna
445,Bett::N,кереует,cama
446,Regal::N,сөре,estantería
447,Kiste::N,жәшік,caja
448,Fenster::N,терезе,ventana
449,Tür::N,есік,puerta
450,Tor::N,дарбаза,puerta
451,Zaun::N,дуал,valla
452,Zaun::N,дуал,cercado
453,Dach::N,шатыр,techo
454,Dach::N,шатыр,tejado
455,Leiter::N,саты,escalera
456,Leiter::N,басқыш,escalera
457,Besen::N,сыпырғыш,escoba
458,Spaten::N,күрек,pala
459,Schaufel::N,қалақ,pala
460,Schaufel::N,қалақ,paleta
461,Gabel::N,аша,tenedor
462,Gabel::N,шанышқы,tenedor
463,Löffel::N,қасық,cuchara
464,Messer::N,пышақ,cuchillo
465,Nagel::N,мық,clavo
466,Nagel::N,шеге,clavo
467,Netz::N,керегекөз,red
468,Haken::N,ілмек,gancho
469,Haken::N,ілмек,corchete
470,Griff::N,сап,asa
471,Griff::N,сап,mango
472,Griff::N,тұтқа,asa
473,Griff::N,тұтқа,mango
474,Schloss::N,құлып,cerradura
475,Schloss::N,бекіткіш,cerradura
476,Bild::N,сурет,imagen
477,Figur::N,тұлға,figura
478,Puppe::N,қуыршақ,muñeca
479,Beutel::N,қапшық,bolsa
480,Bündel::N,байлам,haz
481,Tasche::N,дорба,bolso
482,Eimer::N,шелек,cubo
483,Deckel::N,жапқыш,tapa
484,Deckel::N,жапқыш,tapadera
485,Geschirr::N,ыдыс,vajilla
486,Sack::N,қап,saco
487,Tasse::N,шыныаяқ,taza
488,Topf::N,кәстрөл,olla
489,Topf::N,кәстрөл,marmita
490,Kessel::N,қазан,caldera
491,Essen::N,ас,comida
492,Nahrung::N,ас,alimento
493,Nahrung::N,тамақ,alimento
494,Speise::N,тағам,plato
495,Fleisch::N,ет,carne
496,Getreide::N,дәнді,cereales
497,Brei::N,ботқа,puré
498,Brei::N,ботқа,papilla
499,Brot::N,күлше,pan
500,Scheibe::N,тілім,lonja
501,Scheibe::N,тілім,rebanada
502,Fett::N,май,grasa
503,Butter::N,май,mantequilla
504,Öl::N,май,aceite
505,Salz::N,тұз,sal
506,Suppe::N,көже,sopa
507,Honig::N,бал,miel
508,Milch::N,сүт,leche
509,Tee::N,шай,té
510,Leder::N,көн,cuero
511,Wolle::N,жүн,lana
512,Stoff::N,мата,tela
513,Stoff::N,мата,tejido
514,Stoff::N,кездеме,tela
515,Stoff::N,кездеме,tejido
516,Nadel::N,ине,aguja
517,Faden::N,жіп,hilo
518,Knopf::N,түйме,botón
519,Knoten::N,түйін,nudo
520,Farbe::N,рең,pintura
521,Kleidung::N,киім,ropa
522,Kleidung::N,киім,vestidos
523,Hemd::N,жейде,camisa
524,Kragen::N,жаға,cuello
525,Ärmel::N,жең,manga
526,Hose::N,шалбар,pantalón
527,Gürtel::N,белбеу,cinturón
528,Mütze::N,қалпақ,gorro
