,Concept_ID,fa,ru
0,Auge::N,چشم,глаз
1,Ohr::N,گوش,ухо
2,Nase::N,بینی,нос
3,Mund::N,دهان,рот
4,Zahn::N,دندان,зуб
5,Zunge::N,زبان,язык
6,Lippe::N,لب,губа
7,Wange::N,لپ,щека
8,Gesicht::N,رو,лицо
9,Gesicht::N,چهره,лицо
10,Stirn::N,پیشانی,лоб
11,Haar::N,مو,волос
12,Haar::N,مو,волосы
13,Schnurrbart::N,سبیل,ус
14,Schnurrbart::N,سبیل,усы
15,Bart::N,ریش,борода
16,Kinn::N,چانه,подбородок
17,Kiefer[Anatomie]::N,فک,челюсть
18,Kiefer[Anatomie]::N,آرواره,челюсть
19,Kehle::N,حلق,горло
20,Hals::N,گردن,шея
21,Genick::N,پشت گردن,затылок
22,Kopf::N,سر,голова
23,Kopf::N,کله,голова
24,Rücken::N,پشت,спина
25,Bauch::N,شکم,живот
26,Nabel::N,ناف,пупок
27,Busen::N,پستان,женская грудь
28,Brust::N,سینه,грудь
29,Schulter::N,دوش,плечо
30,Schulter::N,شانه,плечо
31,Arm::N,بازو,рука
32,Ellenbogen::N,آرنج,локоть
33,Hand::N,دست,кисть
34,Handfläche::N,کف دست,ладонь
35,Finger::N,انگشت,палец
36,Fingernagel::N,ناخن دست,ноготь
37,Nagel[Anatomie]::N,ناخن,ноготь
38,Zeh::N,انگشت پا,палец
39,Fuß::N,پا,ступня
40,Ferse::N,پاشنه,пята
41,Ferse::N,پاشنه,пятка
42,Knie::N,زانو,колено
43,Oberschenkel::N,ران,бедро
44,Bein::N,پا,нога
45,Bein::N,لنگ,нога
46,Körper::N,تن,тело
47,Körper::N,بدن,тело
48,Haut::N,پوست,кожа
49,Blut::N,خون,кровь
50,Ader::N,رگ,вена
51,Ader::N,رگ,сосуд
52,Sehne::N,زردپی,жила
53,Sehne::N,زردپی,тетива
54,Sehne::N,زردپی,сухожилие
55,Knochen::N,استخوان,кость
56,Gehirn::N,مخ,мозг
57,Gehirn::N,مغز,мозг
58,Herz::N,دل,сердце
59,Herz::N,قلب,сердце
60,Magen::N,معده,желудок
61,Leber::N,کبد,печень
62,Atem::N,نفس,дух
63,Atem::N,نفس,дыхание
64,Hunger::N,گرسنگی,голод
65,Träne::N,اشک,слеза
66,Geschmack::N,مزه,вкус
67,Geruch::N,بو,запах
68,Schlaf::N,خواب,сон
69,Traum::N,رؤیا,сновидение
70,Himmel::N,فلک,небо
71,Himmel::N,آسمان,небо
72,Sonne::N,آفتاب,солнце
73,Sonne::N,خورشید,солнце
74,Mond::N,ماه,луна
75,Stern::N,ستاره,звезда
76,Luft::N,هوا,воздух
77,Wind::N,باد,ветер
78,Welle::N,موج,волна
79,Wasser::N,آب,вода
80,Stein::N,سنگ,камень
81,Boden::N,زمین,почва
82,Erde::N,خاک,земля
83,Erde::N,زمین,земля
84,Staub::N,گرد,пыль
85,Staub::N,غبار,пыль
86,Rauch::N,دود,дым
87,Funke::N,جرقه,искра
88,Feuer::N,آتش,огонь
89,Licht::N,نور,свет
90,Licht::N,روشنی,свет
91,Schatten::N,سایه,тень
92,Wetter::N,هوا,погода
93,Nebel::N,مه,туман
94,Wolke::N,ابر,облако
95,Regen::N,باران,дождь
96,Schnee::N,برف,снег
97,Eis::N,یخ,лед
98,Frost::N,یخبندان,мороз
99,Kälte::N,سرما,холод
100,Hitze::N,گرما,жара
101,Hitze::N,حرارت,жара
102,Raureif::N,برف ریزه,иней
103,Regenbogen::N,رنگین‌کمان,радуга
104,Donner::N,رعد,гром
105,Strömung::N,جریان,течение
106,Tropfen::N,قطره,капля
107,Schaum::N,کف,пена
108,Schmutz::N,گل,грязь
109,Schmutz::N,کثافت,грязь
110,See::N,دریاچه,озеро
111,Sumpf::N,مرداب,топь
112,Sumpf::N,باتلاق,топь
113,Moor::N,باتلاق,болото
114,Wiese::N,چمن,луг
115,Wald::N,جنگل,лес
116,Hügel::N,تل,холм
117,Hügel::N,تپه,холм
118,Anhöhe::N,بلندی,возвышенность
119,Berg::N,کوه,гора
120,Gipfel::N,قله,вершина
121,Höhle::N,غار,пещера
122,Abhang::N,سرازیری,склон
123,Quelle::N,چشمه,источник
124,Bach::N,نهر,ручей
125,Fluss::N,رود,река
126,Ufer::N,ساحل,берег
127,Ufer::N,کرانه,берег
128,Küste::N,ساحل,побережье
129,Festland::N,خشکی,суша
130,Meer::N,دریا,море
131,Bucht::N,خلیج,бухта
132,Insel::N,جزیره,остров
133,Blume::N,گل,цветок
134,Gras::N,علف,трава
135,Wurzel::N,ریشه,корень
136,Baum::N,درخت,дерево
137,Stamm::N,تنه,ствол
138,Rinde::N,توژ,кора
139,Rinde::N,پوست,кора
140,Ast::N,شاخه,сук
141,Zweig::N,شاخه,ветвь
142,Blatt::N,برگ,лист
143,Birke::N,غان,береза
144,Kiefer[Baum]::N,کاج,сосна
145,Weide[Baum]::N,بید,ива
146,Tanne::N,صنوبر,ель
147,Horn::N,شاخ,рог
148,Feder::N,پر,перо
149,Fell::N,خز,шкура
150,Flügel::N,پر,крыло
151,Flügel::N,بال,крыло
152,Klaue::N,چنگ,коготь
153,Klaue::N,پنجه,коготь
154,Kralle::N,پنجه,лапа
155,Schwanz::N,دم,хвост
156,Ei::N,تخم,яйцо
157,Nest::N,لانه,гнездо
158,Bau::N,بنا,нора
159,Bau::N,ساختمان,нора
160,Tier::N,هیوان,животное
161,Herde::N,رمه,стадо
162,Kuh::N,گاو,корова
163,Bulle::N,گاو نر,бык
164,Pferd::N,اسب,лошадь
165,Schaf::N,گوسفند,овца
166,Schwein::N,خوک,свинья
167,Hund::N,سگ,собака
168,Katze::N,گربه,кошка
169,Bär::N,خرس,медведь
170,Eichhörnchen::N,سنجاب,белка
171,Elch::N,گوزن شمالی,лось
172,Fuchs::N,روباه,лиса
173,Hase::N,خرگوش,заяц
174,Maus::N,موش,мышь
175,Wolf::N,گرگ,волк
176,Vogel::N,پرنده,птица
177,Schwarm::N,دسته,стая
178,Huhn::N,مرغ,курица
179,Hahn::N,خروس,петух
180,Gans::N,غاز,гусь
181,Adler::N,عقاب,орел
182,Ente::N,اردک,утка
183,Ente::N,مرغابی,утка
184,Eule::N,جغد,сова
185,Kranich::N,درنا,журавль
186,Krähe::N,زاغ,ворона
187,Krähe::N,کلاغ,ворона
188,Kuckuck::N,فاخته,кукушка
189,Schwan::N,قو,лебедь
190,Fisch::N,ماهی,рыба
191,Barsch::N,ماهی خاردار,окунь
192,Hecht::N,اردک ماهی,щука
193,Schlange[Tier]::N,مار,змея
194,Wurm::N,کرم,червяк
195,Spinne::N,عنکبوت,паук
196,Ameise::N,مورچه,муравей
197,Laus::N,شپش,вошь
198,Mücke::N,پشه,комар
199,Fliege::N,مگس,муха
200,Schmetterling::N,پروانه,бабочка
201,Beere::N,گیله,ягода
202,Apfel::N,سیب,яблоко
203,Pilz::N,قارچ,гриб
204,Zwiebel::N,پیاز,луковица
205,Saat::N,بذر,семя
206,Korn::N,تخم,зерно
207,Korn::N,دانه,зерно
208,Heu::N,علف خشک,сено
209,Schale::N,پوست,шелуха
210,Grube::N,گودال,яма
211,Falle::N,دام,ловушка
212,Schlinge::N,حلقه,силок
213,Spur::N,رد,след
214,Asche::N,خاکستر,зола
215,Asche::N,خاکستر,пепел
