,Concept_ID,ps,ga
0,Auge::N,سترګه,súil
1,Ohr::N,غوږ,cluas
2,Nase::N,پوزه,soc
3,Mund::N,خوله,béal
4,Zahn::N,غاښ,fiacail
5,Zunge::N,جبه,teanga
6,Lippe::N,شونډه,liopa
7,Wange::N,باړخو,grua
8,Wange::N,باړخو,leiceann
9,Gesicht::N,مخ,éadan
10,Gesicht::N,مخ,aghaidh
11,Stirn::N,تندی,baithis
12,Stirn::N,تندی,clár éadain
13,Stirn::N,وچولی,baithis
14,Stirn::N,وچولی,clár éadain
15,Haar::N,وېښته,gruaig
16,Schnurrbart::N,برېت,croiméal
17,Bart::N,ږیره,féasóg
18,Kinn::N,زنه,smig
19,Kiefer[Anatomie]::N,جامه,giall
20,Kehle::N,غاړه,scornach
21,Hals::N,غاړه,muinéal
22,Genick::N,ورمېږ,baic
23,Kopf::N,سر,ceann
24,Rücken::N,شا,droim
25,Bauch::N,نس,bolg
26,Bauch::N,ګېډه,bolg
27,Nabel::N,نوم,imleacán
28,Busen::N,تی,cíoch
29,Brust::N,سینه,brollach
30,Schulter::N,اوږه,gualainn
31,Arm::N,لاس,lámh
32,Ellenbogen::N,څنګل,uillinn
33,Hand::N,لاس,lámh
34,Handfläche::N,ورغوی,bos
35,Finger::N,ګوته,méar
36,Fingernagel::N,نوک,ionga
37,Nagel[Anatomie]::N,نوک,ionga
38,Zeh::N,ګوته,ladhar
39,Fuß::N,پښه,cos
40,Fuß::N,پښه,troigh
41,Ferse::N,پونده,sáil
42,Knie::N,زنګون,glúin
43,Oberschenkel::N,پتون,ceathrú
44,Bein::N,پښه,cos
45,Körper::N,ځان,corp
46,Körper::N,ځان,colainn
47,Haut::N,پوټکی,cneas
48,Haut::N,پوټکی,craiceann
49,Blut::N,وینه,fuil
50,Ader::N,رګ,
51,Sehne::N,پله,teannán
52,Sehne::N,پله,féitheog
53,Knochen::N,هډوکی,cnámh
54,Gehirn::N,ماغزه,inchinn
55,Herz::N,زړه,croí
56,Magen::N,معده,bolg
57,Magen::N,معده,goile
58,Leber::N,ينه,ae
59,Leber::N,ځیګر,ae
60,Atem::N,نفس,anáil
61,Hunger::N,ولږه,ocras
62,Träne::N,اوښکه,deoir
63,Geschmack::N,مزه,blas
64,Geschmack::N,خوند,blas
65,Geruch::N,بوی,boladh
66,Schlaf::N,خوب,suan
67,Schlaf::N,خوب,codladh
68,Traum::N,خوب,taibhreamh
69,Himmel::N,اسمان,spéir
70,Sonne::N,لمر,grian
71,Mond::N,سپوږمۍ,ré
72,Mond::N,سپوږمۍ,gealach
73,Stern::N,ستوری,rinn
74,Stern::N,ستوری,réalta
75,Luft::N,هوا,aer
76,Wind::N,ورښ,gaoth
77,Welle::N,موج,tonn
78,Wasser::N,اوبه,uisce
79,Stein::N,ډبره,cloch
80,Boden::N,مځکه,talamh
81,Erde::N,خاوره,cré
82,Erde::N,خاوره,ithir
83,Staub::N,ګرد,dusta
84,Staub::N,ګرد,deannach
85,Staub::N,خاوره,dusta
86,Staub::N,خاوره,deannach
87,Rauch::N,دود,toit
88,Rauch::N,دود,deatach
89,Rauch::N,لوګی,toit
90,Rauch::N,لوګی,deatach
91,Funke::N,سپرغۍ,drithle
92,Feuer::N,اور,tine
93,Licht::N,رڼا,solas
94,Schatten::N,سیوری,scáth
95,Wetter::N,هوا,aimsir
96,Nebel::N,لړه,ceo
97,Wolke::N,ورېځ,néal
98,Wolke::N,ورېځ,scamall
99,Regen::N,وریا,báisteach
100,Regen::N,وریا,fearthainn
101,Regen::N,باران,báisteach
102,Regen::N,باران,fearthainn
103,Schnee::N,واوره,sneachta
104,Eis::N,یخ,oighear
105,Eis::N,کنګل,oighear
106,Frost::N,یخ,sioc
107,Kälte::N,ساړه,fuacht
108,Hitze::N,تودوخي,teas
109,Hitze::N,تودوخي,teocht
110,Raureif::N,سپینه پرخه,sioc bán
111,Regenbogen::N,بوډۍ ټال,stua ceatha
112,Regenbogen::N,بوډۍ ټال,bogha báistí
113,Regenbogen::N,سره زرغونه,stua ceatha
114,Regenbogen::N,سره زرغونه,bogha báistí
115,Donner::N,تالنده,toirneach
116,Strömung::N,بهېدنه,sruth
117,Tropfen::N,قطره,deoir
118,Tropfen::N,څاڅکی,deoir
119,Schaum::N,ځګ,cúr
120,Schmutz::N,ناپاکي,salachar
121,See::N,جهیل,loch
122,Sumpf::N,جبه,portach
123,Moor::N,جبه,caorán
124,Moor::N,جبه,móinteán
125,Wiese::N,چمن,cluain
126,Wiese::N,چمن,móinéar
127,Wiese::N,شنېلی,cluain
128,Wiese::N,شنېلی,móinéar
129,Wald::N,ځنګل,coill
130,Wald::N,ځنګل,foraois
131,Hügel::N,تپه,ard
132,Anhöhe::N,غونډۍ,ard
133,Anhöhe::N,غونډۍ,ardán
134,Berg::N,غ‍‍‍‍‍ر,sliabh
135,Gipfel::N,څوکه,barr
136,Gipfel::N,څوکه,mullach
137,Höhle::N,کاز,uaimh
138,Höhle::N,کاز,pluais
139,Abhang::N,لمن,fána
140,Quelle::N,چینه,foinse
141,Bach::N,واله,sruthán
142,Fluss::N,سیند,abhainn
143,Ufer::N,غاړه,bruach
144,Küste::N,ساحل,cósta
145,Küste::N,ساحل,cladach
146,Festland::N,وچه,míntír
147,Meer::N,بحر,muir
148,Meer::N,بحر,farraige
149,Meer::N,سمندر,muir
150,Meer::N,سمندر,farraige
151,Bucht::N,کارۍ,bá
152,Bucht::N,کارۍ,cuan
153,Insel::N,ټاپو,inis
154,Insel::N,ټاپو,oileán
155,Insel::N,جزيره,inis
156,Insel::N,جزيره,oileán
157,Blume::N,ګل,bláth
158,Gras::N,واښه,féar
159,Wurzel::N,ریښه,rúta
160,Wurzel::N,ریښه,fréamh
161,Baum::N,ونه,crann
162,Stamm::N,ډډ,stoc
163,Stamm::N,ډډ,tamhan
164,Rinde::N,پوستکی,coirt
165,Rinde::N,پوستکی,craiceann
166,Ast::N,ښاخ,géag
167,Zweig::N,څانګه,géag
168,Zweig::N,څانګه,craobh
169,Blatt::N,پاڼه,duille
170,Blatt::N,پاڼه,duilleog
171,Birke::N,توس,beith
172,Birke::N,توس,crann beithe
173,Kiefer[Baum]::N,نښتر,péine
174,Weide[Baum]::N,وله,saileach
175,Tanne::N,ناجو,giúis
176,Horn::N,ښکر,adharc
177,Feder::N,بڼکه,cleite
178,Fell::N,پوستکی,clúmh
179,Flügel::N,وزر,eite
180,Flügel::N,وزر,sciathán
181,Klaue::N,پنجه,crúb
182,Klaue::N,پنجه,crobh
183,Klaue::N,منګول,crúb
184,Klaue::N,منګول,crobh
185,Kralle::N,پنجه,crobh
186,Kralle::N,منګول,crobh
187,Schwanz::N,لکۍ,eireaball
188,Ei::N,وۍ,ubh
189,Ei::N,هګۍ,ubh
190,Nest::N,جاله,nead
191,Bau::N,کاز,brocais
192,Tier::N,ژوی,ainmhí
193,Tier::N,ژوی,beithíoch
194,Tier::N,حیوان,ainmhí
195,Tier::N,حیوان,beithíoch
196,Herde::N,رمه,tréad
197,Herde::N,غېله,tréad
198,Kuh::N,غوا,bó
199,Bulle::N,غوئی,tarbh
200,Pferd::N,آس,each
201,Pferd::N,آس,capall
202,Schaf::N,پسه,caora
203,Schwein::N,سرکوزی,muc
204,Hund::N,سپی,madra
205,Katze::N,پشه,cat
206,Bär::N,خرس,béar
207,Eichhörnchen::N,خړ لمی,iora
208,Elch::N,ګوزن,eilc
209,Fuchs::N,سپلم,sionnach
210,Fuchs::N,سپلم,madra rua
211,Hase::N,سوی,giorria
212,Maus::N,مږک,luch
213,Wolf::N,لېوه,mac tíre
214,Vogel::N,مرغه,éan
215,Schwarm::N,سېل,saithe
216,Huhn::N,چرګه,cearc
217,Hahn::N,چرګ,coileach
218,Gans::N,بته,gé
219,Adler::N,عقاب,iolar
220,Ente::N,ایلۍ,lacha
221,Eule::N,ګونګی,ulchabhán
222,Kranich::N,کلنګ,grús
223,Krähe::N,کارغه,caróg
224,Krähe::N,کارغه,préachán
225,Kuckuck::N,فاخته,cuach
226,Schwan::N,قو,eala
227,Fisch::N,کب,iasc
228,Fisch::N,ماهی,iasc
229,Schlange[Tier]::N,مار,nathair
230,Wurm::N,چینجی,péist
231,Spinne::N,غڼه,damhán alla
232,Spinne::N,تارکښ,damhán alla
233,Ameise::N,مېږی,seangán
234,Laus::N,سپږه,míol
235,Mücke::N,ماشی,muiscít
236,Mücke::N,ماشی,corrmhíol
237,Fliege::N,مچ,cuil
238,Fliege::N,مچ,cuileog
239,Schmetterling::N,پتنګ,féileacán
240,Beere::N,مېوۍ,caor
241,Apfel::N,مڼه,úll
242,Pilz::N,خرېړی,beacán
243,Pilz::N,خرېړی,muisiriún
244,Zwiebel::N,پیاز,oinniún
245,Saat::N,تخم,síol
246,Korn::N,تخم,gráinne
247,Korn::N,دانه,gráinne
248,Heu::N,بوس,féar
249,Heu::N,پروړه,féar
250,Schale::N,پوستکی,scaimh
251,Grube::N,کنده,poll
252,Falle::N,دام,gaiste
253,Falle::N,لومه,gaiste
254,Schlinge::N,کړۍ,sealán
255,Spur::N,نښه,rian
256,Asche::N,آس,luaith
257,Asche::N,ایره,luaith
258,Dreck::N,ناپاکي,salachar
259,Eisen::N,اوسپنه,iarann
260,Gold::N,سره زر,ór
261,Silber::N,نقره,airgead
262,Silber::N,سپین زر,airgead
263,Kohle::N,سکور,gual
264,Kohle::N,سکاره,gual
265,Glas::N,ښيښه,gloine
266,Lehm::N,خټه,cré
267,Sand::N,شګه,gaineamh
268,Mensch::N,انسان,duine
269,Mann::N,سړی,fear
270,Mann::N,نارینه,fear
271,Frau::N,ښځه,bean
272,Kind::N,بچی,gasúr
273,Kind::N,بچی,páiste
274,Kind::N,ماشوم,gasúr
275,Kind::N,ماشوم,páiste
276,Junge::N,هلک,buachaill
277,Mädchen::N,نجلۍ,cailín
278,Familie::N,کورنۍ,teaghlach
279,Familie::N,کورنۍ,comhluadar
280,Großvater::N,بابا,seanathair
281,Großmutter::N,انا,seanmháthair
282,Eltern::N,مور او پلار,tuismitheoirí
283,Vater::N,پلار,athair
284,Mutter::N,مور,máthair
285,Sohn::N,زوی,mac
286,Tochter::N,لور,iníon
287,Bruder::N,ورور,deartháir
288,Schwester::N,خور,deirfiúr
289,Onkel::N,تره,uncail
290,Onkel::N,ماما,uncail
291,Tante::N,خاله,aintín
292,Ehemann::N,مېړه,fear céile
293,Ehefrau::N,مېرمن,bean chéile
294,Freude::N,خوشحالي,áthas
295,Gelächter::N,خندا,gáire
296,Glück::N,بخت,séan
297,Glück::N,بخت,sonas
298,Kummer::N,غم,brón
299,Kummer::N,غم,buairt
300,Wunsch::N,هيله,guí
301,Wunsch::N,هيله,achainí
302,Wunsch::N,غوښتنه,guí
303,Wunsch::N,غوښتنه,achainí
304,Lust::N,شوق,fonn
305,Lust::N,مینه,fonn
306,Geist::N,روح,meon
307,Geist::N,روح,spiorad
308,Gedanke::N,فکر,smaoineamh
309,Gedächtnis::N,یاد,cuimhne
310,Gedächtnis::N,حافظه,cuimhne
311,Verstand::N,عقل,ciall
312,Verstand::N,عقل,intinn
313,Verstand::N,شعور,ciall
314,Verstand::N,شعور,intinn
315,Sinn::N,معنی,brí
316,Sinn::N,معنی,ciall
317,Grund::N,علت,fáth
318,Grund::N,اساس,fáth
319,Wahrheit::N,حقیقت,fírinne
320,Gespräch::N,مرکه,comhrá
321,Gespräch::N,خبرې اترې,comhrá
322,Märchen::N,افسانه,scéal
323,Erzählung::N,قصه,scéal
324,Erzählung::N,کیسه,scéal
325,Nachricht::N,خبر,teachtaireacht
326,Neuigkeit::N,نوی خبر,scéala
327,Name::N,نوم,ainm
328,Rätsel::N,کیسۍ,tomhas
329,Rätsel::N,چیستان,tomhas
330,Rede::N,وینا,óráid
331,Rede::N,وینا,aitheasc
332,Sprache::N,ژبه,teanga
333,Stimme::N,غږ,guth
334,Stimme::N,اواز,guth
335,Wort::N,لغت,focal
336,Wort::N,کلمه,focal
337,Zeichen::N,نښه,comhartha
338,Zeichen::N,اشاره,comhartha
339,Ruf::N,ږغ,glaoch
340,Ruf::N,بلنه,glaoch
341,Lärm::N,غالمغال,torann
342,Laut::N,ږغ,fuaim
343,Ton::N,اواز,ton
344,Lied::N,غزله,amhrán
345,Lied::N,سندره,amhrán
346,Ruhe::N,ارامي,suaimhneas
347,Leute::N,خلک,muintir
348,Volk::N,ولس,pobal
349,Arbeit::N,کار,obair
350,Gast::N,مېلمه,aoi
351,Geschenk::N,تحفه,féirín
352,Geschenk::N,تحفه,bronntanas
353,Geschenk::N,سوغات,féirín
354,Geschenk::N,سوغات,bronntanas
355,Spiel::N,لوبه,cluiche
356,Gesellschaft::N,ډله,comhluadar
