,Concept_ID,hr,uz
0,Auge::N,oko,ko'z
1,Ohr::N,uho,quloq
2,Nase::N,nos,burun
3,Mund::N,usta,og'iz
4,Zahn::N,zub,tish
5,Zunge::N,jezik,til
6,Lippe::N,usna,dudoq
7,Wange::N,obraz,bet
8,Gesicht::N,lice,yuz
9,Stirn::N,čelo,manglay
10,Haar::N,kosa,soch
11,Schnurrbart::N,brkovi,mo'ylov
12,Bart::N,brada,soqol
13,Kinn::N,brada,ängak
14,Kinn::N,podbradak,ängak
15,Kiefer[Anatomie]::N,čeljust,iyak
16,Kehle::N,grlo,bo'g'iz
17,Hals::N,vrat,bo'yin
18,Genick::N,zatiljak,gardan
19,Kopf::N,glava,bosh
20,Rücken::N,leđa,orqa
21,Rücken::N,hrbat,orqa
22,Bauch::N,trbuh,qorin
23,Nabel::N,pupak,kindik
24,Busen::N,sisa,ämchak
25,Busen::N,njedra,ämchak
26,Brust::N,prsa,ko'krak
27,Schulter::N,rame,elka
28,Schulter::N,pleći,elka
29,Arm::N,ruka,bilak
30,Ellenbogen::N,lakat,tirsak
31,Hand::N,ruka,qo'l
32,Handfläche::N,dlan,kaft
33,Finger::N,prst,barmoq
34,Fingernagel::N,nokat,tirnoq
35,Nagel[Anatomie]::N,nokat,tirnoq
36,Zeh::N,nozni prst,oyoq barmog'i
37,Fuß::N,noga,oyoq
38,Fuß::N,stopalo,oyoq
39,Ferse::N,peta,tovon
40,Knie::N,koljeno,tiz
41,Oberschenkel::N,bedro,son
42,Bein::N,noga,oyoq
43,Körper::N,tijelo,badna
44,Haut::N,put,teri
45,Haut::N,koža,teri
46,Blut::N,krv,qon
47,Ader::N,žila,qon tomir
48,Sehne::N,tetiva,tomir
49,Knochen::N,kost,suyak
50,Herz::N,srce,qalb
51,Magen::N,stomak,oshqozon
52,Magen::N,želudac,oshqozon
53,Leber::N,jetra,bag'ir
54,Atem::N,dah,dam
55,Hunger::N,glad,ochlik
56,Träne::N,suza,yosh
57,Geschmack::N,ukus,tam
58,Geruch::N,njuh,jid
59,Geruch::N,miris,jid
60,Schlaf::N,san,uyqu
61,Traum::N,san,tush
62,Himmel::N,nebo,osmon
63,Sonne::N,sunce,quyosh
64,Mond::N,mjesec,oy
65,Stern::N,zvijezda,yulduz
66,Luft::N,zrak,havo
67,Wind::N,vjetar,el
68,Welle::N,val,to'lqin
69,Welle::N,talas,to'lqin
70,Wasser::N,voda,suv
71,Stein::N,kamen,tosh
72,Boden::N,tlo,tuproq
73,Boden::N,zemlja,tuproq
74,Erde::N,zemlja,er
75,Staub::N,prah,chang
76,Staub::N,prašina,chang
77,Rauch::N,dim,tutun
78,Funke::N,iskra,yalt
79,Funke::N,varnica,yalt
80,Feuer::N,vatra,o't
81,Licht::N,svjetlo,yorug'
82,Schatten::N,hlad,soya
83,Schatten::N,sjena,soya
84,Wetter::N,vrijeme,havo
85,Nebel::N,magla,tuman
86,Wolke::N,oblak,bulut
87,Regen::N,kiša,yomg'ir
88,Schnee::N,snijeg,qor
89,Eis::N,led,muz
90,Frost::N,mraz,ajoz
91,Kälte::N,studen,ajoz
92,Kälte::N,hladnoća,ajoz
93,Hitze::N,vrućina,issiq
94,Raureif::N,inje,qirov
95,Regenbogen::N,duga,kamalak
96,Donner::N,grom,guldur
97,Donner::N,grmljavina,guldur
98,Strömung::N,struja,oqim
99,Strömung::N,strujanje,oqim
100,Tropfen::N,kap,tomchi
101,Tropfen::N,kaplja,tomchi
102,Schaum::N,pjena,ko'pik
103,Schmutz::N,nečistoća,gard
104,Schmutz::N,prljavština,gard
105,See::N,jezero,ko'l
106,Sumpf::N,bara,botqoq
107,Moor::N,močvara,qir-adir
108,Wiese::N,livada,o'tzor
109,Wald::N,šuma,o'rmon
110,Hügel::N,brijeg,tepa
111,Hügel::N,brežuljak,tepa
112,Anhöhe::N,uzvišica,adir
113,Berg::N,brdo,tog'
114,Gipfel::N,vrh,cho'qqi
115,Höhle::N,pećina,kavak
116,Höhle::N,spilja,kavak
117,Abhang::N,obronak,to'sh
118,Abhang::N,nizbrdica,to'sh
119,Quelle::N,izvor,buloq
120,Quelle::N,vrelo,buloq
121,Bach::N,potok,o'zan
122,Fluss::N,rijeka,daryo
123,Ufer::N,obala,sohil
124,Küste::N,obala,qirg'oq
125,Küste::N,morska obala,qirg'oq
126,Festland::N,kopno,materik
127,Meer::N,more,dengiz
128,Bucht::N,zaliv,qo'ltiq
129,Insel::N,ada,orol
130,Insel::N,otok,orol
131,Blume::N,cvijet,gul
132,Gras::N,trava,sabza
133,Wurzel::N,korijen,tub
134,Wurzel::N,korijen,tomir
135,Baum::N,drvo,daraxt
