,Concept_ID,pl,ta
0,Auge::N,oko,கண்
1,Ohr::N,ucho,காது
2,Nase::N,nos,மூக்கு
3,Mund::N,usta,வாய்
4,Zahn::N,ząb,பல்
5,Zunge::N,język,நாக்கு
6,Lippe::N,warga,உதடு
7,Wange::N,policzek,கன்னம்
8,Gesicht::N,twarz,முகம்
9,Stirn::N,czoło,முன்னெற்றி
10,Haar::N,włos,முடி
11,Haar::N,włosy,முடி
12,Schnurrbart::N,wąsy,மீசை
13,Bart::N,broda,தாடி
14,Kinn::N,podbródek,கீழதாடை
15,Kiefer[Anatomie]::N,czeluść,தாடை
16,Kehle::N,gardło,தொண்டை
17,Hals::N,szyja,கழுத்து
18,Genick::N,kark,கழுத்து
19,Kopf::N,głowa,தலை
20,Rücken::N,plecy,முதுகு
21,Rücken::N,grzbiet,முதுகு
22,Bauch::N,brzuch,வயிறு
23,Nabel::N,pępek,தொப்புள்
24,Busen::N,biust,மார்பகம்
25,Brust::N,pierś, மார்பு
26,Schulter::N,bark,தோள்பட்டை
27,Schulter::N,ramię,தோள்பட்டை
28,Arm::N,ręka,கரம்
29,Arm::N,ramię,கரம்
30,Ellenbogen::N,łokieć,முழங்கை
31,Hand::N,dłoń,கை
32,Handfläche::N,dłoń,உள்ளங்கை
33,Finger::N,palec,விரல்
34,Fingernagel::N,paznokieć,விரல் நகம்
35,Nagel[Anatomie]::N,paznokieć,நகம்
36,Zeh::N,palec,கால்விரல்
37,Fuß::N,stopa,கால்
38,Ferse::N,pięta,குதிகால்
39,Knie::N,kolano,முழங்கால்
40,Oberschenkel::N,udo,தொடை
41,Bein::N,noga,கால்
42,Körper::N,ciało,உடல்
43,Haut::N,skóra,சருமம்
44,Blut::N,krew,இரத்தம்
45,Ader::N,żyła,நாளம்
46,Sehne::N,ścięgno,தசைநார்
47,Knochen::N,kość,எலுமபு
48,Gehirn::N,mózg,மூனை
49,Herz::N,serce,இதயம
50,Magen::N,żołądek,வயிறு
51,Leber::N,wątroba,கல்லீரல்
52,Atem::N,dech,மூச்சு
53,Atem::N,oddech,மூச்சு
54,Hunger::N,głód,பசி
55,Träne::N,łza,கண்ணீர்
56,Geschmack::N,smak,நறுமணம்
57,Geruch::N,woń,துர்நாற்றம்
58,Geruch::N,zapach,துர்நாற்றம்
59,Schlaf::N,sen,தூக்கம்
60,Traum::N,sen,கனவு
61,Himmel::N,niebo,வானம்
62,Sonne::N,słońce,சூரியன்
63,Mond::N,księżyc,சந்திரன்
64,Stern::N,gwiazda,நட்சத்திரம்
65,Luft::N,powietrze,காறறு
66,Wind::N,wiatr,காற்று
67,Welle::N,fala,அலை
68,Wasser::N,woda,நீர்
69,Stein::N,kamień,கல்
70,Boden::N,grunt,தரை
71,Erde::N,ziemia,மண்
72,Staub::N,pył,தூசி
73,Staub::N,kurz,தூசி
74,Rauch::N,dym,புகை
75,Funke::N,iskra,தீப்பொறி
