,Concept_ID,is,be
0,Auge::N,auga,вока
1,Ohr::N,eyra,вуха
2,Nase::N,nef,нос
3,Mund::N,munnur,рот
4,Zahn::N,tönn,зуб
5,Zunge::N,tunga,язык
6,Lippe::N,vör,губа
7,Wange::N,kinn,шчака
8,Wange::N,vangi,шчака
9,Gesicht::N,andlit,твар
10,Stirn::N,enni,лоб
11,Haar::N,hár,волас
12,Haar::N,hár,валасы
13,Schnurrbart::N,yfirskegg,вус
14,Schnurrbart::N,yfirskegg,вусы
15,Bart::N,skegg,барада
16,Kinn::N,haka,падбародак
17,Kiefer[Anatomie]::N,kjálki,сківіца
18,Kiefer[Anatomie]::N,skoltur,сківіца
19,Kehle::N,kverk,горла
20,Hals::N,háls,шыя
21,Genick::N,hnakki,патыліца
22,Kopf::N,höfuð,галава
23,Rücken::N,hryggur,спіна
24,Bauch::N,kviður,жывот
25,Nabel::N,nafli,пупок
26,Busen::N,barmur,грудзі
27,Brust::N,brjóst,грудзі
28,Schulter::N,öxl,плячо
29,Arm::N,armur,рука
30,Ellenbogen::N,olnbogi,локаць
31,Hand::N,hönd,кісць
32,Handfläche::N,lófi,далонь
33,Finger::N,fingur,палец
34,Fingernagel::N,fingurnögl,ногаць
35,Nagel[Anatomie]::N,nögl,ногаць
36,Zeh::N,tá,палец
37,Fuß::N,fótur,нага
38,Ferse::N,hæll,пята
39,Ferse::N,hæll,пятка
40,Knie::N,kné,калена
41,Oberschenkel::N,læri,бядро
42,Oberschenkel::N,læri,сцягно
43,Bein::N,fótleggur,нага
44,Körper::N,búkur,цела
45,Körper::N,líkami,цела
46,Haut::N,húð,скура
47,Haut::N,skinn,скура
48,Blut::N,blóð,кроў
49,Ader::N,æð,вена
50,Ader::N,æð,сасуд
51,Sehne::N,sin,жыла
52,Sehne::N,sin,цеціва
53,Sehne::N,sin,сухажылле
54,Knochen::N,bein,косць
55,Gehirn::N,heili,мозг
56,Herz::N,hjarta,сэрца
57,Magen::N,magi,страўнік
58,Leber::N,lifur,печань
59,Atem::N,andi,дыханне
60,Atem::N,andardráttur,дыханне
61,Hunger::N,hungur,голад
62,Träne::N,tár,сляза
63,Geschmack::N,smekkur,смак
64,Geruch::N,lykt,пах
65,Schlaf::N,svefn,сон
66,Traum::N,draumur,сон
67,Himmel::N,himinn,неба
68,Sonne::N,sól,сонца
69,Mond::N,tungl,месяц
70,Stern::N,stjarna,зорка
71,Luft::N,loft,паветра
72,Wind::N,vindur,вецер
73,Welle::N,alda,хваля
74,Welle::N,bylgja,хваля
75,Wasser::N,vatn,вада
76,Stein::N,steinn,камень
77,Boden::N,botn,глеба
78,Erde::N,jörð,зямля
79,Staub::N,ryk,пыл
80,Staub::N,duft,пыл
81,Rauch::N,reykur,дым
82,Funke::N,neisti,іскра
83,Feuer::N,eldur,агонь
84,Licht::N,ljós,святло
85,Schatten::N,skuggi,цень
86,Wetter::N,veður,пагода
87,Wetter::N,veður,надворʼе
88,Nebel::N,þoka,туман
89,Wolke::N,ský,воблака
90,Regen::N,regn,дождж
91,Schnee::N,snjór,снег
92,Eis::N,ís,лёд
93,Frost::N,frost,мароз
94,Kälte::N,kuldi,холад
95,Hitze::N,hiti,спёка
96,Raureif::N,hrím,іней
97,Regenbogen::N,regnbogi,вясёлка
98,Donner::N,þruma,гром
99,Strömung::N,straumur,цячэнне
100,Tropfen::N,dropi,кропля
101,Schaum::N,froða,пена
102,Schmutz::N,óhreinindi,гразь
103,See::N,stöðuvatn,возера
104,Sumpf::N,fen,багна
105,Moor::N,mýri,балота
106,Wiese::N,engi,луг
107,Wald::N,skógur,лес
108,Hügel::N,hæð,узгорак
109,Hügel::N,hóll,узгорак
110,Anhöhe::N,hæð,узвышша
111,Anhöhe::N,hóll,узвышша
