,Concept_ID,fr,kv
0,Auge::N,œil,син
1,Ohr::N,oreille,пель
2,Nase::N,nez,ныр
3,Mund::N,bouche,ӧм
4,Zahn::N,dent,пинь
5,Zunge::N,langue,кыв
6,Lippe::N,lèvre,тырп
7,Wange::N,joue,рожабан
8,Gesicht::N,face,бан
9,Gesicht::N,visage,бан
10,Stirn::N,front,кымӧс
11,Haar::N,cheveu,юрси
12,Schnurrbart::N,moustache,уссэз
13,Bart::N,barbe,тош
14,Kinn::N,menton,тшӧка
15,Kiefer[Anatomie]::N,mâchoire,ан
16,Kehle::N,gorge,юан
17,Hals::N,cou,юан
18,Genick::N,nuque,юр бӧр
19,Kopf::N,tête,юр
20,Rücken::N,dos,мышк
21,Bauch::N,ventre,кынӧм
22,Nabel::N,nombril,гӧг
23,Busen::N,sein,морос
24,Brust::N,poitrine,морос
25,Schulter::N,épaule,пельпон
26,Arm::N,bras,ки
27,Ellenbogen::N,coude,гырдзза
28,Hand::N,main,кикар
29,Handfläche::N,paume,ки пыдӧс
30,Finger::N,doigt,чунь
31,Fingernagel::N,ongle,гыж
32,Nagel[Anatomie]::N,ongle,гыж
33,Zeh::N,orteil,чунь
34,Zeh::N,doigt de pied,чунь
35,Fuß::N,pied,кокпыдӧс
36,Ferse::N,talon,кокдзир
37,Knie::N,genou,пидзӧс
38,Oberschenkel::N,cuisse,лядьбей
39,Bein::N,jambe,кок
40,Körper::N,corps,вывтыр
41,Haut::N,peau,кучик
42,Blut::N,sang,вир
43,Ader::N,veine,сӧн
44,Sehne::N,tendon,жила
45,Knochen::N,os,коска
46,Gehirn::N,cerveau,вем
47,Herz::N,cœur,сьӧлӧм
48,Magen::N,estomac,жӧвдӧк
49,Leber::N,foie,мус
50,Atem::N,haleine,лолалӧм
51,Hunger::N,faim,тшыг
52,Träne::N,larme,синва
53,Geschmack::N,goût,кӧр
54,Geschmack::N,saveur,кӧр
55,Geruch::N,odeur,дук
56,Schlaf::N,sommeil,он
57,Traum::N,songe,вӧт
58,Himmel::N,ciel,небо
59,Sonne::N,soleil,шондi
60,Mond::N,lune,тӧлiсь
61,Stern::N,étoile,кӧдзыв
62,Luft::N,air,ру
63,Wind::N,vent,тӧв
64,Welle::N,vague,гы
65,Wasser::N,eau,ва
66,Stein::N,pierre,из
67,Boden::N,sol,му
68,Boden::N,terrain,му
69,Erde::N,terre,му
70,Staub::N,poussière,бус
71,Rauch::N,fumée,тшын
72,Funke::N,étincelle,бичир
73,Feuer::N,feu,би
74,Licht::N,lumière,би
75,Schatten::N,ombre,вуджӧр
76,Wetter::N,temps,погоддя
77,Nebel::N,brume,туман
78,Nebel::N,brouillard,туман
79,Wolke::N,nuage,кымӧр
80,Regen::N,pluie,зэр
81,Schnee::N,neige,лым
82,Eis::N,glace,йы
83,Frost::N,gel,мороз
84,Frost::N,gelée,мороз
85,Kälte::N,froid,кӧдзыт
86,Hitze::N,chaleur,ӧд
87,Raureif::N,givre,кижа
88,Regenbogen::N,arc-en-ciel,енӧшка
89,Donner::N,tonnerre,гым
90,Strömung::N,courant,визывтӧм
91,Tropfen::N,goutte,тёп
92,Schaum::N,écume,быг
93,Schaum::N,mousse,быг
94,Schmutz::N,boue,нять
95,Schmutz::N,saleté,нять
96,See::N,lac,ты
97,Sumpf::N,marais,арай
98,Sumpf::N,marécage,арай
