,Concept_ID,sq,kv
0,Auge::N,sy,син
1,Ohr::N,vesh,пель
2,Nase::N,hundë,ныр
3,Mund::N,gojë,ӧм
4,Zahn::N,dhëmb,пинь
5,Zunge::N,gjuhë,кыв
6,Lippe::N,buzë,тырп
7,Wange::N,faqe,рожабан
8,Wange::N,mollëz,рожабан
9,Gesicht::N,fytyrë,бан
10,Stirn::N,ballë,кымӧс
11,Haar::N,flokë,юрси
12,Schnurrbart::N,mustaqe,уссэз
13,Bart::N,mjekër,тош
14,Kinn::N,mjekër,тшӧка
15,Kiefer[Anatomie]::N,nofull,ан
16,Kehle::N,fyt,юан
17,Kehle::N,grykë,юан
18,Hals::N,qafë,юан
19,Genick::N,arrëz,юр бӧр
20,Kopf::N,kokë,юр
21,Rücken::N,kurriz,мышк
22,Bauch::N,bark,кынӧм
23,Nabel::N,kërthizë,гӧг
24,Busen::N,gji,морос
25,Brust::N,gjoks,морос
26,Brust::N,kraharor,морос
27,Schulter::N,sup,пельпон
28,Schulter::N,krah,пельпон
29,Arm::N,krah,ки
30,Ellenbogen::N,bërryl,гырдзза
31,Hand::N,dorë,кикар
32,Handfläche::N,pëllëmbë,ки пыдӧс
33,Finger::N,gisht,чунь
34,Fingernagel::N,thua,гыж
35,Nagel[Anatomie]::N,thua,гыж
36,Zeh::N,gisht i këmbës,чунь
37,Fuß::N,këmbë,кокпыдӧс
38,Ferse::N,thembër,кокдзир
39,Knie::N,gju,пидзӧс
40,Oberschenkel::N,kofshë,лядьбей
41,Bein::N,këmbë,кок
42,Körper::N,trup,вывтыр
43,Haut::N,lëkurë,кучик
44,Blut::N,gjak,вир
45,Ader::N,venë,сӧн
46,Sehne::N,dell,жила
47,Knochen::N,asht,коска
48,Knochen::N,kockë,коска
49,Gehirn::N,tru,вем
50,Herz::N,zemër,сьӧлӧм
51,Magen::N,stomak,жӧвдӧк
52,Leber::N,mëlçi,мус
53,Atem::N,frymë,лолалӧм
54,Hunger::N,uri,тшыг
55,Träne::N,lot,синва
56,Geschmack::N,shije,кӧр
57,Geruch::N,erë,дук
58,Schlaf::N,gjumë,он
59,Traum::N,ëndërr,вӧт
60,Himmel::N,qiell,небо
61,Sonne::N,diell,шондi
62,Mond::N,hënë,тӧлiсь
63,Stern::N,yll,кӧдзыв
64,Luft::N,ajër,ру
65,Wind::N,erë,тӧв
66,Welle::N,valë,гы
67,Welle::N,dallgë,гы
68,Wasser::N,ujë,ва
69,Stein::N,gur,из
70,Boden::N,tokë,му
71,Boden::N,truall,му
72,Erde::N,dhe,му
73,Erde::N,baltë,му
74,Staub::N,pluhur,бус
75,Rauch::N,tym,тшын
76,Funke::N,xixë,бичир
77,Funke::N,shkëndijë,бичир
78,Feuer::N,zjarr,би
79,Licht::N,dritë,би
80,Schatten::N,hije,вуджӧр
81,Wetter::N,mot,погоддя
82,Nebel::N,mjegull,туман
83,Wolke::N,re,кымӧр
84,Regen::N,shi,зэр
85,Schnee::N,borë,лым
86,Eis::N,akull,йы
87,Frost::N,ngricë,мороз
88,Kälte::N,të ftohtë,кӧдзыт
89,Hitze::N,vapë,ӧд
90,Hitze::N,nxehtësi,ӧд
91,Raureif::N,cikmë,кижа
92,Regenbogen::N,ylber,енӧшка
93,Donner::N,gjëmim,гым
94,Donner::N,bubullimë,гым
95,Strömung::N,rrymë,визывтӧм
96,Tropfen::N,pikë,тёп
97,Schaum::N,shkumë,быг
98,Schmutz::N,baltë,нять
99,See::N,liqen,ты
100,Sumpf::N,batak,арай
101,Moor::N,kënetë,нюр
102,Wiese::N,livadh,видз
103,Wald::N,pyll,вӧр
104,Hügel::N,kodër,мыльк
105,Anhöhe::N,bregore,вывтас
106,Anhöhe::N,bregore,вылынін
107,Berg::N,mal,керӧс
108,Gipfel::N,kulm,йыв
109,Höhle::N,shpellë,нора
110,Höhle::N,zgafelle,нора
111,Abhang::N,shpat,покат
112,Abhang::N,tatëpjetë,покат
113,Quelle::N,krua,больган
114,Quelle::N,burim,больган
115,Bach::N,virua,шор
116,Fluss::N,lumë,ю
117,Ufer::N,breg,берег
118,Küste::N,anëdet,берег
119,Küste::N,bregdet,берег
120,Festland::N,kontinent,му
121,Meer::N,det,море
122,Bucht::N,gji deti,курья
123,Insel::N,ishull,
124,Insel::N,ujdhesë,
125,Blume::N,lule,цветок
126,Gras::N,bar,турун
127,Wurzel::N,rrënjë,вуж
128,Baum::N,pemë,пу
129,Stamm::N,trung,мыр
130,Stamm::N,trung,кер
131,Rinde::N,lëvore,кач
132,Ast::N,degë,ув
133,Zweig::N,bisk,ув
134,Blatt::N,fletë,лист
135,Blatt::N,gjethe,лист
136,Birke::N,mështekën,кыдз
137,Kiefer[Baum]::N,pishë,пожум
138,Weide[Baum]::N,shelg,бадь
139,Tanne::N,bredh,кӧз
140,Horn::N,bri,сюр
141,Feder::N,pupël,гӧн
142,Fell::N,lëkurë,кучик
143,Flügel::N,krah,борд
144,Flügel::N,fletë,борд
145,Klaue::N,kthetër,гыж
146,Kralle::N,thua,кабыр
147,Kralle::N,kthetër,кабыр
148,Schwanz::N,bisht,бӧж
149,Ei::N,vezë,кольть
150,Nest::N,fole,поз
151,Bau::N,strofkë,осьта
152,Bau::N,strofkë,нора
153,Tier::N,kafshë,зверь
154,Herde::N,kope,гурт
155,Herde::N,grigjë,гурт
156,Kuh::N,lopë,мӧс
157,Bulle::N,dem,ӧшка
158,Pferd::N,kalë,вӧв
159,Schaf::N,dele,баля
160,Schwein::N,derr,порсь
161,Hund::N,qen,пон
162,Katze::N,mace,кань
163,Bär::N,ari,ош
164,Eichhörnchen::N,ketër,ур
165,Elch::N,dre brilopatë,вӧр мӧс
166,Fuchs::N,dhelpër,руч
167,Hase::N,lepur,кӧч
168,Maus::N,mi,шыр
169,Wolf::N,ujk,кӧин
170,Vogel::N,zog,кай
171,Vogel::N,shpend,кай
172,Schwarm::N,luzmë,стая
173,Schwarm::N,luzmë,чукӧр
174,Huhn::N,pulë,курӧг
175,Hahn::N,gjel,петух
176,Hahn::N,gjel,ай курӧг
177,Hahn::N,këndes,петух
178,Hahn::N,këndes,ай курӧг
179,Gans::N,patë,дзодзог
180,Adler::N,shqiponjë,куч
181,Adler::N,shqiponjë,кутш
182,Ente::N,rosë,утка
183,Eule::N,buf,тупка
184,Kranich::N,lejlek,тури
185,Kranich::N,kurrillë,тури
186,Krähe::N,sorrë,рака
187,Kuckuck::N,qyqe,кӧк
188,Schwan::N,mjellmë,юсь
189,Fisch::N,peshk,чери
190,Barsch::N,purtekë,ёкыш
191,Hecht::N,mlysh,сирпинь
192,Schlange[Tier]::N,gjarpër,змей
193,Wurm::N,krimb,номыр
194,Spinne::N,marimangë,черань
195,Ameise::N,thnegël,кӧдзывкар
196,Ameise::N,milingonë,кӧдзывкар
197,Laus::N,morr,ляпа той
198,Mücke::N,kunup,ном
199,Mücke::N,mushkonjë,ном
200,Fliege::N,mizë,гут
201,Schmetterling::N,flutur,бабыв
202,Beere::N,frutë,ягӧд
203,Beere::N,manaferrë,ягӧд
204,Apfel::N,mollë,яблоко
205,Pilz::N,kërpudhë,тшак
206,Zwiebel::N,qepë,грез
207,Saat::N,farë,кӧдзыс
208,Korn::N,grurë,сю
209,Korn::N,kokërr,сю
210,Heu::N,sanë,турун
211,Schale::N,lëkurë,кыш
212,Schale::N,lëkurë,киль
213,Grube::N,gropë,яма
214,Falle::N,kurth,нальк
215,Falle::N,kurth,кляпча
216,Falle::N,grackë,нальк
217,Falle::N,grackë,кляпча
218,Schlinge::N,nyjë,лӧч
219,Spur::N,gjurmë,туй
220,Asche::N,hi,пӧим
221,Dreck::N,baltë,нять
222,Eisen::N,hekur,кӧрт
223,Gold::N,ar,зарни
224,Gold::N,flori,зарни
225,Silber::N,argjend,язісь
226,Kohle::N,qymyr,шом
227,Kohle::N,qymyr,уголь
228,Glas::N,qelq,стекло
229,Lehm::N,argjilë,сёй
230,Sand::N,rërë,лыа
231,Mensch::N,njeri,морт
232,Mann::N,burrë,мужик
233,Mann::N,mashkull,мужик
234,Frau::N,grua,инька
235,Frau::N,femër,инька
236,Kind::N,kalama,кага
237,Junge::N,djalë,зонка
238,Mädchen::N,gocë,нывкаок
239,Mädchen::N,vajzë,нывкаок
240,Familie::N,familje,семья
241,Großvater::N,gjysh,дед
242,Großmutter::N,gjyshe,баб
