,Concept_ID,cy,lbe
0,Auge::N,llygad,я
1,Ohr::N,clust,вичӏи
2,Nase::N,trwyn,май
3,Mund::N,ceg,кьацӏ
4,Zahn::N,dant,ккарччи
5,Zunge::N,tafod,маз
6,Lippe::N,gwefus,мурччи
7,Wange::N,boch,чӏав
8,Gesicht::N,wyneb,лажин
9,Stirn::N,talcen,ненттабакӏ
10,Haar::N,blew,чӏара
11,Schnurrbart::N,mwstas,ссирссилтту
12,Bart::N,barf,чӏири
13,Kinn::N,gên,лунттубакӏ
14,Kiefer[Anatomie]::N,gên,ххинчулул
15,Kehle::N,gwddf,кьакьари
16,Hals::N,gwddf,ссурссу
17,Genick::N,gwar,махъабакӏ
18,Genick::N,gwegil,махъабакӏ
19,Kopf::N,pen,бакӏ
20,Rücken::N,cefn,ттиликӏ
21,Bauch::N,bol,лякьа
22,Nabel::N,bogail,цӏумуккутӏ
23,Busen::N,bron,ккукку
24,Brust::N,brest,хъазам
25,Schulter::N,ysgwydd,хъачӏ
26,Arm::N,braich,ка
27,Ellenbogen::N,penelin,ссюрхъ
28,Hand::N,llaw,бартка
29,Handfläche::N,palf,хъат
30,Handfläche::N,palf,битӏянхъ
31,Finger::N,bys,кӏисса
32,Fingernagel::N,ewin,михь
33,Nagel[Anatomie]::N,ewin,михь
34,Zeh::N,bys troed,кӏисса
35,Fuß::N,troed,чӏанччан
36,Ferse::N,sawdl,никъа
37,Knie::N,glin,ник
38,Oberschenkel::N,clun,жира
39,Bein::N,coes,ччан
40,Körper::N,corff,чурх
41,Haut::N,croen,бурчу
42,Blut::N,gwaed,оь
43,Ader::N,gwythïen,тунну
44,Sehne::N,gewyn,хьхьа
45,Knochen::N,asgwrn,ттаркӏ
46,Gehirn::N,ymennydd,ня
47,Herz::N,calon,дакӏ
48,Herz::N,calon,къюкӏ
49,Magen::N,cylla,лякьа
50,Magen::N,stumog,лякьа
51,Leber::N,iau,
52,Atem::N,anadl,ссихӏ ласаву
53,Atem::N,anadl,ссихӏ бигьаву
54,Hunger::N,newyn,ккаши
55,Träne::N,deigryn,макь
56,Geschmack::N,cyflas,тӏин
57,Geschmack::N,cyflas,тӏааьн
58,Geruch::N,aroglau,кьанкь
59,Schlaf::N,cwsg,шану
60,Traum::N,breuddwyd,макӏру
61,Himmel::N,awyr,ссав
62,Sonne::N,haul,баргъ
63,Mond::N,lleuad,барз
64,Stern::N,seren,цӏуку
65,Luft::N,awyr,гьава
66,Wind::N,gwynt,марч
67,Welle::N,ton,щатӏи
68,Wasser::N,dŵr,щин
69,Stein::N,carreg,чару
70,Boden::N,llawr,аьрщи
71,Erde::N,pridd,аьрщи
72,Staub::N,llwch,ххит
73,Rauch::N,mwg,пуркӏу
74,Funke::N,gwreichioni,пиягь
75,Feuer::N,tân,цӏу
76,Licht::N,golau,чани
77,Schatten::N,cysgod,ххют
78,Wetter::N,tywydd,гьава
79,Nebel::N,niwl,шархь ттурлу
80,Wolke::N,cwmwl,ттурлу
81,Regen::N,glaw,гъарал
82,Schnee::N,ôd,марххала
83,Schnee::N,eira,марххала
84,Eis::N,iâ,микӏ
85,Frost::N,rhew,дяркъу
86,Frost::N,rhew,замгьар
87,Kälte::N,oerni,дяркъу
88,Kälte::N,annwyd,дяркъу
89,Hitze::N,gwres,кӏиришиву
90,Raureif::N,barrug,сил
91,Raureif::N,barrug,бурса
92,Regenbogen::N,enfys,ссурул ккуртта
93,Donner::N,tyrfau,къув
94,Strömung::N,cerrynt,экьинанаву
95,Tropfen::N,dafn,кӏунтӏ
96,Tropfen::N,diferyn,кӏунтӏ
97,Schaum::N,ewyn,хьама
98,Schmutz::N,baw,кьяркьи
99,Schmutz::N,budreddi,кьяркьи
100,See::N,llyn,бяр
101,Sumpf::N,cors,кунцӏа
102,Moor::N,rhos,
103,Wiese::N,dôl,кьан
104,Wald::N,coedwig,вацӏа
105,Hügel::N,bryn,бакӏу
106,Anhöhe::N,bryn,
107,Berg::N,mynydd,зунтту
108,Gipfel::N,copa,мицӏ
109,Höhle::N,ogof,нух
110,Abhang::N,llethr,сун
111,Quelle::N,tarddiad,дайдихьу
112,Quelle::N,tarddiad,бакӏ
113,Quelle::N,ffynhonnell,дайдихьу
114,Quelle::N,ffynhonnell,бакӏ
115,Bach::N,nant,чӏрир нех
116,Bach::N,afonig,чӏрир нех
117,Bach::N,cornant,чӏрир нех
118,Fluss::N,afon,нех
119,Ufer::N,glan,зума
120,Küste::N,traeth,зумаинхалу
121,Küste::N,traeth,зуманицӏалу
122,Küste::N,arfordir,зумаинхалу
123,Küste::N,arfordir,зуманицӏалу
124,Festland::N,tir,кьири
125,Meer::N,môr,хьхьири
126,Bucht::N,bae,
127,Insel::N,ynys,жазира
128,Blume::N,blodyn,тӏутӏи
129,Gras::N,glaswellt,уртту
130,Wurzel::N,gwreiddyn,мархха
131,Baum::N,coeden,мурхь
132,Stamm::N,colfen,ттарцӏ
133,Stamm::N,boncyff,ттарцӏ
134,Rinde::N,rhisgl,ккамара
135,Ast::N,cangen,матӏи
136,Zweig::N,cainc,къяртта
137,Zweig::N,cangen,къяртта
138,Blatt::N,deilen,чӏапӏи
139,Birke::N,bedwen,кӏялахӏи
140,Birke::N,bedwen,кӏялахӏилул мурхь
141,Kiefer[Baum]::N,pinwydden,ттар
142,Kiefer[Baum]::N,pinwydden,ттарлил мурхь
143,Weide[Baum]::N,helygen,щавщи
144,Tanne::N,ffynidwydden,ттарлил мурхь
145,Horn::N,corn,хъи
146,Feder::N,plufyn,лелуххул тӏиму
147,Fell::N,ffwr,бурчу
148,Flügel::N,adain,хъа
149,Flügel::N,adain,ххурупӏайрал тӏиму
150,Klaue::N,crafanc,михь
151,Kralle::N,ewin,ххяппа
152,Schwanz::N,cwt,магъ
153,Schwanz::N,cynffon,магъ
154,Ei::N,wy,ккунук
155,Nest::N,nyth,кюру
156,Bau::N,ffau,цукъуккутӏ
157,Tier::N,anifail,хӏайван
158,Herde::N,praidd,газу
159,Herde::N,diadell,газу
160,Kuh::N,buwch,оьл
161,Bulle::N,tarw,ниц
162,Pferd::N,ceffyl,чу
163,Schaf::N,dafad,тта
164,Schwein::N,mochyn,дунгъуз
165,Hund::N,ci,ккаччи
166,Katze::N,cath,ччиту
167,Bär::N,arth,цуша
168,Eichhörnchen::N,gwiwer,бюрхттукку
169,Elch::N,elc,ниц-бюрин
170,Fuchs::N,cadno,цулчӏа
171,Fuchs::N,cadno,куча цулчӏа
172,Hase::N,ysgyfarnog,бюрх
173,Maus::N,llygoden,кӏулу
174,Wolf::N,blaidd,барцӏ
175,Vogel::N,aderyn,лелуххи
176,Schwarm::N,haid,гьухъала
177,Huhn::N,cyw,аьнакӏи
178,Hahn::N,ceiliog,ажари
179,Gans::N,gŵydd,къаз
180,Adler::N,eryr,барзу
181,Ente::N,hwyad,урдак
182,Eule::N,tylluan,ису
183,Eule::N,tylluan,ччиккумяв
