,Concept_ID,is,ko
0,Auge::N,auga,눈
1,Ohr::N,eyra,귀
2,Nase::N,nef,코
3,Mund::N,munnur,입
4,Zahn::N,tönn,이
5,Zunge::N,tunga,혀
6,Lippe::N,vör,입술
7,Wange::N,kinn,뺨
8,Wange::N,vangi,뺨
9,Gesicht::N,andlit,얼굴
10,Stirn::N,enni,이마
11,Haar::N,hár,털
12,Schnurrbart::N,yfirskegg,윗수몀
13,Schnurrbart::N,yfirskegg,코밑수염
14,Bart::N,skegg,수엄
15,Kinn::N,haka,아래턱
16,Kiefer[Anatomie]::N,kjálki,턱
17,Kiefer[Anatomie]::N,skoltur,턱
18,Kehle::N,kverk,인후
19,Hals::N,háls,목
20,Genick::N,hnakki,먹덜이
21,Kopf::N,höfuð,머리
22,Rücken::N,hryggur,든
23,Bauch::N,kviður,배
24,Nabel::N,nafli,배꼽
25,Busen::N,barmur,가슴속
26,Brust::N,brjóst,가슴
27,Schulter::N,öxl,어깨
28,Arm::N,armur,팔
29,Ellenbogen::N,olnbogi,팔쿰치
30,Hand::N,hönd,손
31,Handfläche::N,lófi,손바닥
32,Finger::N,fingur,속가락
33,Fingernagel::N,fingurnögl,손톱
34,Nagel[Anatomie]::N,nögl,손톱
35,Zeh::N,tá,발가락
36,Fuß::N,fótur,발
37,Ferse::N,hæll,발꿈치
38,Knie::N,kné,무릎
39,Oberschenkel::N,læri,허벅다리
40,Bein::N,fótleggur,다리
41,Körper::N,búkur,구간
42,Körper::N,líkami,구간
43,Haut::N,húð,살갗
44,Haut::N,skinn,살갗
45,Blut::N,blóð,피
46,Ader::N,æð,정맥
47,Sehne::N,sin,현
48,Knochen::N,bein,뼈
49,Gehirn::N,heili,뇌
50,Gehirn::N,heili,뇌수
51,Herz::N,hjarta,염통
52,Magen::N,magi,위
53,Leber::N,lifur,간
54,Atem::N,andi,기식
55,Atem::N,andardráttur,기식
56,Hunger::N,hungur,공복
57,Träne::N,tár,눈물
58,Geschmack::N,smekkur,기호
59,Geruch::N,lykt,냄새
60,Schlaf::N,svefn,수면
61,Traum::N,draumur,쿰
62,Himmel::N,himinn,하늘
63,Sonne::N,sól,해
64,Mond::N,tungl,달
65,Stern::N,stjarna,별
66,Luft::N,loft,동준
67,Luft::N,loft,가스채
68,Wind::N,vindur,바람
69,Welle::N,alda,물결
70,Welle::N,bylgja,물결
71,Wasser::N,vatn,물
72,Stein::N,steinn,돌
73,Boden::N,botn,바닥
74,Erde::N,jörð,흙
75,Staub::N,ryk,먼지
76,Staub::N,duft,먼지
77,Rauch::N,reykur,연기
78,Funke::N,neisti,불티
79,Feuer::N,eldur,불
80,Licht::N,ljós,불
81,Schatten::N,skuggi,어스레함
82,Wetter::N,veður,기상
83,Nebel::N,þoka,안개
84,Wolke::N,ský,구름
85,Regen::N,regn,비
86,Schnee::N,snjór,눈
87,Eis::N,ís,얼음
88,Frost::N,frost,혹한
89,Kälte::N,kuldi,추위
90,Kälte::N,kuldi,차가움
91,Hitze::N,hiti,고온
92,Hitze::N,hiti,더위
93,Raureif::N,hrím,
94,Regenbogen::N,regnbogi,무지개
95,Donner::N,þruma,뇌명
96,Strömung::N,straumur,유동
97,Tropfen::N,dropi,물방울
98,Schaum::N,froða,포말
99,Schmutz::N,óhreinindi,때
100,See::N,stöðuvatn,호수
101,Sumpf::N,fen,습지
102,Moor::N,mýri,저습지
103,Wiese::N,engi,목초지
104,Wald::N,skógur,숲
105,Hügel::N,hæð,언덕
106,Hügel::N,hóll,언덕
107,Anhöhe::N,hæð,언덕
108,Anhöhe::N,hóll,언덕
109,Berg::N,fell,산
110,Berg::N,fjall,산
111,Gipfel::N,tindur,졀졍
112,Höhle::N,hellir,공동
113,Abhang::N,hlíð,몰매
114,Abhang::N,brekka,몰매
115,Quelle::N,lind,근원
116,Quelle::N,uppspretta,근원
117,Bach::N,lækur,내
118,Fluss::N,á,강
119,Fluss::N,fljót,강
120,Ufer::N,árbakki,강변
121,Ufer::N,árbakki,바닷가
122,Ufer::N,sjávarbakki,강변
123,Ufer::N,sjávarbakki,바닷가
124,Küste::N,strönd,해변
125,Küste::N,strönd,해변가
126,Festland::N,meginland,본토
127,Meer::N,haf,바다
128,Meer::N,sjór,바다
129,Bucht::N,vík,협만
130,Insel::N,eyja,섬
131,Blume::N,blóm,꽃
132,Gras::N,gras,풀
133,Wurzel::N,rót,뿌리
134,Baum::N,tré,나무
135,Stamm::N,stofn,대
136,Rinde::N,börkur,나무껍질
137,Ast::N,grein,가지
138,Zweig::N,angi,가지
139,Zweig::N,kvistur,가지
140,Blatt::N,blað,잎
141,Birke::N,birki,자작나무
142,Kiefer[Baum]::N,fura,소나무
143,Weide[Baum]::N,víðir,쉬양버들
144,Tanne::N,greni,전나무
145,Horn::N,horn,뿔
146,Feder::N,fjöður,깃털
147,Fell::N,skinn,피혁모피
148,Flügel::N,vængur,날개
149,Klaue::N,kló,갈고리 발톺
150,Kralle::N,kló,발툭
151,Schwanz::N,rófa,꼬리
152,Schwanz::N,skott,꼬리
153,Ei::N,egg,알
154,Nest::N,hreiður,보금자리
155,Bau::N,greni,굴
156,Bau::N,bæli,굴
157,Tier::N,dýr,짐승
158,Herde::N,hjörð,가축의떼
159,Kuh::N,kýr,암소
160,Bulle::N,boli,황소
161,Pferd::N,hestur,말
162,Schaf::N,kind,양
163,Schwein::N,svín,돼지
164,Hund::N,hundur,개
165,Katze::N,köttur,고양이
166,Bär::N,björn,콤
167,Eichhörnchen::N,íkorni,다람쥐
168,Elch::N,elgur,고라니
169,Fuchs::N,refur,여우
170,Hase::N,héri,토끼
171,Maus::N,mús,쥐
172,Wolf::N,úlfur,늑대
173,Vogel::N,fugl,새
174,Schwarm::N,sægur,뗴
175,Huhn::N,hæna,암탉
176,Hahn::N,hani,수탉
177,Gans::N,gæs,거위
178,Adler::N,örn,수리
179,Ente::N,önd,오리
180,Eule::N,uggla,부엉이
181,Kranich::N,trana,두루미
182,Krähe::N,kráka,까마귀
183,Kuckuck::N,gaukur,뻐꾸기
184,Schwan::N,svanur,배조
185,Fisch::N,fiskur,물고기
186,Barsch::N,aborri,농어
187,Hecht::N,gedda,에속스
188,Schlange[Tier]::N,naðra,뱀
189,Wurm::N,ormur,벌레
190,Spinne::N,kónguló,거미
191,Ameise::N,maur,개미
192,Laus::N,lús,이
193,Mücke::N,mý,모기
194,Mücke::N,mýfluga,모기
195,Fliege::N,fluga,날기
196,Schmetterling::N,fiðrildi,나비
197,Beere::N,ber,장과
198,Apfel::N,epli,사과
199,Pilz::N,sveppur,고방이
200,Zwiebel::N,laukur,양파
201,Saat::N,fræ,씨
202,Saat::N,útsæði,씨
203,Korn::N,korn,알맹이
204,Heu::N,hey,건초
205,Schale::N,hýði,피상
206,Grube::N,gryfja,
207,Falle::N,gildra,함정
208,Schlinge::N,snara,올가미
209,Schlinge::N,snara,멜빵붕대
210,Spur::N,spor,발지국
211,Asche::N,aska,재
212,Dreck::N,óþverri,똥
213,Dreck::N,óþverri,오물
214,Eisen::N,járn,쇠
215,Eisen::N,járn,철
