,Concept_ID,ml,kv
0,Auge::N,കണ്ണ്,син
1,Ohr::N,ചെവി,пель
2,Nase::N,മൂക്ക്,ныр
3,Mund::N,വായ,ӧм
4,Zahn::N,പല്ല്,пинь
5,Zunge::N,നാക്ക്,кыв
6,Lippe::N,ചുണ്ട്,тырп
7,Wange::N,കവിൾത്തടം,рожабан
8,Gesicht::N,മുഖം,бан
9,Stirn::N,നെറ്റി,кымӧс
10,Haar::N,തലമുടി,юрси
11,Schnurrbart::N,മീശ,уссэз
12,Bart::N,താടിരോമം,тош
13,Kinn::N,താടി,тшӧка
14,Kiefer[Anatomie]::N,താടിയെല്ല്,ан
15,Kehle::N,കണ്ഠനാളം,юан
16,Hals::N,കഴുത്ത്,юан
17,Genick::N,പിടലി,юр бӧр
18,Kopf::N,തല,юр
19,Rücken::N,മുതുക്,мышк
20,Bauch::N,നയറ്,кынӧм
21,Nabel::N,നാഭി,гӧг
22,Busen::N,സ്തനം,морос
23,Brust::N,സ്തനം,морос
24,Schulter::N,തോൾ,пельпон
25,Arm::N,കൈ,ки
26,Ellenbogen::N,കൈമുട്ട്,гырдзза
27,Hand::N,കൈ,кикар
28,Handfläche::N,ഉള്ളം കൈ,ки пыдӧс
29,Finger::N,വിരൽ,чунь
30,Fingernagel::N,നഖം,гыж
31,Nagel[Anatomie]::N,നഖം,гыж
32,Zeh::N,കാൽവിരൽ,чунь
33,Fuß::N,കാൽപ്പാദം,кокпыдӧс
34,Ferse::N,ഉപ്പൂറ്റി,кокдзир
35,Knie::N,കാൽമുട്ട്,пидзӧс
36,Oberschenkel::N,തുട,лядьбей
37,Bein::N,കാൽ,кок
38,Körper::N,ശരീരം,вывтыр
39,Haut::N,ചർമ്മം,кучик
40,Blut::N,രക്തം,вир
41,Ader::N,ഞരമ്പ്,сӧн
42,Sehne::N,സ്നായു,жила
43,Knochen::N,അസ്ഥി,коска
44,Gehirn::N,തലച്ചോറ്,вем
45,Herz::N,ഹൃദയം,сьӧлӧм
46,Magen::N,വയർ,жӧвдӧк
47,Leber::N,കരൾ,мус
48,Atem::N,ശ്വാസം,лолалӧм
49,Hunger::N,വിശപ്പ്,тшыг
50,Träne::N,കണ്ണീർ,синва
51,Geschmack::N,രുചി,кӧр
52,Geruch::N,ഗന്ധം,дук
53,Schlaf::N,ഉറകും,он
54,Traum::N,സ്വപ്നം,вӧт
55,Himmel::N,ആകാശം,небо
56,Sonne::N,സൂര്യൻ,шондi
57,Mond::N,ചന്ദ്രൻ,тӧлiсь
58,Stern::N,നക്ഷത്രം,кӧдзыв
59,Luft::N,കാറ്റ്,ру
60,Wind::N,കാറ്റ്,тӧв
61,Welle::N,തിരമാല,гы
62,Wasser::N,വെള്ളം,ва
63,Stein::N,ശില,из
64,Stein::N,കല്ല്,из
65,Boden::N,തറ,му
66,Boden::N,നിലം,му
67,Erde::N,മണ്ണ്,му
68,Staub::N,പൊടി,бус
69,Rauch::N,പുക,тшын
70,Funke::N,തീപ്പൊരി,бичир
71,Feuer::N,തീ,би
72,Licht::N,വിളക്ക്,би
73,Licht::N,സൂര്യപ്രകാശം,би
74,Schatten::N,തണൽ,вуджӧр
75,Wetter::N,കാലാവസ്ഥ,погоддя
76,Nebel::N,മൂടൽമഞ്ഞ്,туман
77,Wolke::N,മേഘം,кымӧр
78,Regen::N,മഴ,зэр
79,Schnee::N,മഞ്ഞ്,лым
80,Eis::N,ഐസ്,йы
81,Frost::N,മൂടൽമഞ്ഞ്,мороз
82,Kälte::N,തണുപ്പ്,кӧдзыт
83,Hitze::N,ചൂട്,ӧд
84,Raureif::N,കോടമഞ്ഞ്,кижа
85,Regenbogen::N,മഴവില്ല്,енӧшка
86,Donner::N,ഇടി,гым
87,Strömung::N,പ്രവാഹം,визывтӧм
88,Tropfen::N,തുള്ളി,тёп
89,Schaum::N,നുര,быг
90,Schmutz::N,അഴുക്ക്,нять
91,See::N,തടാകം,ты
92,Sumpf::N,ചതുപ്പുനിലം,арай
93,Moor::N,പാഴ്നിലം,нюр
94,Wiese::N,പുൽത്തകിടി,видз
95,Wald::N,വനം,вӧр
96,Wald::N,കാട്,вӧр
97,Hügel::N,കുന്ന്,мыльк
98,Anhöhe::N,ഉയർന്ന ഭൂമി,вывтас
99,Anhöhe::N,ഉയർന്ന ഭൂമി,вылынін
100,Berg::N,പർവ്വതം,керӧс
101,Gipfel::N,ഉച്ചകോടി,йыв
102,Höhle::N,ഗുഹ,нора
103,Abhang::N,ചരിവ്,покат
104,Quelle::N,ഉറവിടം,больган
105,Bach::N,അരുവി,шор
106,Fluss::N,നദി,ю
107,Ufer::N,തീരം,берег
108,Küste::N,കടൽത്തീരം,берег
109,Festland::N,കര,му
110,Meer::N,കടൽ,море
111,Bucht::N,ഉൾക്കടല്,курья
112,Insel::N,ദ്വീപ്,
113,Blume::N,പൂവ്,цветок
114,Gras::N,പുല്ല്,турун
115,Wurzel::N,വേര്,вуж
116,Baum::N,മരം,пу
117,Stamm::N,തായ്ത്തടി,мыр
118,Stamm::N,തായ്ത്തടി,кер
119,Rinde::N,പട്ട,кач
120,Ast::N,ശാഖ,ув
121,Zweig::N,ശാഖ,ув
122,Blatt::N,ഇല,лист
123,Birke::N,പൂവരശ്,кыдз
124,Kiefer[Baum]::N,പൈൻമരം,пожум
125,Weide[Baum]::N,വില്ലോ,бадь
