,Concept_ID,cv,pl
0,Auge::N,куҫ,oko
1,Ohr::N,хӑлха,ucho
2,Nase::N,сӑмса,nos
3,Mund::N,ҫӑвар,usta
4,Zahn::N,шӑл,ząb
5,Zunge::N,чӗлхе,język
6,Lippe::N,тута,warga
7,Wange::N,пит ҫӑмарти,policzek
8,Gesicht::N,пит,twarz
9,Gesicht::N,пит-куҫ,twarz
10,Stirn::N,ҫамка,czoło
11,Haar::N,ҫӳҫ,włos
12,Haar::N,ҫӳҫ,włosy
13,Schnurrbart::N,усси,wąsy
14,Bart::N,сухал,broda
15,Kinn::N,янах,podbródek
16,Kiefer[Anatomie]::N,янах,czeluść
17,Kehle::N,пыр,gardło
18,Kehle::N,карланкӑ,gardło
19,Hals::N,пыр,szyja
20,Genick::N,ӗнсе,kark
21,Kopf::N,пуҫ,głowa
22,Rücken::N,ҫурӑм,plecy
23,Rücken::N,ҫурӑм,grzbiet
24,Nabel::N,кӑвапа,pępek
25,Busen::N,кӑкӑр,biust
26,Brust::N,умӗ,pierś
27,Schulter::N,хул пуҫҫи,bark
28,Schulter::N,хул пуҫҫи,ramię
29,Arm::N,алӑ,ręka
30,Arm::N,алӑ,ramię
31,Ellenbogen::N,чавса,łokieć
32,Hand::N,алӑ сыппи,dłoń
33,Handfläche::N,ал лаппи,dłoń
34,Finger::N,пӳрне,palec
35,Fingernagel::N,чӗрне,paznokieć
36,Nagel[Anatomie]::N,чӗрне,paznokieć
37,Zeh::N,пӳрне,palec
38,Fuß::N,ура лаппи,stopa
39,Ferse::N,кӗле,pięta
40,Knie::N,чӗркуҫҫи,kolano
41,Oberschenkel::N,пӗҫӗ,udo
42,Bein::N,ура,noga
43,Körper::N,ӳт,ciało
44,Körper::N,ӳт-пӳ,ciało
45,Haut::N,тир,skóra
46,Blut::N,юн,krew
47,Ader::N,вена,żyła
48,Sehne::N,шӑнӑр,ścięgno
49,Knochen::N,шӑмӑ,kość
50,Gehirn::N,миме,mózg
51,Herz::N,чӗре,serce
52,Magen::N,хырӑмлӑх,żołądek
53,Leber::N,пӗвер,wątroba
54,Atem::N,сывлав,dech
55,Atem::N,сывлав,oddech
56,Hunger::N,выҫлӑх,głód
57,Träne::N,куҫҫуль,łza
58,Geschmack::N,техӗм,smak
59,Geruch::N,шӑршӑ,woń
60,Geruch::N,шӑршӑ,zapach
61,Schlaf::N,ыйхӑ,sen
62,Traum::N,тӗлӗк,sen
63,Himmel::N,пӗлӗт,niebo
64,Sonne::N,хӗвел,słońce
65,Mond::N,уйӑх,księżyc
66,Stern::N,ҫӑлтӑр,gwiazda
