,Concept_ID,ce,hr
0,Auge::N,бӏаьрг,oko
1,Ohr::N,лерг,uho
2,Nase::N,мара,nos
3,Mund::N,бага,usta
4,Zahn::N,церг,zub
5,Zunge::N,мотт,jezik
6,Lippe::N,балда,usna
7,Wange::N,бесни,obraz
8,Gesicht::N,юьхь,lice
9,Stirn::N,хьаж,čelo
10,Haar::N,мас,kosa
11,Schnurrbart::N,мекх,brkovi
12,Bart::N,маж,brada
13,Kinn::N,чӏениг,brada
14,Kinn::N,чӏениг,podbradak
15,Kiefer[Anatomie]::N,мочхал,čeljust
16,Kehle::N,къамкъарг,grlo
17,Hals::N,ворта,vrat
18,Genick::N,кӏесаркӏаг,zatiljak
19,Kopf::N,корта,glava
20,Rücken::N,букъ,leđa
21,Rücken::N,букъ,hrbat
22,Bauch::N,кийра,trbuh
23,Nabel::N,цӏонга,pupak
24,Busen::N,зударийн накха,sisa
25,Busen::N,зударийн накха,njedra
26,Brust::N,накха,prsa
27,Schulter::N,белш,rame
28,Schulter::N,белш,pleći
29,Arm::N,пхьарс,ruka
30,Ellenbogen::N,пхьаьрсан гола,lakat
31,Hand::N,куьг,ruka
32,Handfläche::N,кераюкъ,dlan
33,Finger::N,пӏелг,prst
34,Fingernagel::N,мӏара,nokat
35,Nagel[Anatomie]::N,мӏара,nokat
36,Zeh::N,кога пӏелг,nozni prst
37,Fuß::N,ког,noga
38,Fuß::N,ког,stopalo
39,Ferse::N,кӏажа,peta
40,Knie::N,гола,koljeno
41,Oberschenkel::N,варе,bedro
42,Bein::N,ког,noga
43,Körper::N,хӏума,tijelo
44,Haut::N,чкъор,put
45,Haut::N,чкъор,koža
46,Blut::N,цӏий,krv
47,Ader::N,пха,žila
48,Sehne::N,хьорзам,tetiva
49,Knochen::N,даьӏахк,kost
50,Gehirn::N,хье,
51,Herz::N,дог,srce
52,Magen::N,зорх,stomak
53,Magen::N,зорх,želudac
54,Leber::N,доӏах,jetra
55,Atem::N,садеӏар,dah
56,Hunger::N,мацалла,glad
57,Träne::N,бӏаьрхи,suza
58,Geschmack::N,чам,ukus
59,Geruch::N,хьожа,njuh
60,Geruch::N,хьожа,miris
61,Schlaf::N,наб,san
62,Traum::N,гӏан,san
63,Himmel::N,стигал,nebo
64,Sonne::N,малх,sunce
65,Mond::N,бутт,mjesec
66,Stern::N,седа,zvijezda
67,Luft::N,xӏаваъ,zrak
68,Wind::N,мох,vjetar
69,Welle::N,тулгӏе,val
70,Welle::N,тулгӏе,talas
71,Wasser::N,хи,voda
72,Stein::N,тӏулг,kamen
73,Boden::N,цӏенкъа,tlo
74,Boden::N,цӏенкъа,zemlja
75,Erde::N,латта,zemlja
76,Staub::N,чан,prah
77,Staub::N,чан,prašina
78,Rauch::N,кӏур,dim
79,Funke::N,суй,iskra
80,Funke::N,суй,varnica
81,Feuer::N,цӏе,vatra
82,Licht::N,серло,svjetlo
83,Schatten::N,ӏиндагӏ,hlad
84,Schatten::N,ӏиндагӏ,sjena
85,Wetter::N,хенан хӏоттам,vrijeme
86,Nebel::N,дохк,magla
87,Wolke::N,марха,oblak
88,Regen::N,догӏа,kiša
89,Schnee::N,ло,snijeg
90,Eis::N,ша,led
91,Frost::N,шело,mraz
92,Kälte::N,шело,studen
93,Kälte::N,шело,hladnoća
94,Hitze::N,йовхо,vrućina
95,Raureif::N,йис,inje
96,Regenbogen::N,стелаӏад,duga
97,Donner::N,ткъес,grom
98,Donner::N,ткъес,grmljavina
99,Strömung::N,дӏаэхар,struja
100,Strömung::N,дӏаэхар,strujanje
101,Strömung::N,дӏасалелар,struja
102,Strömung::N,дӏасалелар,strujanje
103,Tropfen::N,тӏадам,kap
104,Tropfen::N,тӏадам,kaplja
105,Schaum::N,чопа,pjena
106,Schmutz::N,хатт,nečistoća
107,Schmutz::N,хатт,prljavština
108,See::N,ӏам,jezero
109,Sumpf::N,уьшал,bara
110,Moor::N,уьшал,močvara
111,Wiese::N,бай,livada
112,Wald::N,хьун,šuma
113,Hügel::N,гу,brijeg
114,Hügel::N,гу,brežuljak
115,Hügel::N,шу,brijeg
116,Hügel::N,шу,brežuljak
117,Hügel::N,барз,brijeg
118,Hügel::N,барз,brežuljak
119,Anhöhe::N,акъари,uzvišica
120,Berg::N,лам,brdo
121,Gipfel::N,бохь,vrh
122,Höhle::N,хьех,pećina
123,Höhle::N,хьех,spilja
124,Abhang::N,басе,obronak
125,Abhang::N,басе,nizbrdica
126,Quelle::N,шовда,izvor
127,Quelle::N,шовда,vrelo
128,Bach::N,татол,potok
129,Fluss::N,хи,rijeka
130,Ufer::N,хийист,obala
131,Küste::N,йист,obala
132,Küste::N,йист,morska obala
133,Festland::N,латта,kopno
134,Meer::N,xӏорд,more
135,Bucht::N,чож,zaliv
136,Insel::N,гӏайре,ada
137,Insel::N,гӏайре,otok
138,Blume::N,зезаг,cvijet
139,Gras::N,буц,trava
140,Wurzel::N,орам,korijen
141,Baum::N,дитт,drvo
142,Baum::N,дитт,stablo
143,Stamm::N,гӏад,deblo
144,Stamm::N,гӏад,stablo
145,Stamm::N,тайпа,deblo
146,Stamm::N,тайпа,stablo
147,Rinde::N,кевстиг,kora
148,Ast::N,га,grana
149,Zweig::N,га,grana
150,Blatt::N,гӏа,list
151,Birke::N,дакх,breza
152,Kiefer[Baum]::N,бага,bor
153,Weide[Baum]::N,дак,iva
154,Weide[Baum]::N,дак,vŕba
155,Tanne::N,база,jela
156,Horn::N,маӏа,rog
157,Feder::N,пелаг,pero
158,Fell::N,цӏока,koža
159,Flügel::N,тӏам,krilo
160,Klaue::N,мӏара,papak
161,Kralle::N,тlод,pandža
162,Schwanz::N,цӏога,rep
163,Ei::N,xӏoa,jaje
164,Nest::N,бен,gnijezdo
165,Bau::N,lуьрг,jazbina
166,Tier::N,дийнат,životinja
167,Herde::N,жа,krdo
168,Herde::N,жа,stado
169,Kuh::N,етт,krava
170,Bulle::N,сту,bik
171,Pferd::N,говр,konj
172,Schaf::N,жий,ovca
173,Schaf::N,уьстагӏ,ovca
174,Schwein::N,хьакха,svinja
175,Hund::N,жӏаьла,pas
176,Hund::N,жӏаьла,pseto
177,Katze::N,цициг,mačka
178,Bär::N,ча,medvjed
179,Eichhörnchen::N,тарсал,vjeverica
180,Elch::N,сай,los
181,Fuchs::N,цхьогал,lisica
182,Hase::N,пхьагал,zec
183,Maus::N,дахка,miš
184,Wolf::N,борз,vuk
185,Wolf::N,борз,kurjak
186,Vogel::N,олхазар,ptica
187,Huhn::N,котам,kokoš
188,Hahn::N,нӏаьна,kokot
189,Hahn::N,нӏаьна,pijevac
190,Hahn::N,боргӏал,kokot
191,Hahn::N,боргӏал,pijevac
192,Gans::N,гӏаз,guska
193,Adler::N,aьрзу,orao
194,Ente::N,бад,patka
195,Eule::N,бухӏа,sova
196,Kranich::N,гӏаргӏули,ždral
197,Krähe::N,къиг,vrana
198,Kuckuck::N,aттйокх,kukavica
199,Schwan::N,гӏургӏаз,labud
200,Fisch::N,чӏара,riba
201,Barsch::N,окунь,grgeč
202,Hecht::N,гӏазкхийн чӏара,štuka
203,Schlange[Tier]::N,лаьхьа,guja
204,Schlange[Tier]::N,лаьхьа,zmija
205,Wurm::N,нӏаьна,crv
206,Spinne::N,гезг,pauk
207,Ameise::N,зингат,mrav
208,Laus::N,меза,uš
209,Laus::N,гӏениг,uš
210,Mücke::N,чуьрк,komarac
211,Fliege::N,моза,muha
212,Schmetterling::N,полла,leptir
213,Beere::N,цӏазам,boba
214,Beere::N,цӏазам,bobica
215,Apfel::N,ӏаж,jabuka
216,Pilz::N,жӏаьлин нускал,pečurka
217,Zwiebel::N,xох,luk
218,Zwiebel::N,xох,kapula
219,Saat::N,чlу,sjemenje
220,Korn::N,буьртиг,zrno
221,Heu::N,йол,sijeno
222,Schale::N,пардо,kora
223,Schale::N,пардо,ljuska
224,Grube::N,ор,jama
225,Falle::N,кӏело,zamka
226,Falle::N,кӏело,klopka
227,Spur::N,лар,trag
228,Spur::N,лар,slijed
229,Asche::N,чим,pepeo
230,Dreck::N,мода,blato
231,Eisen::N,эчиг,željezo
232,Gold::N,деши,zlato
233,Silber::N,дети,srebro
234,Kohle::N,кӏора,ugalj
235,Kohle::N,кӏора,ugljen
236,Glas::N,aнгали,staklo
237,Lehm::N,поппар,glina
238,Lehm::N,поппар,ilovača
239,Sand::N,гӏум,pijesak
240,Mensch::N,адам,čovjek
241,Mann::N,майра,muškarac
242,Frau::N,зуда,žena
243,Kind::N,бер,čedo
244,Kind::N,бер,dijete
245,Junge::N,жимха,momče
246,Junge::N,жимха,dječak
247,Mädchen::N,жима йоӏ,djevojka
248,Mädchen::N,жима йоӏ,djevojčica
249,Familie::N,доьзал,obitelj
250,Familie::N,доьзал,porodica
251,Großvater::N,ненада,djed
252,Großmutter::N,денана,baka
253,Eltern::N,да-нана,roditelji
254,Vater::N,да,otac
255,Mutter::N,нана,majka
256,Sohn::N,кӏант,sin
257,Tochter::N,йоӏ,kći
258,Tochter::N,йоӏ,kćerka
259,Bruder::N,ваша,brat
260,Schwester::N,йиша,sestra
261,Onkel::N,деваша,čika
262,Onkel::N,деваша,ujak
263,Tante::N,дейиша,ujna
264,Tante::N,дейиша,tetka
265,Ehemann::N,майра,muž
266,Ehemann::N,майра,suprug
267,Ehefrau::N,зуда,žena
268,Ehefrau::N,зуда,supruga
269,Freude::N,самукъа,radost
270,Freude::N,хазахетар,radost
271,Gelächter::N,белам,grohot
272,Glück::N,ирс,sreća
273,Kummer::N,бала,jad
274,Kummer::N,бала,briga
275,Wunsch::N,лаам,želja
276,Lust::N,лаам,volja
277,Geist::N,са,duh
278,Gedanke::N,ойла,misao
279,Gedächtnis::N,диццадалар,pamćenje
280,Verstand::N,хьекъал,um
281,Verstand::N,хьекъал,razum
282,Sinn::N,маьӏна,smisao
283,Sinn::N,маьӏна,značenje
