,Concept_ID,la,hr
0,Auge::N,oculus,oko
1,Ohr::N,auris,uho
2,Nase::N,nasus,nos
3,Mund::N,os,usta
4,Zahn::N,dens,zub
5,Zunge::N,lingua,jezik
6,Lippe::N,labrum,usna
7,Wange::N,gena,obraz
8,Gesicht::N,vultus,lice
9,Stirn::N,frons,čelo
10,Haar::N,capillus,kosa
11,Schnurrbart::N,barba labri superioris,brkovi
12,Bart::N,barba,brada
13,Kinn::N,mentum,brada
14,Kinn::N,mentum,podbradak
15,Kiefer[Anatomie]::N,mala,čeljust
16,Kehle::N,iugulums,grlo
17,Hals::N,collum,vrat
18,Genick::N,cervices,zatiljak
19,Kopf::N,caput,glava
20,Rücken::N,tergum,leđa
21,Rücken::N,tergum,hrbat
22,Bauch::N,venter,trbuh
23,Nabel::N,umbilicus,pupak
24,Busen::N,sinus,sisa
25,Busen::N,sinus,njedra
26,Brust::N,pectus,prsa
27,Schulter::N,umerus,rame
28,Schulter::N,umerus,pleći
29,Arm::N,bracchium,ruka
30,Ellenbogen::N,cubitum,lakat
31,Hand::N,manus,ruka
32,Handfläche::N,palma,dlan
33,Finger::N,digitus,prst
34,Fingernagel::N,unguiculus,nokat
35,Nagel[Anatomie]::N,unguis,nokat
36,Zeh::N,digitus,nozni prst
37,Fuß::N,pes,noga
38,Fuß::N,pes,stopalo
39,Ferse::N,calx,peta
40,Knie::N,genu,koljeno
41,Oberschenkel::N,femur,bedro
42,Bein::N,crus,noga
43,Körper::N,corpus,tijelo
44,Haut::N,cutis,put
45,Haut::N,cutis,koža
46,Haut::N,pellis,put
47,Haut::N,pellis,koža
48,Blut::N,sanguis,krv
49,Ader::N,vena,žila
50,Sehne::N,nervus,tetiva
51,Knochen::N,os,kost
52,Gehirn::N,cerebrum,
53,Herz::N,cor,srce
54,Herz::N,animus,srce
55,Magen::N,stomachus,stomak
56,Magen::N,stomachus,želudac
57,Leber::N,iecur,jetra
58,Atem::N,spiritus,dah
59,Hunger::N,fames,glad
60,Träne::N,lacrima,suza
61,Geschmack::N,sapor,ukus
62,Geschmack::N,gustus,ukus
63,Geruch::N,odor,njuh
64,Geruch::N,odor,miris
65,Schlaf::N,somnus,san
66,Traum::N,somnium,san
67,Himmel::N,caelum,nebo
68,Sonne::N,sol,sunce
69,Mond::N,luna,mjesec
70,Stern::N,sidus,zvijezda
71,Stern::N,stella,zvijezda
72,Luft::N,aer,zrak
73,Wind::N,ventus,vjetar
74,Welle::N,unda,val
75,Welle::N,unda,talas
76,Wasser::N,aqua,voda
77,Stein::N,lapis,kamen
78,Boden::N,solum,tlo
79,Boden::N,solum,zemlja
80,Erde::N,terra,zemlja
81,Staub::N,pulvis,prah
82,Staub::N,pulvis,prašina
83,Rauch::N,fumus,dim
84,Funke::N,scintilla,iskra
85,Funke::N,scintilla,varnica
86,Feuer::N,ignis,vatra
87,Licht::N,lux,svjetlo
88,Licht::N,lumen,svjetlo
89,Schatten::N,umbra,hlad
90,Schatten::N,umbra,sjena
91,Wetter::N,caelum,vrijeme
92,Wetter::N,tempestas,vrijeme
93,Nebel::N,nebula,magla
94,Wolke::N,nubes,oblak
95,Regen::N,imber,kiša
96,Regen::N,pluvia,kiša
97,Schnee::N,nix,snijeg
98,Eis::N,glacies,led
99,Frost::N,gelu,mraz
100,Kälte::N,frigus,studen
101,Kälte::N,frigus,hladnoća
102,Hitze::N,calor,vrućina
103,Hitze::N,aestus,vrućina
104,Raureif::N,pruina,inje
105,Regenbogen::N,arcus,duga
106,Donner::N,tonitrus,grom
107,Donner::N,tonitrus,grmljavina
108,Strömung::N,fluctus,struja
109,Strömung::N,fluctus,strujanje
110,Tropfen::N,gutta,kap
111,Tropfen::N,gutta,kaplja
112,Schaum::N,spuma,pjena
113,Schmutz::N,sordes,nečistoća
114,Schmutz::N,sordes,prljavština
115,Schmutz::N,squalor,nečistoća
116,Schmutz::N,squalor,prljavština
117,See::N,lacus,jezero
118,Sumpf::N,palus,bara
119,Moor::N,palus,močvara
120,Wiese::N,pratum,livada
121,Wald::N,silva,šuma
122,Hügel::N,collis,brijeg
123,Hügel::N,collis,brežuljak
124,Anhöhe::N,specula,uzvišica
125,Berg::N,mons,brdo
126,Gipfel::N,vertex,vrh
127,Höhle::N,caverna,pećina
128,Höhle::N,caverna,spilja
129,Höhle::N,spelunca,pećina
130,Höhle::N,spelunca,spilja
131,Abhang::N,declivum,obronak
132,Abhang::N,declivum,nizbrdica
133,Quelle::N,fons,izvor
134,Quelle::N,fons,vrelo
135,Bach::N,rivus,potok
136,Fluss::N,flumen,rijeka
137,Ufer::N,ripa,obala
138,Küste::N,litus,obala
139,Küste::N,litus,morska obala
140,Festland::N,continens,kopno
141,Meer::N,mare,more
142,Bucht::N,sinus,zaliv
143,Insel::N,insula,ada
144,Insel::N,insula,otok
145,Blume::N,flos,cvijet
146,Gras::N,herba,trava
147,Gras::N,gramen,trava
148,Wurzel::N,radix,korijen
149,Baum::N,arbor,drvo
150,Baum::N,arbor,stablo
151,Stamm::N,truncus,deblo
152,Stamm::N,truncus,stablo
153,Rinde::N,cortex,kora
154,Ast::N,ramus,grana
155,Zweig::N,ramus,grana
156,Blatt::N,folium,list
157,Birke::N,betulla,breza
158,Kiefer[Baum]::N,pinus,bor
159,Weide[Baum]::N,salix,iva
160,Weide[Baum]::N,salix,vŕba
161,Tanne::N,abies,jela
162,Horn::N,cornu,rog
163,Feder::N,penna,pero
164,Fell::N,pellis,koža
165,Flügel::N,ala,krilo
166,Klaue::N,unguis,papak
167,Kralle::N,unguis,pandža
168,Schwanz::N,cauda,rep
169,Ei::N,ovum,jaje
170,Nest::N,nidus,gnijezdo
171,Bau::N,cavum,jazbina
172,Bau::N,latibulum,jazbina
173,Tier::N,bestia,životinja
174,Herde::N,grex,krdo
175,Herde::N,grex,stado
176,Kuh::N,vacca,krava
177,Bulle::N,taurus,bik
178,Pferd::N,equus,konj
179,Schaf::N,ovis,ovca
180,Schwein::N,sus,svinja
181,Schwein::N,porcus,svinja
182,Hund::N,canis,pas
183,Hund::N,canis,pseto
184,Katze::N,felis,mačka
185,Bär::N,ursus,medvjed
186,Eichhörnchen::N,sciurus,vjeverica
187,Elch::N,alces,los
188,Fuchs::N,vulpes,lisica
189,Hase::N,lepus,zec
190,Maus::N,mus,miš
191,Wolf::N,lupus,vuk
192,Wolf::N,lupus,kurjak
193,Vogel::N,avis,ptica
194,Schwarm::N,examen,roj
195,Schwarm::N,examen,jato
196,Huhn::N,gallina,kokoš
197,Hahn::N,gallus,kokot
198,Hahn::N,gallus,pijevac
