,Concept_ID,cy,sk
184,Ente::N,hwyad,kačica
185,Eule::N,tylluan,sova
186,Kranich::N,garan,žeriav
187,Kranich::N,crychydd,žeriav
188,Krähe::N,brân,vrana
189,Kuckuck::N,cog,kukučka
190,Kuckuck::N,cwcw,kukučka
191,Schwan::N,alarch,labuť
192,Fisch::N,pysgod,ryba
193,Barsch::N,draenog,ostriež
194,Hecht::N,penhwyad,šťuka
195,Schlange[Tier]::N,neidr,had
196,Wurm::N,abwydyn,červ
197,Wurm::N,pryf genwair,červ
198,Spinne::N,cor,pavúk
199,Spinne::N,pryf copyn,pavúk
200,Ameise::N,morgrugyn,mravec
201,Laus::N,lleuen,voš
202,Mücke::N,gwybedyn,komár
203,Fliege::N,cleren,mucha
204,Schmetterling::N,glöyn byw,motýľ
205,Schmetterling::N,iâr fach yr haf,motýľ
206,Beere::N,aeronen,bobuľa
207,Apfel::N,afal,jablko
208,Pilz::N,madarch,hríb
209,Zwiebel::N,nionyn,cibuľa
210,Zwiebel::N,winwnsyn,cibuľa
211,Saat::N,had,osivo
212,Korn::N,grawn,zrno
213,Heu::N,gwair,seno
214,Schale::N,croen,šupa
215,Schale::N,croen,škrupina
216,Schale::N,plisgyn,šupa
217,Schale::N,plisgyn,škrupina
218,Grube::N,pwll,jama
219,Grube::N,pydew,jama
220,Falle::N,magl,pasca
221,Falle::N,magl,klepec
222,Schlinge::N,cwlwm rhedeg,slučka
223,Spur::N,ôl,stopa
224,Asche::N,lludw,popol
225,Dreck::N,baw,kal
226,Dreck::N,baw,blato
227,Dreck::N,budreddi,kal
228,Dreck::N,budreddi,blato
229,Eisen::N,haearn,železo
230,Gold::N,aur,zlato
231,Silber::N,arian,striebro
232,Kohle::N,glo,uhlie
233,Glas::N,gwydr,sklo
234,Lehm::N,clai,íl
235,Lehm::N,clai,hlina
236,Sand::N,tywod,piesok
237,Mensch::N,dyn,človek
238,Mann::N,dyn,muž
239,Mann::N,dyn,chlap
240,Frau::N,merch,žena
241,Frau::N,gwraig,žena
242,Kind::N,plentyn,dieťa
243,Junge::N,hogyn,chlapec
244,Junge::N,bachgen,chlapec
245,Mädchen::N,merch,dievka
246,Mädchen::N,geneth,dievka
247,Familie::N,teulu,rodina
248,Familie::N,tylwyth,rodina
249,Großvater::N,taid,dedo
250,Großvater::N,taid,starý otec
251,Großvater::N,tad-cu,dedo
252,Großvater::N,tad-cu,starý otec
253,Großmutter::N,nain,babička
254,Großmutter::N,nain,stará mať
255,Großmutter::N,mam-gu,babička
256,Großmutter::N,mam-gu,stará mať
257,Eltern::N,rhieni,rodičia
258,Vater::N,tad,otec
259,Mutter::N,mam,mať
260,Mutter::N,mam,matka
261,Sohn::N,mab,syn
262,Tochter::N,merch,dcéra
263,Bruder::N,brawd,brat
264,Schwester::N,chwaer,sestra
265,Onkel::N,ewythr,ujo
266,Onkel::N,ewythr,strýko
267,Tante::N,modryb,teta
268,Tante::N,modryb,tetka
269,Ehemann::N,gŵr,muž
270,Ehemann::N,gŵr,manžel
271,Ehefrau::N,gwraig,žena
272,Ehefrau::N,gwraig,manželka
273,Freude::N,gorfoledd,radosť
274,Gelächter::N,chwerthin,smiech
275,Glück::N,hapusrwydd,šťastie
276,Kummer::N,galar,žiaľ
277,Kummer::N,galar,zármutok
278,Wunsch::N,dymuniad,prianie
279,Lust::N,chwant,chuť
280,Geist::N,ysbryd,duch
281,Gedanke::N,meddwl,myšlienka
282,Gedächtnis::N,cof,pamäť
283,Verstand::N,meddwl,rozum
284,Sinn::N,ystyr,zmysel
285,Grund::N,achos,dôvod
286,Grund::N,achos,príčina
287,Grund::N,rheswm,dôvod
288,Grund::N,rheswm,príčina
289,Wahrheit::N,gwir,pravda
290,Wahrheit::N,gwirionedd,pravda
291,Gespräch::N,sgwrs,reč
292,Gespräch::N,sgwrs,rozhovor
293,Märchen::N,chwedl werin,rozprávka
294,Erzählung::N,stori,poviedka
295,Nachricht::N,neges,správa
296,Neuigkeit::N,newydd,novinka
297,Name::N,enw,meno
298,Rätsel::N,pos,záhada
299,Rätsel::N,pos,hádanka
300,Rede::N,araith,reč
301,Sprache::N,iaith,reč
302,Sprache::N,iaith,jazyk
303,Stimme::N,llais,hlas
304,Wort::N,gair,slovo
305,Zeichen::N,arwydd,znak
306,Ruf::N,galwad,volanie
307,Ruf::N,galwad,zavolanie
308,Lärm::N,trwst,hluk
309,Lärm::N,trwst,hurhaj
310,Laut::N,sain,zvuk
311,Ton::N,tôn,tón
312,Ton::N,tôn,zvuk
313,Lied::N,cân,pieseň
314,Ruhe::N,tawelwch,pokoj
315,Leute::N,pobl,ľudia
316,Volk::N,pobl,ľud
317,Volk::N,pobl,národ
318,Arbeit::N,gwaith,práca
319,Arbeit::N,gwaith,robota
320,Gast::N,gwestai,hosť
321,Geschenk::N,rhodd,dar
322,Geschenk::N,anrheg,dar
323,Spiel::N,chwarae,hra
324,Gesellschaft::N,cwmni,spoločnosť
325,Hilfe::N,cymorth,pomoc
326,Freund::N,cyfaill,priateľ
327,Kamerad::N,cydymaith,kamarát
328,Angelegenheit::N,pwnc,vec
329,Angelegenheit::N,pwnc,záležitosť
330,Anzahl::N,cyfrif,počet
331,Anzahl::N,cyfrif,množstvo
332,Art::N,bath,druh
333,Stück::N,darn,kus
334,Stück::N,darn,kúsok
335,Teil::N,rhan,časť
336,Hälfte::N,hanner,polka
337,Hälfte::N,hanner,polovica
338,Kreis::N,cylch,kruh
339,Kreuz::N,croes,kríž
340,Linie::N,llinell,línia
341,Strich::N,strôc,čiara
342,Strich::N,trawiad,čiara
343,Abstand::N,bwlch,vzdialenosť
344,Abstand::N,pellter,vzdialenosť
345,Entfernung::N,pellter,vzdialenosť
346,Gegend::N,cylch,kraj
347,Gegend::N,cylch,krajina
348,Platz::N,lle,miesto
349,Ort::N,lle,miesto
350,Seite::N,ochr,bok
351,Seite::N,ochr,strana
352,Mitte::N,canol,stred
353,Gegenstand::N,eitem,predmet
354,Sache::N,peth,vec
355,Rand::N,cwr,kraj
356,Rand::N,cwr,okraj
357,Rand::N,ymyl,kraj
358,Rand::N,ymyl,okraj
359,Kante::N,min,hrana
360,Kante::N,ymyl,hrana
361,Ecke::N,cornel,roh
362,Spitze::N,blaen,hrot
363,Spitze::N,blaen,špička
364,Ende::N,pen,koniec
365,Loch::N,twll,diera
366,Winkel::N,congl,kút
367,Muster::N,patrwm,vzor
368,Muster::N,patrwm,vzorka
369,Größe::N,maint,veľkosť
370,Größe::N,maintioli,veľkosť
371,Länge::N,hyd,dĺžka
372,Höhe::N,uchder,výška
373,Gewicht::N,pwysau,váha
374,Menge::N,swm,množstvo
375,Menge::N,maint,množstvo
376,Haufen::N,pentwr,hŕba
377,Reihe::N,rhes,rad
378,Boot::N,cwch,čln
379,Ruder::N,rhwyf,veslo
380,Schlitten::N,sled,sane
381,Schlitten::N,car llusg,sane
382,Ski::N,sgi,lyža
383,Lagerfeuer::N,coelcerth,táborák
384,Last::N,llwyth,ťarcha
385,Last::N,llwyth,bremeno
386,Gang::N,tro,chôdza
387,Schritt::N,cam,krok
388,Norden::N,gogledd,sever
389,Süden::N,de,juh
390,Westen::N,gorllewin,západ
391,Osten::N,dwyrain,východ
392,Holz::N,pren,drevo
393,Brett::N,bwrdd,doska
394,Brett::N,astell,doska
395,Platte::N,llech,doska
396,Platte::N,llech,platňa
397,Stütze::N,ateg,opora
398,Stütze::N,cynhalydd,opora
399,Stange::N,polyn,tyč
400,Stock::N,ffon,palica
401,Stock::N,brigyn,palica
402,Stab::N,ffon,palica
403,Rohr::N,pibell,rúra
404,Haus::N,tŷ,dom
405,Heim::N,cartref,domov
406,Ofen::N,stof,pec
407,Ofen::N,stof,kachle
408,Fußboden::N,llawr,dlážka
409,Fußboden::N,llawr,podlaha
410,Tisch::N,bwrdd,stôl
411,Stuhl::N,cadair,stolička
412,Wiege::N,crud,kolíska
413,Bett::N,gwely,lôžko
414,Bett::N,gwely,posteľ
415,Regal::N,silff,regál
416,Regal::N,silff,polica
417,Kiste::N,bocs,debna
418,Kiste::N,blwch,debna
419,Fenster::N,ffenestr,okno
420,Fenster::N,ffenestr,oblok
421,Tür::N,drws,dvere
422,Tor::N,porth,vráta
423,Zaun::N,ffens,plot
424,Zaun::N,ffens,ohrada
425,Dach::N,to,krov
426,Dach::N,to,strecha
427,Leiter::N,ysgol,rebrík
428,Leiter::N,ysgol,rebrina
429,Besen::N,ysgub,metla
430,Spaten::N,rhaw,rýľ
431,Schaufel::N,rhaw,lopata
