,Concept_ID,br,kk
0,Auge::N,lagad,көз
1,Ohr::N,skouarn,құлақ
2,Nase::N,fri,мұрын
3,Mund::N,genoù,ауыз
4,Zahn::N,dant,тіс
5,Zunge::N,teod,тіл
6,Lippe::N,muzell,ерін
7,Wange::N,chot,ұрт
8,Gesicht::N,dremm,бет-аузы
9,Stirn::N,tal,маңдай
10,Haar::N,blev,қыл
11,Schnurrbart::N,mourenn,мұрт
12,Bart::N,barv,сақал
13,Kinn::N,groñj,иек
14,Kiefer[Anatomie]::N,javed,жақ
15,Kehle::N,gouzoug,алқым
16,Hals::N,gouzoug,мойын
17,Genick::N,choug,желке
18,Kopf::N,penn,кәллә
19,Rücken::N,kein,арқа
20,Bauch::N,kof,қарын
21,Nabel::N,begel,кіндік
22,Busen::N,bronn,омырау
23,Brust::N,bruched,кеуде
24,Schulter::N,skoaz,иық
25,Arm::N,brec'h,қол
26,Ellenbogen::N,ilin,шынтақ
27,Hand::N,dorn,қол
28,Handfläche::N,palv,алақан
29,Finger::N,biz,саусақ
30,Fingernagel::N,ivin,тырнақ
31,Nagel[Anatomie]::N,ivin,тырнақ
32,Zeh::N,biz-troad,тырнақ
33,Zeh::N,biz-troad,тұяқ
34,Fuß::N,troad,аяқ-басы
35,Ferse::N,seul,өкше
36,Ferse::N,seul,өкшелік
37,Knie::N,glin,тізе
38,Oberschenkel::N,morzhed,жамбас
39,Bein::N,gar,аяқ
40,Körper::N,korf,дене
41,Haut::N,kroc'hen,тері
42,Blut::N,gwad,қан
43,Ader::N,gwazhi,көктамыр
44,Ader::N,gwazhi,күретамыр
45,Sehne::N,stir,сіңір
46,Knochen::N,askorn,жілік
47,Gehirn::N,empenn,ми
48,Herz::N,kalon,жүрек
49,Magen::N,stomog,асқазан
50,Leber::N,avu,бауыр
51,Atem::N,anal,леп
52,Hunger::N,naon,ашаршылық
53,Träne::N,daer,жас
54,Geschmack::N,blaz,дәм
55,Geschmack::N,blaz,татым
56,Geschmack::N,blaz,талғам
57,Geruch::N,c'hwezh,иіс
58,Schlaf::N,kousked,ұйқы
59,Schlaf::N,kousked,ұйықтау
60,Traum::N,hune,түс
61,Himmel::N,oabl,аспан
62,Himmel::N,oabl,көқ
63,Himmel::N,oabl,таңдай
64,Sonne::N,heol,күн
65,Mond::N,loar,ай
66,Stern::N,steredenn,жұлдыз
67,Luft::N,aer,әуе
68,Wind::N,avel,жел
69,Welle::N,houlenn,толқын
70,Wasser::N,dour,су
71,Stein::N,maen,тас
72,Boden::N,tachenn,қыртыс
73,Erde::N,douar,топырақ
74,Staub::N,poultr,шаң
75,Rauch::N,moged,түтін
76,Funke::N,ful,ұшқын
77,Feuer::N,tan,алау
78,Licht::N,gouloù,шұғыла
79,Schatten::N,disheol,көлеңке
80,Wetter::N,amzer,ауа райы
81,Nebel::N,brumenn,тұман
82,Wolke::N,koumoulenn,бұлт
83,Regen::N,glav,жаңбыр
84,Schnee::N,erc'h,қар
85,Eis::N,skorn,мұз
86,Frost::N,rev,суық
87,Kälte::N,yen,ызғар
88,Kälte::N,yen,суықтық
89,Hitze::N,tommder,аптап
90,Raureif::N,frim,қырау
91,Regenbogen::N,gwareg-ar-glav,кемпірқосақ
92,Donner::N,kurun,күн күркіреу
93,Strömung::N,red,ағын
94,Tropfen::N,bannac'h,тамшы
95,Tropfen::N,takenn,тамшы
96,Schaum::N,spoum,көбік
97,Schmutz::N,fank,кір
98,See::N,lenn,көл
99,Sumpf::N,gwern,саз
100,Moor::N,taouarc'heg,саз
101,Wiese::N,prad,шалғын
102,Wald::N,koad,орман
103,Hügel::N,torgenn,төбе
104,Hügel::N,torgenn,белес
105,Hügel::N,torgenn,белес-белес
106,Anhöhe::N,run,дөң
107,Anhöhe::N,run,адыр
108,Anhöhe::N,run,қырат
109,Berg::N,menez,тау
110,Gipfel::N,barr,төбе
111,Höhle::N,kav,үңгір
112,Abhang::N,naou,бауыр
113,Quelle::N,feunteun,қайнар
114,Bach::N,gwazh,жылға
115,Fluss::N,stêr,өзен
116,Ufer::N,ribl,жиек
117,Küste::N,aod,жиегі
118,Küste::N,aod,жағалау
119,Festland::N,douar,құрылық
120,Meer::N,mor,теңіз
121,Bucht::N,mor-bihan,шығанақ
122,Insel::N,enez,арал
123,Blume::N,bleunienn,гүл
124,Gras::N,geot,от
125,Wurzel::N,gwrizienn,түбір
126,Baum::N,gwezenn,ағаш
127,Baum::N,gwezenn,дарақ
128,Stamm::N,kef,сояу
129,Stamm::N,kef,оқпан
130,Rinde::N,rusk,қабық
131,Ast::N,barr,бұтақ
132,Zweig::N,bod,шыбық
133,Blatt::N,delienn,жапырақ
134,Birke::N,bezvenn,қайың
135,Kiefer[Baum]::N,pinenn,қарағай
136,Weide[Baum]::N,halegenn,тал
137,Tanne::N,sapenn,шырша
138,Horn::N,korn,мүйіз
139,Feder::N,pluñv,қаламұш
