,Concept_ID,vep,mdf
0,Auge::N,sil'm,сельме
1,Ohr::N,korv,пиле
2,Nase::N,nena,шалхка
3,Mund::N,su,курга
4,Zahn::N,pi,пей
5,Zahn::N,hambaz,пей
6,Zunge::N,kel',кяль
7,Lippe::N,hul',търва́
8,Wange::N,modpolišk,щёка
9,Gesicht::N,mod,шама
10,Stirn::N,oc,коня
11,Haar::N,tuk,шя́ярь
12,Haar::N,hibuz,шя́ярь
13,Schnurrbart::N,habinod,уса́
14,Bart::N,bard,сакал
15,Kinn::N,löug,ула
16,Kiefer[Anatomie]::N,hambazlu,саласка
17,Kehle::N,kurk,кълдома
18,Kehle::N,kurk,кърга́парь
19,Hals::N,kagl,сялдаз
20,Genick::N,tagarai,шовонь
21,Kopf::N,pä,пря
22,Rücken::N,sel'g,копорь
23,Bauch::N,vac,пеке
24,Bauch::N,koht,пеке
25,Nabel::N,naba,по́кон
26,Busen::N,niža,потя
27,Brust::N,rind,мяште
28,Schulter::N,oug,лафту
29,Arm::N,käzi,кядь
30,Ellenbogen::N,künambruz,кенерьба́карь
31,Hand::N,käzi,кядь
32,Hand::N,käzitera,кядь
33,Handfläche::N,kämen,кядьлапш
34,Finger::N,sor'm,сур
35,Fingernagel::N,künz',кенже
36,Nagel[Anatomie]::N,künz',кенже
37,Zeh::N,barbaz,пильгосу́р
38,Fuß::N,jaug,пильге
39,Fuß::N,jaug,пильгелапа
40,Ferse::N,kand,кочкяря
41,Knie::N,komb,эль
42,Knie::N,komb,пълма́нжа
43,Knie::N,pol'v,эль
44,Knie::N,pol'v,пълма́нжа
45,Oberschenkel::N,riiže,пильгепукша
46,Bein::N,jaug,пильге
47,Körper::N,hibj,ро́нга
48,Körper::N,hibj,по́нда
49,Haut::N,nahk,киське
50,Blut::N,čak,вер
51,Blut::N,veri,вер
52,Ader::N,son',сан
53,Ader::N,son',верза́н
54,Sehne::N,jände,коське сан
55,Knochen::N,lu,пакарь
56,Gehirn::N,aivod,уй
57,Herz::N,südäin,седи
58,Magen::N,südäikoht,коткърдазь
59,Leber::N,maks,макса
60,Atem::N,hengaiduz,лекома
61,Atem::N,hengaiduz,ваймонь тарксема
62,Hunger::N,näl'g,вачеши
63,Träne::N,kündal',сельмове́дь
64,Geschmack::N,magu,таньф
65,Geruch::N,haju,шине
66,Schlaf::N,uni,удома́
67,Traum::N,unikuva,он
68,Himmel::N,taivaz,менель
69,Sonne::N,päiväine,ши
70,Mond::N,kudmaine,ков
71,Stern::N,tähtaz,тяште
72,Luft::N,il'm,кожф
73,Wind::N,döl,варма
74,Wind::N,tullei,варма
75,Welle::N,ald,тавла
76,Welle::N,laineh,тавла
77,Wasser::N,vezi,ведь
78,Stein::N,kivi,кев
79,Boden::N,ma,мода
80,Boden::N,ma,потмакс
81,Boden::N,pohj,мода
82,Boden::N,pohj,потмакс
83,Erde::N,ma,мода
84,Erde::N,ma,мастор
85,Staub::N,pölü,пуль
86,Rauch::N,savu,качам
87,Funke::N,kibin,ця́тка
88,Feuer::N,lämoi,тол
89,Licht::N,vauktuz,ва́лда
90,Schatten::N,pil'vez,цильф
91,Schatten::N,kuvahaine,цильф
92,Wetter::N,sä,уша
93,Nebel::N,sumeg,тума́н
94,Wolke::N,pil'v,ковол
95,Regen::N,vihm,пизем
96,Schnee::N,lumi,лов
97,Eis::N,jä,эй
98,Frost::N,hala,ке́льме
99,Frost::N,pakaine,ке́льме
100,Kälte::N,vilu,якшама
101,Hitze::N,räk,пси
102,Raureif::N,hüde,леш
103,Regenbogen::N,jumalanbembel',а́тямъёнга
104,Donner::N,juru,атям
105,Donner::N,jumalanjuru,атям
106,Strömung::N,joksmuz,шудема́
107,Tropfen::N,tilkuine,путькс
108,Tropfen::N,tilkuine,пътняфкс
109,Schaum::N,vaht,шов
110,Schmutz::N,redu,ърда́з
111,Schmutz::N,pačak,ърда́з
112,See::N,järv,эрьхке
113,Sumpf::N,so,шяй
114,Moor::N,so,шяй
115,Wiese::N,nit,луга
116,Wald::N,mec,вирь
117,Hügel::N,kukaz,губо́р
118,Hügel::N,kukaz,пандоня
119,Anhöhe::N,kukaz,губо́р
120,Berg::N,mägi,панда
121,Gipfel::N,ladv,пря
122,Höhle::N,mägionduz,у́нда
123,Abhang::N,paute,па́нда ша́ма
124,Quelle::N,lähte,эшиня
125,Bach::N,oja,шудерькс
126,Fluss::N,jogi,ляй
127,Ufer::N,rand,търва́
128,Küste::N,randišt,ляйтърва́
129,Festland::N,kuivma,мода
130,Meer::N,meri,моря
131,Bucht::N,laht,ведьуське
132,Insel::N,sar',цёнга
133,Blume::N,änik,панчф
134,Gras::N,hein,тише
135,Wurzel::N,jur',юр
136,Wurzel::N,jur',ункс
137,Baum::N,pu,шуфта
138,Stamm::N,tüvi,ро́нга
139,Rinde::N,kor',кер
140,Ast::N,oks,морга
141,Zweig::N,oks,тарад
142,Zweig::N,barb,тарад
143,Blatt::N,lehtez,лопа
144,Birke::N,koiv,ке́лу
145,Kiefer[Baum]::N,pedai,пиче
146,Weide[Baum]::N,raid,каль
147,Tanne::N,kuz',куз
148,Horn::N,sar'v,сюра
149,Feder::N,höuneh,толга
150,Fell::N,nahk,кедь
151,Flügel::N,suug,паця
152,Klaue::N,künz',кенже
153,Kralle::N,künz',кенже
154,Schwanz::N,händ,пула
155,Ei::N,muna,ал
156,Nest::N,peza,пиза
157,Bau::N,uru,пиза
158,Tier::N,živat,жува́та
159,Herde::N,kogo,нал
160,Herde::N,kogo,стада
161,Kuh::N,lehm,скал
162,Kuh::N,lehm,тракс
163,Bulle::N,härg,бука
164,Pferd::N,hebo,лишме
165,Schaf::N,lambaz,уча́
166,Schwein::N,siga,тува
167,Hund::N,koir,пине
168,Katze::N,kaži,катоня
169,Katze::N,kaži,аваката
170,Bär::N,kondi,офта
171,Eichhörnchen::N,orav,ур
172,Elch::N,hirb',ся́рда
173,Fuchs::N,reboi,келазь
174,Hase::N,jäniš,ну́мол
175,Maus::N,hir',шеер
176,Wolf::N,händikaz,върьгаз
177,Vogel::N,lind,нармонь
178,Schwarm::N,parveh,ко́вол
179,Schwarm::N,parveh,ме́швеле
180,Huhn::N,kana,сараз
181,Hahn::N,kukoi,а́тякш
182,Gans::N,hanh',маци
183,Adler::N,orl,куцькан
184,Ente::N,sorz,яксярга
185,Eule::N,hir'pulo,ко́рож
186,Kranich::N,kurg,ка́рга
187,Krähe::N,variš,ва́рси
188,Kuckuck::N,kägi,ку́ку
189,Schwan::N,joucen,ло́ксти
190,Fisch::N,kala,кал
191,Barsch::N,ahven,о́кунь
192,Hecht::N,haug',щу́ка
193,Schlange[Tier]::N,kü,куй
194,Schlange[Tier]::N,mado,куй
195,Wurm::N,mado,сукс
196,Spinne::N,hämähouk,унжа́
197,Ameise::N,murahaine,панжам
198,Laus::N,täi,си
199,Mücke::N,säs'k,ся́ське
200,Fliege::N,kärbhaine,кару
201,Schmetterling::N,lipkaine,ме́лав
202,Beere::N,marj,и́мож
203,Apfel::N,jablok,марь
204,Pilz::N,sen',панга
205,Pilz::N,babuk,панга
206,Zwiebel::N,lauk,шурьхкя́
207,Saat::N,semned,видьмот
208,Korn::N,jüvä,сёра
209,Korn::N,vill',сёра
210,Heu::N,hein,тише
211,Schale::N,kor',кедь
212,Grube::N,kop,лотка
213,Falle::N,rida,туфкс
214,Falle::N,rida,кунда́ма
215,Schlinge::N,rihm,килькш
216,Spur::N,jäl'g,пильгоки́
217,Asche::N,tuhk,кулу
218,Dreck::N,redu,ърда́з
219,Dreck::N,pačak,ърда́з
220,Eisen::N,raud,кшни
221,Gold::N,kuld,ока
222,Gold::N,kuld,золота
223,Silber::N,hobed,сия́
224,Kohle::N,hil',седь
225,Kohle::N,hil',седьвальмя
226,Glas::N,stökol,кля́нцек
227,Lehm::N,savi,сёвонь
228,Sand::N,lete,шува́р
229,Mensch::N,mez',ломань
230,Mensch::N,ristit,ломань
231,Mann::N,mez',аля
232,Mann::N,mez',цёраломань
233,Frau::N,naine,ава
234,Kind::N,laps',идь
235,Kind::N,laps',шаба
236,Junge::N,poig,цёраня
237,Junge::N,prihaine,цёраня
238,Mädchen::N,neičukaine,стирня́
239,Familie::N,kanz,тнал
240,Familie::N,kanz,семья
241,Familie::N,pereh,тнал
242,Familie::N,pereh,семья
243,Großvater::N,ded,атя
244,Großvater::N,ded,щя́тя
245,Großmutter::N,bab,баба
246,Eltern::N,vanhembad,тя́дят-а́лят
247,Eltern::N,kazvatajad,тя́дят-а́лят
248,Vater::N,tat,аля
249,Mutter::N,mam,ава
250,Mutter::N,mam,тядя
251,Sohn::N,poig,цёра
252,Tochter::N,tütär,стирь
253,Bruder::N,veik,дуган
254,Bruder::N,veik,пяльне
255,Bruder::N,vell',дуган
256,Bruder::N,vell',пяльне
257,Schwester::N,čiža,ака
