,Concept_ID,da,fa
0,Auge::N,øje,چشم
1,Ohr::N,øre,گوش
2,Nase::N,næse,بینی
3,Mund::N,mund,دهان
4,Zahn::N,tand,دندان
5,Zunge::N,tunge,زبان
6,Lippe::N,læbe,لب
7,Wange::N,kind,لپ
8,Gesicht::N,ansigt,رو
9,Gesicht::N,ansigt,چهره
10,Stirn::N,pande,پیشانی
11,Haar::N,hår,مو
12,Schnurrbart::N,overskæg,سبیل
13,Bart::N,skæg,ریش
14,Kinn::N,hage,چانه
15,Kiefer[Anatomie]::N,kæbe,فک
16,Kiefer[Anatomie]::N,kæbe,آرواره
17,Kehle::N,strube,حلق
18,Hals::N,hals,گردن
19,Genick::N,nakke,پشت گردن
20,Kopf::N,hoved,سر
21,Kopf::N,hoved,کله
22,Rücken::N,ryg,پشت
23,Bauch::N,mave,شکم
24,Nabel::N,navle,ناف
25,Busen::N,barm,پستان
26,Brust::N,bryst,سینه
27,Schulter::N,skulder,دوش
28,Schulter::N,skulder,شانه
29,Arm::N,arm,بازو
30,Ellenbogen::N,albue,آرنج
31,Hand::N,hånd,دست
32,Handfläche::N,håndflade,کف دست
33,Finger::N,finger,انگشت
34,Fingernagel::N,fingernegl,ناخن دست
35,Nagel[Anatomie]::N,negl,ناخن
36,Zeh::N,tå,انگشت پا
37,Fuß::N,fod,پا
38,Ferse::N,hæl,پاشنه
39,Knie::N,knæ,زانو
40,Oberschenkel::N,lår,ران
41,Bein::N,ben,پا
42,Bein::N,ben,لنگ
43,Körper::N,krop,تن
44,Körper::N,krop,بدن
45,Körper::N,legeme,تن
46,Körper::N,legeme,بدن
47,Haut::N,hud,پوست
48,Blut::N,blod,خون
49,Ader::N,åre,رگ
50,Sehne::N,sene,زردپی
51,Knochen::N,ben,استخوان
52,Gehirn::N,hjerne,مخ
53,Gehirn::N,hjerne,مغز
54,Herz::N,hjerte,دل
55,Herz::N,hjerte,قلب
56,Magen::N,mave,معده
57,Leber::N,lever,کبد
58,Atem::N,ånde,نفس
59,Hunger::N,sult,گرسنگی
60,Träne::N,tåre,اشک
61,Geschmack::N,smag,مزه
62,Geruch::N,lugt,بو
63,Schlaf::N,søvn,خواب
64,Traum::N,drøm,رؤیا
65,Himmel::N,himmel,فلک
66,Himmel::N,himmel,آسمان
67,Sonne::N,sol,آفتاب
68,Sonne::N,sol,خورشید
69,Mond::N,måne,ماه
70,Stern::N,stjerne,ستاره
71,Luft::N,luft,هوا
72,Wind::N,vind,باد
73,Welle::N,bølge,موج
74,Wasser::N,vand,آب
75,Stein::N,sten,سنگ
76,Boden::N,jord,زمین
77,Erde::N,jord,خاک
78,Erde::N,jord,زمین
79,Staub::N,støv,گرد
80,Staub::N,støv,غبار
81,Rauch::N,røg,دود
82,Funke::N,gnist,جرقه
83,Feuer::N,ild,آتش
84,Licht::N,lys,نور
85,Licht::N,lys,روشنی
86,Schatten::N,skygge,سایه
87,Wetter::N,vejr,هوا
88,Nebel::N,tåge,مه
89,Wolke::N,sky,ابر
90,Regen::N,regn,باران
91,Schnee::N,sne,برف
92,Eis::N,is,یخ
93,Frost::N,frost,یخبندان
94,Kälte::N,kulde,سرما
95,Hitze::N,hede,گرما
96,Hitze::N,hede,حرارت
97,Raureif::N,rimfrost,برف ریزه
98,Regenbogen::N,regnbue,رنگین‌کمان
99,Donner::N,torden,رعد
100,Strömung::N,strømning,جریان
101,Tropfen::N,dråbe,قطره
102,Schaum::N,skum,کف
103,Schmutz::N,snavs,گل
104,Schmutz::N,snavs,کثافت
105,See::N,sø,دریاچه
106,Sumpf::N,sump,مرداب
107,Sumpf::N,sump,باتلاق
108,Moor::N,mose,باتلاق
109,Wiese::N,eng,چمن
110,Wald::N,skov,جنگل
111,Hügel::N,høj,تل
112,Hügel::N,høj,تپه
113,Hügel::N,bakke,تل
114,Hügel::N,bakke,تپه
115,Anhöhe::N,høj,بلندی
116,Anhöhe::N,bakke,بلندی
117,Berg::N,bjerg,کوه
118,Gipfel::N,top,قله
119,Höhle::N,hule,غار
120,Abhang::N,skrænt,سرازیری
121,Abhang::N,skråning,سرازیری
122,Quelle::N,kilde,چشمه
123,Bach::N,bæk,نهر
124,Fluss::N,flod,رود
125,Ufer::N,bred,ساحل
126,Ufer::N,bred,کرانه
127,Küste::N,kyst,ساحل
128,Festland::N,fastland,خشکی
129,Meer::N,hav,دریا
130,Bucht::N,bugt,خلیج
131,Insel::N,ø,جزیره
132,Blume::N,blomst,گل
133,Gras::N,græs,علف
134,Wurzel::N,rod,ریشه
