,Concept_ID,ar,se
0,Auge::N,عين,tjelmie
1,Auge::N,عين,tjalmme
2,Auge::N,عين,čalbmi
3,Auge::N,عين,čalme
4,Auge::N,عين,čâ´lmm
5,Auge::N,عين,ча̄лльм
6,Ohr::N,أذن,bieljie
7,Ohr::N,أذن,biellje
8,Ohr::N,أذن,beallji
9,Ohr::N,أذن,pelji
10,Ohr::N,أذن,pe´llj
11,Ohr::N,أذن,пе̄лльй
12,Nase::N,أنف,njuenie
13,Nase::N,أنف,njunnje
14,Nase::N,أنف,njunni
15,Nase::N,أنف,njuṇe
16,Nase::N,أنف,njuu´nn
17,Nase::N,أنف,нюннҍ
18,Mund::N,فم,njaelmie
19,Mund::N,فم,njálmme
20,Mund::N,فم,njálbmi
21,Mund::N,فم,njälmi
22,Mund::N,فم,njä´lmm
23,Mund::N,فم,ня̄лльм
24,Zahn::N,سن,baenie
25,Zahn::N,سن,bádne
26,Zahn::N,سن,bátni
27,Zahn::N,سن,pääṇi
28,Zahn::N,سن,pää´nn
29,Zahn::N,سن,па̄ннҍ
30,Zunge::N,لسان,njoektjeme
31,Zunge::N,لسان,njuovtjav
32,Zunge::N,لسان,njuovčča
33,Zunge::N,لسان,njuovčâ
34,Zunge::N,لسان,njuhččâm
35,Zunge::N,لسان,нюхчем
36,Lippe::N,شفة,bangseme
37,Lippe::N,شفة,njálmmerabdda
38,Lippe::N,شفة,bavssa
39,Lippe::N,شفة,poovsâ
40,Lippe::N,شفة,põõus
41,Lippe::N,شفة,пэ̄кс
42,Wange::N,خد,skiehrie
43,Wange::N,خد,nierra
44,Wange::N,خد,muohtu
45,Wange::N,خد,nieṛâ
46,Wange::N,خد,njiõrr
47,Wange::N,خد,нӣрр
48,Wange::N,وجنة,skiehrie
49,Wange::N,وجنة,nierra
50,Wange::N,وجنة,muohtu
51,Wange::N,وجنة,nieṛâ
52,Wange::N,وجنة,njiõrr
53,Wange::N,وجنة,нӣрр
54,Gesicht::N,وجه,ååredæjja
55,Gesicht::N,وجه,muohto
56,Gesicht::N,وجه,muođut
57,Gesicht::N,وجه,ámadadju
58,Gesicht::N,وجه,muáđuh
59,Gesicht::N,وجه,muâđ
60,Gesicht::N,وجه,ка̄ссв
61,Stirn::N,جبين,gaalloe
62,Stirn::N,جبين,gállo
63,Stirn::N,جبين,gállu
64,Stirn::N,جبين,kállu
65,Stirn::N,جبين,käll
66,Stirn::N,جبين,вуэххьц
