,Concept_ID,se,en
0,Auge::N,tjelmie,eye
1,Auge::N,tjalmme,eye
2,Auge::N,čalbmi,eye
3,Auge::N,čalme,eye
4,Auge::N,čâ´lmm,eye
5,Auge::N,ча̄лльм,eye
6,Ohr::N,bieljie,ear
7,Ohr::N,biellje,ear
8,Ohr::N,beallji,ear
9,Ohr::N,pelji,ear
10,Ohr::N,pe´llj,ear
11,Ohr::N,пе̄лльй,ear
12,Nase::N,njuenie,nose
13,Nase::N,njunnje,nose
14,Nase::N,njunni,nose
15,Nase::N,njuṇe,nose
16,Nase::N,njuu´nn,nose
17,Nase::N,нюннҍ,nose
18,Mund::N,njaelmie,mouth
19,Mund::N,njálmme,mouth
20,Mund::N,njálbmi,mouth
21,Mund::N,njälmi,mouth
22,Mund::N,njä´lmm,mouth
23,Mund::N,ня̄лльм,mouth
24,Zahn::N,baenie,tooth
25,Zahn::N,bádne,tooth
26,Zahn::N,bátni,tooth
27,Zahn::N,pääṇi,tooth
28,Zahn::N,pää´nn,tooth
29,Zahn::N,па̄ннҍ,tooth
30,Zunge::N,njoektjeme,tongue
31,Zunge::N,njuovtjav,tongue
32,Zunge::N,njuovčča,tongue
33,Zunge::N,njuovčâ,tongue
34,Zunge::N,njuhččâm,tongue
35,Zunge::N,нюхчем,tongue
36,Lippe::N,bangseme,lip
37,Lippe::N,njálmmerabdda,lip
38,Lippe::N,bavssa,lip
39,Lippe::N,poovsâ,lip
40,Lippe::N,põõus,lip
41,Lippe::N,пэ̄кс,lip
42,Wange::N,skiehrie,cheek
43,Wange::N,nierra,cheek
44,Wange::N,muohtu,cheek
45,Wange::N,nieṛâ,cheek
46,Wange::N,njiõrr,cheek
47,Wange::N,нӣрр,cheek
48,Gesicht::N,ååredæjja,face
49,Gesicht::N,muohto,face
50,Gesicht::N,muođut,face
51,Gesicht::N,ámadadju,face
52,Gesicht::N,muáđuh,face
53,Gesicht::N,muâđ,face
54,Gesicht::N,ка̄ссв,face
55,Stirn::N,gaalloe,forehead
56,Stirn::N,gállo,forehead
57,Stirn::N,gállu,forehead
58,Stirn::N,kállu,forehead
59,Stirn::N,käll,forehead
60,Stirn::N,вуэххьц,forehead
61,Haar::N,voepte,hair
62,Haar::N,vuoppta,hair
63,Haar::N,vuokta,hair
64,Haar::N,vuop'tâ,hair
65,Haar::N,vuõpt,hair
66,Haar::N,вӯппт,hair
67,Schnurrbart::N,bijjie-skaavtjoe,moustache
68,Schnurrbart::N,njunjevuolskávttjá,moustache
69,Schnurrbart::N,seamu,moustache
70,Schnurrbart::N,siämu,moustache
71,Schnurrbart::N,ää´bben,moustache
72,Schnurrbart::N,о̄а̄бпан,moustache
73,Bart::N,skaavtja,beard
74,Bart::N,skaavtjoe,beard
75,Bart::N,skávttjá,beard
76,Bart::N,seamu,beard
77,Bart::N,siämu,beard
78,Bart::N,seäm,beard
79,Bart::N,ся̄м,beard
80,Kinn::N,gaejpie,chin
81,Kinn::N,gájbbe,chin
82,Kinn::N,gáibi,chin
83,Kinn::N,käibi,chin
84,Kinn::N,käi´bb,chin
85,Kinn::N,ка̄ййп,chin
86,Kiefer[Anatomie]::N,gaejpie,jaw
87,Kiefer[Anatomie]::N,oalol,jaw
88,Kiefer[Anatomie]::N,oaloldákte,jaw
89,Kiefer[Anatomie]::N,gáibi,jaw
90,Kiefer[Anatomie]::N,uá'lultähti,jaw
91,Kiefer[Anatomie]::N,vuâl'lõš,jaw
92,Kiefer[Anatomie]::N,вуаллнешш,jaw
93,Kehle::N,gealoe,throat
94,Kehle::N,tjåttå,throat
95,Kehle::N,njiello,throat
96,Kehle::N,čotta,throat
97,Kehle::N,čuudâ,throat
98,Kehle::N,čoodd,throat
99,Kehle::N,чонт,throat
100,Kehle::N,кэ̄ҏс,throat
101,Hals::N,tjeapohke,neck
102,Hals::N,tjiebet,neck
103,Hals::N,čeabet,neck
104,Hals::N,čiäppát,neck
105,Hals::N,čeäppat,neck
106,Hals::N,ча̄пэх,neck
107,Genick::N,tjovrese,nape
108,Genick::N,nisske,nape
109,Genick::N,niehkki,nape
110,Genick::N,niski,nape
111,Genick::N,niek'ki,nape
112,Genick::N,nji´šǩǩmaadd,nape
113,Genick::N,нышшькмоант,nape
114,Kopf::N,åejjie,head
115,Kopf::N,oajvve,head
116,Kopf::N,oaivi,head
117,Kopf::N,uái'vi,head
118,Kopf::N,vuei´vv,head
119,Kopf::N,вуэййв,head
120,Rücken::N,rudtje,back
121,Rücken::N,rudtje,spine
122,Rücken::N,hárddo,back
123,Rücken::N,hárddo,spine
124,Rücken::N,tjavelk,back
125,Rücken::N,tjavelk,spine
126,Rücken::N,sealgi,back
127,Rücken::N,sealgi,spine
128,Rücken::N,selgi,back
129,Rücken::N,selgi,spine
130,Rücken::N,čielgi,back
131,Rücken::N,čielgi,spine
132,Rücken::N,seä´lǧǧ,back
133,Rücken::N,seä´lǧǧ,spine
134,Rücken::N,се̄лльк,back
135,Rücken::N,се̄лльк,spine
136,Bauch::N,tjåejjie,belly
137,Bauch::N,tjoajvve,belly
138,Bauch::N,čoavji,belly
139,Bauch::N,čuáv'ji,belly
140,Bauch::N,čåu´jj,belly
141,Bauch::N,чо̄ввьй,belly
142,Nabel::N,naepie,navel
143,Nabel::N,náhpe,navel
144,Nabel::N,náhpi,navel
145,Nabel::N,nääpi,navel
146,Nabel::N,nää´pp,navel
147,Nabel::N,на̄бпь,navel
148,Busen::N,boenge,bosom
149,Busen::N,bållå,bosom
150,Busen::N,čižži,bosom
151,Busen::N,njamma,bosom
152,Busen::N,njižže,bosom
153,Busen::N,nje´ǯǯ,bosom
154,Busen::N,раннҍт,bosom
155,Brust::N,mïelke,chest
156,Brust::N,mïelke,breast
157,Brust::N,radde,chest
158,Brust::N,radde,breast
159,Brust::N,mielgga,chest
160,Brust::N,mielgga,breast
161,Brust::N,raddi,chest
162,Brust::N,raddi,breast
163,Brust::N,radde,chest
164,Brust::N,radde,breast
165,Brust::N,râ´dd,chest
166,Brust::N,râ´dd,breast
167,Brust::N,раннҍт,chest
168,Brust::N,раннҍт,breast
169,Schulter::N,åelkie,shoulder
170,Schulter::N,oalgge,shoulder
171,Schulter::N,hárdu,shoulder
172,Schulter::N,ärdee,shoulder
173,Schulter::N,uál'gi,shoulder
174,Schulter::N,a´rddi,shoulder
175,Schulter::N,vuä´lǧǧ,shoulder
176,Schulter::N,вуэллык,shoulder
177,Arm::N,gïete,arm
178,Arm::N,giehta,arm
179,Arm::N,giehta,arm
180,Arm::N,kietâ,arm
181,Arm::N,kie'tâkaaṿâ,arm
182,Arm::N,ǩiõtt,arm
183,Arm::N,кӣдт,arm
184,Ellenbogen::N,gernjere,elbow
185,Ellenbogen::N,garŋŋel,elbow
186,Ellenbogen::N,gargŋil,elbow
187,Ellenbogen::N,käŋŋir,elbow
188,Ellenbogen::N,kõõnjâr,elbow
189,Ellenbogen::N,карьнэль,elbow
190,Hand::N,gïete,hand
191,Hand::N,giehta,hand
192,Hand::N,giehta,hand
193,Hand::N,kietâ,hand
194,Hand::N,ǩiõtt,hand
195,Hand::N,кӣдт,hand
196,Handfläche::N,gïeten-låapoe,palm
197,Handfläche::N,giehtavuodo,palm
