,Concept_ID,ro,ru
0,Auge::N,ochi,глаз
1,Ohr::N,ureche,ухо
2,Nase::N,nas,нос
3,Mund::N,gură,рот
4,Zahn::N,dinte,зуб
5,Zunge::N,limbă,язык
6,Lippe::N,buză,губа
7,Wange::N,bucă,щека
8,Wange::N,obraz,щека
9,Gesicht::N,față,лицо
10,Gesicht::N,figură,лицо
11,Stirn::N,frunte,лоб
12,Haar::N,păr,волос
13,Haar::N,păr,волосы
14,Schnurrbart::N,mustață,ус
15,Schnurrbart::N,mustață,усы
16,Bart::N,barbă,борода
17,Kinn::N,bărbie,подбородок
18,Kiefer[Anatomie]::N,falcă,челюсть
19,Kehle::N,beregată,горло
20,Hals::N,gât,шея
21,Genick::N,ceafă,затылок
22,Kopf::N,cap,голова
23,Rücken::N,dos,спина
24,Rücken::N,spate,спина
25,Rücken::N,spinare,спина
26,Bauch::N,burtă,живот
27,Bauch::N,pântece,живот
28,Nabel::N,buric,пупок
29,Busen::N,sân,женская грудь
30,Brust::N,piept,грудь
31,Schulter::N,umăr,плечо
32,Schulter::N,spate,плечо
33,Arm::N,braț,рука
34,Ellenbogen::N,cot,локоть
35,Hand::N,mână,кисть
36,Handfläche::N,palmă,ладонь
37,Finger::N,deget,палец
38,Fingernagel::N,unghie,ноготь
39,Nagel[Anatomie]::N,unghie,ноготь
40,Zeh::N,deget de la picior,палец
41,Fuß::N,picior,ступня
42,Ferse::N,călcâi,пята
43,Ferse::N,călcâi,пятка
44,Knie::N,genunchi,колено
45,Oberschenkel::N,coapsă,бедро
46,Bein::N,picior,нога
47,Körper::N,corp,тело
48,Haut::N,piele,кожа
49,Blut::N,sânge,кровь
50,Ader::N,vână,вена
51,Ader::N,vână,сосуд
52,Ader::N,arteră,вена
53,Ader::N,arteră,сосуд
54,Sehne::N,tendon,жила
55,Sehne::N,tendon,тетива
56,Sehne::N,tendon,сухожилие
57,Knochen::N,os,кость
58,Gehirn::N,creier,мозг
59,Herz::N,inimă,сердце
60,Magen::N,stomac,желудок
61,Leber::N,ficat,печень
62,Atem::N,răsuflare,дух
63,Atem::N,răsuflare,дыхание
64,Atem::N,respirație,дух
65,Atem::N,respirație,дыхание
66,Hunger::N,foame,голод
67,Träne::N,lacrimă,слеза
68,Geschmack::N,gust,вкус
69,Geruch::N,miros,запах
70,Schlaf::N,somn,сон
71,Traum::N,vis,сновидение
72,Himmel::N,cer,небо
73,Sonne::N,soare,солнце
74,Mond::N,lună,луна
75,Stern::N,stea,звезда
76,Luft::N,aer,воздух
77,Wind::N,vânt,ветер
78,Welle::N,val,волна
79,Welle::N,undă,волна
80,Wasser::N,apă,вода
81,Stein::N,piatră,камень
82,Boden::N,sol,почва
83,Boden::N,pământ,почва
84,Erde::N,pământ,земля
85,Staub::N,praf,пыль
86,Rauch::N,fum,дым
87,Funke::N,scânteie,искра
88,Feuer::N,foc,огонь
89,Licht::N,lumină,свет
90,Schatten::N,umbră,тень
91,Wetter::N,timp,погода
92,Wetter::N,vreme,погода
93,Nebel::N,ceață,туман
94,Nebel::N,negură,туман
95,Wolke::N,nor,облако
96,Regen::N,ploaie,дождь
97,Schnee::N,zăpadă,снег
98,Eis::N,gheață,лед
99,Frost::N,ger,мороз
100,Kälte::N,frig,холод
101,Hitze::N,arșiță,жара
102,Hitze::N,căldură,жара
103,Raureif::N,chiciură,иней
104,Regenbogen::N,curcubeu,радуга
105,Donner::N,tunet,гром
106,Strömung::N,curent,течение
107,Tropfen::N,picătură,капля
108,Schaum::N,spumă,пена
109,Schmutz::N,murdărie,грязь
110,See::N,lac,озеро
111,Sumpf::N,mlaștină,топь
112,Moor::N,bărăgan,болото
113,Wiese::N,fânaț,луг
114,Wiese::N,livadă,луг
115,Wald::N,codru,лес
116,Wald::N,pădure,лес
117,Hügel::N,deal,холм
118,Hügel::N,movilă,холм
119,Anhöhe::N,deal,возвышенность
120,Anhöhe::N,ridicătură,возвышенность
121,Berg::N,munte,гора
122,Gipfel::N,pisc,вершина
123,Höhle::N,peșteră,пещера
124,Abhang::N,pantă,склон
125,Abhang::N,versant,склон
126,Quelle::N,izvor,источник
127,Bach::N,gârlă,ручей
128,Fluss::N,râu,река
129,Fluss::N,fluviu,река
130,Ufer::N,mal,берег
131,Ufer::N,țărm,берег
132,Küste::N,coastă,побережье
133,Festland::N,uscat,суша
134,Meer::N,mare,море
135,Bucht::N,golf,бухта
136,Insel::N,insulă,остров
137,Blume::N,floare,цветок
138,Gras::N,iarbă,трава
139,Wurzel::N,rădăcină,корень
140,Baum::N,copac,дерево
141,Baum::N,arbore,дерево
142,Stamm::N,tulpină,ствол
143,Rinde::N,scoarță,кора
144,Ast::N,cracă,сук
145,Ast::N,creangă,сук
146,Zweig::N,ramură,ветвь
147,Zweig::N,creangă,ветвь
148,Blatt::N,frunză,лист
149,Birke::N,mesteacăn,береза
150,Kiefer[Baum]::N,pin,сосна
151,Weide[Baum]::N,salcie,ива
152,Weide[Baum]::N,răchită,ива
153,Tanne::N,brad,ель
154,Horn::N,corn,рог
155,Feder::N,pană,перо
156,Fell::N,piele,шкура
157,Flügel::N,aripă,крыло
158,Klaue::N,gheară,коготь
159,Kralle::N,labă,лапа
160,Kralle::N,gheară,лапа
161,Schwanz::N,coadă,хвост
162,Ei::N,ou,яйцо
163,Nest::N,cuib,гнездо
164,Bau::N,bârlog,нора
165,Bau::N,vizuină,нора
166,Tier::N,animal,животное
167,Herde::N,turmă,стадо
168,Herde::N,cireadă,стадо
169,Kuh::N,vacă,корова
170,Bulle::N,taur,бык
171,Pferd::N,cal,лошадь
172,Schaf::N,oaie,овца
173,Schwein::N,porc,свинья
174,Hund::N,câine,собака
175,Katze::N,pisică,кошка
176,Bär::N,urs,медведь
177,Eichhörnchen::N,veveriță,белка
178,Elch::N,elan,лось
179,Fuchs::N,vulpe,лиса
180,Hase::N,iepure,заяц
181,Maus::N,șoarece,мышь
182,Wolf::N,lup,волк
183,Vogel::N,pasăre,птица
184,Schwarm::N,cârd,стая
185,Huhn::N,găină,курица
186,Hahn::N,cocoș,петух
187,Gans::N,gâscă,гусь
188,Adler::N,vultur,орел
189,Ente::N,rață,утка
190,Eule::N,bufniță,сова
191,Kranich::N,cocor,журавль
192,Krähe::N,cioară,ворона
193,Kuckuck::N,cuc,кукушка
194,Schwan::N,lebădă,лебедь
195,Fisch::N,pește,рыба
196,Barsch::N,biban,окунь
197,Hecht::N,știucă,щука
198,Schlange[Tier]::N,șarpe,змея
199,Wurm::N,vierme,червяк
200,Spinne::N,păianjen,паук
201,Ameise::N,furnică,муравей
202,Laus::N,păduche,вошь
203,Mücke::N,țânțar,комар
204,Fliege::N,muscă,муха
205,Schmetterling::N,fluture,бабочка
206,Beere::N,boabă,ягода
207,Apfel::N,măr,яблоко
208,Pilz::N,burete,гриб
209,Pilz::N,ciupercă,гриб
210,Zwiebel::N,ceapă,луковица
211,Saat::N,semănătură,семя
212,Korn::N,grâu,зерно
213,Heu::N,fân,сено
214,Schale::N,coajă,шелуха
215,Grube::N,groapă,яма
216,Falle::N,cursă,ловушка
217,Falle::N,capcană,ловушка
218,Schlinge::N,laț,силок
219,Spur::N,dâră,след
220,Asche::N,cenușă,зола
221,Asche::N,cenușă,пепел
222,Dreck::N,noroi,грязь
223,Dreck::N,murdărie,грязь
224,Eisen::N,fier,железо
225,Gold::N,aur,золото
226,Silber::N,argint,серебро
227,Kohle::N,cărbune,уголь
228,Glas::N,sticlă,стекло
229,Lehm::N,lut,глина
230,Lehm::N,humă,глина
231,Sand::N,nisip,песок
232,Mensch::N,om,человек
233,Mensch::N,persoană,человек
234,Mann::N,om,мужчина
235,Mann::N,bărbat,мужчина
236,Frau::N,femeie,женщина
237,Kind::N,copil,ребенок
238,Junge::N,băiat,мальчик
239,Junge::N,flăcău,мальчик
240,Mädchen::N,fată,девочка
241,Familie::N,familie,семья
242,Großvater::N,bunic,дедушка
243,Großvater::N,tată mare,дедушка
244,Großmutter::N,bunică,бабушка
245,Großmutter::N,mamă mare,бабушка
246,Eltern::N,părinți,родители
247,Vater::N,tată,отец
248,Vater::N,părinte,отец
249,Mutter::N,mamă,мать
250,Sohn::N,fiu,сын
251,Sohn::N,fecior,сын
252,Tochter::N,fiică,дочь
253,Bruder::N,frate,брат
254,Schwester::N,soră,сестра
255,Onkel::N,unchi,дядя
256,Tante::N,mătușă,тетя
257,Ehemann::N,soț,муж
258,Ehemann::N,bărbat,муж
259,Ehefrau::N,soție,жена
260,Freude::N,bucurie,радость
261,Gelächter::N,râset,смех
262,Glück::N,fericire,счастье
263,Kummer::N,mâhnire,горе
264,Wunsch::N,dorință,желание
265,Wunsch::N,deziderat,желание
266,Lust::N,poftă,влечение
267,Lust::N,înclinare,влечение
268,Geist::N,duh,дух
269,Geist::N,minte,дух
270,Geist::N,suflet,дух
271,Gedanke::N,gând,мысль
272,Gedanke::N,cuget,мысль
273,Gedächtnis::N,memorie,память
274,Verstand::N,minte,ум
275,Verstand::N,intelect,ум
276,Sinn::N,sens,смысл
277,Sinn::N,înțeles,смысл
278,Grund::N,cauză,повод
279,Grund::N,pricină,повод
280,Wahrheit::N,adevăr,правда
281,Gespräch::N,convorbire,беседа
282,Gespräch::N,conversație,беседа
283,Märchen::N,basm,сказка
284,Märchen::N,poveste,сказка
285,Erzählung::N,poveste,рассказ
286,Nachricht::N,veste,сообщение
287,Neuigkeit::N,noutate,новость
288,Neuigkeit::N,actualitate,новость
289,Name::N,nume,имя
290,Rätsel::N,ghicitoare,загадка
291,Rede::N,discurs,речь
292,Sprache::N,limbă,язык
293,Sprache::N,limbaj,язык
294,Stimme::N,glas,голос
295,Wort::N,cuvânt,слово
296,Zeichen::N,semn,знак
297,Zeichen::N,semnal,знак
298,Ruf::N,chemare,зов
299,Lärm::N,zgomot,шум
300,Lärm::N,tărăboi,шум
301,Laut::N,sunet,звук
302,Ton::N,ton,звучание
303,Lied::N,cântec,песня
304,Ruhe::N,odihnă,покой
305,Ruhe::N,liniște,покой
306,Leute::N,lume,люди
307,Leute::N,oameni,люди
308,Volk::N,popor,народ
309,Volk::N,națiune,народ
310,Arbeit::N,lucru,работа
311,Gast::N,musafir,гость
312,Geschenk::N,dar,подарок
313,Geschenk::N,cadou,подарок
314,Spiel::N,joc,игра
315,Gesellschaft::N,societate,общество
316,Hilfe::N,ajutor,помощь
317,Freund::N,amic,друг
318,Freund::N,prieten,друг
319,Kamerad::N,tovarăș,приятель
320,Angelegenheit::N,afacere,дело
321,Anzahl::N,număr,количество
322,Anzahl::N,cantitate,количество
323,Art::N,fel,вид
324,Art::N,specie,вид
325,Stück::N,bucată,кусок
326,Teil::N,parte,часть
327,Teil::N,porție,часть
328,Hälfte::N,jumătate,половина
329,Kreis::N,cerc,круг
