,Concept_ID,te,tr
0,Auge::N,కన్ను,göz
1,Ohr::N,చెవి,kulak
2,Nase::N,ముక్కు,burun
3,Mund::N,నోరు,ağız
4,Zahn::N,పల్లు,diş
5,Zunge::N,నాలుక,dil
6,Lippe::N,పెదవి,dudak
7,Wange::N,చెంప,yanak
8,Gesicht::N,ముఖము,yüz
9,Stirn::N,నుదురు,alın
10,Haar::N,వెండ్రుక,saç
11,Schnurrbart::N,మీసము,bıyık
12,Bart::N,గడ్డము,sakal
13,Kinn::N,గడ్డము,çene
14,Kiefer[Anatomie]::N,దౌడ,çene
15,Kehle::N,గొంతు,boğaz
16,Hals::N,మెడ,boyun
17,Hals::N,మెడ,gerdan
18,Genick::N,మూపు,ense
19,Kopf::N,తల,baş
20,Kopf::N,తల,kafa
21,Rücken::N,వెన్ను,arka
22,Bauch::N,కడుపు,karın
23,Nabel::N,బొడ్డు,göbek
24,Busen::N,స్తనము,koyun
25,Brust::N,ఱొమ్ము,göğüs
26,Schulter::N,భుజము,omuz
27,Arm::N,చేయి,kol
28,Ellenbogen::N,మోచేయి,dirsek
29,Hand::N,చేయి,el
30,Handfläche::N,అరచేయు,avuç
31,Handfläche::N,అరచేయు,el ayası
32,Finger::N,చేతిప్రేలు,parmak
33,Fingernagel::N,గోరు,el tırnağı
34,Nagel[Anatomie]::N,గోరు,tırnak
35,Zeh::N,కాలిప్రేలు,ayak parmağı
36,Fuß::N,అడుగు,ayak
37,Ferse::N,మడమ,topuk
38,Knie::N,మోకాలు,diz
39,Oberschenkel::N,తొడ,uyluk
40,Bein::N,కాలు,bacak
41,Körper::N,కాయము,vücut
42,Haut::N,చర్మము,cilt
43,Blut::N,రక్తము,kan
44,Ader::N,సిర,damar
45,Sehne::N,స్నాయువు,kiriş
46,Knochen::N,ఎముక,kemik
47,Gehirn::N,మెదడు,beyin
48,Herz::N,హృదయము,kalp
49,Herz::N,హృదయము,yürek
50,Magen::N,కడుపు,mide
51,Leber::N,కాలేయము,karaciğer
52,Atem::N,ఉపిరి,nefes
53,Hunger::N,ఆకలి,açlık
54,Träne::N,కన్నీటిచుక్క,gözyaşı
55,Geschmack::N,రుచి,tat
56,Geschmack::N,రుచి,lezzet
57,Geruch::N,వాసన,koku
58,Schlaf::N,నిద్ర,uyku
59,Traum::N,కల,düş
60,Traum::N,కల,rüya
61,Himmel::N,ఆకాశము,gök
62,Sonne::N,సూర్యుడు,güneş
63,Mond::N,చంద్రుడు,ay
64,Stern::N,నక్షత్రము,yıldız
65,Luft::N,గాలి,hava
66,Wind::N,వీచుచున్నగాలి,yel
67,Wind::N,వీచుచున్నగాలి,rüzgâr
68,Welle::N,అల,dalga
69,Wasser::N,నీరు,su
70,Stein::N,ఱాయి,taş
71,Boden::N,నేల,yer
72,Boden::N,నేల,zemin
73,Erde::N,మన్ను,toprak
74,Staub::N,దుమ్ము,toz
75,Rauch::N,పొగ,duman
76,Funke::N,అగ్నికణము,kıvılcım
77,Feuer::N,అగ్ని,ateş
78,Licht::N,కాంతి,ışık
79,Schatten::N,నీడ,gölge
80,Wetter::N,వాతావరణ స్థితి,hava
81,Nebel::N,పొగమంచు,pus
82,Wolke::N,మేఘము,bulut
83,Regen::N,వాన,yağmur
84,Schnee::N,హిమము,kar
85,Eis::N,మంచుగడ్డ,buz
86,Frost::N,పేరిన మంచు,don
87,Kälte::N,చలి,soğukluk
88,Hitze::N,వేడిమి,sıcaklık
89,Raureif::N,మంచు,kırç
90,Regenbogen::N,ఇంద్రధనుస్సు,gökkuşağı
91,Donner::N,ఉరుము,gök gürlemesi
92,Strömung::N,ప్రవాహము,akıntı
93,Strömung::N,ప్రవాహము,cereyan
94,Tropfen::N,చుక్క,damla
95,Schaum::N,నురుగు,köpük
96,Schmutz::N,మైల,çamur
97,Schmutz::N,మైల,pislik
98,See::N,సరస్సు,göl
99,Sumpf::N,చిత్తడినేల,batak
100,Moor::N,చిత్తడినేల,cılgıt
101,Wiese::N,పచ్చిక బయలు,çimen
102,Wald::N,అడవి,koru
103,Wald::N,అడవి,orman
104,Hügel::N,చివ్నకొండ,tepe
105,Anhöhe::N,కొండ,tümsek
106,Anhöhe::N,కొండ,yükseklik
107,Berg::N,పర్వతము,dağ
108,Gipfel::N,శిఖరము,zirve
109,Höhle::N,గుహ,in
110,Höhle::N,గుహ,mağara
111,Abhang::N,ఏటవాలు,bayır
112,Quelle::N,మూలము,pınar
113,Quelle::N,మూలము,kaynak
114,Bach::N,కాలువ,çay
115,Bach::N,కాలువ,dere
116,Fluss::N,నది,nehir
117,Ufer::N,తీరము,kıyı
118,Ufer::N,తీరము,sahil
119,Küste::N,తీరము,kıyı
120,Küste::N,తీరము,sahil
121,Festland::N,భూమి,kara
122,Meer::N,సముద్రము,deniz
123,Bucht::N,మరుగు,koy
124,Bucht::N,మరుగు,körfez
125,Insel::N,దీవి,ada
126,Blume::N,పుష్పము,çiçek
127,Gras::N,పచ్చగడ్డి,ot
128,Gras::N,పచ్చగడ్డి,çim
129,Wurzel::N,వేరు,kök
130,Baum::N,చెట్టు,ağaç
131,Stamm::N,చెట్టుబోదె,gövde
132,Rinde::N,చెట్టుపట్ట,kabuk
133,Ast::N,కొమ్మ,dal
134,Ast::N,కొమ్మ,budak
135,Zweig::N,చివుకు,dal
136,Blatt::N,ఆకు,yaprak
137,Birke::N,తరహా చెట్టు,huş
138,Kiefer[Baum]::N,దేవదారు చెట్టు,çam
139,Weide[Baum]::N,జాతిచెట్టు,söğüt
140,Tanne::N,దేవదారుచెట్టు,çam
141,Tanne::N,దేవదారుచెట్టు,köknar
142,Horn::N,కొమ్ము,boynuz
143,Feder::N,ఈక,tüy
144,Fell::N,తోలు,post
145,Flügel::N,ఱెక్క,kanat
146,Klaue::N,వంకరగోరు,pençe
147,Kralle::N,వంకరగోరు,tırnak
148,Schwanz::N,తోక,kuyruk
149,Ei::N,గ్రుడ్డు,yumurta
150,Nest::N,పక్షిగూడు,yuva
151,Bau::N,గుహ,in
152,Tier::N,జంతువు,hayvan
153,Herde::N,మంద,sürü
154,Kuh::N,ఆవు,inek
155,Bulle::N,గిత్త,boğa
156,Pferd::N,గుఱ్ఱము,at
157,Pferd::N,గుఱ్ఱము,beygir
158,Schaf::N,గొఱ్ఱె,koyun
159,Schwein::N,పంది,domuz
160,Hund::N,కుక్క,it
161,Hund::N,కుక్క,köpek
162,Katze::N,పిల్లి,kedi
