,Concept_ID,kk,ko
0,Auge::N,көз,눈
1,Ohr::N,құлақ,귀
2,Nase::N,мұрын,코
3,Mund::N,ауыз,입
4,Zahn::N,тіс,이
5,Zunge::N,тіл,혀
6,Lippe::N,ерін,입술
7,Wange::N,ұрт,뺨
8,Gesicht::N,бет-аузы,얼굴
9,Stirn::N,маңдай,이마
10,Haar::N,қыл,털
11,Schnurrbart::N,мұрт,윗수몀
12,Schnurrbart::N,мұрт,코밑수염
13,Bart::N,сақал,수엄
14,Kinn::N,иек,아래턱
15,Kiefer[Anatomie]::N,жақ,턱
16,Kehle::N,алқым,인후
17,Hals::N,мойын,목
18,Genick::N,желке,먹덜이
19,Kopf::N,кәллә,머리
20,Rücken::N,арқа,든
21,Bauch::N,қарын,배
22,Nabel::N,кіндік,배꼽
23,Busen::N,омырау,가슴속
24,Brust::N,кеуде,가슴
25,Schulter::N,иық,어깨
26,Arm::N,қол,팔
27,Ellenbogen::N,шынтақ,팔쿰치
28,Hand::N,қол,손
29,Handfläche::N,алақан,손바닥
30,Finger::N,саусақ,속가락
31,Fingernagel::N,тырнақ,손톱
32,Nagel[Anatomie]::N,тырнақ,손톱
33,Zeh::N,тырнақ,발가락
34,Zeh::N,тұяқ,발가락
35,Fuß::N,аяқ-басы,발
36,Ferse::N,өкше,발꿈치
37,Ferse::N,өкшелік,발꿈치
38,Knie::N,тізе,무릎
39,Oberschenkel::N,жамбас,허벅다리
40,Bein::N,аяқ,다리
41,Körper::N,дене,구간
42,Haut::N,тері,살갗
43,Blut::N,қан,피
44,Ader::N,көктамыр,정맥
45,Ader::N,күретамыр,정맥
46,Sehne::N,сіңір,현
47,Knochen::N,жілік,뼈
48,Gehirn::N,ми,뇌
49,Gehirn::N,ми,뇌수
50,Herz::N,жүрек,염통
51,Magen::N,асқазан,위
52,Leber::N,бауыр,간
53,Atem::N,леп,기식
54,Hunger::N,ашаршылық,공복
55,Träne::N,жас,눈물
56,Geschmack::N,дәм,기호
57,Geschmack::N,татым,기호
58,Geschmack::N,талғам,기호
59,Geruch::N,иіс,냄새
60,Schlaf::N,ұйқы,수면
61,Schlaf::N,ұйықтау,수면
62,Traum::N,түс,쿰
63,Himmel::N,аспан,하늘
64,Himmel::N,көқ,하늘
65,Himmel::N,таңдай,하늘
66,Sonne::N,күн,해
67,Mond::N,ай,달
68,Stern::N,жұлдыз,별
69,Luft::N,әуе,동준
70,Luft::N,әуе,가스채
71,Wind::N,жел,바람
72,Welle::N,толқын,물결
73,Wasser::N,су,물
74,Stein::N,тас,돌
75,Boden::N,қыртыс,바닥
76,Erde::N,топырақ,흙
77,Staub::N,шаң,먼지
78,Rauch::N,түтін,연기
79,Funke::N,ұшқын,불티
80,Feuer::N,алау,불
81,Licht::N,шұғыла,불
82,Schatten::N,көлеңке,어스레함
83,Wetter::N,ауа райы,기상
84,Nebel::N,тұман,안개
85,Wolke::N,бұлт,구름
86,Regen::N,жаңбыр,비
87,Schnee::N,қар,눈
88,Eis::N,мұз,얼음
89,Frost::N,суық,혹한
90,Kälte::N,ызғар,추위
91,Kälte::N,ызғар,차가움
92,Kälte::N,суықтық,추위
93,Kälte::N,суықтық,차가움
94,Hitze::N,аптап,고온
95,Hitze::N,аптап,더위
96,Raureif::N,қырау,
97,Regenbogen::N,кемпірқосақ,무지개
98,Donner::N,күн күркіреу,뇌명
99,Strömung::N,ағын,유동
100,Tropfen::N,тамшы,물방울
101,Schaum::N,көбік,포말
102,Schmutz::N,кір,때
103,See::N,көл,호수
104,Sumpf::N,саз,습지
105,Moor::N,саз,저습지
106,Wiese::N,шалғын,목초지
107,Wald::N,орман,숲
108,Hügel::N,төбе,언덕
109,Hügel::N,белес,언덕
110,Hügel::N,белес-белес,언덕
111,Anhöhe::N,дөң,언덕
112,Anhöhe::N,адыр,언덕
113,Anhöhe::N,қырат,언덕
114,Berg::N,тау,산
115,Gipfel::N,төбе,졀졍
116,Höhle::N,үңгір,공동
117,Abhang::N,бауыр,몰매
118,Quelle::N,қайнар,근원
119,Bach::N,жылға,내
120,Fluss::N,өзен,강
121,Ufer::N,жиек,강변
122,Ufer::N,жиек,바닷가
123,Küste::N,жиегі,해변
124,Küste::N,жиегі,해변가
125,Küste::N,жағалау,해변
126,Küste::N,жағалау,해변가
127,Festland::N,құрылық,본토
128,Meer::N,теңіз,바다
129,Bucht::N,шығанақ,협만
130,Insel::N,арал,섬
131,Blume::N,гүл,꽃
132,Gras::N,от,풀
133,Wurzel::N,түбір,뿌리
134,Baum::N,ағаш,나무
135,Baum::N,дарақ,나무
136,Stamm::N,сояу,대
137,Stamm::N,оқпан,대
138,Rinde::N,қабық,나무껍질
139,Ast::N,бұтақ,가지
140,Zweig::N,шыбық,가지
141,Blatt::N,жапырақ,잎
142,Birke::N,қайың,자작나무
143,Kiefer[Baum]::N,қарағай,소나무
144,Weide[Baum]::N,тал,쉬양버들
145,Tanne::N,шырша,전나무
146,Horn::N,мүйіз,뿔
147,Feder::N,қаламұш,깃털
148,Fell::N,тері,피혁모피
149,Flügel::N,қанат,날개
150,Klaue::N,тырнақ,갈고리 발톺
151,Kralle::N,аяқ,발툭
152,Schwanz::N,құйрық,꼬리
153,Ei::N,жұмыртқа,알
154,Nest::N,ұя,보금자리
155,Bau::N,жатақ,굴
156,Tier::N,айуан,짐승
157,Tier::N,жануар,짐승
158,Herde::N,пада,가축의떼
159,Kuh::N,сиыр,암소
160,Bulle::N,өгіз,황소
161,Pferd::N,жылқы,말
162,Schaf::N,қой,양
163,Schwein::N,шошқа,돼지
164,Hund::N,ит,개
165,Katze::N,мысық,고양이
166,Bär::N,аю,콤
167,Eichhörnchen::N,тиін,다람쥐
168,Elch::N,бұғы,고라니
169,Fuchs::N,түлкі,여우
170,Hase::N,қоян,토끼
171,Maus::N,қаптесер,쥐
172,Wolf::N,бөрі,늑대
173,Wolf::N,қасқыр,늑대
174,Vogel::N,құс,새
175,Schwarm::N,топ,뗴
176,Schwarm::N,үйір,뗴
177,Huhn::N,тауық,암탉
178,Huhn::N,мекиен,암탉
179,Hahn::N,әтеш,수탉
180,Hahn::N,қораз,수탉
181,Gans::N,қаз,거위
182,Adler::N,бүркіт,수리
183,Ente::N,үйрек,오리
184,Eule::N,жапалақ,부엉이
185,Kranich::N,тырна,두루미
186,Krähe::N,қарға,까마귀
187,Kuckuck::N,көкек,뻐꾸기
188,Schwan::N,аққу,배조
189,Fisch::N,балық,물고기
190,Barsch::N,алабұға,농어
191,Hecht::N,шортан,에속스
192,Schlange[Tier]::N,жылан,뱀
193,Wurm::N,шұбалшаң,벌레
194,Spinne::N,өрмекші,거미
195,Ameise::N,қүмырска,개미
196,Laus::N,бит,이
197,Mücke::N,маса,모기
198,Fliege::N,шыбын,날기
199,Schmetterling::N,көбелек,나비
200,Beere::N,жидек,장과
201,Apfel::N,алма,사과
202,Pilz::N,қозықұйрық,고방이
203,Pilz::N,саңыраукулақ,고방이
204,Zwiebel::N,жуа,양파
205,Saat::N,тұқым,씨
206,Korn::N,дән,알맹이
207,Heu::N,шөп,건초
208,Schale::N,қабық,피상
209,Schale::N,қабығы,피상
210,Grube::N,ор,
211,Falle::N,дұзақ,함정
212,Falle::N,қақпан,함정
213,Schlinge::N,ілмек,올가미
214,Schlinge::N,ілмек,멜빵붕대
215,Spur::N,із,발지국
216,Asche::N,күл,재
217,Dreck::N,былғаныш,똥
218,Dreck::N,былғаныш,오물
219,Eisen::N,темір,쇠
220,Eisen::N,темір,철
221,Gold::N,алтын,항금
222,Silber::N,күміс,은
223,Kohle::N,көмір,슻
224,Glas::N,шыны,유리
225,Lehm::N,балшық,찰흙
226,Sand::N,құм,모래
227,Mensch::N,адам,사람
228,Mann::N,еркек,남자
229,Mann::N,ер адам,남자
230,Frau::N,бике,여자
231,Frau::N,қатын,여자
232,Kind::N,бала,아이
233,Kind::N,перзент,아이
234,Junge::N,бала,소녁
235,Junge::N,ер бала,소녁
236,Mädchen::N,қыз,소녀
237,Familie::N,жанұя,가족
238,Großvater::N,ата,할아버지
239,Großmutter::N,әже,할머니
240,Großmutter::N,әжей,할머니
241,Eltern::N,ата-аналар,어버오
242,Vater::N,әке,아버지
243,Mutter::N,ана,어머니
244,Sohn::N,ұл,아들
245,Tochter::N,қызым,딸기
246,Bruder::N,бауырым,형제
247,Schwester::N,әпке,누이
248,Onkel::N,көке,백부
249,Tante::N,тәте,아주머니
250,Ehemann::N,ер,남편
251,Ehefrau::N,зайып,아내
252,Freude::N,қуаныш,기쁨
253,Freude::N,сүйініш,기쁨
254,Freude::N,шат-думан,기쁨
255,Freude::N,қуаныштылық,기쁨
