,Concept_ID,fr,ko
0,Auge::N,œil,눈
1,Ohr::N,oreille,귀
2,Nase::N,nez,코
3,Mund::N,bouche,입
4,Zahn::N,dent,이
5,Zunge::N,langue,혀
6,Lippe::N,lèvre,입술
7,Wange::N,joue,뺨
8,Gesicht::N,face,얼굴
9,Gesicht::N,visage,얼굴
10,Stirn::N,front,이마
11,Haar::N,cheveu,털
12,Schnurrbart::N,moustache,윗수몀
13,Schnurrbart::N,moustache,코밑수염
14,Bart::N,barbe,수엄
15,Kinn::N,menton,아래턱
16,Kiefer[Anatomie]::N,mâchoire,턱
17,Kehle::N,gorge,인후
18,Hals::N,cou,목
19,Genick::N,nuque,먹덜이
20,Kopf::N,tête,머리
21,Rücken::N,dos,든
22,Bauch::N,ventre,배
23,Nabel::N,nombril,배꼽
24,Busen::N,sein,가슴속
25,Brust::N,poitrine,가슴
26,Schulter::N,épaule,어깨
27,Arm::N,bras,팔
28,Ellenbogen::N,coude,팔쿰치
29,Hand::N,main,손
30,Handfläche::N,paume,손바닥
31,Finger::N,doigt,속가락
32,Fingernagel::N,ongle,손톱
33,Nagel[Anatomie]::N,ongle,손톱
34,Zeh::N,orteil,발가락
35,Zeh::N,doigt de pied,발가락
36,Fuß::N,pied,발
37,Ferse::N,talon,발꿈치
38,Knie::N,genou,무릎
39,Oberschenkel::N,cuisse,허벅다리
40,Bein::N,jambe,다리
41,Körper::N,corps,구간
42,Haut::N,peau,살갗
43,Blut::N,sang,피
44,Ader::N,veine,정맥
45,Sehne::N,tendon,현
46,Knochen::N,os,뼈
47,Gehirn::N,cerveau,뇌
48,Gehirn::N,cerveau,뇌수
49,Herz::N,cœur,염통
50,Magen::N,estomac,위
51,Leber::N,foie,간
52,Atem::N,haleine,기식
53,Hunger::N,faim,공복
54,Träne::N,larme,눈물
55,Geschmack::N,goût,기호
56,Geschmack::N,saveur,기호
57,Geruch::N,odeur,냄새
58,Schlaf::N,sommeil,수면
59,Traum::N,songe,쿰
60,Himmel::N,ciel,하늘
61,Sonne::N,soleil,해
62,Mond::N,lune,달
63,Stern::N,étoile,별
64,Luft::N,air,동준
65,Luft::N,air,가스채
66,Wind::N,vent,바람
67,Welle::N,vague,물결
68,Wasser::N,eau,물
69,Stein::N,pierre,돌
70,Boden::N,sol,바닥
71,Boden::N,terrain,바닥
72,Erde::N,terre,흙
73,Staub::N,poussière,먼지
74,Rauch::N,fumée,연기
75,Funke::N,étincelle,불티
76,Feuer::N,feu,불
77,Licht::N,lumière,불
78,Schatten::N,ombre,어스레함
79,Wetter::N,temps,기상
80,Nebel::N,brume,안개
81,Nebel::N,brouillard,안개
82,Wolke::N,nuage,구름
83,Regen::N,pluie,비
84,Schnee::N,neige,눈
85,Eis::N,glace,얼음
86,Frost::N,gel,혹한
87,Frost::N,gelée,혹한
88,Kälte::N,froid,추위
89,Kälte::N,froid,차가움
90,Hitze::N,chaleur,고온
91,Hitze::N,chaleur,더위
92,Raureif::N,givre,
93,Regenbogen::N,arc-en-ciel,무지개
94,Donner::N,tonnerre,뇌명
95,Strömung::N,courant,유동
96,Tropfen::N,goutte,물방울
97,Schaum::N,écume,포말
98,Schaum::N,mousse,포말
99,Schmutz::N,boue,때
100,Schmutz::N,saleté,때
101,See::N,lac,호수
102,Sumpf::N,marais,습지
103,Sumpf::N,marécage,습지
104,Moor::N,tourbière,저습지
105,Wiese::N,pré,목초지
106,Wald::N,bois,숲
107,Wald::N,forêt,숲
108,Hügel::N,coteau,언덕
109,Hügel::N,colline,언덕
110,Anhöhe::N,éminence,언덕
