,Concept_ID,hi,da
0,Auge::N,आँख,øje
1,Auge::N,चक्षु,øje
2,Ohr::N,कान,øre
3,Ohr::N,कर्ण,øre
4,Nase::N,नाक,næse
5,Nase::N,नासा,næse
6,Mund::N,मुख,mund
7,Mund::N,मुँह,mund
8,Zahn::N,दंत,tand
9,Zahn::N,दाँत,tand
10,Zunge::N,जीभ,tunge
11,Zunge::N,ज़बान,tunge
12,Zunge::N,जिह्वा,tunge
13,Lippe::N,ओंठ,læbe
14,Lippe::N,होंठ,læbe
15,Wange::N,गाल,kind
16,Wange::N,कपोल,kind
17,Gesicht::N,मुँह,ansigt
18,Gesicht::N,चेहरा,ansigt
19,Stirn::N,माथा,pande
20,Stirn::N,मस्तक,pande
21,Haar::N,बाल,hår
22,Schnurrbart::N,मूँछें,overskæg
23,Bart::N,दाढ़ी,skæg
24,Kinn::N,चिबुक,hage
25,Kiefer[Anatomie]::N,जबड़ा,kæbe
26,Kehle::N,गला,strube
27,Hals::N,गला,hals
28,Hals::N,गरदन,hals
29,Genick::N,गरदन,nakke
30,Genick::N,ग्रीवा,nakke
31,Kopf::N,सिर,hoved
32,Kopf::N,शीर्ष,hoved
33,Rücken::N,पीठ,ryg
34,Bauch::N,उदर,mave
35,Nabel::N,नाभि,navle
36,Nabel::N,ढोंढी,navle
37,Busen::N,कुच,barm
38,Busen::N,स्तन,barm
39,Brust::N,वक्ष,bryst
40,Schulter::N,कंधा,skulder
41,Schulter::N,स्कंध,skulder
42,Arm::N,बाँह,arm
43,Arm::N,बाज़ू,arm
44,Ellenbogen::N,कुहनी,albue
45,Hand::N,हाथ,hånd
46,Hand::N,हस्त,hånd
47,Handfläche::N,हथेली,håndflade
48,Finger::N,उँगली,finger
49,Finger::N,अँगुली,finger
50,Fingernagel::N,नख,fingernegl
51,Fingernagel::N,नाख़ून,fingernegl
52,Nagel[Anatomie]::N,नख,negl
53,Nagel[Anatomie]::N,नाख़ून,negl
54,Zeh::N,उँगली,tå
55,Zeh::N,पाँव की उँगली,tå
56,Fuß::N,चरण,fod
57,Fuß::N,पाँव,fod
58,Ferse::N,एड़ी,hæl
59,Knie::N,जानु,knæ
60,Knie::N,घुटना,knæ
61,Oberschenkel::N,उरु,lår
62,Bein::N,टाँग,ben
63,Körper::N,तन,krop
64,Körper::N,तन,legeme
65,Körper::N,देह,krop
66,Körper::N,देह,legeme
67,Körper::N,शरीर,krop
68,Körper::N,शरीर,legeme
69,Haut::N,चर्म,hud
70,Haut::N,त्वचा,hud
71,Blut::N,लहू,blod
72,Blut::N,ख़ून,blod
73,Ader::N,रग,åre
74,Ader::N,शिरा,åre
75,Sehne::N,कंडरा,sene
76,Sehne::N,स्नायु,sene
77,Knochen::N,अस्थि,ben
78,Gehirn::N,दिमाग़,hjerne
79,Gehirn::N,मस्तिष्क,hjerne
80,Herz::N,दिल,hjerte
81,Herz::N,हृदय,hjerte
82,Magen::N,मेदा,mave
83,Magen::N,अमाशय,mave
84,Leber::N,जिगर,lever
85,Leber::N,यकृत्,lever
86,Atem::N,दम,ånde
87,Atem::N,साँस,ånde
88,Atem::N,श्वास,ånde
89,Hunger::N,भूख,sult
90,Hunger::N,क्षुधा,sult
91,Träne::N,आँसू,tåre
92,Träne::N,अश्रु,tåre
93,Geschmack::N,स्वाद,smag
94,Geschmack::N,ज़ायक़ा,smag
95,Geruch::N,बू,lugt
96,Geruch::N,गंध,lugt
97,Schlaf::N,नींद,søvn
98,Schlaf::N,निद्रा,søvn
99,Traum::N,सपना,drøm
100,Traum::N,स्वप्न,drøm
101,Himmel::N,आकाश,himmel
102,Himmel::N,आसमान,himmel
103,Sonne::N,रवि,sol
104,Sonne::N,सूरज,sol
105,Sonne::N,सूर्य,sol
106,Mond::N,चाँद,måne
107,Mond::N,चंद्र,måne
108,Stern::N,तारा,stjerne
109,Stern::N,सितारा,stjerne
110,Luft::N,हवा,luft
111,Luft::N,वायु,luft
112,Wind::N,पाद,vind
113,Welle::N,लहर,bølge
114,Welle::N,तरंग,bølge
115,Wasser::N,जल,vand
