,Concept_ID,en,et
0,Auge::N,eye,silm
1,Ohr::N,ear,kõrv
2,Nase::N,nose,nina
3,Mund::N,mouth,suu
4,Zahn::N,tooth,hammas
5,Zunge::N,tongue,keel
6,Lippe::N,lip,huul
7,Wange::N,cheek,põsk
8,Gesicht::N,face,nägu
9,Stirn::N,forehead,otsmik
10,Haar::N,hair,juus
11,Schnurrbart::N,moustache,vurrud
12,Schnurrbart::N,moustache,vuntsid
13,Bart::N,beard,habe
14,Kinn::N,chin,lõug
15,Kiefer[Anatomie]::N,jaw,lõualuu
16,Kehle::N,throat,kõri
17,Hals::N,neck,kael
18,Genick::N,nape,kukal
19,Kopf::N,head,pea
20,Rücken::N,back,selg
21,Rücken::N,spine,selg
22,Bauch::N,belly,kõht
23,Nabel::N,navel,naba
24,Busen::N,bosom,rind
25,Brust::N,chest,rind
26,Brust::N,breast,rind
27,Schulter::N,shoulder,õlg
28,Arm::N,arm,käsivars
29,Ellenbogen::N,elbow,küünarnukk
30,Hand::N,hand,käsi
31,Handfläche::N,palm,pihk
32,Finger::N,finger,sõrm
33,Fingernagel::N,fingernail,küüs
34,Nagel[Anatomie]::N,nail,küüs
35,Zeh::N,toe,varvas
36,Fuß::N,foot,jalg
37,Ferse::N,heel,kand
38,Knie::N,knee,põlv
39,Oberschenkel::N,thigh,reis
40,Bein::N,leg,jalg
41,Körper::N,body,ihu
42,Körper::N,body,keha
43,Haut::N,skin,nahk
44,Blut::N,blood,veri
45,Ader::N,vein,veen
46,Sehne::N,sinew,kõõlus
47,Knochen::N,bone,luu
48,Gehirn::N,brain,aju
49,Herz::N,heart,süda
50,Magen::N,stomach,magu
51,Leber::N,liver,maks
52,Atem::N,breath,hingeõhk
53,Atem::N,breath,hingamine
54,Hunger::N,hunger,nälg
55,Träne::N,tear,pisar
56,Geschmack::N,flavour,maitse
57,Geschmack::N,flavor,maitse
58,Geruch::N,odour,lõhn
59,Geruch::N,odor,lõhn
60,Schlaf::N,sleep,uni
61,Traum::N,dream,unenägu
62,Himmel::N,sky,taevas
63,Sonne::N,sun,päike
64,Mond::N,moon,kuu
65,Stern::N,star,täht
66,Luft::N,air,õhk
67,Wind::N,wind,tuul
68,Welle::N,wave,laine
69,Wasser::N,water,vesi
70,Stein::N,stone,kivi
71,Boden::N,soil,maa
72,Boden::N,soil,pinnas
73,Boden::N,ground,maa
74,Boden::N,ground,pinnas
75,Erde::N,earth,maa
76,Staub::N,dust,põrm
77,Rauch::N,smoke,suits
78,Funke::N,spark,säde
79,Feuer::N,fire,tuli
80,Licht::N,light,valgus
81,Schatten::N,shadow,vari
82,Wetter::N,weather,ilm
