,Concept_ID,az,uz
0,Auge::N,göz,ko'z
1,Ohr::N,qulaq,quloq
2,Nase::N,burun,burun
3,Mund::N,ağız,og'iz
4,Zahn::N,diş,tish
5,Zunge::N,dil,til
6,Lippe::N,dodaq,dudoq
7,Wange::N,yanaq,bet
8,Gesicht::N,üz,yuz
9,Stirn::N,alın,manglay
10,Haar::N,saç,soch
11,Schnurrbart::N,bığ,mo'ylov
12,Bart::N,saqqal,soqol
13,Kinn::N,çənə,ängak
14,Kiefer[Anatomie]::N,çənə,iyak
15,Kehle::N,boğaz,bo'g'iz
16,Hals::N,boyun,bo'yin
17,Genick::N,ənsə,gardan
18,Kopf::N,baş,bosh
19,Rücken::N,bel,orqa
20,Bauch::N,qarın,qorin
21,Nabel::N,göbək,kindik
22,Busen::N,məmə,ämchak
23,Brust::N,döş,ko'krak
24,Schulter::N,çiyin,elka
25,Arm::N,qol,bilak
26,Ellenbogen::N,dirsək,tirsak
27,Hand::N,əl,qo'l
28,Handfläche::N,ovuc,kaft
29,Finger::N,barmaq,barmoq
30,Fingernagel::N,barmaq dırnağı,tirnoq
31,Nagel[Anatomie]::N,dırnak,tirnoq
32,Zeh::N,ayaq barmağı,oyoq barmog'i
33,Fuß::N,ayaq,oyoq
34,Ferse::N,daban,tovon
35,Knie::N,diz,tiz
36,Oberschenkel::N,bud,son
37,Bein::N,qıç,oyoq
38,Körper::N,əndam,badna
39,Haut::N,dəri,teri
40,Blut::N,qan,qon
41,Ader::N,damar,qon tomir
42,Sehne::N,vətər,tomir
43,Knochen::N,sümük,suyak
44,Gehirn::N,beyin,miya
45,Herz::N,ürək,qalb
46,Magen::N,mədə,oshqozon
47,Leber::N,qara ciyər,bag'ir
48,Atem::N,nəfəs,dam
49,Hunger::N,aclıq,ochlik
50,Träne::N,göz yaşı,yosh
51,Geschmack::N,tam,tam
52,Geschmack::N,ləzzət,tam
53,Geruch::N,qoxu,jid
54,Schlaf::N,yuxu,uyqu
55,Traum::N,röya,tush
56,Himmel::N,göy,osmon
57,Himmel::N,səma,osmon
58,Sonne::N,günəş,quyosh
59,Mond::N,ay,oy
60,Stern::N,ulduz,yulduz
61,Luft::N,hava,havo
62,Wind::N,yel,el
63,Wind::N,külək,el
64,Welle::N,dalğa,to'lqin
65,Wasser::N,su,suv
66,Stein::N,daş,tosh
67,Boden::N,yer,tuproq
68,Boden::N,zəmin,tuproq
69,Erde::N,yer torpaq,er
70,Staub::N,toz,chang
71,Rauch::N,tüstü,tutun
72,Funke::N,qığılcım,yalt
73,Feuer::N,od,o't
74,Licht::N,işıq,yorug'
75,Schatten::N,kölgə,soya
76,Wetter::N,hava,havo
77,Nebel::N,duman,tuman
78,Wolke::N,bulud,bulut
79,Regen::N,yağış,yomg'ir
80,Regen::N,yağmur,yomg'ir
81,Schnee::N,qar,qor
82,Eis::N,buz,muz
83,Frost::N,ayaz,ajoz
84,Kälte::N,soyuq,ajoz
85,Hitze::N,coşğunluq,issiq
86,Raureif::N,qırov,qirov
87,Regenbogen::N,göy qurşağı,kamalak
88,Donner::N,göy gurultusu,guldur
89,Strömung::N,axın,oqim
90,Tropfen::N,damcı,tomchi
91,Schaum::N,köpük,ko'pik
92,Schmutz::N,çamır,gard
93,See::N,göl,ko'l
94,Sumpf::N,bataqlıq,botqoq
95,Moor::N,bataqlıq,qir-adir
96,Wiese::N,çəmən,o'tzor
97,Wald::N,meşə,o'rmon
98,Hügel::N,təpə,tepa
99,Anhöhe::N,təpə,adir
100,Berg::N,dağ,tog'
101,Gipfel::N,zirvə,cho'qqi
102,Höhle::N,mağara,kavak
103,Abhang::N,yamac,to'sh
104,Quelle::N,bulaq,buloq
