,Concept_ID,cv,ps
0,Auge::N,куҫ,سترګه
1,Ohr::N,хӑлха,غوږ
2,Nase::N,сӑмса,پوزه
3,Mund::N,ҫӑвар,خوله
4,Zahn::N,шӑл,غاښ
5,Zunge::N,чӗлхе,جبه
6,Lippe::N,тута,شونډه
7,Wange::N,пит ҫӑмарти,باړخو
8,Gesicht::N,пит,مخ
9,Gesicht::N,пит-куҫ,مخ
10,Stirn::N,ҫамка,تندی
11,Stirn::N,ҫамка,وچولی
12,Haar::N,ҫӳҫ,وېښته
13,Schnurrbart::N,усси,برېت
14,Bart::N,сухал,ږیره
15,Kinn::N,янах,زنه
16,Kiefer[Anatomie]::N,янах,جامه
17,Kehle::N,пыр,غاړه
18,Kehle::N,карланкӑ,غاړه
19,Hals::N,пыр,غاړه
20,Genick::N,ӗнсе,ورمېږ
21,Kopf::N,пуҫ,سر
22,Rücken::N,ҫурӑм,شا
23,Nabel::N,кӑвапа,نوم
24,Busen::N,кӑкӑр,تی
25,Brust::N,умӗ,سینه
26,Schulter::N,хул пуҫҫи,اوږه
27,Arm::N,алӑ,لاس
28,Ellenbogen::N,чавса,څنګل
29,Hand::N,алӑ сыппи,لاس
30,Handfläche::N,ал лаппи,ورغوی
31,Finger::N,пӳрне,ګوته
32,Fingernagel::N,чӗрне,نوک
33,Nagel[Anatomie]::N,чӗрне,نوک
34,Zeh::N,пӳрне,ګوته
35,Fuß::N,ура лаппи,پښه
36,Ferse::N,кӗле,پونده
37,Knie::N,чӗркуҫҫи,زنګون
38,Oberschenkel::N,пӗҫӗ,پتون
39,Bein::N,ура,پښه
40,Körper::N,ӳт,ځان
41,Körper::N,ӳт-пӳ,ځان
42,Haut::N,тир,پوټکی
43,Blut::N,юн,وینه
44,Ader::N,вена,رګ
45,Sehne::N,шӑнӑр,پله
46,Knochen::N,шӑмӑ,هډوکی
47,Gehirn::N,миме,ماغزه
48,Herz::N,чӗре,زړه
49,Magen::N,хырӑмлӑх,معده
50,Leber::N,пӗвер,ينه
51,Leber::N,пӗвер,ځیګر
52,Atem::N,сывлав,نفس
53,Hunger::N,выҫлӑх,ولږه
54,Träne::N,куҫҫуль,اوښکه
55,Geschmack::N,техӗм,مزه
56,Geschmack::N,техӗм,خوند
57,Geruch::N,шӑршӑ,بوی
58,Schlaf::N,ыйхӑ,خوب
59,Traum::N,тӗлӗк,خوب
60,Himmel::N,пӗлӗт,اسمان
61,Sonne::N,хӗвел,لمر
62,Mond::N,уйӑх,سپوږمۍ
63,Stern::N,ҫӑлтӑр,ستوری
64,Luft::N,сывлӑш,هوا
65,Wind::N,ҫил,ورښ
66,Welle::N,хум,موج
67,Wasser::N,шыв,اوبه
68,Wasser::N,шыв-шур,اوبه
69,Stein::N,чул,ډبره
70,Boden::N,тӑпра,مځکه
71,Erde::N,ҫӗр,خاوره
72,Staub::N,тусан,ګرد
73,Staub::N,тусан,خاوره
74,Rauch::N,тӗтӗм,دود
75,Rauch::N,тӗтӗм,لوګی
76,Funke::N,хӗм,سپرغۍ
77,Feuer::N,вут,اور
78,Feuer::N,ҫулӑм,اور
79,Licht::N,ҫутӑ,رڼا
80,Schatten::N,сулхӑн,سیوری
81,Wetter::N,ҫанталӑк,هوا
82,Nebel::N,тӗтре,لړه
83,Wolke::N,пӗлӗт,ورېځ
84,Regen::N,ҫумӑр,وریا
85,Regen::N,ҫумӑр,باران
86,Schnee::N,юр,واوره
87,Eis::N,пӑр,یخ
88,Eis::N,пӑр,کنګل
89,Frost::N,сивӗ,یخ
90,Kälte::N,сивӗ,ساړه
91,Hitze::N,вӗри,تودوخي
92,Hitze::N,шӑрӑх,تودوخي
93,Raureif::N,пас,سپینه پرخه
94,Regenbogen::N,асамат кӗперӗ,بوډۍ ټال
95,Regenbogen::N,асамат кӗперӗ,سره زرغونه
96,Donner::N,аслати,تالنده
97,Strömung::N,юхӑ,بهېدنه
98,Tropfen::N,тумлам,قطره
99,Tropfen::N,тумлам,څاڅکی
100,Schaum::N,кӑпӑк,ځګ
101,Schmutz::N,пылчӑк,ناپاکي
102,See::N,кӳлӗ,جهیل
103,Sumpf::N,шур,جبه
104,Sumpf::N,шурлӑх,جبه
105,Moor::N,торфлӑ шурлӑх,جبه
106,Wiese::N,улӑх,چمن
107,Wiese::N,улӑх,شنېلی
108,Wiese::N,ҫаран,چمن
109,Wiese::N,ҫаран,شنېلی
110,Wald::N,вӑрман,ځنګل
111,Hügel::N,сӑрт,تپه
112,Hügel::N,тӗмеске,تپه
113,Anhöhe::N,сӑрт,غونډۍ
114,Berg::N,ту,غ‍‍‍‍‍ر
115,Gipfel::N,тӳпе,څوکه
116,Höhle::N,ҫӗр хӑвӑлӗ,کاز
117,Abhang::N,тӑвайкки,لمن
118,Quelle::N,ҫӑл куҫ,چینه
119,Bach::N,пӗчӗк шыв,واله
120,Fluss::N,юхан шыв,سیند
121,Ufer::N,ҫыран,غاړه
122,Küste::N,тинӗс ҫыранӗ,ساحل
123,Festland::N,тип ҫӗр,وچه
124,Meer::N,тинӗс,بحر
125,Meer::N,тинӗс,سمندر
126,Bucht::N,тинӗс кукӑрӗ,کارۍ
127,Insel::N,утрав,ټاپو
128,Insel::N,утрав,جزيره
129,Blume::N,чечек,ګل
130,Gras::N,курӑк,واښه
131,Wurzel::N,тымар,ریښه
132,Baum::N,йывӑҫ,ونه
133,Stamm::N,вулӑ,ډډ
134,Rinde::N,хуйӑр,پوستکی
135,Ast::N,турат,ښاخ
136,Zweig::N,турат,څانګه
137,Blatt::N,ҫулҫӑ,پاڼه
138,Birke::N,хурӑн,توس
139,Kiefer[Baum]::N,хыр,نښتر
140,Weide[Baum]::N,хӑва,وله
141,Tanne::N,чӑрӑш,ناجو
142,Horn::N,мӑйрака,ښکر
143,Feder::N,тӗк,بڼکه
144,Fell::N,ҫӑм,پوستکی
145,Flügel::N,ҫунат,وزر
146,Klaue::N,чӗрне,پنجه
147,Klaue::N,чӗрне,منګول
148,Kralle::N,ура,پنجه
149,Kralle::N,ура,منګول
150,Schwanz::N,хӳре,لکۍ
151,Ei::N,ҫӑмарта,وۍ
152,Ei::N,ҫӑмарта,هګۍ
153,Nest::N,йӑва,جاله
154,Bau::N,йӗнӗ,کاز
155,Tier::N,выльӑх,ژوی
156,Tier::N,выльӑх,حیوان
157,Herde::N,кӗтӳ,رمه
158,Herde::N,кӗтӳ,غېله
159,Kuh::N,ӗне,غوا
160,Bulle::N,вӑкӑр,غوئی
161,Pferd::N,лаша,آس
162,Schaf::N,сурӑх,پسه
163,Schwein::N,сысна,سرکوزی
164,Hund::N,йытӑ,سپی
165,Katze::N,кушак,پشه
166,Bär::N,упа,خرس
167,Eichhörnchen::N,пакша,خړ لمی
168,Elch::N,пӑши,ګوزن
169,Fuchs::N,тилӗ,سپلم
170,Hase::N,куян,سوی
171,Hase::N,мулкач,سوی
172,Maus::N,шӑши,مږک
173,Wolf::N,кашкӑр,لېوه
174,Vogel::N,кайӑк,مرغه
175,Vogel::N,вӗҫен кайӑк,مرغه
176,Schwarm::N,ушкӑн,سېل
177,Huhn::N,чӑх,چرګه
178,Huhn::N,чӑхӑ,چرګه
179,Hahn::N,автан,چرګ
180,Gans::N,хур,بته
181,Adler::N,ӑмӑрт кайӑк,عقاب
182,Ente::N,кӑвакал,ایلۍ
183,Eule::N,тӑмана,ګونګی
184,Kranich::N,тӑрна,کلنګ
185,Krähe::N,ула курак,کارغه
186,Kuckuck::N,куккук,فاخته
187,Schwan::N,акӑш,قو
188,Fisch::N,пулӑ,کب
189,Fisch::N,пулӑ,ماهی
190,Barsch::N,уланкӑ,
191,Hecht::N,ҫӑрттан,
192,Schlange[Tier]::N,ҫӗлен,مار
193,Wurm::N,ӑман,چینجی
194,Spinne::N,эрешмен,غڼه
195,Spinne::N,эрешмен,تارکښ
196,Ameise::N,кӑткӑ,مېږی
197,Laus::N,пыйтӑ,سپږه
198,Mücke::N,вӑрӑм туна,ماشی
199,Fliege::N,шӑна,مچ
200,Schmetterling::N,лӗпӗш,پتنګ
201,Beere::N,ҫырла,مېوۍ
202,Apfel::N,улма,مڼه
203,Apfel::N,пан улми,مڼه
204,Pilz::N,кӑмпа,خرېړی
205,Zwiebel::N,сухан,پیاز
206,Saat::N,вӑрӑ,تخم
207,Korn::N,тӗшӗ,تخم
208,Korn::N,тӗшӗ,دانه
209,Korn::N,пӗрчӗ,تخم
210,Korn::N,пӗрчӗ,دانه
211,Heu::N,утӑ,بوس
212,Heu::N,утӑ,پروړه
213,Schale::N,хупӑ,پوستکی
214,Grube::N,шӑтӑк,کنده
215,Falle::N,тапӑ,دام
216,Falle::N,тапӑ,لومه
217,Falle::N,капкӑн,دام
218,Falle::N,капкӑн,لومه
219,Schlinge::N,йӑлӑ,کړۍ
220,Spur::N,йӗр,نښه
221,Asche::N,кӗл,آس
222,Asche::N,кӗл,ایره
223,Dreck::N,пылчӑк,ناپاکي
224,Eisen::N,тимӗр,اوسپنه
225,Gold::N,ылтӑн,سره زر
226,Silber::N,кӗмӗл,نقره
227,Silber::N,кӗмӗл,سپین زر
228,Kohle::N,кӑмрӑк,سکور
229,Kohle::N,кӑмрӑк,سکاره
230,Glas::N,кӗленче,ښيښه
231,Lehm::N,тӑм,خټه
232,Sand::N,хӑйӑр,شګه
233,Mensch::N,ҫын,انسان
234,Mensch::N,этем,انسان
235,Mann::N,ар,سړی
236,Mann::N,ар,نارینه
237,Frau::N,хӗрарӑм,ښځه
238,Kind::N,ача,بچی
239,Kind::N,ача,ماشوم
240,Junge::N,ача,هلک
241,Junge::N,ар ҫын ача,هلک
242,Mädchen::N,хӗр ача,نجلۍ
243,Familie::N,ҫемье,کورنۍ
244,Familie::N,кил-йыш,کورنۍ
245,Großvater::N,кукаҫи,بابا
246,Großmutter::N,кукамай,انا
247,Eltern::N,аҫа-ама,مور او پلار
248,Vater::N,атте,پلار
249,Mutter::N,анне,مور
250,Sohn::N,ывӑл,زوی
251,Tochter::N,хӗр,لور
252,Bruder::N,ар тӑван,ورور
253,Schwester::N,аппа,خور
254,Schwester::N,йӑмӑк,خور
255,Onkel::N,мучи,تره
256,Onkel::N,мучи,ماما
257,Onkel::N,пичче,تره
258,Onkel::N,пичче,ماما
259,Tante::N,аппа,خاله
260,Ehemann::N,упӑшка,مېړه
261,Ehefrau::N,арӑм,مېرمن
262,Freude::N,савӑнӑҫ,خوشحالي
263,Freude::N,хаваслӑх,خوشحالي
264,Gelächter::N,кулӑ,خندا
265,Glück::N,телей,بخت
266,Glück::N,ӑраскал,بخت
267,Kummer::N,хурлӑх,غم
268,Wunsch::N,ӗмӗт,هيله
269,Wunsch::N,ӗмӗт,غوښتنه
270,Wunsch::N,кӑмӑл,هيله
271,Wunsch::N,кӑмӑл,غوښتنه
272,Lust::N,кӑмӑл,شوق
273,Lust::N,кӑмӑл,مینه
274,Geist::N,чун-чӗм,روح
275,Geist::N,ыр-усал,روح
276,Geist::N,чун хавалӗ,روح
277,Gedanke::N,шухӑш,فکر
278,Gedächtnis::N,ас,یاد
279,Gedächtnis::N,ас,حافظه
280,Verstand::N,ӑс,عقل
281,Verstand::N,ӑс,شعور
282,Verstand::N,ӑс-тӑн,عقل
283,Verstand::N,ӑс-тӑн,شعور
284,Verstand::N,ӑс-хакӑл,عقل
285,Verstand::N,ӑс-хакӑл,شعور
286,Sinn::N,тупсӑм,معنی
287,Sinn::N,пӗлтерӗш,معنی
288,Grund::N,сӑлтав,علت
289,Grund::N,сӑлтав,اساس
290,Wahrheit::N,чӑнлӑх,حقیقت
291,Gespräch::N,калаҫу,مرکه
292,Gespräch::N,калаҫу,خبرې اترې
293,Märchen::N,юмах,افسانه
294,Erzählung::N,акалав,قصه
295,Erzählung::N,акалав,کیسه
296,Erzählung::N,каласа пани,قصه
297,Erzählung::N,каласа пани,کیسه
298,Nachricht::N,хыпар,خبر
299,Neuigkeit::N,ҫӗнӗ хыпар,نوی خبر
300,Name::N,ят,نوم
301,Rätsel::N,сутмалли юмах,کیسۍ
302,Rätsel::N,сутмалли юмах,چیستان
303,Rede::N,сӑмах,وینا
304,Sprache::N,чӗлхе,ژبه
305,Stimme::N,сасӑ,غږ
306,Stimme::N,сасӑ,اواز
307,Wort::N,сӑмах,لغت
308,Wort::N,сӑмах,کلمه
309,Zeichen::N,паллӑ,نښه
310,Zeichen::N,паллӑ,اشاره
311,Ruf::N,йыхрав,ږغ
312,Ruf::N,йыхрав,بلنه
313,Ruf::N,чӗнӳ,ږغ
314,Ruf::N,чӗнӳ,بلنه
315,Lärm::N,шав,غالمغال
316,Laut::N,сасӑ,ږغ
317,Ton::N,сасӑ,اواز
318,Lied::N,юрӑ,غزله
319,Lied::N,юрӑ,سندره
320,Ruhe::N,канӑҫлӑх,ارامي
321,Ruhe::N,лӑпкӑлӑх,ارامي
322,Leute::N,ҫамрӑксем,خلک
323,Leute::N,ҫамрӑк ҫынсем,خلک
324,Volk::N,халӑх,ولس
325,Arbeit::N,ӗҫхӗл,کار
326,Arbeit::N,ӗҫлев,کار
327,Gast::N,хӑна,مېلمه
328,Geschenk::N,парне,تحفه
329,Geschenk::N,парне,سوغات
330,Geschenk::N,кучченеҫ,تحفه
331,Geschenk::N,кучченеҫ,سوغات
332,Spiel::N,вӑйӑ,لوبه
333,Gesellschaft::N,общество,ډله
334,Hilfe::N,пулӑшу,کومک
335,Hilfe::N,пулӑшу,مرسته
336,Freund::N,тус,ملګری
337,Kamerad::N,юлташ,انډيوال
