,Concept_ID,se,se
0,Auge::N,tjelmie,tjelmie
1,Auge::N,tjelmie,tjalmme
2,Auge::N,tjelmie,čalbmi
3,Auge::N,tjelmie,čalme
4,Auge::N,tjelmie,čâ´lmm
5,Auge::N,tjelmie,ча̄лльм
6,Auge::N,tjalmme,tjelmie
7,Auge::N,tjalmme,tjalmme
8,Auge::N,tjalmme,čalbmi
9,Auge::N,tjalmme,čalme
10,Auge::N,tjalmme,čâ´lmm
11,Auge::N,tjalmme,ча̄лльм
12,Auge::N,čalbmi,tjelmie
13,Auge::N,čalbmi,tjalmme
14,Auge::N,čalbmi,čalbmi
15,Auge::N,čalbmi,čalme
16,Auge::N,čalbmi,čâ´lmm
17,Auge::N,čalbmi,ча̄лльм
18,Auge::N,čalme,tjelmie
19,Auge::N,čalme,tjalmme
20,Auge::N,čalme,čalbmi
21,Auge::N,čalme,čalme
22,Auge::N,čalme,čâ´lmm
23,Auge::N,čalme,ча̄лльм
24,Auge::N,čâ´lmm,tjelmie
25,Auge::N,čâ´lmm,tjalmme
26,Auge::N,čâ´lmm,čalbmi
27,Auge::N,čâ´lmm,čalme
28,Auge::N,čâ´lmm,čâ´lmm
29,Auge::N,čâ´lmm,ча̄лльм
30,Auge::N,ча̄лльм,tjelmie
31,Auge::N,ча̄лльм,tjalmme
32,Auge::N,ча̄лльм,čalbmi
33,Auge::N,ча̄лльм,čalme
34,Auge::N,ча̄лльм,čâ´lmm
35,Auge::N,ча̄лльм,ча̄лльм
36,Ohr::N,bieljie,bieljie
37,Ohr::N,bieljie,biellje
38,Ohr::N,bieljie,beallji
39,Ohr::N,bieljie,pelji
40,Ohr::N,bieljie,pe´llj
41,Ohr::N,bieljie,пе̄лльй
42,Ohr::N,biellje,bieljie
43,Ohr::N,biellje,biellje
44,Ohr::N,biellje,beallji
45,Ohr::N,biellje,pelji
46,Ohr::N,biellje,pe´llj
47,Ohr::N,biellje,пе̄лльй
48,Ohr::N,beallji,bieljie
49,Ohr::N,beallji,biellje
50,Ohr::N,beallji,beallji
51,Ohr::N,beallji,pelji
52,Ohr::N,beallji,pe´llj
53,Ohr::N,beallji,пе̄лльй
54,Ohr::N,pelji,bieljie
55,Ohr::N,pelji,biellje
56,Ohr::N,pelji,beallji
57,Ohr::N,pelji,pelji
58,Ohr::N,pelji,pe´llj
59,Ohr::N,pelji,пе̄лльй
60,Ohr::N,pe´llj,bieljie
61,Ohr::N,pe´llj,biellje
