,Concept_ID,no,vep
0,Auge::N,øye,sil'm
1,Ohr::N,øre,korv
2,Nase::N,nese,nena
3,Mund::N,munn,su
4,Zahn::N,tann,pi
5,Zahn::N,tann,hambaz
6,Zunge::N,tunge,kel'
7,Lippe::N,leppe,hul'
8,Wange::N,kinn,modpolišk
9,Gesicht::N,fjes,mod
10,Gesicht::N,ansikt,mod
11,Stirn::N,panne,oc
12,Haar::N,hår,tuk
13,Haar::N,hår,hibuz
14,Schnurrbart::N,bart,habinod
15,Bart::N,skjegg,bard
16,Kinn::N,hake,löug
17,Kiefer[Anatomie]::N,kjeve,hambazlu
18,Kehle::N,strupe,kurk
19,Hals::N,hals,kagl
20,Genick::N,nakke,tagarai
21,Kopf::N,hode,pä
22,Rücken::N,rygg,sel'g
23,Bauch::N,buk,vac
24,Bauch::N,buk,koht
25,Bauch::N,mage,vac
26,Bauch::N,mage,koht
27,Nabel::N,navle,naba
28,Busen::N,barm,niža
29,Brust::N,bryst,rind
30,Schulter::N,skulder,oug
31,Arm::N,arm,käzi
32,Ellenbogen::N,albue,künambruz
33,Hand::N,hånd,käzi
34,Hand::N,hånd,käzitera
35,Handfläche::N,håndflate,kämen
36,Finger::N,finger,sor'm
37,Fingernagel::N,fingernegl,künz'
38,Nagel[Anatomie]::N,negl,künz'
39,Zeh::N,tå,barbaz
40,Fuß::N,fot,jaug
41,Ferse::N,hæl,kand
42,Knie::N,kne,komb
43,Knie::N,kne,pol'v
44,Oberschenkel::N,lår,riiže
45,Bein::N,bein,jaug
46,Körper::N,kropp,hibj
47,Körper::N,legeme,hibj
48,Haut::N,hud,nahk
49,Haut::N,skinn,nahk
50,Blut::N,blod,čak
51,Blut::N,blod,veri
52,Ader::N,åre,son'
53,Sehne::N,sene,jände
54,Knochen::N,bein,lu
55,Knochen::N,knokkel,lu
56,Gehirn::N,hjerne,aivod
57,Herz::N,hjerte,südäin
58,Magen::N,mage,südäikoht
59,Leber::N,lever,maks
60,Atem::N,pust,hengaiduz
61,Hunger::N,sult,näl'g
62,Träne::N,tåre,kündal'
63,Geschmack::N,smak,magu
64,Geruch::N,lukt,haju
65,Schlaf::N,søvn,uni
66,Traum::N,drøm,unikuva
67,Himmel::N,himmel,taivaz
68,Sonne::N,sol,päiväine
69,Mond::N,måne,kudmaine
70,Stern::N,stjerne,tähtaz
71,Luft::N,luft,il'm
72,Wind::N,vind,döl
73,Wind::N,vind,tullei
74,Welle::N,bølge,ald
75,Welle::N,bølge,laineh
76,Wasser::N,vann,vezi
77,Stein::N,stein,kivi
78,Boden::N,bakke,ma
79,Boden::N,bakke,pohj
80,Erde::N,jord,ma
81,Staub::N,støv,pölü
82,Rauch::N,røyk,savu
83,Funke::N,gnist,kibin
84,Feuer::N,ild,lämoi
85,Licht::N,lys,vauktuz
86,Schatten::N,skygge,pil'vez
87,Schatten::N,skygge,kuvahaine
88,Wetter::N,vær,sä
89,Nebel::N,tåke,sumeg
90,Wolke::N,sky,pil'v
91,Regen::N,regn,vihm
92,Schnee::N,snø,lumi
93,Eis::N,is,jä
94,Frost::N,frost,hala
95,Frost::N,frost,pakaine
96,Kälte::N,kulde,vilu
97,Hitze::N,hete,räk
98,Raureif::N,rimfrost,hüde
99,Regenbogen::N,regnbue,jumalanbembel'
100,Donner::N,torden,juru
101,Donner::N,torden,jumalanjuru
102,Strömung::N,strømning,joksmuz
103,Tropfen::N,dråpe,tilkuine
104,Schaum::N,skum,vaht
105,Schmutz::N,søl,redu
106,Schmutz::N,søl,pačak
107,Schmutz::N,skitt,redu
108,Schmutz::N,skitt,pačak
109,See::N,sjø,järv
110,Sumpf::N,sump,so
111,Sumpf::N,myrlende,so
112,Moor::N,myr,so
113,Moor::N,myrhei,so
114,Wiese::N,eng,nit
115,Wald::N,skog,mec
116,Hügel::N,haug,kukaz
117,Hügel::N,bakke,kukaz
118,Anhöhe::N,haug,kukaz
119,Anhöhe::N,bakke,kukaz
120,Berg::N,berg,mägi
121,Berg::N,fjell,mägi
122,Gipfel::N,topp,ladv
123,Höhle::N,hule,mägionduz
124,Abhang::N,li,paute
125,Abhang::N,skråning,paute
126,Quelle::N,kilde,lähte
127,Bach::N,bekk,oja
128,Fluss::N,elv,jogi
129,Ufer::N,bredd,rand
130,Küste::N,kyst,randišt
131,Festland::N,fastland,kuivma
132,Meer::N,hav,meri
133,Bucht::N,bukt,laht
134,Insel::N,øy,sar'
135,Blume::N,blomst,änik
136,Gras::N,gress,hein
137,Wurzel::N,rot,jur'
138,Baum::N,tre,pu
139,Stamm::N,stamme,tüvi
140,Rinde::N,bark,kor'
141,Ast::N,gren,oks
142,Zweig::N,kvist,oks
143,Zweig::N,kvist,barb
144,Blatt::N,blad,lehtez
145,Birke::N,bjørk,koiv
146,Kiefer[Baum]::N,furu,pedai
147,Weide[Baum]::N,selje,raid
148,Weide[Baum]::N,piletre,raid
149,Tanne::N,gran,kuz'
150,Horn::N,horn,sar'v
151,Feder::N,fjær,höuneh
152,Fell::N,skinn,nahk
153,Flügel::N,vinge,suug
154,Klaue::N,klauv,künz'
155,Kralle::N,klo,künz'
156,Schwanz::N,hale,händ
157,Ei::N,egg,muna
158,Nest::N,rede,peza
159,Bau::N,hi,uru
160,Tier::N,dyr,živat
161,Herde::N,flokk,kogo
162,Kuh::N,ku,lehm
163,Bulle::N,tyr,härg
164,Pferd::N,hest,hebo
165,Schaf::N,får,lambaz
166,Schwein::N,gris,siga
167,Hund::N,hund,koir
168,Katze::N,katt,kaži
169,Bär::N,bjørn,kondi
170,Eichhörnchen::N,ekorn,orav
171,Elch::N,elg,hirb'
172,Fuchs::N,rev,reboi
173,Hase::N,hare,jäniš
174,Maus::N,mus,hir'
175,Wolf::N,ulv,händikaz
176,Wolf::N,varg,händikaz
177,Vogel::N,fugl,lind
178,Schwarm::N,sverm,parveh
179,Huhn::N,høne,kana
180,Hahn::N,hane,kukoi
181,Gans::N,gås,hanh'
182,Adler::N,ørn,orl
183,Ente::N,and,sorz
184,Eule::N,ugle,hir'pulo
185,Kranich::N,trane,kurg
186,Krähe::N,kråke,variš
187,Kuckuck::N,gjøk,kägi
188,Schwan::N,svane,joucen
189,Fisch::N,fisk,kala
190,Barsch::N,abbor,ahven
191,Hecht::N,gjedde,haug'
192,Schlange[Tier]::N,orm,kü
193,Schlange[Tier]::N,orm,mado
194,Schlange[Tier]::N,slange,kü
195,Schlange[Tier]::N,slange,mado
196,Wurm::N,orm,mado
197,Wurm::N,mark,mado
198,Spinne::N,edderkopp,hämähouk
199,Ameise::N,maur,murahaine
200,Laus::N,lus,täi
201,Mücke::N,mygg,säs'k
202,Fliege::N,flue,kärbhaine
203,Schmetterling::N,sommerfugl,lipkaine
204,Beere::N,bær,marj
205,Apfel::N,eple,jablok
206,Pilz::N,sopp,sen'
207,Pilz::N,sopp,babuk
208,Zwiebel::N,løk,lauk
209,Saat::N,sæd,semned
210,Korn::N,korn,jüvä
211,Korn::N,korn,vill'
212,Heu::N,høy,hein
213,Schale::N,skall,kor'
214,Grube::N,grop,kop
215,Falle::N,felle,rida
216,Schlinge::N,snare,rihm
217,Spur::N,spor,jäl'g
218,Asche::N,aske,tuhk
219,Dreck::N,møkk,redu
220,Dreck::N,møkk,pačak
221,Dreck::N,skitt,redu
222,Dreck::N,skitt,pačak
223,Eisen::N,jern,raud
224,Gold::N,gull,kuld
225,Silber::N,sølv,hobed
226,Kohle::N,kol,hil'
227,Kohle::N,kull,hil'
228,Glas::N,glass,stökol
229,Lehm::N,leire,savi
230,Sand::N,sand,lete
231,Mensch::N,menneske,mez'
232,Mensch::N,menneske,ristit
233,Mann::N,mann,mez'
234,Frau::N,kvinne,naine
235,Kind::N,barn,laps'
236,Junge::N,gutt,poig
237,Junge::N,gutt,prihaine
238,Mädchen::N,pike,neičukaine
239,Mädchen::N,jente,neičukaine
240,Familie::N,familie,kanz
241,Familie::N,familie,pereh
242,Großvater::N,bestefar,ded
243,Großmutter::N,bestemor,bab
244,Eltern::N,foreldre,vanhembad
245,Eltern::N,foreldre,kazvatajad
246,Vater::N,far,tat
247,Mutter::N,mor,mam
248,Sohn::N,sønn,poig
249,Tochter::N,datter,tütär
250,Bruder::N,bror,veik
251,Bruder::N,bror,vell'
252,Schwester::N,søster,čiža
253,Schwester::N,søster,sizar
254,Onkel::N,onkel,däd'
255,Tante::N,tante,tädi
256,Ehemann::N,ektemann,mužik
257,Ehefrau::N,hustru,ak
258,Freude::N,glede,ilo
259,Freude::N,glede,ihastuz
260,Gelächter::N,latter,nagr
261,Glück::N,lykke,oza
262,Kummer::N,sorg,gor'a
263,Wunsch::N,ønske,taht
264,Lust::N,lyst,himo
265,Geist::N,ånd,heng
266,Gedanke::N,tanke,meletuz
267,Gedächtnis::N,minne,mušt
268,Gedächtnis::N,hukommelse,mušt
269,Verstand::N,forstand,mel'
270,Sinn::N,mening,jüvä
271,Sinn::N,betydning,jüvä
272,Grund::N,grunn,sü
273,Wahrheit::N,sannhet,tozi
274,Gespräch::N,samtale,lodu
275,Gespräch::N,samtale,pagin
276,Märchen::N,eventyr,sarn
277,Erzählung::N,fortelling,sanutez
278,Nachricht::N,melding,tedotuz
279,Neuigkeit::N,nyhet,uzištuz
280,Name::N,navn,nimi
281,Rätsel::N,gåte,ozoitez
282,Rede::N,tale,pagin
283,Rede::N,tale,sanad
284,Sprache::N,språk,kel'
285,Stimme::N,stemme,än'
286,Wort::N,ord,sana
287,Zeichen::N,tegn,znam
288,Ruf::N,rop,kida
289,Ruf::N,rop,kucund
290,Lärm::N,bråk,judu
291,Laut::N,lyd,kulund
292,Ton::N,tone,kulund
293,Lied::N,vise,pajo
294,Ruhe::N,ro,lebu
295,Leute::N,folk,rahvaz
296,Volk::N,folk,rahvaz
297,Arbeit::N,arbeid,tö
298,Arbeit::N,arbeid,rad
299,Gast::N,gjest,adiv
300,Geschenk::N,gave,lahj
301,Spiel::N,lek,vänd
302,Spiel::N,spill,vänd
303,Gesellschaft::N,selskap,sebr
304,Hilfe::N,hjelp,abu
305,Freund::N,venn,sebranik
306,Kamerad::N,kamerat,sebranik
307,Angelegenheit::N,sak,azj
308,Angelegenheit::N,anliggende,azj
309,Anzahl::N,antall,lugu
310,Art::N,art,rod
311,Art::N,art,rodsugu
312,Art::N,slag,rod
313,Art::N,slag,rodsugu
314,Stück::N,stykke,pala
315,Stück::N,stykke,supal
316,Teil::N,del,pala
317,Hälfte::N,halvdel,pol'
318,Kreis::N,ring,ümbruz
319,Kreis::N,ring,kehkruz
320,Kreis::N,sirkel,ümbruz
321,Kreis::N,sirkel,kehkruz
322,Kreuz::N,kors,rist
323,Kreuz::N,kryss,rist
324,Linie::N,linje,pird
325,Strich::N,strek,pird
326,Abstand::N,avstand,keskust
327,Entfernung::N,avstand,matk
328,Gegend::N,strøk,taho
329,Platz::N,plass,avaruz'
330,Ort::N,sted,koht
331,Seite::N,side,pol'
332,Seite::N,side,kül'g
333,Mitte::N,midte,kesk
334,Gegenstand::N,gjenstand,kalu
335,Sache::N,sak,azj
336,Rand::N,rand,röun
337,Kante::N,kant,röun
338,Ecke::N,hjørne,saum
339,Spitze::N,spiss,agjaine
340,Ende::N,ende,agj
341,Loch::N,hull,reig
342,Winkel::N,vinkel,čoga
343,Winkel::N,vinkel,saum
344,Muster::N,mønster,kirjam
