,Concept_ID,hr,en
0,Auge::N,oko,eye
1,Ohr::N,uho,ear
2,Nase::N,nos,nose
3,Mund::N,usta,mouth
4,Zahn::N,zub,tooth
5,Zunge::N,jezik,tongue
6,Lippe::N,usna,lip
7,Wange::N,obraz,cheek
8,Gesicht::N,lice,face
9,Stirn::N,čelo,forehead
10,Haar::N,kosa,hair
11,Schnurrbart::N,brkovi,moustache
12,Bart::N,brada,beard
13,Kinn::N,brada,chin
14,Kinn::N,podbradak,chin
15,Kiefer[Anatomie]::N,čeljust,jaw
16,Kehle::N,grlo,throat
17,Hals::N,vrat,neck
18,Genick::N,zatiljak,nape
19,Kopf::N,glava,head
20,Rücken::N,leđa,back
21,Rücken::N,leđa,spine
22,Rücken::N,hrbat,back
23,Rücken::N,hrbat,spine
24,Bauch::N,trbuh,belly
25,Nabel::N,pupak,navel
26,Busen::N,sisa,bosom
27,Busen::N,njedra,bosom
28,Brust::N,prsa,chest
29,Brust::N,prsa,breast
30,Schulter::N,rame,shoulder
31,Schulter::N,pleći,shoulder
32,Arm::N,ruka,arm
33,Ellenbogen::N,lakat,elbow
34,Hand::N,ruka,hand
35,Handfläche::N,dlan,palm
36,Finger::N,prst,finger
37,Fingernagel::N,nokat,fingernail
38,Nagel[Anatomie]::N,nokat,nail
39,Zeh::N,nozni prst,toe
40,Fuß::N,noga,foot
41,Fuß::N,stopalo,foot
42,Ferse::N,peta,heel
43,Knie::N,koljeno,knee
44,Oberschenkel::N,bedro,thigh
45,Bein::N,noga,leg
46,Körper::N,tijelo,body
47,Haut::N,put,skin
48,Haut::N,koža,skin
49,Blut::N,krv,blood
50,Ader::N,žila,vein
51,Sehne::N,tetiva,sinew
52,Knochen::N,kost,bone
53,Herz::N,srce,heart
54,Magen::N,stomak,stomach
55,Magen::N,želudac,stomach
56,Leber::N,jetra,liver
57,Atem::N,dah,breath
58,Hunger::N,glad,hunger
59,Träne::N,suza,tear
60,Geschmack::N,ukus,flavour
61,Geschmack::N,ukus,flavor
62,Geruch::N,njuh,odour
63,Geruch::N,njuh,odor
64,Geruch::N,miris,odour
65,Geruch::N,miris,odor
66,Schlaf::N,san,sleep
67,Traum::N,san,dream
68,Himmel::N,nebo,sky
69,Sonne::N,sunce,sun
70,Mond::N,mjesec,moon
71,Stern::N,zvijezda,star
72,Luft::N,zrak,air
73,Wind::N,vjetar,wind
74,Welle::N,val,wave
75,Welle::N,talas,wave
76,Wasser::N,voda,water
77,Stein::N,kamen,stone
78,Boden::N,tlo,soil
79,Boden::N,tlo,ground
80,Boden::N,zemlja,soil
81,Boden::N,zemlja,ground
82,Erde::N,zemlja,earth
83,Staub::N,prah,dust
84,Staub::N,prašina,dust
85,Rauch::N,dim,smoke
86,Funke::N,iskra,spark
87,Funke::N,varnica,spark
88,Feuer::N,vatra,fire
89,Licht::N,svjetlo,light
90,Schatten::N,hlad,shadow
91,Schatten::N,sjena,shadow
92,Wetter::N,vrijeme,weather
93,Nebel::N,magla,fog
94,Wolke::N,oblak,cloud
95,Regen::N,kiša,rain
96,Schnee::N,snijeg,snow
97,Eis::N,led,ice
98,Frost::N,mraz,frost
99,Kälte::N,studen,chill
100,Kälte::N,hladnoća,chill
101,Hitze::N,vrućina,heat
102,Raureif::N,inje,hoarfrost
103,Regenbogen::N,duga,rainbow
104,Donner::N,grom,thunder
105,Donner::N,grmljavina,thunder
106,Strömung::N,struja,current
107,Strömung::N,strujanje,current
108,Tropfen::N,kap,drop
109,Tropfen::N,kaplja,drop
110,Schaum::N,pjena,foam
111,Schmutz::N,nečistoća,dirt
112,Schmutz::N,prljavština,dirt
113,See::N,jezero,lake
114,Sumpf::N,bara,swamp
115,Moor::N,močvara,moor
116,Wiese::N,livada,meadow
117,Wald::N,šuma,forest
118,Hügel::N,brijeg,hill
119,Hügel::N,brežuljak,hill
120,Anhöhe::N,uzvišica,elevation
121,Berg::N,brdo,mountain
122,Gipfel::N,vrh,summit
123,Höhle::N,pećina,cave
124,Höhle::N,spilja,cave
125,Abhang::N,obronak,slope
126,Abhang::N,nizbrdica,slope
127,Quelle::N,izvor,source
128,Quelle::N,vrelo,source
129,Bach::N,potok,brook
130,Fluss::N,rijeka,river
131,Ufer::N,obala,shore
132,Küste::N,obala,coast
133,Küste::N,morska obala,coast
134,Festland::N,kopno,land
135,Meer::N,more,sea
136,Bucht::N,zaliv,cove
