,Concept_ID,os,ady
0,Auge::N,цӕст,нэ
1,Ohr::N,хъус,тхьакӏу́м
2,Nase::N,фындз,пэ
3,Mund::N,дзых,жэ
4,Zahn::N,дӕндаг,цэ
5,Zunge::N,ӕвзаг,бзэгу
6,Lippe::N,был,ӏупшӏэ́
7,Wange::N,рус,нэкӏу́шъу
8,Wange::N,уадул,нэкӏу́шъу
9,Wange::N,ӕхсӕрфарс,нэкӏу́шъу
10,Gesicht::N,цӕсгом,нэ́гу
11,Stirn::N,ных,натӏэ́
12,Haar::N,хил,шъхьацы́
13,Schnurrbart::N,рихи,
14,Bart::N,зачъе,жакӏэ́
15,Kinn::N,роцъо,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,ӕфсӕр,жэпкъы́
17,Kehle::N,хъуыр,чый
18,Hals::N,къубал,пшъэ
19,Genick::N,къӕбут,шъхьэпхэтыку
20,Kopf::N,сӕр,шъхьэ́
21,Rücken::N,фӕсонтӕ,кӏыбы́
22,Bauch::N,гуыбын,ныбэ́
23,Nabel::N,бикъ,
24,Busen::N,дзидзи,бгъэ́
25,Brust::N,риу,бгъэ́
26,Schulter::N,уӕхск,блыпкъ
27,Arm::N,цонг,ӏэ
28,Ellenbogen::N,рæмбын,ӏэнтэ́гъу
29,Hand::N,къух,ӏэтхьэцу
30,Handfläche::N,армытъӕпӕн,ӏэ́гу
31,Finger::N,ӕнруылдз,ӏэхъуа́мб
32,Fingernagel::N,ных,ӏэбжъа́н
33,Nagel[Anatomie]::N,ных,ӏэбжъа́н
34,Zeh::N,къух,ӏэхъуа́мб
35,Fuß::N,фад,лъэгу
36,Ferse::N,зӕвӕт,лъэдакъэ
37,Knie::N,уӕраг,лъагуа́ндж
38,Oberschenkel::N,агъд,ко
39,Bein::N,зӕнг,лъакъо́
40,Körper::N,буар,пкъышъол
41,Haut::N,царм,кӏы́шъу
42,Blut::N,туг,лъы
43,Ader::N,дадзин,льытф
44,Ader::N,тугдадзин,льытф
45,Sehne::N,хъиутæ,фэ
46,Sehne::N,нуар,фэ
47,Knochen::N,стӕг,къупшъхьэ́
48,Gehirn::N,магъз,куцӏы
49,Herz::N,зӕрдӕ,гу
50,Magen::N,ахсӕн,мышкӏу
51,Leber::N,игæр,шӏу
52,Atem::N,улӕфт,къэщэныр
53,Hunger::N,стонг,гъаблэ́
54,Träne::N,цæссыг,нэпсы
55,Geschmack::N,ад,ӏэшӏугъа́кӏ
56,Geruch::N,смаг,мэ
57,Schlaf::N,хуыссӕг,пчыхьы́пӏ
58,Traum::N,фын,пчыхьы́пӏ
59,Himmel::N,арв,уашъо́
60,Himmel::N,уӕларв,уашъо́
61,Sonne::N,хур,тыгъэ
62,Mond::N,мӕй,мазэ
63,Stern::N,стъалы,жъуагъо́
64,Luft::N,уӕлдӕф,жьы
65,Wind::N,дымгӕ,жьыбгъэ́
66,Welle::N,уылӕн,ор
67,Welle::N,уылӕн,оры
68,Wasser::N,дон,псы
69,Stein::N,дур,мыжъо́
70,Boden::N,зӕхх,чӏ́ыгу
71,Erde::N,сыджыт,чӏ́ыгу
72,Staub::N,рыг,сап
73,Rauch::N,фӕздӕг,ӏугъо́
74,Funke::N,цӕхӕр,мэшӏуа́ч
75,Feuer::N,зынг,машӏо́
76,Licht::N,рухс,нэфы
77,Licht::N,рухс,нэфын
78,Schatten::N,аууон,жьау́
79,Schatten::N,аууон,ныбжьыкъу
80,Wetter::N,боныхъӕд,
81,Nebel::N,мигъ,пща́гъу
82,Wolke::N,ӕврагъ,ошъуапщэ
83,Regen::N,уарын,ощхы
84,Schnee::N,мит,осы́
85,Eis::N,их,мылы
86,Frost::N,ихæн,
87,Kälte::N,уазал,чъыӏэ́
88,Hitze::N,ӕнтӕф,фэба́е
89,Raureif::N,халас,
90,Regenbogen::N,арвырон, лэгъупэкъо́пс
91,Regenbogen::N,арвырдын, лэгъупэкъо́пс
92,Donner::N,æрвнæрын,шыблэ́
93,Strömung::N,цыд,ток
94,Tropfen::N,æртах,ткӏопс
95,Tropfen::N,æртах,гъуаткӏу
96,Schaum::N,фынк,тхъурбэ
97,Schmutz::N,цъыф,псынжъы
98,See::N,цад,хыку́м
99,See::N,цад,псыхъура́й
100,Sumpf::N,цъыфдзаст,орыжъ
101,Moor::N,цъыфдзаст,орыжъ
102,Wiese::N,уыгӕрдӕн,хъупӏэ́
103,Wiese::N,уыгӕрдӕн,мэкъупӏ
104,Wald::N,хъӕд,мэзы́
105,Hügel::N,обау,ӏуашъхь
106,Hügel::N,къуыбыр,ӏуашъхь
107,Anhöhe::N,уæлвæз,чӏыӏэтыгъ
108,Anhöhe::N,уæлхох,чӏыӏэтыгъ
109,Berg::N,хох,къушъхьэ́
110,Gipfel::N,цъупп,шыгу
111,Höhle::N,лӕгӕт,гъочӏэгъ
112,Abhang::N,къул,чапэ
113,Quelle::N,суадон,псынэчэ́чъ
114,Bach::N,мӕсчъыдон,псышкуашку
115,Fluss::N,дон,псыхъо́
116,Fluss::N,цӕугӕдон,псыхъо́
117,Ufer::N,был,нэпкъы
118,Küste::N,донбыл,ӏушъо
119,Festland::N,сурзæхх,чӏл́ыгу
120,Meer::N,денджыз,хы
121,Bucht::N,донбакæлæн,хыблыгу
