,Concept_ID,fa,et
0,Auge::N,چشم,silm
1,Ohr::N,گوش,kõrv
2,Nase::N,بینی,nina
3,Mund::N,دهان,suu
4,Zahn::N,دندان,hammas
5,Zunge::N,زبان,keel
6,Lippe::N,لب,huul
7,Wange::N,لپ,põsk
8,Gesicht::N,رو,nägu
9,Gesicht::N,چهره,nägu
10,Stirn::N,پیشانی,otsmik
11,Haar::N,مو,juus
12,Schnurrbart::N,سبیل,vurrud
13,Schnurrbart::N,سبیل,vuntsid
14,Bart::N,ریش,habe
15,Kinn::N,چانه,lõug
16,Kiefer[Anatomie]::N,فک,lõualuu
17,Kiefer[Anatomie]::N,آرواره,lõualuu
18,Kehle::N,حلق,kõri
19,Hals::N,گردن,kael
20,Genick::N,پشت گردن,kukal
21,Kopf::N,سر,pea
22,Kopf::N,کله,pea
23,Rücken::N,پشت,selg
24,Bauch::N,شکم,kõht
25,Nabel::N,ناف,naba
26,Busen::N,پستان,rind
27,Brust::N,سینه,rind
28,Schulter::N,دوش,õlg
29,Schulter::N,شانه,õlg
30,Arm::N,بازو,käsivars
31,Ellenbogen::N,آرنج,küünarnukk
32,Hand::N,دست,käsi
33,Handfläche::N,کف دست,pihk
34,Finger::N,انگشت,sõrm
35,Fingernagel::N,ناخن دست,küüs
36,Nagel[Anatomie]::N,ناخن,küüs
37,Zeh::N,انگشت پا,varvas
38,Fuß::N,پا,jalg
39,Ferse::N,پاشنه,kand
40,Knie::N,زانو,põlv
41,Oberschenkel::N,ران,reis
42,Bein::N,پا,jalg
43,Bein::N,لنگ,jalg
44,Körper::N,تن,ihu
45,Körper::N,تن,keha
46,Körper::N,بدن,ihu
47,Körper::N,بدن,keha
48,Haut::N,پوست,nahk
49,Blut::N,خون,veri
50,Ader::N,رگ,veen
51,Sehne::N,زردپی,kõõlus
52,Knochen::N,استخوان,luu
53,Gehirn::N,مخ,aju
54,Gehirn::N,مغز,aju
55,Herz::N,دل,süda
56,Herz::N,قلب,süda
57,Magen::N,معده,magu
58,Leber::N,کبد,maks
59,Atem::N,نفس,hingeõhk
60,Atem::N,نفس,hingamine
61,Hunger::N,گرسنگی,nälg
62,Träne::N,اشک,pisar
63,Geschmack::N,مزه,maitse
64,Geruch::N,بو,lõhn
65,Schlaf::N,خواب,uni
66,Traum::N,رؤیا,unenägu
67,Himmel::N,فلک,taevas
68,Himmel::N,آسمان,taevas
69,Sonne::N,آفتاب,päike
70,Sonne::N,خورشید,päike
71,Mond::N,ماه,kuu
72,Stern::N,ستاره,täht
