,Concept_ID,mn,cv
0,Auge::N,нүд,куҫ
1,Ohr::N,чих,хӑлха
2,Nase::N,хамар,сӑмса
3,Mund::N,ам,ҫӑвар
4,Zahn::N,шүд,шӑл
5,Zunge::N,хэл,чӗлхе
6,Lippe::N,уруул,тута
7,Wange::N,хацар,пит ҫӑмарти
8,Gesicht::N,царай,пит
9,Gesicht::N,царай,пит-куҫ
10,Gesicht::N,нүүр,пит
11,Gesicht::N,нүүр,пит-куҫ
12,Stirn::N,дух,ҫамка
13,Haar::N,үс,ҫӳҫ
14,Schnurrbart::N,дээд сахал,усси
15,Schnurrbart::N,живэр сахал,усси
16,Bart::N,сахал,сухал
17,Kinn::N,эрүү,янах
18,Kiefer[Anatomie]::N,эрүү,янах
19,Kehle::N,хоолой,пыр
20,Kehle::N,хоолой,карланкӑ
21,Hals::N,хүзүү,пыр
22,Genick::N,шил,ӗнсе
23,Genick::N,хүзүү,ӗнсе
24,Kopf::N,толгой,пуҫ
25,Rücken::N,ар,ҫурӑм
26,Rücken::N,нуруу,ҫурӑм
27,Bauch::N,хэвлий,
28,Bauch::N,гэдэс,
29,Nabel::N,хүйс,кӑвапа
30,Busen::N,хөх,кӑкӑр
31,Brust::N,цээж,умӗ
32,Schulter::N,мөр,хул пуҫҫи
33,Schulter::N,бугалга,хул пуҫҫи
34,Arm::N,гар,алӑ
35,Ellenbogen::N,тохой,чавса
36,Hand::N,гар,алӑ сыппи
37,Hand::N,алга,алӑ сыппи
38,Handfläche::N,алга,ал лаппи
39,Finger::N,хуруу,пӳрне
40,Fingernagel::N,хурууны хумс,чӗрне
41,Nagel[Anatomie]::N,хумс,чӗрне
42,Zeh::N,хуруу,пӳрне
43,Fuß::N,хөл,ура лаппи
44,Ferse::N,өсгий,кӗле
45,Knie::N,өвдөг,чӗркуҫҫи
46,Oberschenkel::N,гуя,пӗҫӗ
47,Bein::N,хөл,ура
48,Körper::N,бие,ӳт
49,Körper::N,бие,ӳт-пӳ
50,Haut::N,арьс,тир
51,Blut::N,цус,юн
52,Ader::N,судас,вена
53,Sehne::N,бүлх,шӑнӑр
54,Sehne::N,шандас,шӑнӑр
55,Knochen::N,яс,шӑмӑ
56,Gehirn::N,тархи,миме
57,Herz::N,зүрх,чӗре
58,Magen::N,ходоод,хырӑмлӑх
59,Leber::N,элэг,пӗвер
60,Atem::N,амьсгаа,сывлав
61,Hunger::N,өлсгөлөн,выҫлӑх
62,Träne::N,нулимс,куҫҫуль
63,Geschmack::N,амт,техӗм
64,Geruch::N,үнэр,шӑршӑ
65,Schlaf::N,нойр,ыйхӑ
66,Traum::N,зүүд,тӗлӗк
67,Himmel::N,тэнгэр,пӗлӗт
68,Himmel::N,огторгуй,пӗлӗт
69,Sonne::N,нар,хӗвел
70,Mond::N,сар,уйӑх
71,Stern::N,од,ҫӑлтӑр
72,Luft::N,агаар,сывлӑш
73,Wind::N,салхи,ҫил
74,Welle::N,долгио,хум
75,Welle::N,давалгаа,хум
76,Wasser::N,ус,шыв
77,Wasser::N,ус,шыв-шур
78,Stein::N,чулуу,чул
79,Boden::N,хөрс,тӑпра
80,Erde::N,газар,ҫӗр
81,Erde::N,шороо,ҫӗр
82,Staub::N,тоос,тусан
83,Rauch::N,утаа,тӗтӗм
84,Funke::N,оч,хӗм
85,Feuer::N,гал,вут
86,Feuer::N,гал,ҫулӑм
87,Licht::N,гэрэл,ҫутӑ
