,Concept_ID,fi,mrj
0,Auge::N,silmä,сӹнзӓ
1,Ohr::N,korva,пӹлӹш
2,Nase::N,nenä,нер
3,Mund::N,suu,ышма
4,Zahn::N,hammas,пӱ
5,Zunge::N,kieli,йӹлмӹ
6,Lippe::N,huuli,тӹрвӹ
7,Wange::N,poski,шӹргӹ
8,Gesicht::N,naama,лицӓ
9,Gesicht::N,kasvot,лицӓ
10,Stirn::N,otsa,лепкӓ
11,Haar::N,hius,ӱп
12,Haar::N,tukka,ӱп
13,Schnurrbart::N,viikset,öрш
14,Bart::N,parta,пандаш
15,Kinn::N,leuka,онгылаш
16,Kiefer[Anatomie]::N,leukaluu,пӱ арата
17,Kehle::N,kurkku,логер
18,Hals::N,kaula,шӱ
19,Genick::N,niska,ланга
20,Kopf::N,pää,вуй
21,Rücken::N,selkä,туп
22,Bauch::N,maha,мӹшкӹр
23,Bauch::N,vatsa,мӹшкӹр
24,Nabel::N,napa,кӹлӹмдӹ
25,Busen::N,rinta,цӹзӹ
26,Brust::N,rinta,мел
27,Schulter::N,olka,ӹнгӹжӓ
28,Schulter::N,hartia,ӹнгӹжӓ
29,Schulter::N,olkapää,ӹнгӹжӓ
30,Arm::N,käsivarsi,кид
31,Ellenbogen::N,kyynärpää,кӹнервуй
32,Hand::N,käsi,лапа
33,Handfläche::N,kämmen,кид лапа
34,Finger::N,sormi,парня
35,Fingernagel::N,kynsi,кӹч
36,Nagel[Anatomie]::N,kynsi,кӹч
37,Zeh::N,varvas,парня
38,Fuß::N,jalka,ял лапа
39,Ferse::N,kantapää,ялгавал
40,Ferse::N,kantapää,ял кавал
41,Knie::N,polvi,пылвуй
42,Oberschenkel::N,reisi,ӓрдӹ
43,Bein::N,jalka,ял
44,Körper::N,keho,монгыр
45,Körper::N,ruumis,монгыр
46,Haut::N,iho,кавашты
47,Blut::N,veri,вӹр
48,Ader::N,suoni,вӹршӓр
49,Sehne::N,jänne,кукшышӱн
50,Knochen::N,luu,лу
51,Gehirn::N,aivot,вим
52,Herz::N,sydän,шӱм
53,Magen::N,maha,шӱм
54,Magen::N,vatsa,шӱм
55,Leber::N,maksa,мокш
56,Atem::N,henki,шӱлӹш
57,Atem::N,hengitys,шӱлӹш
58,Hunger::N,nälkä,шужымаш
59,Träne::N,kyynel,сӹнзӓвӹд
60,Geschmack::N,maku,тот
61,Geruch::N,haju,пыш
62,Schlaf::N,uni,ом
63,Traum::N,uni,ом
64,Himmel::N,taivas,пӹлгом
65,Sonne::N,aurinko,кечӹ
66,Mond::N,kuu,тӹлзӹ
67,Stern::N,tähti,шӹдӹр
68,Luft::N,ilma,юж
69,Luft::N,ilma,воздух
70,Wind::N,tuuli,мардеж
71,Welle::N,aalto,ко
72,Welle::N,aalto,коэ
73,Wasser::N,vesi,вӹд
74,Stein::N,kivi,кӱ
75,Boden::N,maa,рок
76,Boden::N,maaperä,рок
77,Erde::N,maa,свет
78,Staub::N,pöly,пырак
79,Rauch::N,savu,шӹкш
80,Funke::N,kipinä,ип
81,Funke::N,kipinä,тылип
82,Feuer::N,tuli,тыл
83,Licht::N,valo,соты
84,Licht::N,valo,валгыды
85,Schatten::N,varjo,ӹмӹл
86,Wetter::N,sää,игечӹ
87,Nebel::N,sumu,тӹтӹрӓ
88,Wolke::N,pilvi,пӹл
89,Regen::N,sade,юр
90,Schnee::N,lumi,лым
91,Eis::N,jää,и
92,Frost::N,halla,ӱштӹ
93,Frost::N,pakkanen,ӱштӹ
94,Kälte::N,vilu,ӱштӹ
95,Kälte::N,kylmyys,ӱштӹ
96,Hitze::N,helle,шокшы
97,Hitze::N,kuumuus,шокшы
98,Raureif::N,huurre,пöрш
99,Regenbogen::N,sateenkaari,шанавӹл
100,Donner::N,jyrinä,хӹдӹртӹш
101,Strömung::N,virtaus,йогы
102,Tropfen::N,tippa,капльы
103,Tropfen::N,tippa,капльык
104,Tropfen::N,pisara,капльы
105,Tropfen::N,pisara,капльык
106,Schaum::N,vaahto,шонг
107,Schmutz::N,loka,лявӹрӓ
108,See::N,järvi,йӓр
109,Sumpf::N,suo,лӱкӹ
110,Moor::N,räme,куп
111,Wiese::N,niitty,алык
112,Wald::N,metsä,шӹргӹ
113,Hügel::N,mäki,пӱгӹрикӓ
114,Hügel::N,kumpu,пӱгӹрикӓ
115,Hügel::N,kukkula,пӱгӹрикӓ
116,Anhöhe::N,mäki,кӱкшикӓ
117,Anhöhe::N,kumpare,кӱкшикӓ
118,Berg::N,mäki,кырык
119,Berg::N,vuori,кырык
120,Gipfel::N,laki,неркӓ
121,Gipfel::N,huippu,неркӓ
122,Höhle::N,luola,ы́раж
123,Abhang::N,rinne,полом
124,Quelle::N,lähde,вӹдсӹнзӓ
125,Bach::N,puro,ӓнгӹр
126,Fluss::N,joki,вӹд
127,Ufer::N,ranta,сир
128,Küste::N,rannikko,сир
129,Festland::N,manner,мӱлӓндӹ
130,Meer::N,meri,тангыж
131,Bucht::N,lahti,вӹдъял
132,Insel::N,saari,острок
133,Blume::N,kukka,пеледӹш
134,Gras::N,ruoho,шуды
135,Wurzel::N,juuri,важ
136,Baum::N,puu,пушӓнгӹ
137,Stamm::N,runko,пушӓнгӹ тӹнг
138,Rinde::N,kuori,каргыж
139,Rinde::N,parkki,каргыж
140,Ast::N,oksa,укш
141,Zweig::N,haara,укш
142,Blatt::N,lehti,листӹ
143,Birke::N,koivu,куги
144,Kiefer[Baum]::N,mänty,йӓктӹ
145,Kiefer[Baum]::N,petäjä,йӓктӹ
146,Weide[Baum]::N,paju,уа
147,Tanne::N,kuusi,кож
148,Horn::N,sarvi,шур
149,Feder::N,sulka,пын
150,Feder::N,höyhen,пын
151,Fell::N,talja,кавашты
152,Flügel::N,siipi,шылдыр
153,Klaue::N,kynsi,кӹч
154,Kralle::N,kynsi,лапа
155,Schwanz::N,häntä,пач
156,Schwanz::N,pyrstö,пач
157,Ei::N,muna,мыны
158,Nest::N,pesä,пӹжӓш
159,Bau::N,pesä,ыраж
160,Tier::N,eläin,во́льык
161,Herde::N,lauma,кӹтö
162,Kuh::N,lehmä,ышкал
163,Bulle::N,sonni,ӱшкӱж
164,Pferd::N,hevonen,имни
165,Schaf::N,lammas,шарык
166,Schwein::N,sika,сасна
167,Hund::N,koira,пи
168,Katze::N,kissa,коти
169,Bär::N,karhu,мöскӓ
170,Eichhörnchen::N,orava,ур
171,Elch::N,hirvi,шарды
172,Fuchs::N,kettu,рӹвӹж
173,Hase::N,jänis,морен
174,Maus::N,hiiri,каля
175,Wolf::N,susi,пирӹ
176,Vogel::N,lintu,кек
177,Schwarm::N,parvi,цуца
178,Huhn::N,kana,цӹвӹ
179,Hahn::N,kukko,ӓптӓн
180,Gans::N,hanhi,комбы
181,Adler::N,kotka,кучкыж
182,Ente::N,ankka,лыды
183,Eule::N,pöllö,тымана
184,Kranich::N,kurki,тырня
185,Kranich::N,kurki,тыртня
186,Krähe::N,varis,лудыгарак
187,Kuckuck::N,käki,куку
188,Schwan::N,joutsen,йӱксӹ
189,Fisch::N,kala,кол
190,Barsch::N,ahven,алангы
191,Hecht::N,hauki,нуж
192,Hecht::N,hauki,нужгол
193,Schlange[Tier]::N,käärme,кӹшкы
194,Wurm::N,mato,шукш
195,Spinne::N,hämähäkki,ӓнгӹремшӹ
196,Ameise::N,muurahainen,кыткы
197,Laus::N,täi,ти
198,Mücke::N,sääski,кужнер
199,Mücke::N,sääski,кужынер
200,Mücke::N,hyttynen,кужнер
201,Mücke::N,hyttynen,кужынер
202,Fliege::N,kärpänen,шӹнгӓ
203,Schmetterling::N,perhonen,лӹпӹ
204,Beere::N,marja,мöр
205,Apfel::N,omena,олма
206,Pilz::N,sieni,понгы
207,Zwiebel::N,sipuli,охыра
208,Saat::N,siemenet,нӱшмӹ
209,Saat::N,siemenet,нӱшмӱ
210,Korn::N,jyvä,пӹрцӹ
211,Korn::N,vilja,пӹрцӹ
212,Heu::N,heinä,шуды
213,Schale::N,kuori,аваха
214,Schale::N,kuori,карлангы
215,Grube::N,kuoppa,йӓм
216,Falle::N,loukku,лӱдӹ
217,Falle::N,loukku,лӱдӹш
218,Schlinge::N,ansa,онгы
219,Spur::N,jälki,кишӓ
220,Asche::N,tuhka,ломых
221,Asche::N,tuhka,ломпыж
222,Dreck::N,lika,лявӹрӓ
223,Eisen::N,rauta,кӹртни
224,Gold::N,kulta,шöртни
