,Concept_ID,is,kv
0,Auge::N,auga,син
1,Ohr::N,eyra,пель
2,Nase::N,nef,ныр
3,Mund::N,munnur,ӧм
4,Zahn::N,tönn,пинь
5,Zunge::N,tunga,кыв
6,Lippe::N,vör,тырп
7,Wange::N,kinn,рожабан
8,Wange::N,vangi,рожабан
9,Gesicht::N,andlit,бан
10,Stirn::N,enni,кымӧс
11,Haar::N,hár,юрси
12,Schnurrbart::N,yfirskegg,уссэз
13,Bart::N,skegg,тош
14,Kinn::N,haka,тшӧка
15,Kiefer[Anatomie]::N,kjálki,ан
16,Kiefer[Anatomie]::N,skoltur,ан
17,Kehle::N,kverk,юан
18,Hals::N,háls,юан
19,Genick::N,hnakki,юр бӧр
20,Kopf::N,höfuð,юр
21,Rücken::N,hryggur,мышк
22,Bauch::N,kviður,кынӧм
23,Nabel::N,nafli,гӧг
24,Busen::N,barmur,морос
25,Brust::N,brjóst,морос
26,Schulter::N,öxl,пельпон
27,Arm::N,armur,ки
28,Ellenbogen::N,olnbogi,гырдзза
29,Hand::N,hönd,кикар
30,Handfläche::N,lófi,ки пыдӧс
31,Finger::N,fingur,чунь
32,Fingernagel::N,fingurnögl,гыж
33,Nagel[Anatomie]::N,nögl,гыж
34,Zeh::N,tá,чунь
35,Fuß::N,fótur,кокпыдӧс
36,Ferse::N,hæll,кокдзир
37,Knie::N,kné,пидзӧс
38,Oberschenkel::N,læri,лядьбей
39,Bein::N,fótleggur,кок
40,Körper::N,búkur,вывтыр
41,Körper::N,líkami,вывтыр
42,Haut::N,húð,кучик
43,Haut::N,skinn,кучик
44,Blut::N,blóð,вир
45,Ader::N,æð,сӧн
46,Sehne::N,sin,жила
47,Knochen::N,bein,коска
48,Gehirn::N,heili,вем
49,Herz::N,hjarta,сьӧлӧм
50,Magen::N,magi,жӧвдӧк
51,Leber::N,lifur,мус
52,Atem::N,andi,лолалӧм
53,Atem::N,andardráttur,лолалӧм
54,Hunger::N,hungur,тшыг
55,Träne::N,tár,синва
56,Geschmack::N,smekkur,кӧр
57,Geruch::N,lykt,дук
58,Schlaf::N,svefn,он
59,Traum::N,draumur,вӧт
60,Himmel::N,himinn,небо
61,Sonne::N,sól,шондi
62,Mond::N,tungl,тӧлiсь
63,Stern::N,stjarna,кӧдзыв
64,Luft::N,loft,ру
65,Wind::N,vindur,тӧв
66,Welle::N,alda,гы
67,Welle::N,bylgja,гы
68,Wasser::N,vatn,ва
69,Stein::N,steinn,из
70,Boden::N,botn,му
71,Erde::N,jörð,му
72,Staub::N,ryk,бус
73,Staub::N,duft,бус
74,Rauch::N,reykur,тшын
75,Funke::N,neisti,бичир
76,Feuer::N,eldur,би
77,Licht::N,ljós,би
78,Schatten::N,skuggi,вуджӧр
79,Wetter::N,veður,погоддя
80,Nebel::N,þoka,туман
81,Wolke::N,ský,кымӧр
82,Regen::N,regn,зэр
83,Schnee::N,snjór,лым
84,Eis::N,ís,йы
85,Frost::N,frost,мороз
86,Kälte::N,kuldi,кӧдзыт
87,Hitze::N,hiti,ӧд
88,Raureif::N,hrím,кижа
89,Regenbogen::N,regnbogi,енӧшка
90,Donner::N,þruma,гым
91,Strömung::N,straumur,визывтӧм
92,Tropfen::N,dropi,тёп
93,Schaum::N,froða,быг
94,Schmutz::N,óhreinindi,нять
95,See::N,stöðuvatn,ты
96,Sumpf::N,fen,арай
97,Moor::N,mýri,нюр
98,Wiese::N,engi,видз
99,Wald::N,skógur,вӧр
100,Hügel::N,hæð,мыльк
101,Hügel::N,hóll,мыльк
102,Anhöhe::N,hæð,вывтас
103,Anhöhe::N,hæð,вылынін
104,Anhöhe::N,hóll,вывтас
105,Anhöhe::N,hóll,вылынін
106,Berg::N,fell,керӧс
107,Berg::N,fjall,керӧс
108,Gipfel::N,tindur,йыв
109,Höhle::N,hellir,нора
110,Abhang::N,hlíð,покат
111,Abhang::N,brekka,покат
112,Quelle::N,lind,больган
113,Quelle::N,uppspretta,больган
114,Bach::N,lækur,шор
115,Fluss::N,á,ю
116,Fluss::N,fljót,ю
117,Ufer::N,árbakki,берег
118,Ufer::N,sjávarbakki,берег
119,Küste::N,strönd,берег
120,Festland::N,meginland,му
121,Meer::N,haf,море
122,Meer::N,sjór,море
123,Bucht::N,vík,курья
124,Insel::N,eyja,
125,Blume::N,blóm,цветок
126,Gras::N,gras,турун
127,Wurzel::N,rót,вуж
128,Baum::N,tré,пу
129,Stamm::N,stofn,мыр
130,Stamm::N,stofn,кер
131,Rinde::N,börkur,кач
132,Ast::N,grein,ув
133,Zweig::N,angi,ув
134,Zweig::N,kvistur,ув
135,Blatt::N,blað,лист
136,Birke::N,birki,кыдз
137,Kiefer[Baum]::N,fura,пожум
138,Weide[Baum]::N,víðir,бадь
139,Tanne::N,greni,кӧз
140,Horn::N,horn,сюр
141,Feder::N,fjöður,гӧн
142,Fell::N,skinn,кучик
143,Flügel::N,vængur,борд
144,Klaue::N,kló,гыж
145,Kralle::N,kló,кабыр
146,Schwanz::N,rófa,бӧж
147,Schwanz::N,skott,бӧж
148,Ei::N,egg,кольть
149,Nest::N,hreiður,поз
150,Bau::N,greni,осьта
151,Bau::N,greni,нора
152,Bau::N,bæli,осьта
153,Bau::N,bæli,нора
154,Tier::N,dýr,зверь
155,Herde::N,hjörð,гурт
156,Kuh::N,kýr,мӧс
157,Bulle::N,boli,ӧшка
158,Pferd::N,hestur,вӧв
159,Schaf::N,kind,баля
160,Schwein::N,svín,порсь
161,Hund::N,hundur,пон
162,Katze::N,köttur,кань
163,Bär::N,björn,ош
164,Eichhörnchen::N,íkorni,ур
165,Elch::N,elgur,вӧр мӧс
166,Fuchs::N,refur,руч
167,Hase::N,héri,кӧч
168,Maus::N,mús,шыр
169,Wolf::N,úlfur,кӧин
170,Vogel::N,fugl,кай
171,Schwarm::N,sægur,стая
172,Schwarm::N,sægur,чукӧр
173,Huhn::N,hæna,курӧг
174,Hahn::N,hani,петух
175,Hahn::N,hani,ай курӧг
176,Gans::N,gæs,дзодзог
177,Adler::N,örn,куч
178,Adler::N,örn,кутш
179,Ente::N,önd,утка
180,Eule::N,uggla,тупка
181,Kranich::N,trana,тури
182,Krähe::N,kráka,рака
183,Kuckuck::N,gaukur,кӧк
184,Schwan::N,svanur,юсь
185,Fisch::N,fiskur,чери
186,Barsch::N,aborri,ёкыш
187,Hecht::N,gedda,сирпинь
188,Schlange[Tier]::N,naðra,змей
189,Wurm::N,ormur,номыр
190,Spinne::N,kónguló,черань
191,Ameise::N,maur,кӧдзывкар
192,Laus::N,lús,ляпа той
193,Mücke::N,mý,ном
194,Mücke::N,mýfluga,ном
195,Fliege::N,fluga,гут
196,Schmetterling::N,fiðrildi,бабыв
197,Beere::N,ber,ягӧд
198,Apfel::N,epli,яблоко
199,Pilz::N,sveppur,тшак
200,Zwiebel::N,laukur,грез
201,Saat::N,fræ,кӧдзыс
202,Saat::N,útsæði,кӧдзыс
203,Korn::N,korn,сю
204,Heu::N,hey,турун
205,Schale::N,hýði,кыш
206,Schale::N,hýði,киль
207,Grube::N,gryfja,яма
208,Falle::N,gildra,нальк
209,Falle::N,gildra,кляпча
210,Schlinge::N,snara,лӧч
211,Spur::N,spor,туй
212,Asche::N,aska,пӧим
213,Dreck::N,óþverri,нять
214,Eisen::N,járn,кӧрт
215,Gold::N,gull,зарни
216,Silber::N,silfur,язісь
217,Kohle::N,kol,шом
218,Kohle::N,kol,уголь
219,Glas::N,gler,стекло
220,Lehm::N,leir,сёй
221,Sand::N,sandur,лыа
222,Mensch::N,maður,морт
223,Mensch::N,manneskja,морт
224,Mann::N,maður,мужик
225,Mann::N,karlmaður,мужик
226,Frau::N,kona,инька
227,Kind::N,barn,кага
228,Kind::N,krakki,кага
229,Junge::N,drengur,зонка
230,Mädchen::N,stelpa,нывкаок
231,Familie::N,fjölskylda,семья
232,Großvater::N,afi,дед
233,Großmutter::N,amma,баб
234,Eltern::N,foreldrar,ай-мам
235,Vater::N,faðir,ай
236,Mutter::N,móðir,мам
237,Sohn::N,sonur,зон
238,Tochter::N,dóttir,ныв
239,Bruder::N,bróðir,вон
240,Schwester::N,systir,сой
241,Onkel::N,föðurbróðir,дядь
242,Tante::N,frænka,айӧлӧн сой
243,Tante::N,frænka,ичинь
244,Tante::N,móðursystir,айӧлӧн сой
245,Tante::N,móðursystir,ичинь
246,Ehemann::N,eiginmaður,жӧник
247,Ehefrau::N,eiginkona,инь
248,Freude::N,gleði,гаж
249,Freude::N,gleði,радъялӧм
250,Gelächter::N,hlátur,сералӧм
251,Glück::N,gæfa,мичлун
252,Kummer::N,sorg,шог
253,Wunsch::N,ósk,мӧдӧм
254,Wunsch::N,ósk,охотитӧм
255,Lust::N,fýsn,охота
256,Lust::N,löngun,охота
257,Geist::N,andi,лов
258,Gedanke::N,hugsun,дума
259,Gedächtnis::N,minni,тӧдвыв
260,Verstand::N,vit,вежӧр
261,Sinn::N,merking,ылӧс
262,Grund::N,ástæða,мог
263,Wahrheit::N,sannleikur,правда
264,Gespräch::N,samtal,сёрни
265,Märchen::N,ævintýri,сказка
266,Erzählung::N,saga,висьт
267,Nachricht::N,frétt,юӧр
268,Nachricht::N,frétt,висьталӧм
269,Neuigkeit::N,frétt,новость
270,Name::N,nafn,ним
271,Rätsel::N,gáta,загадка
272,Rede::N,ræða,сёрни
273,Sprache::N,mál,кыв
274,Sprache::N,tungumál,кыв
275,Stimme::N,rödd,голос
276,Wort::N,orð,кыв
277,Zeichen::N,tákn,пас
278,Zeichen::N,merki,пас
279,Ruf::N,kall,чуксӧм
280,Ruf::N,kall,чукӧстӧм
281,Lärm::N,hávaði,шум
282,Laut::N,hljóð,шы
283,Ton::N,tónn,гор
284,Lied::N,ljóð,сьыланкыв
285,Lied::N,söngur,сьыланкыв
286,Ruhe::N,ró,спокой
287,Ruhe::N,kyrrð,спокой
288,Leute::N,fólk,йӧз
289,Volk::N,þjóð,йӧз
290,Volk::N,þjóð,народ
291,Arbeit::N,vinna,удж
292,Gast::N,gestur,гӧсь
293,Geschenk::N,gjöf,гӧснеч
294,Geschenk::N,gjöf,подарок
295,Spiel::N,leikur,орсӧм
296,Gesellschaft::N,selskapur,компания
297,Hilfe::N,hjálp,отсӧт
298,Freund::N,vinur,модз
299,Freund::N,vinur,дружок
300,Kamerad::N,félagi,тӧдса
301,Angelegenheit::N,mál,дело
302,Angelegenheit::N,málefni,дело
303,Anzahl::N,tala,лыд
304,Anzahl::N,fjöldi,лыд
305,Art::N,tegund,пӧлӧс
306,Stück::N,biti,тор
307,Stück::N,stykki,тор
308,Teil::N,hluti,юкӧм
309,Teil::N,partur,юкӧм
310,Hälfte::N,helmingur,джын
311,Kreis::N,hringur,круг
312,Kreuz::N,kross,перна
313,Kreuz::N,krossmark,перна
314,Linie::N,lína,визь
315,Strich::N,strik,кырӧв
316,Abstand::N,millibil,колас
317,Entfernung::N,fjarlægð,ылына
