,Concept_ID,sl,fi
0,Auge::N,okó,silmä
1,Ohr::N,uhó,korva
2,Nase::N,nós,nenä
3,Mund::N,ústa,suu
4,Zahn::N,zób,hammas
5,Zunge::N,jêzik,kieli
6,Lippe::N,ústnica,huuli
7,Wange::N,líce,poski
8,Gesicht::N,oblíčje,naama
9,Gesicht::N,oblíčje,kasvot
10,Stirn::N,čêlo,otsa
11,Haar::N,lás,hius
12,Haar::N,lás,tukka
13,Schnurrbart::N,bŕki,viikset
14,Bart::N,bráda,parta
15,Kinn::N,bráda,leuka
16,Kiefer[Anatomie]::N,čeljúst,leukaluu
17,Kehle::N,gŕlo,kurkku
18,Hals::N,vrát,kaula
19,Genick::N,zatílnik,niska
20,Kopf::N,gláva,pää
21,Rücken::N,hrbèt,selkä
22,Bauch::N,trébuh,maha
23,Bauch::N,trébuh,vatsa
24,Nabel::N,pópek,napa
25,Busen::N,nédrja,rinta
26,Brust::N,pŕsi,rinta
27,Schulter::N,ráma,olka
28,Schulter::N,ráma,hartia
29,Schulter::N,ráma,olkapää
30,Schulter::N,plêče,olka
31,Schulter::N,plêče,hartia
32,Schulter::N,plêče,olkapää
33,Arm::N,rôka,käsivarsi
34,Ellenbogen::N,komólec,kyynärpää
35,Hand::N,rôka,käsi
36,Handfläche::N,dlán,kämmen
37,Finger::N,pŕst,sormi
38,Fingernagel::N,nóht na rôki,kynsi
39,Nagel[Anatomie]::N,nóht,kynsi
40,Zeh::N,pŕst na nôgi,varvas
41,Fuß::N,nôga,jalka
42,Ferse::N,pêta,kantapää
43,Knie::N,koléno,polvi
44,Oberschenkel::N,stêgno,reisi
45,Bein::N,nôga,jalka
46,Körper::N,teló,keho
47,Körper::N,teló,ruumis
48,Haut::N,kóža,iho
49,Blut::N,krí,veri
50,Ader::N,žíla,suoni
51,Sehne::N,kíta,jänne
52,Knochen::N,kóst,luu
53,Gehirn::N,možgáni,aivot
54,Herz::N,srcé,sydän
55,Magen::N,želódec,maha
56,Magen::N,želódec,vatsa
57,Leber::N,jétra,maksa
58,Atem::N,díh,henki
59,Atem::N,díh,hengitys
60,Hunger::N,glád,nälkä
61,Träne::N,sólza,kyynel
62,Geschmack::N,okús,maku
63,Geruch::N,vónj,haju
64,Schlaf::N,sèn,uni
65,Schlaf::N,spánec,uni
66,Traum::N,sánje,uni
67,Himmel::N,nebó,taivas
68,Sonne::N,sónce,aurinko
69,Mond::N,lúna,kuu
70,Mond::N,mésec,kuu
71,Stern::N,zvézda,tähti
72,Luft::N,zràk,ilma
73,Wind::N,véter,tuuli
74,Welle::N,vál,aalto
75,Wasser::N,vôda,vesi
76,Stein::N,kámen,kivi
77,Boden::N,tlà,maa
78,Boden::N,tlà,maaperä
79,Erde::N,pŕst,maa
80,Erde::N,zêmlja,maa
81,Staub::N,práh,pöly
82,Rauch::N,dìm,savu
83,Funke::N,ískra,kipinä
84,Feuer::N,ôgenj,tuli
85,Licht::N,lúč,valo
86,Schatten::N,sénca,varjo
87,Wetter::N,vrême,sää
88,Nebel::N,meglà,sumu
89,Wolke::N,oblák,pilvi
90,Regen::N,dèž,sade
91,Schnee::N,snég,lumi
92,Eis::N,léd,jää
93,Frost::N,zmrzál,halla
94,Frost::N,zmrzál,pakkanen
95,Kälte::N,mràz,vilu
96,Kälte::N,mràz,kylmyys
97,Hitze::N,pripéka,helle
98,Hitze::N,pripéka,kuumuus
99,Raureif::N,ívje,huurre
100,Raureif::N,slána,huurre
101,Regenbogen::N,mávrica,sateenkaari
102,Donner::N,gròm,jyrinä
103,Strömung::N,strúja,virtaus
104,Tropfen::N,káplja,tippa
105,Tropfen::N,káplja,pisara
106,Schaum::N,péna,vaahto
107,Schmutz::N,nesnága,loka
108,See::N,jézero,järvi
109,Sumpf::N,močvírje,suo
110,Moor::N,bárje,räme
111,Wiese::N,trávnik,niitty
112,Wald::N,lés,metsä
113,Wald::N,gòzd,metsä
114,Hügel::N,brég,mäki
115,Hügel::N,brég,kumpu
116,Hügel::N,brég,kukkula
117,Hügel::N,goríca,mäki
118,Hügel::N,goríca,kumpu
119,Hügel::N,goríca,kukkula
120,Anhöhe::N,gríč,mäki
121,Anhöhe::N,gríč,kumpare
122,Anhöhe::N,višína,mäki
123,Anhöhe::N,višína,kumpare
124,Berg::N,gôra,mäki
125,Berg::N,gôra,vuori
126,Berg::N,planína,mäki
127,Berg::N,planína,vuori
128,Gipfel::N,vŕh,laki
129,Gipfel::N,vŕh,huippu
130,Höhle::N,jáma,luola
131,Höhle::N,votlína,luola
132,Abhang::N,pobóčje,rinne
133,Quelle::N,izvír,lähde
134,Bach::N,pôtok,puro
135,Fluss::N,réka,joki
136,Ufer::N,brég,ranta
137,Küste::N,obála,rannikko
138,Küste::N,obréžje,rannikko
139,Festland::N,celína,manner
140,Festland::N,kopnína,manner
141,Meer::N,mórje,meri
142,Bucht::N,zalív,lahti
143,Insel::N,ôtok,saari
144,Blume::N,cvetlíca,kukka
145,Gras::N,tráva,ruoho
146,Wurzel::N,korenína,juuri
147,Baum::N,drevó,puu
148,Stamm::N,dêblo,runko
149,Rinde::N,lúbje,kuori
