,Concept_ID,mrj,kl
0,Auge::N,сӹнзӓ,isi
1,Ohr::N,пӹлӹш,siut
2,Nase::N,нер,
3,Mund::N,ышма,paaq
4,Mund::N,ышма,qaneq
5,Zahn::N,пӱ,kigut
6,Zunge::N,йӹлмӹ,oqaq
7,Lippe::N,тӹрвӹ,qarloq
8,Wange::N,шӹргӹ,ersaq
9,Gesicht::N,лицӓ,kiinaq
10,Stirn::N,лепкӓ,qaaq
11,Haar::N,ӱп,meqqoq
12,Schnurrbart::N,öрш,
13,Bart::N,пандаш,umik
14,Kinn::N,онгылаш,talloq
15,Kiefer[Anatomie]::N,пӱ арата,alleroq
16,Kehle::N,логер,malaq
17,Hals::N,шӱ,qungaseq
18,Genick::N,ланга,pukusuk
19,Kopf::N,вуй,niaqoq
20,Rücken::N,туп,qimerlut
21,Bauch::N,мӹшкӹр,naaq
22,Nabel::N,кӹлӹмдӹ,qalaseq
23,Busen::N,цӹзӹ,iviangeq
24,Brust::N,мел,iviangeq
25,Schulter::N,ӹнгӹжӓ,ersik
26,Schulter::N,ӹнгӹжӓ,assaqqoq
27,Arm::N,кид,taleq
28,Ellenbogen::N,кӹнервуй,ikusik
29,Hand::N,лапа,assak
30,Handfläche::N,кид лапа,itumak
31,Finger::N,парня,inuak
32,Fingernagel::N,кӹч,kikiak
33,Nagel[Anatomie]::N,кӹч,kukik
34,Zeh::N,парня,isigak
35,Fuß::N,ял лапа,
36,Ferse::N,ялгавал,kimmik
37,Ferse::N,ял кавал,kimmik
38,Knie::N,пылвуй,seeqqoq
39,Oberschenkel::N,ӓрдӹ,uppat
40,Oberschenkel::N,ӓрдӹ,quttoraq
41,Bein::N,ял,isigak
42,Körper::N,монгыр,timi
43,Haut::N,кавашты,mattak
44,Blut::N,вӹр,aak
45,Ader::N,вӹршӓр,taqaq
46,Sehne::N,кукшышӱн,ujalu
47,Sehne::N,кукшышӱн,ujaloq
48,Knochen::N,лу,saanikut
49,Gehirn::N,вим,qarasaq
50,Herz::N,шӱм,uummat
51,Magen::N,шӱм,aqajaroq
52,Leber::N,мокш,tinguk
53,Atem::N,шӱлӹш,anerneq
54,Hunger::N,шужымаш,kaanneq
55,Träne::N,сӹнзӓвӹд,qia
56,Träne::N,сӹнзӓвӹд,qiak
57,Geschmack::N,тот,qilanaartuut
58,Geruch::N,пыш,tipi
59,Geruch::N,пыш,tipik
60,Schlaf::N,ом,
61,Traum::N,ом,sinnattoq
62,Traum::N,ом,sinnattugaq
63,Himmel::N,пӹлгом,qilak
64,Sonne::N,кечӹ,seqineq
65,Mond::N,тӹлзӹ,qaammat
66,Stern::N,шӹдӹр,ulloriaq
67,Luft::N,юж,silaannaq
68,Luft::N,воздух,silaannaq
69,Wind::N,мардеж,anori
70,Wind::N,мардеж,anorsarik
71,Welle::N,ко,aalappaa
72,Welle::N,коэ,aalappaa
73,Wasser::N,вӹд,imeq
74,Stein::N,кӱ,ujarak
75,Boden::N,рок,nateq
76,Erde::N,свет,issoq
77,Staub::N,пырак,pujualanerit
78,Staub::N,пырак,pujoralanerit
79,Rauch::N,шӹкш,iseq
80,Rauch::N,шӹкш,pujoq
81,Funke::N,ип,illoorneq
82,Funke::N,тылип,illoorneq
83,Feuer::N,тыл,inneq
84,Licht::N,соты,qaamaneq
85,Licht::N,валгыды,qaamaneq
86,Schatten::N,ӹмӹл,tarraq
87,Wetter::N,игечӹ,sila
88,Nebel::N,тӹтӹрӓ,pujoq
89,Wolke::N,пӹл,nuia
90,Regen::N,юр,sialuk
91,Schnee::N,лым,aput
92,Eis::N,и,siku
93,Frost::N,ӱштӹ,issi
94,Frost::N,ӱштӹ,issik
95,Kälte::N,ӱштӹ,issi
96,Hitze::N,шокшы,kianneq
97,Hitze::N,шокшы,kiassuseq
98,Raureif::N,пöрш,kaneq
99,Regenbogen::N,шанавӹл,neriusaaq
100,Donner::N,хӹдӹртӹш,kalleq
101,Strömung::N,йогы,
102,Tropfen::N,капльы,kuseriarneq
103,Tropfen::N,капльык,kuseriarneq
104,Schaum::N,шонг,qapuk
105,Schmutz::N,лявӹрӓ,minguk
106,See::N,йӓр,taseq
107,Sumpf::N,лӱкӹ,maqulluk
108,Moor::N,куп,
109,Wiese::N,алык,masarsuk
110,Wald::N,шӹргӹ,
111,Hügel::N,пӱгӹрикӓ,qattuneq
112,Hügel::N,пӱгӹрикӓ,majuariaq
113,Hügel::N,пӱгӹрикӓ,majorajaaq
114,Hügel::N,пӱгӹрикӓ,qaqqannguaq
115,Anhöhe::N,кӱкшикӓ,
116,Berg::N,кырык,qaqqaq
117,Gipfel::N,неркӓ,
118,Höhle::N,ы́раж,qaarusuk
119,Abhang::N,полом,ippik
120,Abhang::N,полом,sivinganeq
121,Abhang::N,полом,sivingajaaq
122,Abhang::N,полом,kussangajaaq
123,Quelle::N,вӹдсӹнзӓ,
124,Bach::N,ӓнгӹр,kuunnguaq
125,Fluss::N,вӹд,kuuk
126,Ufer::N,сир,sissap sinaa
127,Küste::N,сир,sineriak
128,Festland::N,мӱлӓндӹ,
129,Meer::N,тангыж,imaq
130,Bucht::N,вӹдъял,ikeq
131,Bucht::N,вӹдъял,kangerluk
132,Bucht::N,вӹдъял,kangerliumaneq
133,Insel::N,острок,qeqertaq
134,Blume::N,пеледӹш,naasoq
135,Gras::N,шуды,ivigaq
136,Wurzel::N,важ,niulutaq
137,Baum::N,пушӓнгӹ,orpik
138,Stamm::N,пушӓнгӹ тӹнг,kanaartaq
139,Rinde::N,каргыж,ameraq
140,Ast::N,укш,avalequt
141,Zweig::N,укш,avalequt
142,Blatt::N,листӹ,pilutaq
143,Birke::N,куги,patitsit
144,Kiefer[Baum]::N,йӓктӹ,
145,Weide[Baum]::N,уа,palleq
146,Tanne::N,кож,orsuerneq
147,Horn::N,шур,nassuk
148,Feder::N,пын,suluk
149,Fell::N,кавашты,ameq
150,Flügel::N,шылдыр,suluk
151,Flügel::N,шылдыр,isaroq
152,Klaue::N,кӹч,kukik
153,Kralle::N,лапа,kukik
154,Schwanz::N,пач,pamioq
155,Schwanz::N,пач,paperuusaq
156,Ei::N,мыны,mannik
157,Nest::N,пӹжӓш,ullut
158,Bau::N,ыраж,ini
159,Tier::N,во́льык,uumasoq
160,Herde::N,кӹтö,unguukkat
161,Kuh::N,ышкал,ussik
162,Bulle::N,ӱшкӱж,angukulak
163,Bulle::N,ӱшкӱж,anguteralak
164,Bulle::N,ӱшкӱж,angutikulooq
165,Pferd::N,имни,
166,Schaf::N,шарык,sava
167,Schwein::N,сасна,puuluki
168,Hund::N,пи,qimmeq
169,Katze::N,коти,puisaaq
170,Bär::N,мöскӓ,allaq
171,Eichhörnchen::N,ур,sissinnguaq
172,Elch::N,шарды,
173,Fuchs::N,рӹвӹж,terianniaq
174,Hase::N,морен,ukaleq
175,Maus::N,каля,teriannguaq
176,Wolf::N,пирӹ,amaroq
177,Vogel::N,кек,timmiaq
178,Schwarm::N,цуца,
179,Huhn::N,цӹвӹ,kukkukooq
180,Huhn::N,цӹвӹ,marloraaqaaq
181,Hahn::N,ӓптӓн,kiasiusaq
182,Gans::N,комбы,nerleq
183,Adler::N,кучкыж,nattoralik
184,Ente::N,лыды,
185,Eule::N,тымана,uppik
186,Kranich::N,тырня,qorlorfik
187,Kranich::N,тыртня,qorlorfik
188,Krähe::N,лудыгарак,tuluatsiaq
189,Kuckuck::N,куку,kukkooq
190,Schwan::N,йӱксӹ,qussuk
191,Fisch::N,кол,aalisagaq
192,Barsch::N,алангы,
193,Hecht::N,нуж,
194,Hecht::N,нужгол,
195,Schlange[Tier]::N,кӹшкы,pulateriarsuk
196,Schlange[Tier]::N,кӹшкы,pulateriaarsuk
197,Wurm::N,шукш,
198,Spinne::N,ӓнгӹремшӹ,aasiaq
199,Spinne::N,ӓнгӹремшӹ,nissavaarsuk
200,Ameise::N,кыткы,uniaaluk
201,Laus::N,ти,kumak
202,Mücke::N,кужнер,ippernaq
203,Mücke::N,кужынер,ippernaq
204,Fliege::N,шӹнгӓ,ippernaq
205,Schmetterling::N,лӹпӹ,paluaq
206,Schmetterling::N,лӹпӹ,pakkaluaq
207,Schmetterling::N,лӹпӹ,utsuppaluaq
208,Schmetterling::N,лӹпӹ,taqaleqisaaq
209,Beere::N,мöр,paarmaq
210,Beere::N,мöр,paarngaq
211,Apfel::N,олма,iipili
212,Pilz::N,понгы,anngiusaq
213,Zwiebel::N,охыра,uanitsoq
214,Saat::N,нӱшмӹ,naatsiiassaq
215,Saat::N,нӱшмӱ,naatsiiassaq
216,Korn::N,пӹрцӹ,maannineq
217,Heu::N,шуды,
218,Schale::N,аваха,niutsivik
219,Schale::N,аваха,ilulissaq qaartussaq
220,Schale::N,карлангы,niutsivik
221,Schale::N,карлангы,ilulissaq qaartussaq
222,Grube::N,йӓм,itersaq
223,Falle::N,лӱдӹ,pualavoq
224,Falle::N,лӱдӹш,pualavoq
225,Schlinge::N,онгы,orseq
226,Schlinge::N,онгы,norloq
227,Spur::N,кишӓ,tumaa
228,Asche::N,ломых,arsat
229,Asche::N,ломпыж,arsat
230,Dreck::N,лявӹрӓ,minguk
231,Eisen::N,кӹртни,savimineq
232,Eisen::N,кӹртни,saffiugassaq
233,Gold::N,шöртни,kuulti
234,Gold::N,шöртньӹ,kuulti
235,Silber::N,ши,siilviuvoq
236,Kohle::N,шӱ,aamarsuit aamaruutissat
237,Glas::N,охоница,igalaaq
238,Glas::N,охоница,imertarfik
239,Glas::N,охоница,igalaamineq
240,Lehm::N,шун,marraq
241,Sand::N,ошма,sioqqat
242,Mensch::N,эдем,inuk
243,Mensch::N,эдем,silamiu
244,Mann::N,пӱэргӹ,angut
245,Frau::N,ӹдӹрӓмӓш,arnaq
246,Kind::N,ӓзӓ,meeraq
247,Kind::N,шачшы,meeraq
248,Junge::N,рвезӹ,nukappiaraq
249,Junge::N,ӹрвезӹ,nukappiaraq
250,Mädchen::N,ӹдӹрӓш,arnannguaq
251,Familie::N,йиш,ilaqutakka
252,Familie::N,йиш,ilaqutariit
253,Familie::N,семня,ilaqutakka
254,Familie::N,семня,ilaqutariit
