,Concept_ID,zh,mn
0,Auge::N,眼睛,нүд
1,Ohr::N,耳朵,чих
2,Nase::N,鼻子,хамар
3,Mund::N,嘴,ам
4,Zahn::N,牙齿,шүд
5,Zunge::N,舌头,хэл
6,Lippe::N,嘴唇,уруул
7,Wange::N,面颊,хацар
8,Gesicht::N,脸,царай
9,Gesicht::N,脸,нүүр
10,Stirn::N,额,дух
11,Haar::N,头发,үс
12,Schnurrbart::N,髭须,дээд сахал
13,Schnurrbart::N,髭须,живэр сахал
14,Bart::N,胡子,сахал
15,Kinn::N,下巴,эрүү
16,Kiefer[Anatomie]::N,颌,эрүү
17,Kehle::N,嗓子,хоолой
18,Hals::N,颈,хүзүү
19,Genick::N,后颈,шил
20,Genick::N,后颈,хүзүү
21,Kopf::N,头,толгой
22,Rücken::N,背,ар
23,Rücken::N,背,нуруу
24,Bauch::N,肚子,хэвлий
25,Bauch::N,肚子,гэдэс
26,Nabel::N,肚脐,хүйс
27,Busen::N,胸脯,хөх
28,Brust::N,胸,цээж
29,Schulter::N,肩膀,мөр
30,Schulter::N,肩膀,бугалга
31,Arm::N,臂膀,гар
32,Ellenbogen::N,肘,тохой
33,Hand::N,手,гар
34,Hand::N,手,алга
35,Handfläche::N,手掌,алга
36,Finger::N,手指,хуруу
37,Fingernagel::N,指甲,хурууны хумс
38,Nagel[Anatomie]::N,指甲,хумс
39,Zeh::N,脚趾,хуруу
40,Fuß::N,脚,хөл
41,Ferse::N,后跟,өсгий
42,Knie::N,膝,өвдөг
43,Oberschenkel::N,大腿,гуя
44,Bein::N,腿,хөл
45,Körper::N,身体,бие
46,Haut::N,皮肤,арьс
47,Blut::N,血,цус
48,Ader::N,血管,судас
49,Sehne::N,腱,бүлх
50,Sehne::N,腱,шандас
51,Knochen::N,骨,яс
52,Gehirn::N,脑,тархи
53,Herz::N,心,зүрх
54,Magen::N,胃,ходоод
55,Leber::N,肝,элэг
56,Atem::N,呼吸,амьсгаа
57,Hunger::N,饿,өлсгөлөн
58,Träne::N,眼泪,нулимс
59,Geschmack::N,味道,амт
60,Geruch::N,气味,үнэр
61,Schlaf::N,睡眠,нойр
62,Traum::N,梦,зүүд
63,Himmel::N,天空,тэнгэр
64,Himmel::N,天空,огторгуй
65,Sonne::N,太阳,нар
66,Mond::N,月亮,сар
67,Stern::N,星,од
68,Luft::N,空气,агаар
69,Wind::N,风,салхи
70,Welle::N,波,долгио
71,Welle::N,波,давалгаа
72,Wasser::N,水,ус
73,Stein::N,石头,чулуу
74,Boden::N,地面,хөрс
75,Erde::N,地,газар
76,Erde::N,地,шороо
77,Staub::N,灰尘,тоос
78,Rauch::N,烟,утаа
79,Funke::N,火花,оч
80,Feuer::N,火,гал
81,Licht::N,光,гэрэл
82,Licht::N,光,гэгээ
83,Schatten::N,影子,сүүдэр
84,Wetter::N,天气,тэнгэр
85,Wetter::N,天气,цаг уур
86,Nebel::N,雾,будан
87,Wolke::N,云,үүл
88,Regen::N,雨,бороо
89,Schnee::N,雪,цас
90,Eis::N,冰,мөс
91,Frost::N,霜冻,хүйт
92,Kälte::N,寒冷,хүйт
93,Hitze::N,炎热,халуун
94,Raureif::N,霜,цан
95,Raureif::N,霜,хяруу
96,Regenbogen::N,虹,солонго
97,Donner::N,雷,тэнгэрийн дуу
98,Strömung::N,水流,урсгал
99,Tropfen::N,滴,дусал
100,Schaum::N,泡沫,хөөс
101,Schmutz::N,赃物,хир
102,Schmutz::N,赃物,шавхай
103,See::N,湖,нуур
104,Sumpf::N,沼泽,намаг
105,Sumpf::N,沼泽,балчиг
106,Moor::N,沼泽,хүлрийн намаг
107,Wiese::N,草地,нуга
108,Wald::N,森林,ой
109,Hügel::N,丘陵,болдог
110,Anhöhe::N,山丘,гүвээ
111,Berg::N,山,уул
112,Gipfel::N,峰,орой
113,Gipfel::N,峰,оргил
114,Höhle::N,洞穴,агуй
115,Abhang::N,斜坡,хүр
116,Quelle::N,泉,булаг
117,Bach::N,溪,горхи
118,Fluss::N,河流,гол
119,Fluss::N,河流,мөрөн
120,Ufer::N,岸,эрэг
121,Küste::N,海岸,эрэг
122,Festland::N,大陆,хуурай газар
123,Meer::N,海,далай
124,Meer::N,海,тэнгис
125,Bucht::N,海湾,булан
126,Bucht::N,海湾,далайн тохой
127,Insel::N,岛,арал
128,Blume::N,花,цэцэг
129,Gras::N,草,өвс
130,Gras::N,草,ногоо
131,Wurzel::N,根,үндэс
132,Baum::N,树,мод
133,Stamm::N,树干,иш
134,Stamm::N,树干,гуалин
135,Rinde::N,树皮,холтос
136,Ast::N,树枝,гишүү
137,Zweig::N,树枝,салаа
138,Blatt::N,叶子,навч
139,Birke::N,桦木,хус
140,Kiefer[Baum]::N,松树,нарс
141,Weide[Baum]::N,柳树,уд
142,Weide[Baum]::N,柳树,бургас
143,Tanne::N,冷杉,гачуур
144,Horn::N,角,эвэр
145,Feder::N,羽毛,өд
146,Fell::N,皮毛,арьс
147,Flügel::N,翅膀,жигүүр
148,Flügel::N,翅膀,далавч
149,Klaue::N,爪子,савар
150,Klaue::N,爪子,хумс
151,Kralle::N,爪子,савар
152,Schwanz::N,尾巴,сүүл
153,Ei::N,蛋,өндөг
154,Nest::N,巢,үүр
155,Bau::N,穴,нүх
156,Bau::N,穴,элүү
157,Tier::N,动物,амьтан
158,Tier::N,动物,адгуус
159,Herde::N,群,сүрэг
160,Kuh::N,母牛,үнээ
161,Bulle::N,公牛,бух
162,Pferd::N,马,морь
163,Pferd::N,马,адуу
164,Schaf::N,羊,хонь
165,Schwein::N,猪,гахай
166,Hund::N,狗,нохой
167,Katze::N,猫,муур
168,Katze::N,猫,мигуй
169,Bär::N,熊,баавгай
170,Eichhörnchen::N,松鼠,хэрэм
171,Elch::N,麋鹿,хандгай
172,Fuchs::N,狐狸,үнэг
173,Hase::N,兔子,туулай
174,Maus::N,老鼠,хулгана
175,Wolf::N,狼,чоно
176,Vogel::N,鸟,шувуу
177,Schwarm::N,群,сүрэг
178,Huhn::N,鸡,тахиа
179,Hahn::N,公鸡,эр тахиа
180,Gans::N,鹅,галуу
181,Adler::N,鹰,бүргэд
182,Ente::N,鸭,нугас
183,Eule::N,猫头鹰,ууль
184,Kranich::N,鹤,тогоруу
185,Krähe::N,乌鸦,хэрээ
