,Concept_ID,mrj,no
102,Sumpf::N,лӱкӹ,myrlende
103,Moor::N,куп,myr
104,Moor::N,куп,myrhei
105,Wiese::N,алык,eng
106,Wald::N,шӹргӹ,skog
107,Hügel::N,пӱгӹрикӓ,haug
108,Hügel::N,пӱгӹрикӓ,bakke
109,Anhöhe::N,кӱкшикӓ,haug
110,Anhöhe::N,кӱкшикӓ,bakke
111,Berg::N,кырык,berg
112,Berg::N,кырык,fjell
113,Gipfel::N,неркӓ,topp
114,Höhle::N,ы́раж,hule
115,Abhang::N,полом,li
116,Abhang::N,полом,skråning
117,Quelle::N,вӹдсӹнзӓ,kilde
118,Bach::N,ӓнгӹр,bekk
119,Fluss::N,вӹд,elv
120,Ufer::N,сир,bredd
121,Küste::N,сир,kyst
122,Festland::N,мӱлӓндӹ,fastland
123,Meer::N,тангыж,hav
124,Bucht::N,вӹдъял,bukt
125,Insel::N,острок,øy
126,Blume::N,пеледӹш,blomst
127,Gras::N,шуды,gress
128,Wurzel::N,важ,rot
129,Baum::N,пушӓнгӹ,tre
130,Stamm::N,пушӓнгӹ тӹнг,stamme
131,Rinde::N,каргыж,bark
132,Ast::N,укш,gren
133,Zweig::N,укш,kvist
134,Blatt::N,листӹ,blad
135,Birke::N,куги,bjørk
136,Kiefer[Baum]::N,йӓктӹ,furu
137,Weide[Baum]::N,уа,selje
138,Weide[Baum]::N,уа,piletre
139,Tanne::N,кож,gran
140,Horn::N,шур,horn
141,Feder::N,пын,fjær
142,Fell::N,кавашты,skinn
143,Flügel::N,шылдыр,vinge
144,Klaue::N,кӹч,klauv
145,Kralle::N,лапа,klo
146,Schwanz::N,пач,hale
147,Ei::N,мыны,egg
148,Nest::N,пӹжӓш,rede
149,Bau::N,ыраж,hi
150,Tier::N,во́льык,dyr
151,Herde::N,кӹтö,flokk
152,Kuh::N,ышкал,ku
153,Bulle::N,ӱшкӱж,tyr
154,Pferd::N,имни,hest
155,Schaf::N,шарык,får
156,Schwein::N,сасна,gris
157,Hund::N,пи,hund
158,Katze::N,коти,katt
159,Bär::N,мöскӓ,bjørn
160,Eichhörnchen::N,ур,ekorn
161,Elch::N,шарды,elg
162,Fuchs::N,рӹвӹж,rev
163,Hase::N,морен,hare
164,Maus::N,каля,mus
165,Wolf::N,пирӹ,ulv
166,Wolf::N,пирӹ,varg
167,Vogel::N,кек,fugl
168,Schwarm::N,цуца,sverm
169,Huhn::N,цӹвӹ,høne
170,Hahn::N,ӓптӓн,hane
171,Gans::N,комбы,gås
172,Adler::N,кучкыж,ørn
173,Ente::N,лыды,and
174,Eule::N,тымана,ugle
175,Kranich::N,тырня,trane
176,Kranich::N,тыртня,trane
177,Krähe::N,лудыгарак,kråke
178,Kuckuck::N,куку,gjøk
179,Schwan::N,йӱксӹ,svane
180,Fisch::N,кол,fisk
181,Barsch::N,алангы,abbor
182,Hecht::N,нуж,gjedde
183,Hecht::N,нужгол,gjedde
184,Schlange[Tier]::N,кӹшкы,orm
185,Schlange[Tier]::N,кӹшкы,slange
186,Wurm::N,шукш,orm
187,Wurm::N,шукш,mark
188,Spinne::N,ӓнгӹремшӹ,edderkopp
189,Ameise::N,кыткы,maur
190,Laus::N,ти,lus
191,Mücke::N,кужнер,mygg
192,Mücke::N,кужынер,mygg
193,Fliege::N,шӹнгӓ,flue
194,Schmetterling::N,лӹпӹ,sommerfugl
195,Beere::N,мöр,bær
196,Apfel::N,олма,eple
197,Pilz::N,понгы,sopp
198,Zwiebel::N,охыра,løk
199,Saat::N,нӱшмӹ,sæd
200,Saat::N,нӱшмӱ,sæd
201,Korn::N,пӹрцӹ,korn
202,Heu::N,шуды,høy
203,Schale::N,аваха,skall
204,Schale::N,карлангы,skall
205,Grube::N,йӓм,grop
206,Falle::N,лӱдӹ,felle
207,Falle::N,лӱдӹш,felle
208,Schlinge::N,онгы,snare
209,Spur::N,кишӓ,spor
210,Asche::N,ломых,aske
211,Asche::N,ломпыж,aske
212,Dreck::N,лявӹрӓ,møkk
213,Dreck::N,лявӹрӓ,skitt
214,Eisen::N,кӹртни,jern
215,Gold::N,шöртни,gull
216,Gold::N,шöртньӹ,gull
217,Silber::N,ши,sølv
218,Kohle::N,шӱ,kol
219,Kohle::N,шӱ,kull
220,Glas::N,охоница,glass
221,Lehm::N,шун,leire
222,Sand::N,ошма,sand
223,Mensch::N,эдем,menneske
224,Mann::N,пӱэргӹ,mann
225,Frau::N,ӹдӹрӓмӓш,kvinne
226,Kind::N,ӓзӓ,barn
227,Kind::N,шачшы,barn
228,Junge::N,рвезӹ,gutt
229,Junge::N,ӹрвезӹ,gutt
230,Mädchen::N,ӹдӹрӓш,pike
231,Mädchen::N,ӹдӹрӓш,jente
232,Familie::N,йиш,familie
233,Familie::N,семня,familie
234,Großvater::N,тьоти,bestefar
235,Großmutter::N,папа,bestemor
236,Eltern::N,ӓтя-ӓвӓ,foreldre
237,Vater::N,ӓтя,far
238,Mutter::N,ӓвӓ,mor
239,Sohn::N,эргӹ,sønn
240,Tochter::N,ӹдӹр,datter
241,Bruder::N,ӹза,bror
242,Schwester::N,ӓкӓ,søster
243,Onkel::N,кугуза,onkel
244,Tante::N,куака,tante
245,Ehemann::N,мары,ektemann
246,Ehefrau::N,вӓтӹ,hustru
247,Freude::N,ӹвӹртӹмӓш,glede
248,Gelächter::N,ваштылмаш,latter
249,Glück::N,пиӓл,lykke
250,Kummer::N,ясы,sorg
251,Wunsch::N,охата,ønske
252,Wunsch::N,шанымаш,ønske
253,Lust::N,шӓр,lyst
254,Lust::N,охата,lyst
255,Lust::N,шанымаш,lyst
256,Geist::N,тух,ånd
257,Gedanke::N,шанымаш,tanke
258,Gedächtnis::N,ӓш,minne
259,Gedächtnis::N,ӓш,hukommelse
260,Verstand::N,ыш,forstand
261,Sinn::N,кын,mening
262,Sinn::N,кын,betydning
263,Grund::N,вир,grunn
264,Wahrheit::N,тöр,sannhet
265,Gespräch::N,хытырымаш,samtale
266,Märchen::N,ямак,eventyr
267,Erzählung::N,шайыштмаш,fortelling
268,Nachricht::N,увертӓрӹмӓш,melding
269,Neuigkeit::N,увер,nyhet
270,Name::N,лӹм,navn
271,Rätsel::N,тышты,gåte
272,Rede::N,шая,tale
273,Rede::N,шамак,tale
274,Sprache::N,йӹлмӹ,språk
275,Stimme::N,юк,stemme
276,Wort::N,шамак,ord
277,Zeichen::N,палӹ,tegn
278,Ruf::N,сӹгӹрӹмӓш,rop
279,Lärm::N,юкланымащ,bråk
280,Laut::N,юк,lyd
281,Ton::N,юк,tone
282,Lied::N,мыры,vise
283,Ruhe::N,тыр,ro
284,Leute::N,эдемвлӓ,folk
285,Volk::N,халык,folk
286,Arbeit::N,пӓшӓ,arbeid
287,Gast::N,хына,gjest
288,Geschenk::N,подарка,gave
289,Spiel::N,мадыш,lek
290,Spiel::N,мадыш,spill
291,Gesellschaft::N,йӓл,selskap
292,Gesellschaft::N,йӓлвлӓ,selskap
293,Hilfe::N,палшык,hjelp
294,Freund::N,тӓнг,venn
295,Kamerad::N,тос,kamerat
296,Angelegenheit::N,дела,sak
297,Angelegenheit::N,дела,anliggende
298,Angelegenheit::N,йела,sak
299,Angelegenheit::N,йела,anliggende
300,Angelegenheit::N,йыла,sak
301,Angelegenheit::N,йыла,anliggende
302,Angelegenheit::N,пӓшӓ,sak
303,Angelegenheit::N,пӓшӓ,anliggende
304,Anzahl::N,шот,antall
305,Art::N,цӹре,art
306,Art::N,цӹре,slag
307,Stück::N,лаштык,stykke
308,Teil::N,пай,del
309,Teil::N,часть,del
310,Hälfte::N,пел,halvdel
311,Kreis::N,тӹртӹш,ring
312,Kreis::N,тӹртӹш,sirkel
313,Kreuz::N,крестӹ,kors
314,Kreuz::N,крестӹ,kryss
315,Abstand::N,ло,avstand
316,Entfernung::N,ло,avstand
317,Gegend::N,вӓр,strøk
318,Platz::N,вӓр,plass
319,Ort::N,вӓр,sted
320,Seite::N,öрдӹж,side
321,Mitte::N,ло,midte
322,Gegenstand::N,хӓдӹр,gjenstand
323,Sache::N,хӓдӹр,sak
324,Rand::N,шöр,rand
325,Kante::N,шöр,kant
326,Ecke::N,лык,hjørne
327,Spitze::N,вуй,spiss
328,Ende::N,вуй,ende
329,Ende::N,мычаш,ende
330,Loch::N,ыраж,hull
331,Winkel::N,лык,vinkel
332,Muster::N,тӹрлец,mønster
333,Größe::N,кӱкшӹц,størrelse
334,Länge::N,кыт,lengde
335,Höhe::N,кӱкшӹц,høyde
336,Gewicht::N,нелӹц,vekt
337,Menge::N,шот,mengde
338,Haufen::N,ара,haug
339,Haufen::N,ара,bunke
340,Reihe::N,ряд,rekke
341,Boot::N,пыш,båt
342,Ruder::N,вешлӓ,åre
343,Schlitten::N,тир,slede
344,Schlitten::N,тир,kjelke
345,Ski::N,ечӹ,ski
346,Lagerfeuer::N,тыл,leirbål
347,Last::N,нелӹц,bør
348,Last::N,нелӹц,last
349,Gang::N,ход,gang
350,Schritt::N,ашкыл,steg
351,Schritt::N,ашкыл,skritt
352,Norden::N,йыдпелвел,nord
353,Süden::N,кечӹвӓлвел,sør
354,Westen::N,кечӹ шӹцмӹ,vest
355,Osten::N,ирвел,øst
356,Osten::N,кечӹ лӱлтмӹ,øst
357,Holz::N,пушӓнгӹ,tre
358,Brett::N,ханга,fjøl
359,Brett::N,ханга,brett
360,Platte::N,плитӓ,plate
361,Stütze::N,цӓрӓк,støtte
362,Stange::N,равы,stang
363,Stange::N,намаш,stang
364,Stock::N,панды,pinne
365,Stab::N,равы,stav
366,Stab::N,равы,kjepp
367,Rohr::N,пыч,rør
368,Haus::N,пöрт,hus
369,Heim::N,пöрт,hjem
370,Ofen::N,камака,ovn
371,Fußboden::N,седӹрӓ,gulv
372,Tisch::N,стöл,bord
373,Stuhl::N,пöкен,stol
374,Wiege::N,шипкӓ,vogge
375,Bett::N,койка,seng
376,Bett::N,кравать,seng
377,Regal::N,полицӓ,reol
378,Regal::N,полицӓ,hylle
379,Kiste::N,шӱ́ндӹк,kasse
380,Fenster::N,окня,vindu
381,Tür::N,амаса,dør
382,Tor::N,хапка,port
383,Zaun::N,забор,gjerde
384,Dach::N,левӓш,tak
385,Leiter::N,ташкалтыш,stige
386,Besen::N,сало,kost
387,Besen::N,салко,kost
388,Spaten::N,кольмы,spade
389,Schaufel::N,лоток,skuffe
390,Gabel::N,ви́лка,gaffel
391,Löffel::N,савала,skje
392,Messer::N,кӹзӹ,kniv
393,Nagel::N,пыда,spiker
394,Netz::N,вӓпш,nett
395,Haken::N,крӱк,krok
396,Haken::N,кагак,krok
397,Griff::N,кычем,tak
398,Griff::N,кычем,håndtak
399,Schloss::N,замок,lås
400,Schloss::N,сыравач,lås
401,Bild::N,картин,bilde
402,Figur::N,кӓн,figur
403,Puppe::N,поханя,dukke
404,Beutel::N,мешӓк,pose
405,Bündel::N,топ,bylt
406,Bündel::N,пидӹш,bylt
407,Bündel::N,кӹлдӹш,bylt
408,Tasche::N,сумкы,veske
409,Eimer::N,ведӹрӓ,bøtte
410,Deckel::N,комдыш,lokk
411,Geschirr::N,ӓтӹ,kjøkkentøy
412,Sack::N,мешӓк,sekk
413,Tasse::N,цӓшкӓ,kopp
414,Topf::N,ми́ска,gryte
415,Kessel::N,пад,kjele
416,Essen::N,качкыш,mål
417,Essen::N,качкыш-йӱш,mål
418,Nahrung::N,качкыш,mat
419,Nahrung::N,качкыш,næring
420,Nahrung::N,качкыш-йӱш,mat
421,Nahrung::N,качкыш-йӱш,næring
422,Speise::N,няня,matrett
423,Fleisch::N,пай,kjøtt
424,Getreide::N,киндӹ,korn
425,Brei::N,шӹрӓш,grøt
426,Brot::N,сыкыр,brød
427,Scheibe::N,ламыт,skive
428,Scheibe::N,лаштык,skive
429,Fett::N,кая,fett
430,Butter::N,ӱ,smør
431,Öl::N,ӱ,olje
432,Salz::N,санзал,salt
433,Suppe::N,лем,suppe
434,Honig::N,мӱ,honning
435,Milch::N,шӹшер,melk
436,Tee::N,чӓй,te
437,Leder::N,шарга,lær
438,Leder::N,шарга,skinn
439,Leder::N,кавашты,lær
440,Leder::N,кавашты,skinn
441,Wolle::N,миж,ull
442,Stoff::N,матер,tøy
443,Stoff::N,матер,stoff
444,Stoff::N,матери,tøy
445,Stoff::N,матери,stoff
446,Nadel::N,им,nål
447,Faden::N,шӹртӹ,tråd
448,Knopf::N,полдыш,knapp
449,Knoten::N,пӱкшем,knute
450,Farbe::N,чиӓ,farge
451,Farbe::N,крӓскӓ,farge
452,Kleidung::N,выргем,påkledning
453,Hemd::N,тыгыр,skjorte
454,Kragen::N,шӱ,krage
455,Ärmel::N,шокш,erme
456,Hose::N,ялаш,bukse
457,Gürtel::N,ӹштӹ,belte
458,Mütze::N,упш,lue
459,Schuh::N,ту́фльы,sko
460,Stiefel::N,кем,støvel
461,Ring::N,шӓргӓш,ring
462,Band::N,лемтӓ,band
463,Kamm::N,шерге,kam
464,Spiegel::N,тӹгӹр,speil
465,Riemen::N,прӓжӓ,rem
466,Schnur::N,кӓндӹра,snor
467,Leine::N,керем,line
468,Decke::N,одеял,teppe
469,Kissen::N,кӹпцӹк,pute
470,Tuch::N,савыц,tøy
471,Handtuch::N,шӹргӹсавыц,håndkle
472,Handtuch::N,шӹргӹмсавыц,håndkle
473,Kraft::N,ви,kraft
474,Stärke::N,ви,styrke
475,Gesundheit::N,шу,helse
476,Gesundheit::N,шу,sunnhet
477,Gesundheit::N,шулык,helse
478,Gesundheit::N,шулык,sunnhet
479,Krankheit::N,мыж,syke
480,Krankheit::N,мыж,sykdom
481,Schmerz::N,карштыш,smerte
482,Wunde::N,шушыр,sår
483,Fieber::N,ӱштӹмыж,feber
484,Arznei::N,лекӓрцӹ,medisin
485,Arznei::N,лекӓрцӹ,legemiddel
486,Brücke::N,кӹвер,bro
487,Brunnen::N,вӹдсӹнзӓ,brønn
488,Weide::N,ныр,beite
489,Pfad::N,ялгорны,sti
490,Weg::N,корны,vei
491,Straße::N,корны,gate
492,Dorf::N,сола,landsby
493,Stadt::N,города,by
494,Brief::N,сирмӓш,brev
495,Buch::N,книгӓ,bok
496,Buchstabe::N,буква́,bokstav
497,Zeitung::N,газет,avis
498,Zeitung::N,кайзет,avis
499,Leben::N,житя,liv
500,Tod::N,смöрт,død
501,Grab::N,шӹгер,grav
502,Grab::N,мыгилӓ,grav
503,Grab::N,шӹгерлӓ,grav
504,Kirche::N,церкӹ,kirke
505,Sünde::N,сулык,synd
506,Gott::N,йымы,gud
507,Arbeiter::N,пӓшӓзӹ,arbeider
508,Chef::N,вуй,sjef
509,Meister::N,мастар,mester
510,Arzt::N,доктор,lege
511,Lehrer::N,тымдышы,lærer
512,Geld::N,окса,penger
513,Geschäft::N,торге́йӹмӓш,forretning
514,Laden::N,лапка,butikk
515,Laden::N,магазин,butikk
516,Preis::N,ӓк,pris
517,Ware::N,товар,vare
518,Nutzen::N,пайда,nytte
519,Reichtum::N,перке,rikdom
520,Welt::N,сӓндӓлӹк,verden
521,Welt::N,свет,verden
522,Land::N,сӓндӓлӹк,land
523,Staat::N,кугижӓншӹ,stat
524,König::N,король,konge
525,Macht::N,власть,makt
526,Grenze::N,пӹсмӓн,grense
527,Krieg::N,вырсы,krig
528,Feind::N,тышман,fiende
529,Gewalt::N,ви,vold
530,Kampf::N,кредӓлмӓш,kamp
531,Bogen[Waffe]::N,янгеж,bue
532,Pfeil::N,пикш,pil
533,Gewehr::N,пичӓл,gevær
534,Fehler::N,самынь,feil
535,Lüge::N,шая,løgn
536,Schaden::N,вре́дӓ,skade
537,Unglück::N,пёда,uhell
538,Unglück::N,тымаша,uhell
539,Schuld::N,вуйнамат,skyld
540,Alter::N,иӓш,alder
541,Alter::N,игечӹ,alder
542,Schluss::N,пӹтӓртӹш,slutt
543,Zeit::N,веремӓ,tid
544,Tag::N,кечӹ,dag
545,Morgen::N,ир,morgen
546,Morgen::N,ирок,morgen
547,Mittag::N,кечӹвӓл,middag
548,Abend::N,вады,aften
549,Nacht::N,йыд,natt
550,Woche::N,ӓрня,uke
551,Monat::N,тӹ́лзӹ,måned
552,Jahr::N,год,år
553,Frühling::N,шошым,vår
554,Sommer::N,кӓнгӹж,sommer
555,Herbst::N,шӹжӹ,høst
556,Winter::N,тел,vinter
557,Winter::N,телӹ,vinter
558,Januar::N,январ,januar
559,Januar::N,январь,januar
560,Februar::N,февраль,februar
561,März::N,март,mars
562,April::N,апрель,april
563,Mai::N,май,mai
564,Juni::N,июнь,juni
565,Juli::N,июль,juli
566,August::N,август,august
567,September::N,сентябрь,september
568,Oktober::N,октябрь,oktober
569,November::N,ноябрь,november
570,Dezember::N,декавыр,desember
571,Montag::N,шачмы,mandag
572,Dienstag::N,кышкыжмы,tirsdag
573,Mittwoch::N,вӹрчегӹ,onsdag
574,Donnerstag::N,изӓрня,torsdag
575,Freitag::N,когарня,fredag
576,Samstag::N,кукшыгечӹ,lørdag
577,Sonntag::N,рушӓрня,søndag
578,groß::A,кого,stor
579,klein::A,изи,liten
580,lang::A,кужы,lang
581,kurz::A,кӹтӹк,kort
582,breit::A,кымда,bred
583,schmal::A,ӓнгӹсӹр,smal
584,dicht::A,шӹре,tett
585,dick[Gegenstand]::A,кӹжгӹ,tykk
586,dünn::A,вӹцкӹж,tynn
587,fein::A,пыльга,fin
588,fest::A,цаткыды,fast
589,flach::A,тӓлякӓ,flat
590,glatt::A,ягылгы,glatt
591,hart::A,пингӹдӹ,hard
592,weich::A,пышкыды,myk
593,weich::A,пышкыды,bløt
594,rund::A,тӹртӹш,rund
595,spitz::A,кашар,spiss
596,scharf::A,кашар,kvass
597,stumpf::A,нӹшкӹ,stubb
598,schwer::A,нелӹ,tung
599,schön::A,цевер,pen
600,schön::A,цевер,vakker
601,schön::A,олмыдшы,pen
602,schön::A,олмыдшы,vakker
603,heiß::A,шокшы,het
604,warm::A,шокшы,varm
605,kalt::A,ӱштӹ,kald
606,kühl::A,юалгы,kjølig
607,kühl::A,йонгата,kjølig
608,frisch::A,йонгата,fersk
609,feucht::A,ӹлӹкшӹ,fuktig
610,feucht::A,вӹдӹжгӹ,fuktig
611,nass::A,начкы,våt
612,trocken::A,кукшы,tørr
613,voll::A,темшӹ,full
614,voll::A,темыман,full
615,leer::A,йӓрӓ,tom
616,offen::A,виш,åpen
617,geschlossen::A,чӱчмӹ,lukket
618,geschlossen::A,тӹкӹлӓлтшӹ,lukket
619,sauber::A,ире,ren
620,schmutzig::A,шоран,skitten
621,schmutzig::A,лявӹрӓн,skitten
622,schmutzig::A,шорангшы,skitten
623,roh::A,пеле кӱшӹ,rå
624,reif::A,кӱшӹ,moden
625,lecker::A,тотан,lekker
626,süß::A,мӱӓн,søt
627,bitter::A,качы,besk
628,bitter::A,качы,bitter
629,sauer::A,шапы,sur
630,hell::A,соты,lys
631,hell::A,валгыды,lys
632,dunkel::A,пӹц,mørk
633,dunkel::A,пӹцкемӹш,mørk
634,schwarz::A,шим,svart
635,weiß::A,ош,hvit
636,weiß::A,ошы,hvit
637,rot::A,якшаргы,rød
638,gelb::A,сар,gul
639,gelb::A,сары,gul
640,blau::A,симсӹ,blå
641,grün::A,ыжар,grønn
642,grau::A,луды,grå
643,bunt::A,ала,broket
644,billig::A,шулдаш,billig
645,teuer::A,шергӹ,dyr
646,teuer::A,шергӓкӓн,dyr
647,wertvoll::A,ӓкӓн,verdifull
648,blind::A,слöпöй,blind
649,blind::A,сльöпöй,blind
650,taub::A,тӱтӱк,døv
651,kräftig::A,виӓн,kraftig
652,stark::A,виӓн,sterk
653,schwach::A,шава,svak
654,schwach::A,лӹпкӓ,svak
655,schwach::A,слабка,svak
656,fett::A,таза,fet
657,schlank::A,яштака,slank
658,hübsch::A,сӹлнӹ,pen
659,hübsch::A,олмыдшы,pen
660,böse::A,шӹдӓн,slem
661,dumm::A,окмак,dum
662,faul::A,ялахай,lat
663,faul::A,ялахай,doven
664,fleißig::A,пӓшам яратышы,flittig
665,geizig::A,шык,gjerrig
666,klug::A,ышан,klok
667,geschickt::A,мастар,hendig
668,geschickt::A,мастар,skikket
669,lieb::A,тыри,kjær
670,lieb::A,тыри,snill
671,lustig::A,мындыр,morsom
672,lustig::A,сусу,morsom
673,sanft::A,йӹвӹжӓ,blid
674,hungrig::A,шужышы,sulten
675,krank::A,церлӹ,syk
676,krank::A,хворой,syk
677,nackt::A,цӓрӓ,naken
678,traurig::A,сы́лыкан,sørgmodig
679,traurig::A,кымы́лдымы,sørgmodig
680,lebendig::A,живой,levende
681,gut::A,яжо,god
682,schlecht::A,уда,dårlig
683,schlecht::A,худа,dårlig
684,richtig::A,вургамла,riktig
685,schlimm::A,йӹрнык,slem
686,wahr::A,настоящий,sann
687,wahr::A,настояшый,sann
688,alt::A,шонгы,gammel
689,neu::A,у,ny
690,ehemalig::A,тошты,forhenværende
691,alt[Lebewesen]::A,ӹлалшӹ,gammel
692,jung::A,нöргӹ,ung
693,jung::A,молода,ung
694,arm::A,укеӓн,fattig
695,reich::A,паян,rik
696,reich::A,пурлыкан,rik
697,bekannt::A,палӹмӹ,kjent
698,berühmt::A,лӹмлы,berømt
699,fremd::A,эдемӹн,fremmed
700,verschieden::A,тӹрлӹ,forskjellig
701,nah::A,лишӹл,nær
702,fern::A,мӹндӹр,fjern
703,linker::A,шалахай,venstre
704,rechter::A,вургамла,høyre
705,anderer::A,вес,annen
706,anderer::A,весӹ,annen
707,erster::A,икшӹ,første
708,erster::A,икӹмшӹ,første
709,zweiter::A,кокшы,annen
710,dritter::A,кымшы,tredje
711,letzter::A,остатка,sist
712,allein::ADV,иктӹ,alene
713,allein::ADV,иктӹт,alene
714,auf einmal::ADV,тöрöк,med ett
715,zusammen::ADV,икараш,sammen
716,zusammen::ADV,цымырын,sammen
717,lange::ADV,кужын,lenge
718,plötzlich::ADV,трӱк,plutselig
719,sofort::ADV,полт,straks
720,sofort::ADV,тöрöк,straks
721,sofort::ADV,тӹшӓкок,straks
722,später::ADV,вара,senere
723,heute::ADV,тагачы,i dag
724,morgen::ADV,иргод,i morgen
725,morgen::ADV,иргодым,i morgen
726,bald::ADV,чӹнь,snart
727,bald::ADV,вӓшке,snart
728,bald::ADV,выртышты,snart
729,dann::ADV,пакыла,så
730,gestern::ADV,тенгечӹ,i går
731,einst::ADV,икӓнӓ,engang
732,damals::ADV,тӹнӓм,den gang
733,danach::ADV,пакыла,deretter
734,vorher::ADV,перви,før
735,vorher::ADV,перви,i forveien
736,zuerst::ADV,андак,først
737,einmal::ADV,гӓнӓк,en gang
738,einmal::ADV,гӓнӓ,en gang
739,manchmal::ADV,кынамжы,somme tider
740,oft::ADV,чӹчкӹдӹн,ofte
741,immer::ADV,со,alltid
742,immer::ADV,соок,alltid
743,niemals::ADV,нинам,aldri
744,niemals::ADV,нигынам,aldri
745,niemals::ADV,нигынамат,aldri
746,hier::ADV,тиштӹ,her
747,hierhin::ADV,тишкӹ,hit
748,von hier::ADV,тишец,herfra
749,von hier::ADV,тишецӹн,herfra
750,dort::ADV,тӹштӹ,der
751,dorthin::ADV,тӹшкӹ,dit
752,dorthin::ADV,тӹшкӹлӓ,dit
753,geradeaus::ADV,вик,rett fram
754,geradeaus::ADV,тура,rett fram
755,vorwärts::ADV,анзыкы,fram
756,vorwärts::ADV,анзыкы,framover
757,rückwärts::ADV,мӹнгеш,baklengs
758,zurück::ADV,мӹнгеш,tilbake
759,unten::ADV,ӱлнӹ,nede
760,unten::ADV,лӹвӓлнӹ,nede
761,hinab::ADV,ӱлӹкӹ,ned
762,hinab::ADV,ӱлӹкӹ,nedover
763,hinab::ADV,лӹвӓкӹ,ned
764,hinab::ADV,лӹвӓкӹ,nedover
765,oben::ADV,вӹлнӹ,oppe
766,oben::ADV,вӹлнӹ,ovenpå
767,hinauf::ADV,кӱшкӹлӓ,opp
768,hinauf::ADV,кӱшкӹлӓ,oppover
769,hinauf::ADV,кӱш,opp
770,hinauf::ADV,кӱш,oppover
771,überall::ADV,йӹлт,overalt
772,überall::ADV,цилӓ вӓре,overalt
773,nicht::ADV,уке,ikke
774,ein wenig::ADV,изиш,litt
