,Concept_ID,ca,en
0,Auge::N,ull,eye
1,Ohr::N,orella,ear
2,Nase::N,nas,nose
3,Mund::N,boca,mouth
4,Zahn::N,dent,tooth
5,Zunge::N,llēngua,tongue
6,Lippe::N,llavi,lip
7,Wange::N,galta,cheek
8,Gesicht::N,cara,face
9,Stirn::N,front,forehead
10,Haar::N,cabēll,hair
11,Schnurrbart::N,bigoti,moustache
12,Bart::N,barba,beard
13,Kinn::N,mentó,chin
14,Kinn::N,barbeta,chin
15,Kiefer[Anatomie]::N,queix,jaw
16,Kiefer[Anatomie]::N,mandíbula,jaw
17,Kehle::N,gola,throat
18,Kehle::N,gorja,throat
19,Hals::N,coll,neck
20,Genick::N,nuca,nape
21,Kopf::N,cap,head
22,Rücken::N,esquena,back
23,Rücken::N,esquena,spine
24,Bauch::N,panxa,belly
25,Nabel::N,llombrígol,navel
26,Busen::N,pit,bosom
27,Busen::N,mama,bosom
28,Brust::N,pit,chest
29,Brust::N,pit,breast
30,Schulter::N,espatlla,shoulder
31,Arm::N,braç,arm
32,Ellenbogen::N,colze,elbow
33,Hand::N,mà,hand
34,Handfläche::N,palma,palm
35,Finger::N,dit,finger
36,Fingernagel::N,ungla,fingernail
37,Nagel[Anatomie]::N,ungla,nail
38,Zeh::N,dit del peu,toe
39,Fuß::N,peu,foot
40,Ferse::N,taló,heel
41,Knie::N,genoll,knee
42,Oberschenkel::N,cuixa,thigh
43,Bein::N,cama,leg
44,Körper::N,cos,body
45,Haut::N,pell,skin
46,Blut::N,sang,blood
47,Ader::N,vena,vein
48,Sehne::N,tendó,sinew
49,Knochen::N,os,bone
50,Gehirn::N,cervell,brain
51,Herz::N,cor,heart
52,Magen::N,estómac,stomach
53,Leber::N,fetge,liver
54,Atem::N,alè,breath
55,Atem::N,hàlit,breath
56,Hunger::N,fam,hunger
57,Hunger::N,gana,hunger
58,Träne::N,llàgrima,tear
59,Geschmack::N,gust,flavour
60,Geschmack::N,gust,flavor
61,Geschmack::N,sabor,flavour
62,Geschmack::N,sabor,flavor
63,Geruch::N,olor,odour
64,Geruch::N,olor,odor
65,Schlaf::N,son,sleep
66,Traum::N,somni,dream
67,Himmel::N,celm,sky
68,Sonne::N,sol,sun
69,Mond::N,lluna,moon
70,Stern::N,estel,star
71,Stern::N,estrella,star
72,Luft::N,aire,air
73,Wind::N,vent,wind
74,Welle::N,ona,wave
75,Wasser::N,āigua,water
76,Stein::N,pedra,stone
77,Boden::N,sòl,soil
