,Concept_ID,no,be
0,Auge::N,øye,вока
1,Ohr::N,øre,вуха
2,Nase::N,nese,нос
3,Mund::N,munn,рот
4,Zahn::N,tann,зуб
5,Zunge::N,tunge,язык
6,Lippe::N,leppe,губа
7,Wange::N,kinn,шчака
8,Gesicht::N,fjes,твар
9,Gesicht::N,ansikt,твар
10,Stirn::N,panne,лоб
11,Haar::N,hår,волас
12,Haar::N,hår,валасы
13,Schnurrbart::N,bart,вус
14,Schnurrbart::N,bart,вусы
15,Bart::N,skjegg,барада
16,Kinn::N,hake,падбародак
17,Kiefer[Anatomie]::N,kjeve,сківіца
18,Kehle::N,strupe,горла
19,Hals::N,hals,шыя
20,Genick::N,nakke,патыліца
21,Kopf::N,hode,галава
22,Rücken::N,rygg,спіна
23,Bauch::N,buk,жывот
24,Bauch::N,mage,жывот
25,Nabel::N,navle,пупок
26,Busen::N,barm,грудзі
27,Brust::N,bryst,грудзі
28,Schulter::N,skulder,плячо
29,Arm::N,arm,рука
30,Ellenbogen::N,albue,локаць
31,Hand::N,hånd,кісць
32,Handfläche::N,håndflate,далонь
33,Finger::N,finger,палец
34,Fingernagel::N,fingernegl,ногаць
35,Nagel[Anatomie]::N,negl,ногаць
36,Zeh::N,tå,палец
37,Fuß::N,fot,нага
38,Ferse::N,hæl,пята
39,Ferse::N,hæl,пятка
40,Knie::N,kne,калена
41,Oberschenkel::N,lår,бядро
42,Oberschenkel::N,lår,сцягно
43,Bein::N,bein,нага
44,Körper::N,kropp,цела
45,Körper::N,legeme,цела
46,Haut::N,hud,скура
47,Haut::N,skinn,скура
48,Blut::N,blod,кроў
49,Ader::N,åre,вена
50,Ader::N,åre,сасуд
51,Sehne::N,sene,жыла
52,Sehne::N,sene,цеціва
53,Sehne::N,sene,сухажылле
54,Knochen::N,bein,косць
55,Knochen::N,knokkel,косць
56,Gehirn::N,hjerne,мозг
57,Herz::N,hjerte,сэрца
58,Magen::N,mage,страўнік
59,Leber::N,lever,печань
60,Atem::N,pust,дыханне
61,Hunger::N,sult,голад
62,Träne::N,tåre,сляза
63,Geschmack::N,smak,смак
64,Geruch::N,lukt,пах
65,Schlaf::N,søvn,сон
66,Traum::N,drøm,сон
67,Himmel::N,himmel,неба
68,Sonne::N,sol,сонца
69,Mond::N,måne,месяц
70,Stern::N,stjerne,зорка
71,Luft::N,luft,паветра
72,Wind::N,vind,вецер
73,Welle::N,bølge,хваля
74,Wasser::N,vann,вада
75,Stein::N,stein,камень
76,Boden::N,bakke,глеба
77,Erde::N,jord,зямля
