,Concept_ID,ady,hy
0,Auge::N,нэ,աչք
1,Ohr::N,тхьакӏу́м,ականջ
2,Nase::N,пэ,քիթ
3,Mund::N,жэ,բերան
4,Zahn::N,цэ,ատամ
5,Zunge::N,бзэгу,լեզու
6,Lippe::N,ӏупшӏэ́,շրթունք
7,Wange::N,нэкӏу́шъу,այտ
8,Wange::N,нэкӏу́шъу,թուշ
9,Gesicht::N,нэ́гу,դեմք
10,Stirn::N,натӏэ́,ճակատ
11,Haar::N,шъхьацы́,մազ
12,Bart::N,жакӏэ́,մորուք
13,Kinn::N,жэкӏэпэпкъ,կզակ
14,Kiefer[Anatomie]::N,жэпкъы́,ծնոտ
15,Kehle::N,чый,կոկորդ
16,Hals::N,пшъэ,վիզ
17,Hals::N,пшъэ,պարանոց
18,Genick::N,шъхьэпхэтыку,ծոծրակ
19,Kopf::N,шъхьэ́,գլուխ
20,Rücken::N,кӏыбы́,մեջք
21,Bauch::N,ныбэ́,փոր
22,Bauch::N,ныбэ́,որովայն
23,Busen::N,бгъэ́,ծոց
24,Brust::N,бгъэ́,կուրծք
25,Schulter::N,блыпкъ,ուս
26,Arm::N,ӏэ,թեւ
27,Arm::N,ӏэ,բազուկ
28,Ellenbogen::N,ӏэнтэ́гъу,արմունկ
29,Hand::N,ӏэтхьэцу,ձեռք
30,Handfläche::N,ӏэ́гу,ափ
31,Finger::N,ӏэхъуа́мб,մատ
32,Fingernagel::N,ӏэбжъа́н,եղունգ
33,Nagel[Anatomie]::N,ӏэбжъа́н,եղունգ
34,Zeh::N,ӏэхъуа́мб,ոտքի մատ
35,Fuß::N,лъэгу,ոտք
36,Ferse::N,лъэдакъэ,գարշապար
37,Knie::N,лъагуа́ндж,ծունկ
38,Oberschenkel::N,ко,ազդր
39,Bein::N,лъакъо́,ոտք
40,Körper::N,пкъышъол,մարմին
41,Haut::N,кӏы́шъу,մաշկ
42,Blut::N,лъы,արյուն
43,Ader::N,льытф,երակ
44,Sehne::N,фэ,ջիղ
45,Sehne::N,фэ,ձգտան
46,Knochen::N,къупшъхьэ́,ոսկոր
47,Gehirn::N,куцӏы,խելք
48,Herz::N,гу,սիրտ
49,Magen::N,мышкӏу,ստամոքս
50,Leber::N,шӏу,լյարդ
51,Atem::N,къэщэныр,շունչ
52,Hunger::N,гъаблэ́,քաղց
53,Träne::N,нэпсы,արտասուք
54,Geschmack::N,ӏэшӏугъа́кӏ,համ
55,Geschmack::N,ӏэшӏугъа́кӏ,բուրմունք
56,Geruch::N,мэ,հոտ
57,Geruch::N,мэ,բուրում
58,Schlaf::N,пчыхьы́пӏ,քուն
59,Traum::N,пчыхьы́пӏ,երազ
60,Himmel::N,уашъо́,երկինք
61,Sonne::N,тыгъэ,արեւ
62,Mond::N,мазэ,լուսին
63,Stern::N,жъуагъо́,աստղ
64,Luft::N,жьы,օդ
65,Wind::N,жьыбгъэ́,քամի
66,Welle::N,ор,ալիք
67,Welle::N,оры,ալիք
68,Wasser::N,псы,ջուր
69,Stein::N,мыжъо́,քար
70,Boden::N,чӏ́ыгу,գետին
71,Erde::N,чӏ́ыгу,հող
72,Staub::N,сап,փոշի
73,Rauch::N,ӏугъо́,ծուխ
74,Funke::N,мэшӏуа́ч,կայծ
75,Feuer::N,машӏо́,կրակ
76,Feuer::N,машӏо́,հրդեհ
77,Licht::N,нэфы,լույս
78,Licht::N,нэфын,լույս
79,Schatten::N,жьау́,ստվեր
80,Schatten::N,ныбжьыкъу,ստվեր
81,Nebel::N,пща́гъу,մեգ
82,Nebel::N,пща́гъу,մառախուղ
83,Wolke::N,ошъуапщэ,ամպ
84,Regen::N,ощхы,անձրև
85,Schnee::N,осы́,ձյուն
86,Eis::N,мылы,սառույց
87,Kälte::N,чъыӏэ́,դող
88,Hitze::N,фэба́е,շոգ
89,Regenbogen::N, лэгъупэкъо́пс,ծիածան
90,Donner::N,шыблэ́,որոտ
91,Strömung::N,ток,հոսանք
92,Tropfen::N,ткӏопс,կաթիլ
93,Tropfen::N,гъуаткӏу,կաթիլ
94,Schaum::N,тхъурбэ,փրփուր
95,Schmutz::N,псынжъы,կեղտ
96,See::N,хыку́м,լիճ
97,See::N,псыхъура́й,լիճ
98,Sumpf::N,орыжъ,ճահիճ
99,Moor::N,орыжъ,ճահիճ
100,Wiese::N,хъупӏэ́,մարգագետին
101,Wiese::N,мэкъупӏ,մարգագետին
102,Wald::N,мэзы́,անտառ
103,Hügel::N,ӏуашъхь,բլուր
104,Anhöhe::N,чӏыӏэтыгъ,բարձունք
105,Berg::N,къушъхьэ́,լեռ
106,Gipfel::N,шыгу,գագաթ
107,Gipfel::N,шыгу,կատար
108,Höhle::N,гъочӏэгъ,քարայր
109,Abhang::N,чапэ,լանջ
110,Abhang::N,чапэ,զառիվայր
111,Quelle::N,псынэчэ́чъ,աղբյուր
112,Bach::N,псышкуашку,վտակ
113,Fluss::N,псыхъо́,գետ
114,Ufer::N,нэпкъы,ծովափ
115,Küste::N,ӏушъо,ափ
116,Küste::N,ӏушъо,ծովափ
117,Festland::N,чӏл́ыгу,ցամաք
118,Meer::N,хы,ծով
119,Bucht::N,хыблыгу,հաչիւն
120,Insel::N,хыгъэхъу́н,վղզի
121,Blume::N,къэгъа́гь,ծաղիկ
122,Gras::N,уцы́,խոտ
123,Wurzel::N,лъапсэ́,արմատ
124,Baum::N,чъыгы́,ծառ
125,Stamm::N,пкъы,իրան
126,Rinde::N,пхъашъо́,կեղեւ
127,Rinde::N,пхъашъо́,հաչոց
128,Ast::N,куамэ,ճյուղ
129,Zweig::N,къутамэ́,ճյուղ
130,Blatt::N,тхьап,տերեւ
131,Birke::N,пчэн,ցարասի
132,Kiefer[Baum]::N,сэснэй,սոճի
133,Weide[Baum]::N,пце́л,ուռենի
134,Tanne::N,ель,եղեւին
135,Horn::N,бжъэ,
136,Feder::N,къамӏы́й,փետուր
137,Fell::N,шъо,մորթի
138,Flügel::N,тамэ́,թեւ
139,Klaue::N,лъэбжъа́н,չանչ
140,Kralle::N,лъакъо,ճանկ
141,Schwanz::N,кӏэ,պոչ
142,Ei::N,кӏэнкӏэ́,ձու
143,Nest::N,набгъо́,բույն
144,Bau::N,гъу,որջ
145,Bau::N,гъу,բայոց
146,Bau::N,бы,որջ
147,Bau::N,бы,բայոց
148,Tier::N,псэу́шъхь,կենդանի
149,Herde::N,ӏэхъогъу,հոտ
150,Kuh::N,чэмы́,կով
151,Bulle::N,цу,ցուլ
152,Pferd::N,шы,ձի
153,Schaf::N,мэлы́,ոչխար
154,Schwein::N,къо,խոզ
155,Hund::N,бьэ,շուն
156,Katze::N,чэты́у,կատու
157,Bär::N,мышъэ́,արջ
158,Eichhörnchen::N,цызэ́,սկյուռ
159,Elch::N,лось,հիւսիսային եղջերու
160,Fuchs::N,баджэ́,աղվես
161,Hase::N,тхьакӏумкӏы́хь,նապաստակ
162,Maus::N,цыгъо́,մուկ
163,Wolf::N,тыгъу́жъ,գայլ
164,Vogel::N,бзы́у,թռչուն
165,Schwarm::N,отэр,երամ
166,Huhn::N,чэты́,հավ
167,Hahn::N,атакъэ́,աքաղաղ
168,Gans::N,къа́з,սագ
169,Ente::N,псычэ́т,բադ
170,Eule::N,тыгъурыгъу,բու
171,Kranich::N,къэрэ́у,կռունկ
172,Krähe::N,къолэ́жъ,ագռավ
173,Kuckuck::N,куку́у,կուկու
174,Fisch::N,пцэжъы́й,ձուկ
175,Barsch::N,тхыкъэц,պերկես
176,Hecht::N,лэнд,գայլաձուկ
177,Schlange[Tier]::N,блэ́,օձ
178,Wurm::N,хьамлыу,որդ
179,Wurm::N,хьамлыу,ճիճու
180,Spinne::N,бэдж,սարդ
181,Ameise::N,къамзэ́гу,միջյուն
182,Laus::N,цӏэ,ոջիլ
183,Mücke::N,аргъо́й,մժղուկ
184,Fliege::N,бадзэ́,ճանճ
185,Schmetterling::N,хьампӏыра́шъу,թիթեռ
186,Beere::N,маткӏо,հատապտուղ
187,Apfel::N,мыӏэры́с,խնձոր
188,Pilz::N,хьаӏу,սունկ
189,Zwiebel::N,бжьыны́,սոխ
190,Saat::N,чылапхъ,սերմ
191,Korn::N,цэ,հատիկ
192,Heu::N,мэкъу,խոտ
193,Schale::N,кӏы́шъу,կեղեւ
194,Grube::N,машэ́,փոս
195,Falle::N,зэраубытырэ́ ӏэмэпсы́м,ծուղակ
196,Schlinge::N,бзыуубыт,խեղդան
197,Spur::N,ужы,հետք
198,Spur::N,лъэуж,հետք
199,Asche::N,яжьэ́,մոխիր
200,Dreck::N,псынжъы,աղտ
201,Eisen::N,гыучӏы́,երկաթ
202,Eisen::N,къэнджа́л,երկաթ
203,Gold::N,дышъэ́,ոսկի
204,Silber::N,тыжьы́н,արծաթ
205,Kohle::N,шӏомыкӏ,քարածուխ
206,Glas::N,апч,ապակի
207,Lehm::N,етӏагъо́,կավ
208,Sand::N,пшахъо,ավազ
209,Mensch::N,цӏыфы́,մարդ
210,Mann::N,хъулъфы́гъ,մարդ
211,Mann::N,хъулъфы́гъ,տղամարդ
212,Frau::N,бӏылъфыгъэ́,կին
213,Kind::N,кӏэлэцӏы́кӏу,զավակ
214,Junge::N,кӏэлэцӏы́кӏу,տղա
215,Mädchen::N,пшъэшъэжъый,աղջիկ
216,Familie::N,быны́,ընտանիք
217,Familie::N,уна́гъу,ընտանիք
218,Großvater::N,тэтэ́жъ,պապ
219,Großmutter::N,нэнэ́жъ,տատ
220,Eltern::N,ны-тыхэ́р,ծնողներ
221,Vater::N,ты,հայր
222,Mutter::N,ны,մայր
223,Sohn::N,къо,որդի
224,Tochter::N,пхъу,աղջիկ
225,Tochter::N,пхъу,դուստր
226,Bruder::N,шы,եղբայր
227,Schwester::N,шы́пхъу,քույր
228,Onkel::N,янэ́ш,քեռի
229,Onkel::N,янэ́ш,հորեղբայր
230,Tante::N,атэшыпхъу,մորաքույր
231,Ehemann::N,лӏы,մարդ
232,Ehemann::N,лӏы,ամուսին
233,Ehefrau::N,шъу́з,կին ամուսին
234,Freude::N,гушӏуа́гъу,ուրախություն
235,Gelächter::N,щхыныр,ծիծաղ
236,Glück::N,насы́п,երջանկություն
237,Kummer::N,тхьамыкӏагъу,վիշտ
238,Wunsch::N,шӏонгъоны́гъ,ցանկություն
239,Lust::N,шӏонгъоны́гъ,փափագ
240,Lust::N,шӏонгъоны́гъ,իղձ
241,Geist::N,гу,ոգի
242,Gedanke::N,гупшыс,միտք
243,Gedächtnis::N,память,հիշողություն
244,Verstand::N,акъы́л,խելք
245,Sinn::N,мэхьанэ,իմաստ
246,Grund::N,ушъхьагъу,պատճառ
247,Wahrheit::N,шъыпкъэ́,ճշմարտություն
248,Gespräch::N,гущыӏ,զրույց
249,Märchen::N,пшысэ,պայիկի պատմություն
250,Erzählung::N,къэба́р,պատմվածք
251,Erzählung::N,къэба́р,պատմություն
252,Nachricht::N,къэба́р,հաղորդագրություն
253,Neuigkeit::N,къэбарыкӏ,լուր
254,Neuigkeit::N,къэбарыкӏ,նորություն
255,Name::N,цӏэ,անուն
256,Rätsel::N,коджэхь-къоджэшх,բարդ խնդիր
257,Rede::N,гущыӏ,ճառ
258,Rede::N,гущыӏ,ելույթ
259,Sprache::N,бзэ,լեզու
260,Stimme::N,макъэ́,ձայն
261,Wort::N,гущыӏ,բառ
262,Zeichen::N,тамы́гъ,նշան
263,Ruf::N,джэ макъ,կոչ
264,Ruf::N,джэ макъ,կանչ
265,Lärm::N,макъэ,աղմուկ
266,Laut::N,макъэ,հնչյուն
267,Laut::N,макъэ,ձայն
268,Lied::N,орэ́д,երգ
269,Ruhe::N,самбырыныгъ,անդորրություն
270,Leute::N,цӏыфхэ́р,մարդիկ
271,Volk::N,цӏыф лъэпкъ,ազգ
272,Arbeit::N,ӏофшӏакӏэ́н,գործ
273,Arbeit::N,ӏофшӏакӏэ́н,աշխատանք
274,Gast::N,хьакӏэ́,հյուր
275,Geschenk::N,шӏухьафтын,նվեր
276,Spiel::N,еоны́р,խաղ
277,Spiel::N,джэгуны́р,խաղ
278,Spiel::N,къегъэӏоны́р,խաղ
279,Gesellschaft::N,обществ,ընկերություն
280,Hilfe::N,ӏэпыӏэгъу,օգնությթուն
281,Freund::N,ныбджэгъу,ընկեր
282,Freund::N,ныбджэгъу,բարեկամ
283,Kamerad::N,ныбджэгъу,ուղեկից
284,Angelegenheit::N,ӏофы́,բան
285,Angelegenheit::N,ӏофы́,գործ
286,Anzahl::N,пчъагъэ́,քանակ
287,Anzahl::N,пчъагъэ́,գումար
288,Art::N,изэрэщы́т,տեսակ
289,Art::N,лъэпкъ,տեսակ
290,Stück::N,такъы́р,կտոր
291,Teil::N,щыщ,մաս
292,Teil::N,ӏахь,մաս
293,Hälfte::N,ныкъо́,կես
294,Kreis::N,хъура́й,շիջանակ
295,Kreuz::N,къащ,խաչ
296,Linie::N,хъахъ,գիծ
297,Linie::N,итхъа́гъ,գիծ
298,Strich::N,хъахъ,գիծ
299,Strich::N,итхъагъ,գիծ
300,Abstand::N,азыфагу,անջրպետ
301,Entfernung::N,чӏыгууанэ,հեռավորություն
302,Gegend::N,чӏыпӏэ́,շրջան
303,Platz::N,азыфагу,տարածություն
304,Ort::N,чӏыпӏэ́,տեղ
305,Ort::N,чӏыпӏэ́,վայր
306,Seite::N,лъэны́къу,կողմ
307,Mitte::N,гузэ́гу,մեջտեղ
308,Gegenstand::N,пкъыгъо,առարկա
309,Rand::N,цакӏэ́,վերջք
310,Kante::N,цэгэналъ,եզր
311,Ecke::N,къогъу,անկյուն
312,Spitze::N,пакӏэ,ծայր
313,Ende::N,кӏэ,ծայր
314,Loch::N,гъуа́н,անցք
315,Winkel::N,къогъу,անկյուն
316,Muster::N,тхыпхъэ,օրինակ
317,Größe::N,иина́гъ,մեծություն
318,Länge::N,икӏыхьа́гъ,երկարություն
319,Höhe::N,лъэгагъ,բարձրություն
320,Gewicht::N,онтэгъугъэ́,կշիռ
321,Menge::N,пчъагъэ́,քանակ
322,Haufen::N,ӏат,դեզ
323,Haufen::N,ӏат,կույտ
324,Reihe::N,саты́р,շարք
325,Reihe::N,саты́р,կարգ
326,Boot::N,къуашъо́,նավակ
327,Ruder::N,къошъобэ́щ,թի
328,Ruder::N,къошъобэ́щ,թիակ
329,Ski::N,лыжэхэр,դահուկ
330,Lagerfeuer::N,пхъэмашӏу,բացօդեայ կրակ
331,Gang::N,кӏоныр,զբոսանք
332,Schritt::N,лъэубэ́къу,քայլ
333,Norden::N,темы́р,հյուսիս
334,Süden::N,къыблэ́,հարավ
335,Westen::N,тыгъэкъохьа́пӏ,արեւմուտք
336,Osten::N,тыгьэкъокӏы́пӏ,արեւելք
337,Holz::N,чъыгы́,փայտ
338,Brett::N,пхъэ́мбгъу,տախտակ
339,Platte::N,упсыхьагъ,թիթեղ
340,Stütze::N,кӏэгъэкъон,նեցուկ
341,Stange::N,къорэ́гъ,ձող
342,Stock::N,бэщ,փայտ
343,Stab::N,бэщ кӏы́хь,ցուպ
344,Stab::N,бэщ кӏы́хь,գավազան
345,Rohr::N,онджэкъ,խողովակ
346,Haus::N,унэ́,տուն
347,Heim::N,унэ́,տուն
348,Ofen::N,гъэжъэн,վառարան
349,Fußboden::N,джэхашъу,հատակ
350,Tisch::N,стол,սեղան
351,Stuhl::N,пхъэнтӏэ́кӏу,աթոռ
352,Wiege::N,кушъэ́,օրորոց
353,Bett::N,пӏэкӏо́р,անկողին
354,Regal::N,мэкӏай,դարակ
355,Kiste::N,ящык,տուփ
356,Fenster::N,шъхьаныгъу́пчъ,պատուհան
357,Tür::N,пчъэ,դուռ
358,Tor::N,къэла́пчъ,դարպաս
359,Zaun::N,шӏыхьагъэ́,ցանկապատ
360,Dach::N,шъхьэ́,տանիք
361,Dach::N,шъхьэ́,կտուր
362,Leiter::N,лъэо́й,սանդուղք
363,Leiter::N,дэкӏояпӏэ́,սանդուղք
364,Besen::N,пхъэнкӏы́пхъ,ավել
365,Spaten::N,къазгъы́р,բահ
366,Schaufel::N,хэӏалъ,թի
367,Gabel::N,цацэ,պատառաքաղ
368,Löffel::N,джэмы́шх,գդալ
369,Messer::N,шъэжъы́й,դանակ
370,Nagel::N,гъучӏыӏу́н,մեխ
371,Netz::N,хъытыу,ցանց
372,Haken::N,хьажтӏаркъу,կարթ
373,Griff::N,къопс,կոթ
374,Griff::N,къопс,բռնակ
375,Schloss::N,ӏункӏы́бз,կողպեք
376,Bild::N,сурэ́т,նկար
377,Bild::N,сурэ́т,պատկեր
378,Puppe::N,нысхъа́п,տիկնիկ
379,Beutel::N,дзыо́,տոպրակ
380,Tasche::N,ӏэлъмэ́къ,պայուսակ
381,Eimer::N,щалъ,դույլ
382,Deckel::N,шъхьэ,կափարիչ
383,Geschirr::N,хьакъу-шыкъу,ամանեղեն
384,Sack::N,дзыо́,պարկ
385,Sack::N,дзыо́,տոպրակ
386,Tasse::N,чашк,թաս
387,Tasse::N,чашк,գավաթ
388,Topf::N,кастрюль,անոթ
389,Kessel::N,шыуа́н,կաթսա
390,Essen::N,шхэн,կերակուր
391,Nahrung::N,шхэн,ուտելիք
392,Speise::N,шхыныгъу,խորտիկ
393,Speise::N,шхыныгъу,կերակուր
394,Fleisch::N,лы,միս
395,Getreide::N,лэжьыгъацэ́,հացահատիկ
396,Brei::N,пӏастэ́,լանդակ
397,Brot::N,хьалыгъу,հաց
398,Scheibe::N,такъы́р,կտոր
399,Scheibe::N,такъы́р,պատառ
400,Fett::N,дагъэ́,ճարպ
401,Butter::N,тхъу,կարագ
402,Öl::N,тхъу,ձեթ
403,Salz::N,щыгъу,աղ
404,Suppe::N,хьантхъупс,սուպ
405,Suppe::N,хьантхъупс,ապուր
406,Honig::N,шъоу́,մեղր
407,Milch::N,щэ,կաթ
408,Tee::N,щай,թեյ
409,Leder::N,кӏы́шъу,կաշի
410,Wolle::N,цы,բուրդ
411,Stoff::N,шэкӏы,գործվածք
412,Nadel::N,бгъэ́хаӏу,ասեղ
413,Faden::N,ӏуда́н,թել
414,Knopf::N,занкӏэу,կոճակ
415,Knoten::N,зэкъодзапӏэ,հանգույց
416,Farbe::N,краск,ներկ
417,Kleidung::N,щыгъы́ны,հագուստ
418,Hemd::N,джан,վերնաշապիկ
419,Kragen::N,пшъапӏ,օձիք
420,Ärmel::N,гъуап,թեւք
421,Hose::N,гъончэ́дж,շալվար
422,Gürtel::N,бгыры́пх,գոտի
423,Mütze::N,паӏо́,կեպի
424,Stiefel::N,щазым,երկարաճիթ կոշիկ
425,Ring::N,ӏэлъы́н,զնգալ
426,Band::N,лент,ժապավեն
427,Kamm::N,мажь,սանր
428,Spiegel::N,гъундж,հայելի
429,Riemen::N,бгыры́пх,փոկ
430,Schnur::N,кӏапсэ́,լար
431,Leine::N,шъокӏапс,փոկ
432,Decke::N,чыхӏэн,վերմակ
433,Kissen::N,шъхьант,բարձ
434,Tuch::N,шъхьэтехъу,թաշկինակ
435,Handtuch::N,ӏаплъэкӏ,սրբիչ
436,Kraft::N,къары́у,ուժ
437,Kraft::N,кӏуачӏэ́,ուժ
438,Stärke::N,кӏуачӏэ́,պնդություն
439,Stärke::N,кӏуачӏэ́,ամրություն
440,Gesundheit::N,псауныгъ,առողջություն
441,Krankheit::N,узы,ախտ
442,Krankheit::N,узы,հիվանդություն
443,Schmerz::N,узы,ցավ
444,Schmerz::N,узы,տանջանք
445,Wunde::N,уӏагъэ́,վերք
446,Fieber::N,техьа́гъу,տենդ
447,Fieber::N,жъоку,տենդ
448,Arznei::N,ӏэзэ́гъу,դեղ
449,Brücke::N,лъэмы́д ж,կամուրջ
450,Brunnen::N,псынэ́,հոր
451,Brunnen::N,псынэ́,ջրհոր
452,Weide::N,хъупӏэ́,արոտավայր
453,Pfad::N,лъагъу,արահետ
454,Weg::N,гъо́гу,ուղի
455,Straße::N,гъо́гу,ճանապարհ
456,Dorf::N,къуа́дж,գյուղ
457,Stadt::N,къалэ́,քաղաք
458,Brief::N,тхэн,նամակ
